NOC match,NOC code,LMIC's preliminary short list
College and other vocational instructors,4021,No
Judges,4111,No
Lawyers and Quebec notaries,4112,No
"
Psychologists",4151,Yes
Psychologists,4151,Yes
"
Social workers",4152,No
Social workers,4152,No
"
Family, marriage and other related counsellors",4153,No
"Family, marriage and other related counsellors",4153,No
"Natural and applied science policy researchers, consultants and program officers",4161,No
"Natural and applied science policy researchers, consultants and program officers",4161,No
"Social policy researchers, consultants and program officers",4164,No
"Health policy researchers, consultants and program officers",4165,Yes
Paralegal and related occupations,4211,No
Social and community service workers,4212,No
Police officers (except commissioned),4311,Yes
Police officers (except commissioned),4311,Yes
Firefighters,4312,Yes
Home child care providers,4411,No
"Home support workers, housekeepers and related occupations",4412,Yes
"Home support workers, housekeepers and related occupations",4412,Yes
"
Sheriffs and bailiffs",4421,No
"
Correctional service officers",4422,No
"
By-law enforcement and other regulatory officers, n.e.c.",4423,Yes
Editors,5122,No
Journalists,5123,No
Broadcast technicians,5224,No
Audio and video recording technicians,5225,No
"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5226,No
"Support occupations in motion pictures, broadcasting, photography and the performing arts",5227,No
Announcers and other broadcasters,5231,No
Retail sales supervisors,6211,Yes
Retail sales supervisors,6211,Yes
Retail sales supervisors,6211,Yes
Retail sales supervisors,6211,Yes
Technical sales specialists - wholesale trade,6221,Yes
Retail and wholesale buyers,6222,Yes
Retail and wholesale buyers,6222,Yes
Retail and wholesale buyers,6222,Yes
Retail and wholesale buyers,6222,Yes
Insurance agents and brokers,6231,No
"
Real estate agents and salespersons",6232,No
Food service supervisors,6311,Yes
Food service supervisors,6311,Yes
Chefs,6321,No
Cooks,6322,Yes
"Butchers, meat cutters, and fishmongers - retail and wholesale",6331,Yes
Bakers,6332,No
"
Funeral directors and embalmers",6346,No
Sales and account representatives - wholesale trade (non-technical),6411,No
Sales and account representatives - wholesale trade (non-technical),6411,No
Sales and account representatives - wholesale trade (non-technical),6411,No
Sales and account representatives - wholesale trade (non-technical),6411,No
Pharmacy clerks,6421,Yes
"Ground and water transport ticket agents, cargo service representatives and related clerks",6524,No
Hotel front desk clerks,6525,No
Security guards and related security service occupations,6541,No
Security guards and related security service occupations,6541,No
Pet groomers and animal care workers,6563,No
Cashiers,6611,Yes
Cashiers,6611,Yes
Cashiers,6611,Yes
Cashiers,6611,Yes
Service station attendants,6621,Yes
"Store shelf stockers, clerks, and order fillers",6622,Yes
"Store shelf stockers, clerks, and order fillers",6622,Yes
"Store shelf stockers, clerks, and order fillers",6622,Yes
"Food counter attendants, kitchen helpers and related support occupations",6711,No
Light duty cleaners,6731,No
"Janitors, caretakers and building superintendents",6733,No
"
Dry cleaning, laundry and related occupations",6741,No
"Other service support occupations, n.e.c.",6742,No
"Contractors and supervisors, electrical trades and telecommunications occupations",7202,No
"Contractors and supervisors, electrical trades and telecommunications occupations",7202,No
"Contractors and supervisors, carpentry trades",7204,No
"Contractors and supervisors, carpentry trades",7204,No
"Contractors and supervisors, other construction trades, installers, repairers and servicers",7205,No
Tool and die makers,7232,No
Boilermakers,7234,No
Boilermakers,7234,No
Ironworkers,7236,No
Ironworkers,7236,No
Electricians (except industrial and power system),7241,No
Industrial electricians,7242,No
Power system electricians,7243,No
Power system electricians,7243,No
Electrical power line and cable workers,7244,No
Electrical power line and cable workers,7244,No
"
Telecommunications line and cable workers",7245,Yes
"
Telecommunications installation and repair workers",7246,No
Cable television service and maintenance technicians,7247,No
Plumbers,7251,No
Bricklayers,7281,No
Bricklayers,7281,No
Painters and decorators (except interior decorators),7294,No
Painters and decorators (except interior decorators),7294,No
"Contractors and supervisors, mechanic trades",7301,No
"Contractors and supervisors, mechanic trades",7301,No
"Contractors and supervisors, heavy equipment operator crews",7302,No
"Contractors and supervisors, heavy equipment operator crews",7302,No
"Supervisors, railway transport operations",7304,No
"Supervisors, railway transport operations",7304,No
Construction millwrights and industrial mechanics,7311,Yes
Construction millwrights and industrial mechanics,7311,Yes
"Heating, refrigeration and air conditioning mechanics",7313,No
Aircraft mechanics and aircraft inspectors,7315,No
Elevator constructors and mechanics,7318,No
"Automotive service technicians, truck, and bus mechanics and mechanical repairers",7321,Yes
Motor vehicle body repairers,7322,No
Appliance servicers and repairers,7332,No
Electrical mechanics,7333,Yes
"Motorcycle, all-terrain vehicle and other related repairs",7334,No
Crane operators,7371,No
Crane operators,7371,No
"
Drillers and blasters - surface mining, quarrying and construction",7372,No
Water well drillers,7373,No
Printing press operators,7381,No
Waterworks and gas maintenance workers,7442,No
Pest controllers and fumigators,7444,No
