"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Edmonton,,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",1105,51412,51190,
"        1251 Court reporters, medical transcriptionists and related occupations",555,36767,39629,
        1252 Health information management occupations,130,76758,74996,
        1253 Records management technicians,260,54836,58940,
        1254 Statistical officers and related research support occupations,150,55903,59252,
"    13 Finance, insurance and related business administrative occupations",7805,43654,49555,
"      131 Finance, insurance and related business administrative occupations",7800,43654,49555,
        1311 Accounting technicians and bookkeepers,5425,35915,44065,
        1312 Insurance adjusters and claims examiners,1240,63880,63759,
        1313 Insurance underwriters,655,54224,58281,
"        1314 Assessors, valuators and appraisers",405,64945,66755,
"        1315 Customs, ship and other brokers",75,42803,42756,
    14 Office support occupations,35450,39116,40469,
      141 General office workers,20590,35688,36966,
        1411 General office support workers,11825,40890,41011,
        1414 Receptionists,7890,27578,29157,
        1415 Personnel clerks,655,50796,53523,
        1416 Court clerks,220,53237,50611,
      142 Office equipment operators,1990,37590,38154,
        1422 Data entry clerks,1895,36850,36818,
        1423 Desktop publishing operators and related occupations,90,59878,65668,
"      143 Financial, insurance and related administrative support workers",9495,47596,49491,
        1431 Accounting and related clerks,6275,45891,49066,
        1432 Payroll administrators,1940,54365,52604,
"        1434 Banking, insurance and other financial clerks",885,45398,47470,
        1435 Collectors,400,48327,45500,
"      145 Library, correspondence and other clerks",3375,32629,37824,
