"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Montréal [1],,,,
Global non-response rate (GNR) =   3.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",3880,41370,40650,
"        1251 Court reporters, medical transcriptionists and related occupations",855,35353,32184,
        1252 Health information management occupations,745,45800,43492,
        1253 Records management technicians,1925,44441,42310,
        1254 Statistical officers and related research support occupations,350,39826,46224,
"    13 Finance, insurance and related business administrative occupations",20525,40231,43454,
"      131 Finance, insurance and related business administrative occupations",20520,40231,43454,
        1311 Accounting technicians and bookkeepers,14100,35138,37054,
        1312 Insurance adjusters and claims examiners,2645,54677,57828,
        1313 Insurance underwriters,1265,52744,58137,
"        1314 Assessors, valuators and appraisers",1795,50955,57433,
"        1315 Customs, ship and other brokers",715,45850,55410,
    14 Office support occupations,86895,30380,31686,
      141 General office workers,44985,25743,27663,
        1411 General office support workers,23270,30966,31340,
        1414 Receptionists,20060,19932,22129,
        1415 Personnel clerks,1490,41729,44355,
        1416 Court clerks,170,25596,31200,
      142 Office equipment operators,4675,28546,29467,
        1422 Data entry clerks,4400,28294,28256,
        1423 Desktop publishing operators and related occupations,270,38017,48987,
"      143 Financial, insurance and related administrative support workers",30075,37863,38962,
        1431 Accounting and related clerks,19860,36024,36486,
        1432 Payroll administrators,3530,47164,47745,
"        1434 Banking, insurance and other financial clerks",3895,41230,46271,
        1435 Collectors,2785,34126,35255,
"      145 Library, correspondence and other clerks",7160,23104,27852,
        1451 Library assistants and clerks,2010,28430,27952,
"        1452 Correspondence, publication and regulatory clerks",2950,36502,38092,
        1454 Survey interviewers and statistical clerks,2195,7137,14003,
"    15 Distribution, tracking and scheduling co-ordination occupations",48515,33880,36034,
      151 Mail and message distribution occupations,9450,38600,37806,
"        1511 Mail, postal and related workers",3715,34678,34867,
        1512 Letter carriers,3825,56629,48707,
"        1513 Couriers, messengers and door-to-door distributors",1910,15093,21707,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",39065,33111,35606,
        1521 Shippers and receivers,19525,27205,28339,
        1522 Storekeepers and partspersons,6005,39270,40979,
        1523 Production logistics co-ordinators,3915,43402,46783,
        1524 Purchasing and inventory control workers,4035,33695,36402,
        1525 Dispatchers,4550,43561,45314,
        1526 Transportation route and crew schedulers,1040,49741,53420,
  2 Natural and applied sciences and related occupations,166285,61150,65579,
    21 Professional occupations in natural and applied sciences,99015,70369,73604,
      211 Physical science professionals,3625,59675,67419,
        2111 Physicists and astronomers,465,79186,78718,
        2112 Chemists,2430,55686,62731,
        2113 Geoscientists and oceanographers,380,65437,77654,
        2114 Meteorologists and climatologists,230,84028,80721,
        2115 Other professional occupations in physical sciences,120,54967,61225,
      212 Life science professionals,2865,51175,56989,
        2121 Biologists and related scientists,2235,50832,55515,
        2122 Forestry professionals,120,98381,88008,
"        2123 Agricultural representatives, consultants and specialists",510,50805,56240,
"      213 Civil, mechanical, electrical and chemical engineers",22535,79393,84346,
        2131 Civil engineers,7030,76820,83192,
        2132 Mechanical engineers,7795,76667,81496,
        2133 Electrical and electronics engineers,6590,85315,87786,
        2134 Chemical engineers,1125,75609,91168,
      214 Other engineers,11665,80621,84877,
        2141 Industrial and manufacturing engineers,2725,72826,74503,
        2142 Metallurgical and materials engineers,300,92682,95693,
        2143 Mining engineers,250,100040,119808,
        2144 Geological engineers,210,81316,84005,
        2145 Petroleum engineers,45,79548,73876,
        2146 Aerospace engineers,2815,84318,88620,
        2147 Computer engineers (except software engineers and designers),4705,85523,88635,
"        2148 Other professional engineers, n.e.c.",615,60952,66685,
"      215 Architects, urban planners and land surveyors",4985,54927,61427,
        2151 Architects,3055,54921,62674,
        2152 Landscape architects,345,42701,48508,
        2153 Urban and land use planners,1055,59916,61371,
        2154 Land surveyors,525,53743,62866,
"      216 Mathematicians, statisticians and actuaries",2175,75893,95951,
"        2161 Mathematicians, statisticians and actuaries",2175,75893,95951,
      217 Computer and information systems professionals,51170,67050,67910,
        2171 Information systems analysts and consultants,18955,72356,72653,
        2172 Database analysts and data administrators,3210,68989,70915,
        2173 Software engineers and designers,5325,81072,81878,
        2174 Computer programmers and interactive media developers,19140,65171,65189,
        2175 Web designers and developers,4545,38605,41089,
    22 Technical occupations related to natural and applied sciences,67270,49760,53768,
      221 Technical occupations in physical sciences,3835,46984,51704,
        2211 Chemical technologists and technicians,3485,46698,50810,
        2212 Geological and mineral technologists and technicians,350,51449,60646,
      222 Technical occupations in life sciences,3810,27887,34501,
        2221 Biological technologists and technicians,780,37582,37996,
        2222 Agricultural and fish products inspectors,405,57572,56016,
        2223 Forestry technologists and technicians,175,29417,41244,
        2224 Conservation and fishery officers,110,36090,37905,
        2225 Landscape and horticulture technicians and specialists,2345,22338,28955,
"      223 Technical occupations in civil, mechanical and industrial engineering",10880,52601,54864,
        2231 Civil engineering technologists and technicians,3255,48578,50247,
        2232 Mechanical engineering technologists and technicians,3180,63777,62430,
        2233 Industrial engineering and manufacturing technologists and technicians,2215,52424,53441,
        2234 Construction estimators,2240,47383,52223,
      224 Technical occupations in electronics and electrical engineering,12710,51680,53673,
        2241 Electrical and electronics engineering technologists and technicians,5915,56973,59652,
