"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Quebec / QuÈbec [1],,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        1243 Medical administrative assistants,18660,31166,30504,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",7745,41437,40281,
"        1251 Court reporters, medical transcriptionists and related occupations",1925,37238,34054,
        1252 Health information management occupations,1615,45002,43251,
        1253 Records management technicians,3635,44054,41230,
        1254 Statistical officers and related research support occupations,570,44181,46819,
"    13 Finance, insurance and related business administrative occupations",40740,39660,42241,
"      131 Finance, insurance and related business administrative occupations",40735,39660,42241,
        1311 Accounting technicians and bookkeepers,28210,35405,36392,
        1312 Insurance adjusters and claims examiners,5115,52759,56754,
        1313 Insurance underwriters,2535,52476,56317,
"        1314 Assessors, valuators and appraisers",3900,48140,53156,
"        1315 Customs, ship and other brokers",985,45995,54985,
    14 Office support occupations,150260,30062,31082,
      141 General office workers,80880,26497,27992,
        1411 General office support workers,40605,32564,32145,
        1414 Receptionists,37045,20579,22134,
        1415 Personnel clerks,2830,42727,44549,
        1416 Court clerks,390,27150,31827,
      142 Office equipment operators,7555,28277,29061,
        1422 Data entry clerks,7135,27618,28056,
        1423 Desktop publishing operators and related occupations,415,38334,46287,
"      143 Financial, insurance and related administrative support workers",48605,36673,37428,
        1431 Accounting and related clerks,33530,34496,34993,
        1432 Payroll administrators,5665,45095,45978,
"        1434 Banking, insurance and other financial clerks",5550,41106,44643,
        1435 Collectors,3875,35299,35678,
"      145 Library, correspondence and other clerks",13220,23117,27799,
        1451 Library assistants and clerks,3340,26434,26677,
"        1452 Correspondence, publication and regulatory clerks",5425,36797,37404,
        1454 Survey interviewers and statistical clerks,4455,8028,16940,
"    15 Distribution, tracking and scheduling co-ordination occupations",88950,34181,35952,
      151 Mail and message distribution occupations,17945,36263,35829,
"        1511 Mail, postal and related workers",6080,33953,33906,
        1512 Letter carriers,7770,49908,45309,
"        1513 Couriers, messengers and door-to-door distributors",4085,14663,20653,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",71005,33751,35983,
        1521 Shippers and receivers,33290,27944,28836,
        1522 Storekeepers and partspersons,13965,38004,39155,
        1523 Production logistics co-ordinators,6670,44954,49316,
        1524 Purchasing and inventory control workers,7040,33997,36336,
        1525 Dispatchers,8490,43818,45370,
        1526 Transportation route and crew schedulers,1550,46839,50473,
  2 Natural and applied sciences and related occupations,287370,58680,62944,
    21 Professional occupations in natural and applied sciences,155315,68758,71763,
      211 Physical science professionals,5840,63874,68837,
        2111 Physicists and astronomers,830,73877,74571,
        2112 Chemists,3455,58267,63642,
        2113 Geoscientists and oceanographers,1060,70958,79172,
        2114 Meteorologists and climatologists,275,84094,80285,
        2115 Other professional occupations in physical sciences,215,72518,64523,
      212 Life science professionals,8165,53999,55701,
        2121 Biologists and related scientists,4535,53267,55121,
        2122 Forestry professionals,1445,66128,63857,
"        2123 Agricultural representatives, consultants and specialists",2185,49491,51510,
"      213 Civil, mechanical, electrical and chemical engineers",35040,77790,82552,
        2131 Civil engineers,11805,75010,81228,
        2132 Mechanical engineers,12265,74587,79582,
        2133 Electrical and electronics engineers,9105,84939,87197,
        2134 Chemical engineers,1870,75727,87782,
      214 Other engineers,16640,79560,84303,
        2141 Industrial and manufacturing engineers,4215,71523,74431,
        2142 Metallurgical and materials engineers,670,88086,94596,
        2143 Mining engineers,565,98059,108945,
        2144 Geological engineers,545,71510,96527,
        2145 Petroleum engineers,80,83163,74113,
        2146 Aerospace engineers,3025,84655,89014,
        2147 Computer engineers (except software engineers and designers),6400,84090,87037,
"        2148 Other professional engineers, n.e.c.",1140,66247,69556,
"      215 Architects, urban planners and land surveyors",8695,56906,62052,
        2151 Architects,4605,55741,62795,
        2152 Landscape architects,490,44199,50012,
        2153 Urban and land use planners,1790,60253,61110,
