"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Northwest Territories / Territoires du Nord-Ouest [1],,,,
Global non-response rate (GNR) =   8.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        1253 Records management technicians,25,63699,65337,
        1254 Statistical officers and related research support occupations,15,50091,66212,
"    13 Finance, insurance and related business administrative occupations",305,72585,72362,
"      131 Finance, insurance and related business administrative occupations",305,72585,72362,
        1311 Accounting technicians and bookkeepers,260,65590,70047,
        1312 Insurance adjusters and claims examiners,30,87949,111428,
        1313 Insurance underwriters,0,0,0,
"        1314 Assessors, valuators and appraisers",15,0,0,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,1245,52895,54705,
      141 General office workers,710,43216,46835,
        1411 General office support workers,430,43889,48472,
        1414 Receptionists,250,40827,40926,
        1415 Personnel clerks,25,71175,64142,
        1416 Court clerks,10,0,0,
      142 Office equipment operators,60,24361,41545,
        1422 Data entry clerks,50,33874,42823,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",340,74488,70474,
        1431 Accounting and related clerks,270,72531,67175,
        1432 Payroll administrators,45,87417,88642,
"        1434 Banking, insurance and other financial clerks",15,0,0,
        1435 Collectors,10,0,0,
"      145 Library, correspondence and other clerks",130,65225,62596,
        1451 Library assistants and clerks,25,46995,44338,
"        1452 Correspondence, publication and regulatory clerks",60,87267,88642,
        1454 Survey interviewers and statistical clerks,50,8099,39784,
"    15 Distribution, tracking and scheduling co-ordination occupations",380,56440,62654,
      151 Mail and message distribution occupations,75,19338,32123,
"        1511 Mail, postal and related workers",35,18191,25197,
        1512 Letter carriers,10,53767,48962,
"        1513 Couriers, messengers and door-to-door distributors",25,16713,32990,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",300,62339,70457,
        1521 Shippers and receivers,85,52059,52935,
        1522 Storekeepers and partspersons,90,78740,81906,
        1523 Production logistics co-ordinators,15,31179,92883,
        1524 Purchasing and inventory control workers,35,89093,69171,
        1525 Dispatchers,70,90794,73637,
        1526 Transportation route and crew schedulers,10,0,0,
  2 Natural and applied sciences and related occupations,1600,90439,88961,
    21 Professional occupations in natural and applied sciences,630,102213,98663,
      211 Physical science professionals,50,101081,93003,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,10,0,0,
        2113 Geoscientists and oceanographers,45,104619,95943,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,130,105343,101886,
        2121 Biologists and related scientists,125,105343,102692,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",0,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",95,115168,107239,
        2131 Civil engineers,65,104663,103505,
        2132 Mechanical engineers,20,119765,138396,
        2133 Electrical and electronics engineers,10,0,0,
        2134 Chemical engineers,0,0,0,
      214 Other engineers,50,131456,132366,
        2141 Industrial and manufacturing engineers,0,0,0,
        2142 Metallurgical and materials engineers,0,0,0,
        2143 Mining engineers,20,0,160755,
        2144 Geological engineers,0,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,10,0,0,
        2147 Computer engineers (except software engineers and designers),10,0,0,
"        2148 Other professional engineers, n.e.c.",0,0,0,
"      215 Architects, urban planners and land surveyors",130,82297,82761,
        2151 Architects,25,0,0,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,80,90232,89863,
        2154 Land surveyors,30,92994,83913,
"      216 Mathematicians, statisticians and actuaries",0,0,0,
"        2161 Mathematicians, statisticians and actuaries",0,0,0,
      217 Computer and information systems professionals,165,101422,94620,
        2171 Information systems analysts and consultants,100,104369,106402,
        2172 Database analysts and data administrators,0,0,0,
        2173 Software engineers and designers,0,0,0,
        2174 Computer programmers and interactive media developers,30,59563,75491,
