"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nova Scotia / Nouvelle-…cosse,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      634 Specialized occupations in personal and customer services,3710,16138,19144,
        6341 Hairstylists and barbers,3075,15731,17676,
"        6342 Tailors, dressmakers, furriers and milliners",320,17787,19918,
        6343 Shoe repairers and shoemakers,10,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",80,17832,18833,
        6345 Upholsterers,65,5956,12266,
        6346 Funeral directors and embalmers,155,39646,49309,
    64 Sales representatives and salespersons - wholesale and retail trade,21105,16364,24529,
      641 Sales and account representatives - wholesale trade (non-technical),2365,46343,51543,
        6411 Sales and account representatives - wholesale trade (non-technical),2365,46343,51543,
      642 Retail salespersons,18740,14608,21118,
        6421 Retail salespersons,18745,14608,21118,
    65 Service representatives and other customer and personal services occupations,24475,18102,21968,
      651 Occupations in food and beverage service,7230,11423,13353,
        6511 MaÓtres d'hÙtel and hosts/hostesses,530,7617,9429,
        6512 Bartenders,1165,14867,15473,
        6513 Food and beverage servers,5530,11233,13283,
      652 Occupations in travel and accommodation,2045,25162,29599,
        6521 Travel counsellors,540,29087,27764,
        6522 Pursers and flight attendants,345,52029,46504,
        6523 Airline ticket and service agents,370,32713,37296,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",55,37399,36264,
        6525 Hotel front desk clerks,740,15597,18612,
      653 Tourism and amusement services occupations,425,13043,25621,
        6531 Tour and travel guides,175,6333,9419,
        6532 Outdoor sport and recreational guides,70,12693,20264,
        6533 Casino occupations,180,30522,43469,
      654 Security guards and related security service occupations,3955,23456,26378,
        6541 Security guards and related security service occupations,3955,23456,26378,
      655 Customer and information services representatives,8955,24460,26141,
        6551 Customer services representatives - financial institutions,2090,27630,27353,
        6552 Other customer and information services representatives,6865,23517,25773,
      656 Other occupations in personal service,1865,13231,16786,
"        6561 Image, social and other personal consultants",50,16051,19108,
"        6562 Estheticians, electrologists and related occupations",1130,13741,16308,
        6563 Pet groomers and animal care workers,625,11604,16817,
        6564 Other personal service occupations,70,10294,22763,
    66 Sales support occupations,18550,10834,13642,
      661 Cashiers,12300,9734,11897,
        6611 Cashiers,12295,9734,11897,
      662 Other sales support and related occupations,6255,14103,17073,
        6621 Service station attendants,650,13905,17020,
"        6622 Store shelf stockers, clerks and order fillers",4585,14888,16823,
        6623 Other sales related occupations,1015,11460,18234,
"    67 Service support and other service occupations, n.e.c.",28615,15245,18821,
"      671 Food counter attendants, kitchen helpers and related support occupations",11500,10772,13829,
"        6711 Food counter attendants, kitchen helpers and related support occupations",11500,10772,13829,
"      672 Support occupations in accommodation, travel and amusement services",1185,10836,16655,
"        6721 Support occupations in accommodation, travel and facilities set-up services",205,18345,25406,
"        6722 Operators and attendants in amusement, recreation and sport",980,9440,14808,
      673 Cleaners,14685,20067,22688,
        6731 Light duty cleaners,7415,15662,18151,
        6732 Specialized cleaners,1135,21124,22778,
"        6733 Janitors, caretakers and building superintendents",6135,26188,28151,
"      674 Other service support and related occupations, n.e.c.",1245,20358,21388,
"        6741 Dry cleaning, laundry and related occupations",485,27134,26689,
"        6742 Other service support occupations, n.e.c.",760,12333,18002,
"  7 Trades, transport and equipment operators and related occupations",68760,37554,42443,
"    72 Industrial, electrical and construction trades",23565,38640,44805,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",2080,54270,60329,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",310,70099,75097,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",340,64239,73647,
"        7203 Contractors and supervisors, pipefitting trades",180,81092,94366,
"        7204 Contractors and supervisors, carpentry trades",520,38646,44071,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",735,46388,51087,
"      723 Machining, metal forming, shaping and erecting trades",4210,50062,53106,
        7231 Machinists and machining and tooling inspectors,655,52947,54783,
        7232 Tool and die makers,30,49657,54378,
        7233 Sheet metal workers,465,41160,45355,
        7234 Boilermakers,170,62218,65671,
        7235 Structural metal and platework fabricators and fitters,270,48213,52195,
        7236 Ironworkers,465,58343,66335,
        7237 Welders and related machine operators,2150,47878,50511,
      724 Electrical trades and electrical power line and telecommunications workers,4875,54612,56822,
        7241 Electricians (except industrial and power system),2580,43712,48887,
        7242 Industrial electricians,980,69719,71291,
        7243 Power system electricians,65,91662,71780,
        7244 Electrical power line and cable workers,280,98050,93966,
        7245 Telecommunications line and cable workers,380,43250,46444,
        7246 Telecommunications installation and repair workers,560,63749,54917,
        7247 Cable television service and maintenance technicians,20,0,50846,
"      725 Plumbers, pipefitters and gas fitters",2340,50853,55094,
        7251 Plumbers,1055,44483,46786,
"        7252 Steamfitters, pipefitters and sprinkler system installers",1120,58433,63297,
        7253 Gas fitters,165,53743,52583,
      727 Carpenters and cabinetmakers,6415,26299,29832,
        7271 Carpenters,6115,26285,29989,
        7272 Cabinetmakers,300,27005,26636,
      728 Masonry and plastering trades,1135,28457,30770,
        7281 Bricklayers,350,28768,32193,
        7282 Concrete finishers,175,35836,35388,
        7283 Tilesetters,155,26358,28615,
"        7284 Plasterers, drywall installers and finishers and lathers",450,24873,28592,
      729 Other construction trades,2510,24911,29701,
        7291 Roofers and shinglers,450,28077,32476,
        7292 Glaziers,150,35216,32082,
        7293 Insulators,360,39443,47825,
        7294 Painters and decorators (except interior decorators),1170,18942,23844,
        7295 Floor covering installers,385,22542,26256,
    73 Maintenance and equipment operation trades,13340,49367,53648,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",1750,63537,66299,
"        7301 Contractors and supervisors, mechanic trades",485,69498,71816,
"        7302 Contractors and supervisors, heavy equipment operator crews",1005,61984,66204,
"        7303 Supervisors, printing and related occupations",25,0,44819,
"        7304 Supervisors, railway transport operations",30,0,0,
"        7305 Supervisors, motor transport and other ground transit operators",210,62540,59315,
      731 Machinery and transportation equipment mechanics (except motor vehicles),4040,61378,64545,
        7311 Construction millwrights and industrial mechanics,1565,62626,66821,
        7312 Heavy-duty equipment mechanics,870,58978,63294,
"        7313 Heating, refrigeration and air conditioning mechanics",560,51141,52411,
        7314 Railway carmen/women,20,0,0,
        7315 Aircraft mechanics and aircraft inspectors,890,65603,68126,
        7316 Machine fitters,30,0,50690,
        7318 Elevator constructors and mechanics,105,90995,81861,
      732 Automotive service technicians,5070,40459,41961,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",4325,40424,42118,
        7322 Motor vehicle body repairers,745,40538,41043,
      733 Other mechanics and related repairers,1010,38417,40708,
        7331 Oil and solid fuel heating mechanics,375,39759,40846,
        7332 Appliance servicers and repairers,150,38760,37135,
        7333 Electrical mechanics,110,53808,54776,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",225,38911,44763,
        7335 Other small engine and small equipment repairers,155,30752,28450,
      736 Train crew operating occupations,55,72244,73171,
        7361 Railway and yard locomotive engineers,45,92744,82153,
        7362 Railway conductors and brakemen/women,10,0,0,
"      737 Crane operators, drillers and blasters",570,59081,69058,
        7371 Crane operators,495,62074,72629,
"        7372 Drillers and blasters - surface mining, quarrying and construction",55,32307,47531,
        7373 Water well drillers,15,0,0,
"      738 Printing press operators and other trades and related occupations, n.e.c.",845,45340,49170,
        7381 Printing press operators,350,47685,45766,
"        7384 Other trades and related occupations, n.e.c.",495,41414,51601,
"    74 Other installers, repairers and servicers and material handlers",6135,29725,33487,
"      744 Other installers, repairers and servicers",1565,30345,32763,
        7441 Residential and commercial installers and servicers,950,26660,28452,
        7442 Waterworks and gas maintenance workers,130,35011,41322,
        7444 Pest controllers and fumigators,95,48990,45573,
        7445 Other repairers and servicers,390,33989,37338,
      745 Longshore workers and material handlers,4570,29315,33735,
        7451 Longshore workers,530,51131,56573,
        7452 Material handlers,4040,28002,30744,
    75 Transport and heavy equipment operation and related maintenance occupations,18770,35983,38890,
      751 Motor vehicle and transit drivers,13175,32985,36367,
        7511 Transport truck drivers,7565,42256,43139,
"        7512 Bus drivers, subway operators and other transit operators",2300,27339,32908,
        7513 Taxi and limousine drivers and chauffeurs,1340,10384,14159,
        7514 Delivery and courier service drivers,1970,27201,29539,
      752 Heavy equipment operators,4045,43697,45908,
        7521 Heavy equipment operators (except crane),3105,44831,48627,
        7522 Public works maintenance equipment operators and related workers,940,40088,36930,
      753 Other transport equipment operators and related maintenance workers,1550,39030,42029,
        7531 Railway yard and track maintenance workers,45,49980,39195,
        7532 Water transport deck and engine room crew,410,58964,58086,
        7533 Boat and cable ferry operators and related occupations,120,55350,48788,
        7534 Air transport ramp attendants,300,32177,33697,
        7535 Other automotive mechanical installers and servicers,675,29356,34935,
"    76 Trades helpers, construction labourers and related occupations",6955,24650,30441,
      761 Trades helpers and labourers,6075,23877,29979,
        7611 Construction trades helpers and labourers,5815,24058,29727,
        7612 Other trades helpers and labourers,255,21445,35689,
"      762 Public works and other labourers, n.e.c.",880,30144,33635,
        7621 Public works and maintenance labourers,805,31945,34298,
        7622 Railway and motor transport labourers,70,18589,26337,
"  8 Natural resources, agriculture and related production occupations",18880,23650,39555,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",8780,43108,58344,
"      821 Supervisors, logging and forestry",160,23553,31153,
"        8211 Supervisors, logging and forestry",160,23553,31153,
"      822 Contractors and supervisors, mining, oil and gas",335,96537,138059,
"        8221 Supervisors, mining and quarrying",95,87312,97246,
"        8222 Contractors and supervisors, oil and gas drilling and services",245,102909,153624,
"      823 Underground miners, oil and gas drillers and related occupations",485,72594,102478,
        8231 Underground production and development miners,220,67945,83022,
"        8232 Oil and gas well drillers, servicers, testers and related workers",265,89741,118998,
      824 Logging machinery operators,225,43644,41807,
        8241 Logging machinery operators,225,43644,41807,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",675,21779,31257,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",215,23199,28043,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",455,20500,32780,
      826 Fishing vessel masters and fishermen/women,6900,42174,55178,
        8261 Fishing masters and officers,1020,51772,71310,
        8262 Fishermen/women,5875,40610,52376,
"    84 Workers in natural resources, agriculture and related production",5710,15746,25465,
      841 Mine service workers and operators in oil and gas drilling,205,72232,77571,
        8411 Underground mine service and support workers,25,0,0,
        8412 Oil and gas well drilling and related workers and services operators,180,81673,79880,
      842 Logging and forestry workers,705,16086,19992,
        8421 Chain saw and skidder operators,425,12329,16428,
        8422 Silviculture and forestry workers,280,21121,25425,
      843 Agriculture and horticulture workers,2850,12739,17317,
        8431 General farm workers,2570,12942,17751,
        8432 Nursery and greenhouse workers,280,11649,13328,
      844 Other workers in fishing and trapping and hunting occupations,1950,18814,33910,
        8441 Fishing vessel deckhands,1940,19073,34041,
        8442 Trappers and hunters,10,0,0,
"    86 Harvesting, landscaping and natural resources labourers",4395,13096,20310,
"      861 Harvesting, landscaping and natural resources labourers",4390,13096,20310,
        8611 Harvesting labourers,240,7744,9789,
        8612 Landscaping and grounds maintenance labourers,3095,12676,18065,
        8613 Aquaculture and marine harvest labourers,355,12228,16998,
        8614 Mine labourers,50,57081,59719,
"        8615 Oil and gas drilling, servicing and related labourers",355,39340,47734,
        8616 Logging and forestry labourers,305,11337,17221,
  9 Occupations in manufacturing and utilities,18315,30290,36326,
"    92 Processing, manufacturing and utilities supervisors and central control operators",3165,59510,66118,
"      921 Supervisors, processing and manufacturing occupations",1185,56850,63528,
"        9211 Supervisors, mineral and metal processing",85,51862,61240,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",260,80583,91236,
"        9213 Supervisors, food and beverage processing",425,42792,44676,
"        9214 Supervisors, plastic and rubber products manufacturing",215,64796,68427,
"        9215 Supervisors, forest products processing",140,68862,70977,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",65,45246,45619,
"      922 Supervisors, assembly and fabrication",250,56506,59357,
"        9221 Supervisors, motor vehicle assembling",10,0,0,
"        9222 Supervisors, electronics manufacturing",55,48806,56907,
"        9223 Supervisors, electrical products manufacturing",15,0,0,
"        9224 Supervisors, furniture and fixtures manufacturing",15,0,0,
"        9226 Supervisors, other mechanical and metal products manufacturing",100,78843,77429,
"        9227 Supervisors, other products manufacturing and assembly",55,50955,42206,
      923 Central control and process operators in processing and manufacturing,255,59973,82993,
"        9231 Central control and process operators, mineral and metal processing",30,46087,55193,
"        9232 Central control and process operators, petroleum, gas and chemical processing",160,74796,93845,
"        9235 Pulping, papermaking and coating control operators",70,53948,69655,
      924 Utilities equipment operators and controllers,1465,62445,66430,
        9241 Power engineers and power systems operators,1100,68351,72116,
        9243 Water and waste treatment plant operators,365,51080,49202,
    94 Processing and manufacturing machine operators and related production workers,6365,30967,33645,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,535,38094,37717,
"        9411 Machine operators, mineral and metal processing",65,47788,48493,
        9412 Foundry workers,15,0,0,
        9413 Glass forming and finishing machine operators and glass cutters,40,24155,24853,
"        9414 Concrete, clay and stone forming operators",110,38929,38177,
"        9415 Inspectors and testers, mineral and metal processing",25,46251,43011,
        9416 Metalworking and forging machine operators,130,37250,36010,
        9417 Machining tool operators,40,34276,36860,
        9418 Other metal products machine operators,105,35528,36415,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",1805,49414,47455,
        9421 Chemical plant machine operators,70,21704,30050,
        9422 Plastics processing machine operators,340,40825,40248,
        9423 Rubber processing machine operators and related workers,1400,52220,50092,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,665,38258,39271,
        9431 Sawmill machine operators,190,31088,32968,
        9432 Pulp mill machine operators,45,65993,73717,
        9433 Papermaking and finishing machine operators,65,54274,52170,
        9434 Other wood processing machine operators,130,33724,35265,
        9435 Paper converting machine operators,85,53954,47169,
        9436 Lumber graders and other wood processing inspectors and graders,65,39402,36096,
        9437 Woodworking machine operators,80,26727,25615,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",770,23829,23860,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",170,26469,25824,
"        9442 Weavers, knitters and other fabric making occupations",180,32903,28377,
"        9445 Fabric, fur and leather cutters",40,0,0,
        9446 Industrial sewing machine operators,320,20739,20617,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",55,22654,23836,
"      946 Machine operators and related workers in food, beverage and associated products processing",2230,16913,23313,
"        9461 Process control and machine operators, food and beverage processing",655,31974,32320,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",90,31735,26965,
        9463 Fish and seafood plant workers,1240,12887,17788,
"        9465 Testers and graders, food and beverage processing",245,18320,25940,
      947 Printing equipment operators and related occupations,360,28731,32823,
        9471 Plateless printing equipment operators,125,29064,41681,
"        9472 Camera, platemaking and other prepress occupations",95,35031,34954,
        9473 Binding and finishing machine operators,50,28796,26049,
        9474 Photographic and film processors,80,15855,20692,
    95 Assemblers in manufacturing,2615,31039,34854,
"      952 Mechanical, electrical and electronics assemblers",915,34447,37468,
        9521 Aircraft assemblers and aircraft assembly inspectors,165,38511,40287,
"        9522 Motor vehicle assemblers, inspectors and testers",80,32641,38224,
"        9523 Electronics assemblers, fabricators, inspectors and testers",350,35640,37347,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",115,23646,35526,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",20,0,0,
        9526 Mechanical assemblers and inspectors,115,33234,39426,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",70,27105,27399,
      953 Other assembly and related occupations,1695,30267,33445,
        9531 Boat assemblers and inspectors,315,30833,42297,
        9532 Furniture and fixture assemblers and inspectors,35,19408,21346,
        9533 Other wood products assemblers and inspectors,220,22191,25084,
        9534 Furniture finishers and refinishers,75,31520,29827,
"        9535 Plastic products assemblers, finishers and inspectors",335,36312,36708,
"        9536 Industrial painters, coaters and metal finishing process operators",290,36550,41318,
"        9537 Other products assemblers, finishers and inspectors",430,26011,25011,
"    96 Labourers in processing, manufacturing and utilities",6170,19545,24438,
"      961 Labourers in processing, manufacturing and utilities",6175,19545,24438,
        9611 Labourers in mineral and metal processing,135,26542,28134,
        9612 Labourers in metal fabrication,215,28161,31309,
        9613 Labourers in chemical products processing and utilities,200,34691,42934,
"        9614 Labourers in wood, pulp and paper processing",395,30426,31133,
        9615 Labourers in rubber and plastic products manufacturing,395,44082,40933,
        9616 Labourers in textile processing,110,23077,24203,
        9617 Labourers in food and beverage processing,1245,20505,23713,
        9618 Labourers in fish and seafood processing,2170,13699,17336,
"        9619 Other labourers in processing, manufacturing and utilities",1300,22506,25527,
Note,,,,
"[1] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[1] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[1] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[2] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[3] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[4] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
