"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Victoria [1],,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        1251 Court reporters, medical transcriptionists and related occupations",105,33902,38077,
        1252 Health information management occupations,50,45844,50041,
        1253 Records management technicians,90,52587,53832,
        1254 Statistical officers and related research support occupations,60,48109,51152,
"    13 Finance, insurance and related business administrative occupations",2250,37807,40389,
"      131 Finance, insurance and related business administrative occupations",2250,37807,40389,
        1311 Accounting technicians and bookkeepers,1750,31289,34276,
        1312 Insurance adjusters and claims examiners,275,63639,61892,
        1313 Insurance underwriters,70,52469,54799,
"        1314 Assessors, valuators and appraisers",125,54582,64787,
"        1315 Customs, ship and other brokers",25,0,66656,
    14 Office support occupations,9490,35981,35008,
      141 General office workers,5645,32858,33026,
        1411 General office support workers,3285,38054,36627,
        1414 Receptionists,2155,25897,26368,
        1415 Personnel clerks,165,48563,48188,
        1416 Court clerks,45,42326,34004,
      142 Office equipment operators,415,37143,33042,
        1422 Data entry clerks,400,37067,32305,
        1423 Desktop publishing operators and related occupations,20,0,0,
"      143 Financial, insurance and related administrative support workers",2410,43630,41584,
        1431 Accounting and related clerks,1555,40749,38638,
        1432 Payroll administrators,470,52376,49907,
"        1434 Banking, insurance and other financial clerks",160,42487,40039,
        1435 Collectors,225,50411,45669,
"      145 Library, correspondence and other clerks",1020,32613,31220,
        1451 Library assistants and clerks,335,25919,27282,
"        1452 Correspondence, publication and regulatory clerks",380,48248,48191,
        1454 Survey interviewers and statistical clerks,300,4012,14454,
"    15 Distribution, tracking and scheduling co-ordination occupations",2765,41082,40446,
      151 Mail and message distribution occupations,1050,45760,40565,
"        1511 Mail, postal and related workers",265,45843,45182,
        1512 Letter carriers,425,58333,50197,
"        1513 Couriers, messengers and door-to-door distributors",350,18660,25433,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1715,38554,40373,
        1521 Shippers and receivers,635,31656,34328,
        1522 Storekeepers and partspersons,315,42466,42161,
        1523 Production logistics co-ordinators,160,44594,47933,
        1524 Purchasing and inventory control workers,215,35846,35115,
        1525 Dispatchers,340,42236,46941,
        1526 Transportation route and crew schedulers,55,60132,58397,
  2 Natural and applied sciences and related occupations,15565,65508,68073,
    21 Professional occupations in natural and applied sciences,8835,71117,73887,
      211 Physical science professionals,645,75210,80793,
        2111 Physicists and astronomers,75,118124,100699,
        2112 Chemists,135,47332,58852,
        2113 Geoscientists and oceanographers,355,75088,85902,
        2114 Meteorologists and climatologists,55,78956,81821,
        2115 Other professional occupations in physical sciences,20,0,0,
      212 Life science professionals,675,69016,62483,
        2121 Biologists and related scientists,520,64776,62880,
        2122 Forestry professionals,120,83965,69674,
