"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatoon,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1252 Health information management occupations,80,53723,51811,
        1253 Records management technicians,30,63471,60215,
        1254 Statistical officers and related research support occupations,40,36521,38865,
"    13 Finance, insurance and related business administrative occupations",1560,44283,45673,
"      131 Finance, insurance and related business administrative occupations",1565,44283,45673,
        1311 Accounting technicians and bookkeepers,1175,34418,38657,
        1312 Insurance adjusters and claims examiners,215,57823,60257,
        1313 Insurance underwriters,65,55590,56778,
"        1314 Assessors, valuators and appraisers",95,79634,87851,
"        1315 Customs, ship and other brokers",10,0,0,
    14 Office support occupations,6900,35608,35891,
      141 General office workers,4130,32011,32221,
        1411 General office support workers,2225,35232,34554,
        1414 Receptionists,1765,27828,28135,
        1415 Personnel clerks,110,48307,49282,
        1416 Court clerks,30,46552,37929,
      142 Office equipment operators,320,40092,35032,
        1422 Data entry clerks,305,39783,33651,
        1423 Desktop publishing operators and related occupations,20,0,0,
"      143 Financial, insurance and related administrative support workers",1645,45385,47637,
        1431 Accounting and related clerks,1165,43277,45398,
        1432 Payroll administrators,245,53867,50663,
"        1434 Banking, insurance and other financial clerks",150,41629,53753,
        1435 Collectors,80,53689,59039,
"      145 Library, correspondence and other clerks",805,25798,31066,
        1451 Library assistants and clerks,290,26266,31541,
"        1452 Correspondence, publication and regulatory clerks",280,39786,43532,
        1454 Survey interviewers and statistical clerks,235,3687,15715,
"    15 Distribution, tracking and scheduling co-ordination occupations",3415,42784,44130,
      151 Mail and message distribution occupations,925,39265,37282,
"        1511 Mail, postal and related workers",225,42135,38575,
        1512 Letter carriers,315,52103,43960,
"        1513 Couriers, messengers and door-to-door distributors",385,29708,31022,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",2490,43341,46679,
        1521 Shippers and receivers,1105,38856,38698,
        1522 Storekeepers and partspersons,475,45960,48326,
        1523 Production logistics co-ordinators,230,58431,68536,
        1524 Purchasing and inventory control workers,270,43543,45729,
        1525 Dispatchers,360,54438,55371,
        1526 Transportation route and crew schedulers,50,48254,47225,
  2 Natural and applied sciences and related occupations,11065,70062,74761,
    21 Professional occupations in natural and applied sciences,5740,78269,83692,
      211 Physical science professionals,475,92431,98693,
        2111 Physicists and astronomers,45,101756,91241,
        2112 Chemists,140,64620,76254,
        2113 Geoscientists and oceanographers,270,105227,110220,
        2114 Meteorologists and climatologists,10,0,0,
        2115 Other professional occupations in physical sciences,20,0,0,
      212 Life science professionals,790,69666,68236,
        2121 Biologists and related scientists,520,71906,72735,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",265,55889,59452,
"      213 Civil, mechanical, electrical and chemical engineers",1840,91746,100036,
        2131 Civil engineers,700,86627,97176,
        2132 Mechanical engineers,535,91806,102135,
        2133 Electrical and electronics engineers,495,95381,101496,
        2134 Chemical engineers,110,88809,101343,
      214 Other engineers,460,93663,103811,
        2141 Industrial and manufacturing engineers,65,71488,74361,
        2142 Metallurgical and materials engineers,30,0,128679,
        2143 Mining engineers,165,118409,127818,
        2144 Geological engineers,60,82005,85200,
        2145 Petroleum engineers,25,0,0,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),60,93817,101057,
"        2148 Other professional engineers, n.e.c.",45,80102,73208,
"      215 Architects, urban planners and land surveyors",245,74640,78063,
        2151 Architects,75,54444,60643,
        2152 Landscape architects,10,0,0,
        2153 Urban and land use planners,120,77859,77359,
        2154 Land surveyors,50,107410,104647,
"      216 Mathematicians, statisticians and actuaries",50,86195,95881,
"        2161 Mathematicians, statisticians and actuaries",45,86195,95881,
      217 Computer and information systems professionals,1885,66038,65951,
        2171 Information systems analysts and consultants,795,74384,73993,
        2172 Database analysts and data administrators,90,64117,64938,
        2173 Software engineers and designers,195,65563,65898,
        2174 Computer programmers and interactive media developers,675,64280,61031,
        2175 Web designers and developers,125,41303,42297,
    22 Technical occupations related to natural and applied sciences,5330,62205,65143,
      221 Technical occupations in physical sciences,705,54707,60521,
        2211 Chemical technologists and technicians,480,50403,52379,
        2212 Geological and mineral technologists and technicians,225,74122,77773,
      222 Technical occupations in life sciences,525,50379,48710,
        2221 Biological technologists and technicians,290,54234,52322,
        2222 Agricultural and fish products inspectors,55,57158,53558,
        2223 Forestry technologists and technicians,35,0,0,
        2224 Conservation and fishery officers,25,0,0,
        2225 Landscape and horticulture technicians and specialists,120,38287,40334,
"      223 Technical occupations in civil, mechanical and industrial engineering",790,69494,67553,
        2231 Civil engineering technologists and technicians,270,54118,57248,
        2232 Mechanical engineering technologists and technicians,195,76417,79698,
        2233 Industrial engineering and manufacturing technologists and technicians,110,57314,59775,
        2234 Construction estimators,215,77197,73580,
      224 Technical occupations in electronics and electrical engineering,1080,58209,65694,
        2241 Electrical and electronics engineering technologists and technicians,425,64603,71672,
        2242 Electronic service technicians (household and business equipment),530,53633,52102,
        2243 Industrial instrument technicians and mechanics,100,118725,112960,
