"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatoon,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6551 Customer services representatives - financial institutions,480,28898,28116,
        6552 Other customer and information services representatives,1505,37967,38260,
      656 Other occupations in personal service,765,19772,21252,
"        6561 Image, social and other personal consultants",15,0,0,
"        6562 Estheticians, electrologists and related occupations",545,20235,21037,
        6563 Pet groomers and animal care workers,185,22932,23484,
        6564 Other personal service occupations,20,0,0,
    66 Sales support occupations,4745,13090,17489,
      661 Cashiers,2840,11801,15332,
        6611 Cashiers,2835,11801,15332,
      662 Other sales support and related occupations,1910,16026,20690,
        6621 Service station attendants,310,11851,13744,
"        6622 Store shelf stockers, clerks and order fillers",1360,18764,23187,
        6623 Other sales related occupations,240,7600,15579,
"    67 Service support and other service occupations, n.e.c.",9985,18292,22832,
"      671 Food counter attendants, kitchen helpers and related support occupations",3920,11956,15553,
"        6711 Food counter attendants, kitchen helpers and related support occupations",3925,11956,15553,
"      672 Support occupations in accommodation, travel and amusement services",390,10836,18121,
"        6721 Support occupations in accommodation, travel and facilities set-up services",55,19819,21646,
"        6722 Operators and attendants in amusement, recreation and sport",340,10303,17550,
      673 Cleaners,5100,26836,29240,
        6731 Light duty cleaners,2135,19673,22079,
        6732 Specialized cleaners,670,28673,30299,
"        6733 Janitors, caretakers and building superintendents",2295,36016,35572,
"      674 Other service support and related occupations, n.e.c.",575,16257,18921,
"        6741 Dry cleaning, laundry and related occupations",215,23818,25290,
"        6742 Other service support occupations, n.e.c.",355,10252,15046,
"  7 Trades, transport and equipment operators and related occupations",27895,50031,55113,
"    72 Industrial, electrical and construction trades",11075,54530,60251,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",1175,71558,75017,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",210,75645,85458,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",175,99738,100314,
"        7203 Contractors and supervisors, pipefitting trades",70,92098,90130,
"        7204 Contractors and supervisors, carpentry trades",215,68251,64887,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",505,57963,64196,
"      723 Machining, metal forming, shaping and erecting trades",2325,59137,64592,
        7231 Machinists and machining and tooling inspectors,340,61615,66812,
        7232 Tool and die makers,10,0,0,
        7233 Sheet metal workers,360,48581,51537,
        7234 Boilermakers,20,0,0,
        7235 Structural metal and platework fabricators and fitters,70,69425,67162,
        7236 Ironworkers,215,76749,78449,
        7237 Welders and related machine operators,1310,58420,64686,
      724 Electrical trades and electrical power line and telecommunications workers,2250,66082,72259,
        7241 Electricians (except industrial and power system),1235,46977,56822,
        7242 Industrial electricians,455,115829,108905,
        7243 Power system electricians,40,93173,91374,
        7244 Electrical power line and cable workers,200,93047,89102,
        7245 Telecommunications line and cable workers,120,64432,61996,
        7246 Telecommunications installation and repair workers,185,66005,68424,
        7247 Cable television service and maintenance technicians,10,0,0,
"      725 Plumbers, pipefitters and gas fitters",1400,58506,63446,
        7251 Plumbers,1060,53513,57570,
"        7252 Steamfitters, pipefitters and sprinkler system installers",295,79209,82312,
        7253 Gas fitters,40,74800,80294,
      727 Carpenters and cabinetmakers,1900,48416,51413,
        7271 Carpenters,1745,49168,52273,
        7272 Cabinetmakers,150,42724,41526,
      728 Masonry and plastering trades,765,38990,42229,
        7281 Bricklayers,115,54687,53961,
        7282 Concrete finishers,155,46828,54458,
        7283 Tilesetters,85,15230,28209,
"        7284 Plasterers, drywall installers and finishers and lathers",410,32224,36943,
      729 Other construction trades,1260,35647,37741,
        7291 Roofers and shinglers,245,36364,36517,
        7292 Glaziers,85,41840,41941,
        7293 Insulators,125,52669,53705,
        7294 Painters and decorators (except interior decorators),575,27800,33251,
        7295 Floor covering installers,225,36318,40258,
    73 Maintenance and equipment operation trades,5025,68501,73340,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",775,80063,85594,
"        7301 Contractors and supervisors, mechanic trades",185,92864,94629,
"        7302 Contractors and supervisors, heavy equipment operator crews",405,85821,87815,
"        7303 Supervisors, printing and related occupations",25,0,0,
"        7304 Supervisors, railway transport operations",40,79333,89545,
"        7305 Supervisors, motor transport and other ground transit operators",115,67132,74606,
      731 Machinery and transportation equipment mechanics (except motor vehicles),1615,82529,84737,
        7311 Construction millwrights and industrial mechanics,685,89899,92390,
        7312 Heavy-duty equipment mechanics,480,79640,86399,
"        7313 Heating, refrigeration and air conditioning mechanics",290,73100,68903,
        7314 Railway carmen/women,40,80833,79282,
        7315 Aircraft mechanics and aircraft inspectors,80,75748,68602,
        7316 Machine fitters,0,0,0,
        7318 Elevator constructors and mechanics,40,97585,87056,
      732 Automotive service technicians,1725,55802,57546,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",1410,56082,57075,
        7322 Motor vehicle body repairers,310,55691,59664,
      733 Other mechanics and related repairers,185,43831,49891,
        7331 Oil and solid fuel heating mechanics,15,0,0,
        7332 Appliance servicers and repairers,70,34992,45151,
        7333 Electrical mechanics,30,0,61232,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",40,54201,65587,
        7335 Other small engine and small equipment repairers,30,0,0,
      736 Train crew operating occupations,370,108599,95641,
        7361 Railway and yard locomotive engineers,160,116398,101208,
        7362 Railway conductors and brakemen/women,210,95748,91459,
"      737 Crane operators, drillers and blasters",150,73293,79260,
        7371 Crane operators,125,78133,85946,
"        7372 Drillers and blasters - surface mining, quarrying and construction",15,0,0,
        7373 Water well drillers,10,0,0,
"      738 Printing press operators and other trades and related occupations, n.e.c.",205,44342,45780,
        7381 Printing press operators,120,37796,40997,
"        7384 Other trades and related occupations, n.e.c.",85,48730,52625,
"    74 Other installers, repairers and servicers and material handlers",2290,36496,39477,
"      744 Other installers, repairers and servicers",835,36501,40071,
        7441 Residential and commercial installers and servicers,545,32813,37248,
        7442 Waterworks and gas maintenance workers,60,53616,57172,
        7444 Pest controllers and fumigators,50,39948,35393,
        7445 Other repairers and servicers,175,44348,44255,
      745 Longshore workers and material handlers,1455,36492,39136,
        7451 Longshore workers,0,0,0,
        7452 Material handlers,1450,36474,39131,
    75 Transport and heavy equipment operation and related maintenance occupations,6720,41246,44700,
      751 Motor vehicle and transit drivers,4990,37377,40748,
        7511 Transport truck drivers,2635,51191,50779,
"        7512 Bus drivers, subway operators and other transit operators",935,23741,33058,
        7513 Taxi and limousine drivers and chauffeurs,530,15180,18408,
        7514 Delivery and courier service drivers,895,29066,32378,
      752 Heavy equipment operators,1220,57657,61550,
        7521 Heavy equipment operators (except crane),1060,58904,62664,
        7522 Public works maintenance equipment operators and related workers,160,56939,54202,
      753 Other transport equipment operators and related maintenance workers,510,35517,43028,
        7531 Railway yard and track maintenance workers,100,74437,68471,
        7532 Water transport deck and engine room crew,10,0,0,
        7533 Boat and cable ferry operators and related occupations,0,0,0,
        7534 Air transport ramp attendants,90,32169,31380,
        7535 Other automotive mechanical installers and servicers,320,33324,38275,
"    76 Trades helpers, construction labourers and related occupations",2790,31434,39825,
      761 Trades helpers and labourers,2445,31030,40263,
        7611 Construction trades helpers and labourers,2315,30967,39444,
        7612 Other trades helpers and labourers,125,31560,55232,
"      762 Public works and other labourers, n.e.c.",350,32517,36771,
        7621 Public works and maintenance labourers,310,32472,36607,
        7622 Railway and motor transport labourers,45,32559,38009,
"  8 Natural resources, agriculture and related production occupations",4205,32737,56130,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",1520,100948,103530,
"      821 Supervisors, logging and forestry",20,0,0,
"        8211 Supervisors, logging and forestry",20,0,0,
"      822 Contractors and supervisors, mining, oil and gas",345,153582,152415,
"        8221 Supervisors, mining and quarrying",265,170099,154217,
"        8222 Contractors and supervisors, oil and gas drilling and services",80,124471,146210,
"      823 Underground miners, oil and gas drillers and related occupations",820,113149,110070,
        8231 Underground production and development miners,710,116570,112695,
"        8232 Oil and gas well drillers, servicers, testers and related workers",115,79131,93701,
      824 Logging machinery operators,10,0,0,
        8241 Logging machinery operators,10,0,0,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",330,37248,42675,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",105,33095,44621,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",225,39401,41761,
      826 Fishing vessel masters and fishermen/women,0,0,0,
        8261 Fishing masters and officers,0,0,0,
        8262 Fishermen/women,0,0,0,
"    84 Workers in natural resources, agriculture and related production",1360,16728,31539,
      841 Mine service workers and operators in oil and gas drilling,180,98511,96852,
        8411 Underground mine service and support workers,120,115486,108975,
        8412 Oil and gas well drilling and related workers and services operators,65,70669,73240,
      842 Logging and forestry workers,20,0,0,
        8421 Chain saw and skidder operators,0,0,0,
        8422 Silviculture and forestry workers,20,0,0,
      843 Agriculture and horticulture workers,1150,13050,21320,
        8431 General farm workers,925,15022,23609,
        8432 Nursery and greenhouse workers,225,7833,11746,
      844 Other workers in fishing and trapping and hunting occupations,10,0,0,
        8441 Fishing vessel deckhands,0,0,0,
        8442 Trappers and hunters,0,0,0,
"    86 Harvesting, landscaping and natural resources labourers",1320,14968,26725,
"      861 Harvesting, landscaping and natural resources labourers",1320,14968,26725,
        8611 Harvesting labourers,55,9925,22227,
        8612 Landscaping and grounds maintenance labourers,1045,13901,20677,
        8613 Aquaculture and marine harvest labourers,0,0,0,
        8614 Mine labourers,130,73787,73526,
"        8615 Oil and gas drilling, servicing and related labourers",75,29875,36923,
        8616 Logging and forestry labourers,20,0,0,
  9 Occupations in manufacturing and utilities,4650,40687,52431,
"    92 Processing, manufacturing and utilities supervisors and central control operators",1120,78807,95870,
"      921 Supervisors, processing and manufacturing occupations",405,69889,84716,
"        9211 Supervisors, mineral and metal processing",60,138558,121504,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",130,96876,110739,
"        9213 Supervisors, food and beverage processing",170,49580,59203,
"        9214 Supervisors, plastic and rubber products manufacturing",15,0,0,
"        9215 Supervisors, forest products processing",20,0,0,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",0,0,0,
"      922 Supervisors, assembly and fabrication",105,65486,68583,
"        9221 Supervisors, motor vehicle assembling",15,0,0,
"        9222 Supervisors, electronics manufacturing",25,0,72285,
"        9223 Supervisors, electrical products manufacturing",0,0,0,
"        9224 Supervisors, furniture and fixtures manufacturing",25,0,0,
"        9226 Supervisors, other mechanical and metal products manufacturing",25,0,57503,
"        9227 Supervisors, other products manufacturing and assembly",10,0,0,
      923 Central control and process operators in processing and manufacturing,165,117803,109644,
"        9231 Central control and process operators, mineral and metal processing",30,126089,126200,
"        9232 Central control and process operators, petroleum, gas and chemical processing",125,106773,105172,
"        9235 Pulping, papermaking and coating control operators",0,0,0,
      924 Utilities equipment operators and controllers,440,84836,107687,
        9241 Power engineers and power systems operators,290,125200,128385,
        9243 Water and waste treatment plant operators,160,71421,69663,
    94 Processing and manufacturing machine operators and related production workers,1315,38969,45037,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,250,51425,56706,
"        9411 Machine operators, mineral and metal processing",40,120379,102257,
        9412 Foundry workers,0,0,0,
        9413 Glass forming and finishing machine operators and glass cutters,10,0,0,
"        9414 Concrete, clay and stone forming operators",65,48229,45416,
"        9415 Inspectors and testers, mineral and metal processing",15,0,0,
        9416 Metalworking and forging machine operators,75,51735,49578,
        9417 Machining tool operators,30,0,42197,
        9418 Other metal products machine operators,15,0,0,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",205,38948,51129,
        9421 Chemical plant machine operators,55,42392,48385,
        9422 Plastics processing machine operators,65,32819,33042,
        9423 Rubber processing machine operators and related workers,90,44467,64944,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,100,37101,36628,
        9431 Sawmill machine operators,15,0,0,
        9432 Pulp mill machine operators,0,0,0,
        9433 Papermaking and finishing machine operators,0,0,0,
        9434 Other wood processing machine operators,40,35408,34071,
        9435 Paper converting machine operators,0,0,0,
        9436 Lumber graders and other wood processing inspectors and graders,0,0,0,
        9437 Woodworking machine operators,35,38830,39657,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",165,30505,34930,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",15,0,0,
"        9442 Weavers, knitters and other fabric making occupations",40,32022,29966,
"        9445 Fabric, fur and leather cutters",10,0,0,
        9446 Industrial sewing machine operators,95,30489,38622,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",0,0,0,
"      946 Machine operators and related workers in food, beverage and associated products processing",465,41727,43777,
"        9461 Process control and machine operators, food and beverage processing",370,42244,44747,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",65,40455,37187,
        9463 Fish and seafood plant workers,0,0,0,
"        9465 Testers and graders, food and beverage processing",25,0,47083,
      947 Printing equipment operators and related occupations,125,27578,36799,
        9471 Plateless printing equipment operators,55,27575,40551,
"        9472 Camera, platemaking and other prepress occupations",20,0,0,
        9473 Binding and finishing machine operators,30,0,0,
        9474 Photographic and film processors,25,0,0,
    95 Assemblers in manufacturing,775,38293,40849,
"      952 Mechanical, electrical and electronics assemblers",340,37435,41416,
        9521 Aircraft assemblers and aircraft assembly inspectors,0,0,0,
"        9522 Motor vehicle assemblers, inspectors and testers",55,42473,47578,
"        9523 Electronics assemblers, fabricators, inspectors and testers",110,33101,33464,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",30,0,44089,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0,0,0,
        9526 Mechanical assemblers and inspectors,140,38831,45440,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",10,0,0,
      953 Other assembly and related occupations,435,39960,40401,
        9531 Boat assemblers and inspectors,0,0,0,
        9532 Furniture and fixture assemblers and inspectors,50,23405,23984,
        9533 Other wood products assemblers and inspectors,80,38880,40435,
        9534 Furniture finishers and refinishers,50,32706,29288,
"        9535 Plastic products assemblers, finishers and inspectors",50,40609,55327,
"        9536 Industrial painters, coaters and metal finishing process operators",135,46918,49402,
"        9537 Other products assemblers, finishers and inspectors",65,40229,35395,
"    96 Labourers in processing, manufacturing and utilities",1440,28408,31615,
"      961 Labourers in processing, manufacturing and utilities",1445,28408,31615,
        9611 Labourers in mineral and metal processing,30,0,27854,
        9612 Labourers in metal fabrication,70,49037,46596,
        9613 Labourers in chemical products processing and utilities,60,17901,51975,
"        9614 Labourers in wood, pulp and paper processing",30,0,0,
        9615 Labourers in rubber and plastic products manufacturing,10,0,0,
        9616 Labourers in textile processing,10,0,0,
        9617 Labourers in food and beverage processing,850,28453,31160,
        9618 Labourers in fish and seafood processing,10,0,0,
"        9619 Other labourers in processing, manufacturing and utilities",380,27524,27816,
Note,,,,
"[1] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[1] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[1] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[2] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[3] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[4] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
