"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Yukon [1],,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"    13 Finance, insurance and related business administrative occupations",305,51577,51962,
"      131 Finance, insurance and related business administrative occupations",305,51577,51962,
        1311 Accounting technicians and bookkeepers,265,47557,50752,
        1312 Insurance adjusters and claims examiners,20,0,0,
        1313 Insurance underwriters,0,0,0,
"        1314 Assessors, valuators and appraisers",15,0,0,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,1045,37913,41656,
      141 General office workers,610,34088,39594,
        1411 General office support workers,335,36856,42790,
        1414 Receptionists,245,28892,31929,
        1415 Personnel clerks,25,65976,68794,
        1416 Court clerks,10,0,0,
      142 Office equipment operators,15,0,0,
        1422 Data entry clerks,20,0,0,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",265,61545,53852,
        1431 Accounting and related clerks,190,59804,51676,
        1432 Payroll administrators,50,62512,56340,
"        1434 Banking, insurance and other financial clerks",15,0,0,
        1435 Collectors,0,0,0,
"      145 Library, correspondence and other clerks",155,27416,30477,
        1451 Library assistants and clerks,35,40546,30280,
"        1452 Correspondence, publication and regulatory clerks",50,19285,35356,
        1454 Survey interviewers and statistical clerks,70,27454,26850,
"    15 Distribution, tracking and scheduling co-ordination occupations",305,41413,42138,
      151 Mail and message distribution occupations,105,35809,35496,
"        1511 Mail, postal and related workers",60,43158,43010,
        1512 Letter carriers,30,11245,25960,
"        1513 Couriers, messengers and door-to-door distributors",20,0,0,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",195,41661,45869,
        1521 Shippers and receivers,45,34747,34570,
        1522 Storekeepers and partspersons,75,44183,53420,
        1523 Production logistics co-ordinators,15,0,0,
        1524 Purchasing and inventory control workers,15,0,0,
        1525 Dispatchers,35,43071,38576,
        1526 Transportation route and crew schedulers,0,0,0,
  2 Natural and applied sciences and related occupations,1440,70940,70305,
    21 Professional occupations in natural and applied sciences,610,77876,79454,
      211 Physical science professionals,45,46702,109789,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,10,0,0,
        2113 Geoscientists and oceanographers,40,46629,111096,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,140,66807,65523,
        2121 Biologists and related scientists,135,66780,65338,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",0,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",115,90562,81987,
        2131 Civil engineers,85,95513,92318,
        2132 Mechanical engineers,15,0,0,
        2133 Electrical and electronics engineers,15,0,0,
        2134 Chemical engineers,0,0,0,
      214 Other engineers,40,96436,84160,
        2141 Industrial and manufacturing engineers,0,0,0,
        2142 Metallurgical and materials engineers,0,0,0,
        2143 Mining engineers,0,0,0,
        2144 Geological engineers,20,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),10,0,0,
"        2148 Other professional engineers, n.e.c.",0,0,0,
"      215 Architects, urban planners and land surveyors",95,81334,96773,
        2151 Architects,15,0,0,
        2152 Landscape architects,10,0,0,
