"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = New Brunswick / Nouveau-Brunswick,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1251 Court reporters, medical transcriptionists and related occupations",330,42217,36314,
        1252 Health information management occupations,105,57776,50877,
        1253 Records management technicians,95,47435,44224,
        1254 Statistical officers and related research support occupations,85,43440,45738,
"    13 Finance, insurance and related business administrative occupations",3570,36090,37814,
"      131 Finance, insurance and related business administrative occupations",3570,36090,37814,
        1311 Accounting technicians and bookkeepers,2200,28058,30114,
        1312 Insurance adjusters and claims examiners,700,46765,51002,
        1313 Insurance underwriters,310,48873,47891,
"        1314 Assessors, valuators and appraisers",220,57420,54862,
"        1315 Customs, ship and other brokers",135,39176,43772,
    14 Office support occupations,15595,31937,31245,
      141 General office workers,8515,29852,29754,
        1411 General office support workers,5255,33758,32639,
        1414 Receptionists,3075,23263,23819,
        1415 Personnel clerks,165,47424,48590,
        1416 Court clerks,20,0,0,
      142 Office equipment operators,725,31260,29652,
        1422 Data entry clerks,710,30996,29622,
        1423 Desktop publishing operators and related occupations,20,0,0,
"      143 Financial, insurance and related administrative support workers",4805,37983,37042,
        1431 Accounting and related clerks,3065,36565,35457,
        1432 Payroll administrators,905,41602,40390,
"        1434 Banking, insurance and other financial clerks",610,39412,38897,
        1435 Collectors,215,39473,40251,
"      145 Library, correspondence and other clerks",1550,16649,22202,
        1451 Library assistants and clerks,355,23519,23102,
"        1452 Correspondence, publication and regulatory clerks",475,38416,37617,
        1454 Survey interviewers and statistical clerks,720,5169,11685,
"    15 Distribution, tracking and scheduling co-ordination occupations",6825,36374,36111,
      151 Mail and message distribution occupations,2110,33425,33108,
