"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatchewan,,,,
Global non-response rate (GNR) =   6.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1251 Court reporters, medical transcriptionists and related occupations",380,37229,33321,
        1252 Health information management occupations,235,55705,51964,
        1253 Records management technicians,105,51655,54023,
        1254 Statistical officers and related research support occupations,85,50691,51016,
"    13 Finance, insurance and related business administrative occupations",6795,39442,42519,
"      131 Finance, insurance and related business administrative occupations",6795,39442,42519,
        1311 Accounting technicians and bookkeepers,4930,29992,35483,
        1312 Insurance adjusters and claims examiners,1075,57660,57413,
        1313 Insurance underwriters,410,57145,59911,
"        1314 Assessors, valuators and appraisers",360,71879,72169,
"        1315 Customs, ship and other brokers",15,0,0,
    14 Office support occupations,23905,35967,36326,
      141 General office workers,13795,33021,33476,
        1411 General office support workers,8250,36235,36111,
        1414 Receptionists,5120,28653,28327,
        1415 Personnel clerks,340,43425,45522,
        1416 Court clerks,80,47399,40222,
      142 Office equipment operators,1265,39271,36837,
        1422 Data entry clerks,1185,38859,35553,
        1423 Desktop publishing operators and related occupations,80,50142,55567,
"      143 Financial, insurance and related administrative support workers",6240,44608,45728,
        1431 Accounting and related clerks,4070,42136,43499,
        1432 Payroll administrators,1175,54226,52715,
"        1434 Banking, insurance and other financial clerks",715,43814,44938,
        1435 Collectors,280,51201,50879,
"      145 Library, correspondence and other clerks",2610,23766,28657,
        1451 Library assistants and clerks,715,24343,26342,
"        1452 Correspondence, publication and regulatory clerks",820,43913,43764,
        1454 Survey interviewers and statistical clerks,1075,9412,18681,
"    15 Distribution, tracking and scheduling co-ordination occupations",10645,42679,44414,
      151 Mail and message distribution occupations,2820,37694,36964,
"        1511 Mail, postal and related workers",920,33613,34553,
        1512 Letter carriers,935,54278,45501,
"        1513 Couriers, messengers and door-to-door distributors",960,24289,30972,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",7825,43580,47101,
        1521 Shippers and receivers,2865,38762,40621,
        1522 Storekeepers and partspersons,2105,46752,47126,
        1523 Production logistics co-ordinators,645,53296,63420,
        1524 Purchasing and inventory control workers,780,41826,43853,
        1525 Dispatchers,1245,54183,55164,
        1526 Transportation route and crew schedulers,175,47035,49520,
  2 Natural and applied sciences and related occupations,28645,70887,74862,
    21 Professional occupations in natural and applied sciences,13610,78937,82564,
      211 Physical science professionals,715,87610,97885,
        2111 Physicists and astronomers,50,101721,89987,
        2112 Chemists,195,71001,78174,
        2113 Geoscientists and oceanographers,425,97686,108390,
        2114 Meteorologists and climatologists,20,0,0,
        2115 Other professional occupations in physical sciences,30,0,91224,
      212 Life science professionals,1865,69314,68237,
        2121 Biologists and related scientists,770,74891,73531,
        2122 Forestry professionals,60,91488,100530,
"        2123 Agricultural representatives, consultants and specialists",1030,60158,62405,
"      213 Civil, mechanical, electrical and chemical engineers",3660,91359,99789,
        2131 Civil engineers,1555,89856,96496,
        2132 Mechanical engineers,960,84990,102130,
        2133 Electrical and electronics engineers,910,95381,99375,
        2134 Chemical engineers,235,97059,113652,
      214 Other engineers,1175,92297,98324,
        2141 Industrial and manufacturing engineers,295,83640,78863,
        2142 Metallurgical and materials engineers,35,149213,126856,
        2143 Mining engineers,245,118686,128059,
        2144 Geological engineers,75,82288,89531,
        2145 Petroleum engineers,210,100486,105883,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),205,92029,95945,
"        2148 Other professional engineers, n.e.c.",100,80158,69713,
"      215 Architects, urban planners and land surveyors",720,71515,75675,
        2151 Architects,180,65827,64404,
        2152 Landscape architects,15,0,0,
        2153 Urban and land use planners,290,74970,72969,
        2154 Land surveyors,235,86426,87453,
"      216 Mathematicians, statisticians and actuaries",155,77617,87088,
"        2161 Mathematicians, statisticians and actuaries",160,77617,87088,
      217 Computer and information systems professionals,5320,73535,71006,
        2171 Information systems analysts and consultants,2855,76559,74849,
        2172 Database analysts and data administrators,370,80052,79205,
        2173 Software engineers and designers,335,75063,69628,
        2174 Computer programmers and interactive media developers,1470,71613,66436,
        2175 Web designers and developers,285,41451,47252,
    22 Technical occupations related to natural and applied sciences,15035,64455,67888,
      221 Technical occupations in physical sciences,1395,62927,68338,
        2211 Chemical technologists and technicians,910,54657,60024,
        2212 Geological and mineral technologists and technicians,480,91396,84009,
      222 Technical occupations in life sciences,1380,53619,52658,
        2221 Biological technologists and technicians,475,52936,51133,
        2222 Agricultural and fish products inspectors,200,61025,58073,
        2223 Forestry technologists and technicians,170,63650,67682,
        2224 Conservation and fishery officers,225,72195,63864,
        2225 Landscape and horticulture technicians and specialists,305,36428,34998,
"      223 Technical occupations in civil, mechanical and industrial engineering",1865,66358,67674,
        2231 Civil engineering technologists and technicians,725,59806,59693,
        2232 Mechanical engineering technologists and technicians,410,72684,81084,
        2233 Industrial engineering and manufacturing technologists and technicians,240,56885,62670,
        2234 Construction estimators,490,70433,70694,
      224 Technical occupations in electronics and electrical engineering,3320,61398,69074,
        2241 Electrical and electronics engineering technologists and technicians,1105,70860,73396,
        2242 Electronic service technicians (household and business equipment),1550,53054,51983,
        2243 Industrial instrument technicians and mechanics,570,110468,107775,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",100,70161,64481,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",1635,62406,61791,
        2251 Architectural technologists and technicians,280,49627,55182,
        2252 Industrial designers,115,63475,62639,
        2253 Drafting technologists and technicians,835,62722,62725,
        2254 Land survey technologists and technicians,140,56337,55725,
        2255 Technical occupations in geomatics and meteorology,260,67453,68855,
      226 Other technical inspectors and regulatory officers,2565,77812,81367,
        2261 Non-destructive testers and inspection technicians,290,84133,87346,
        2262 Engineering inspectors and regulatory officers,170,81689,80359,
        2263 Inspectors in public and environmental health and occupational health and safety,1475,78433,80628,
        2264 Construction inspectors,635,70297,80609,
      227 Transportation officers and controllers,580,68356,78937,
"        2271 Air pilots, flight engineers and flying instructors",410,71472,82587,
        2272 Air traffic controllers and related occupations,90,91747,82606,
"        2273 Deck officers, water transport",60,36876,43335,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,25,0,0,
      228 Technical occupations in computer and information systems,2290,63509,61708,
        2281 Computer network technicians,1475,65288,61640,
        2282 User support technicians,720,60648,62489,
        2283 Information systems testing technicians,100,56342,57075,
  3 Health occupations,42465,51238,60838,
    30 Professional occupations in nursing,11545,79944,75698,
      301 Professional occupations in nursing,11545,79944,75698,
        3011 Nursing co-ordinators and supervisors,485,93528,85358,
        3012 Registered nurses and registered psychiatric nurses,11060,79170,75274,
    31 Professional occupations in health (except nursing),7165,76408,94495,
"      311 Physicians, dentists and veterinarians",2980,85352,127610,
        3111 Specialist physicians,1035,120248,147930,
        3112 General practitioners and family physicians,1235,81859,131780,
        3113 Dentists,325,100622,120187,
        3114 Veterinarians,385,68102,65940,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",545,79569,78638,
        3121 Optometrists,130,69791,74835,
        3122 Chiropractors,175,59933,74283,
        3124 Allied primary health practitioners,205,106814,90138,
        3125 Other professional occupations in health diagnosing and treating,35,0,0,
"      313 Pharmacists, dietitians and nutritionists",1785,82107,78767,
        3131 Pharmacists,1390,93462,86542,
        3132 Dietitians and nutritionists,395,47990,51420,
      314 Therapy and assessment professionals,1850,66662,61030,
        3141 Audiologists and speech-language pathologists,430,72504,65144,
        3142 Physiotherapists,730,71660,64074,
        3143 Occupational therapists,350,72541,63262,
        3144 Other professional occupations in therapy and assessment,340,47544,46842,
    32 Technical occupations in health,11040,50136,52336,
      321 Medical technologists and technicians (except dental health),4580,50126,53398,
        3211 Medical laboratory technologists,760,70544,64837,
        3212 Medical laboratory technicians and pathologists' assistants,785,45948,46061,
        3213 Animal health technologists and veterinary technicians,525,34456,32417,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",255,78663,76643,
        3215 Medical radiation technologists,790,76162,72392,
        3216 Medical sonographers,160,91975,84607,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",115,67780,68886,
        3219 Other medical technologists and technicians (except dental health),1185,36246,36770,
      322 Technical occupations in dental health care,890,58147,56478,
        3221 Denturists,40,31345,34879,
        3222 Dental hygienists and dental therapists,710,61812,59348,
"        3223 Dental technologists, technicians and laboratory assistants",130,43388,48101,
      323 Other technical occupations in health care,5570,48661,50801,
        3231 Opticians,305,43662,42437,
        3232 Practitioners of natural healing,205,11859,17186,
        3233 Licensed practical nurses,2510,65047,60698,
        3234 Paramedical occupations,1005,68693,68848,
        3236 Massage therapists,1220,25033,26773,
        3237 Other technical occupations in therapy and assessment,335,35645,38102,
    34 Assisting occupations in support of health services,12710,37116,35762,
      341 Assisting occupations in support of health services,12715,37116,35762,
        3411 Dental assistants,1045,41442,38989,
"        3413 Nurse aides, orderlies and patient service associates",10325,36503,35372,
        3414 Other assisting occupations in support of health services,1345,37742,36253,
"  4 Occupations in education, law and social, community and government services",66055,45329,52637,
    40 Professional occupations in education services,23180,66261,62701,
      401 University professors and post-secondary assistants,4175,43226,67179,
        4011 University professors and lecturers,2205,110899,106353,
        4012 Post-secondary teaching and research assistants,1970,12808,23300,
      402 College and other vocational instructors,2390,69619,65604,
        4021 College and other vocational instructors,2390,69619,65604,
      403 Secondary and elementary school teachers and educational counsellors,16615,67548,61159,
        4031 Secondary school teachers,5380,72524,63874,
        4032 Elementary school and kindergarten teachers,10520,65893,59792,
        4033 Educational counsellors,705,63072,60824,
"    41 Professional occupations in law and social, community and government services",13155,60826,66357,
"      411 Judges, lawyers and Quebec notaries",1790,109774,119162,
        4111 Judges,115,282859,239085,
        4112 Lawyers and Quebec notaries,1675,106605,110786,
      415 Social and community service professionals,5720,54647,53936,
        4151 Psychologists,430,75566,71371,
        4152 Social workers,2110,61057,57981,
"        4153 Family, marriage and other related counsellors",910,52209,51454,
        4154 Professional occupations in religion,1475,43833,42615,
        4155 Probation and parole officers and related occupations,405,72471,66714,
        4156 Employment counsellors,400,47715,48373,
"      416 Policy and program researchers, consultants and officers",5640,61694,62162,
"        4161 Natural and applied science policy researchers, consultants and program officers",605,60211,66849,
        4162 Economists and economic policy researchers and analysts,310,79691,77541,
        4163 Business development officers and marketing researchers and consultants,1145,61249,63461,
"        4164 Social policy researchers, consultants and program officers",940,63344,62560,
"        4165 Health policy researchers, consultants and program officers",830,70986,67340,
"        4166 Education policy researchers, consultants and program officers",795,70399,64414,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",355,47411,43361,
        4168 Program officers unique to government,540,49319,46536,
"        4169 Other professional occupations in social science, n.e.c.",120,51909,57750,
"    42 Paraprofessional occupations in legal, social, community and education services",11095,29416,31993,
"      421 Paraprofessional occupations in legal, social, community and education services",11090,29416,31993,
        4211 Paralegal and related occupations,325,41929,43407,
        4212 Social and community service workers,5155,36666,37776,
        4214 Early childhood educators and assistants,4345,22385,23279,
        4215 Instructors of persons with disabilities,285,32820,35031,
        4216 Other instructors,700,31097,36941,
        4217 Other religious occupations,290,27363,31961,
    43 Occupations in front-line public protection services,4200,99844,88851,
      431 Occupations in front-line public protection services,4195,99844,88851,
        4311 Police officers (except commissioned),2625,103137,97145,
        4312 Firefighters,1175,99437,82380,
        4313 Non-commissioned ranks of the Canadian Armed Forces,400,59756,53497,
"    44 Care providers and educational, legal and public protection support occupations",14425,24941,29295,
      441 Home care providers and educational support occupations,12150,21790,22832,
        4411 Home child care providers,3560,11648,14954,
"        4412 Home support workers, housekeepers and related occupations",2730,27469,28175,
        4413 Elementary and secondary school teacher assistants,5865,25429,25131,
      442 Legal and public protection support occupations,2280,68189,63776,
        4421 Sheriffs and bailiffs,155,56830,56179,
        4422 Correctional service officers,1905,69926,66034,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",220,53970,49489,
"  5 Occupations in art, culture, recreation and sport",11245,16601,29314,
    51 Professional occupations in art and culture,3655,17955,29274,
"      511 Librarians, archivists, conservators and curators",510,32065,42107,
        5111 Librarians,400,25064,40695,
        5112 Conservators and curators,55,59214,52616,
