"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Lethbridge,,,,
Global non-response rate (GNR) =   6.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1254 Statistical officers and related research support occupations,10,0,0,
"    13 Finance, insurance and related business administrative occupations",955,35543,44284,
"      131 Finance, insurance and related business administrative occupations",955,35543,44284,
        1311 Accounting technicians and bookkeepers,775,28439,39813,
        1312 Insurance adjusters and claims examiners,110,60108,59341,
        1313 Insurance underwriters,10,0,0,
"        1314 Assessors, valuators and appraisers",55,71792,75253,
"        1315 Customs, ship and other brokers",10,0,0,
    14 Office support occupations,2520,33177,33457,
      141 General office workers,1605,32572,32157,
        1411 General office support workers,920,34849,34458,
        1414 Receptionists,645,28573,27908,
        1415 Personnel clerks,0,0,0,
        1416 Court clerks,35,0,53537,
      142 Office equipment operators,85,42023,39637,
        1422 Data entry clerks,70,35008,37531,
        1423 Desktop publishing operators and related occupations,10,0,0,
"      143 Financial, insurance and related administrative support workers",630,41351,40337,
        1431 Accounting and related clerks,440,38343,37917,
        1432 Payroll administrators,115,51415,49384,
"        1434 Banking, insurance and other financial clerks",55,42481,42005,
        1435 Collectors,20,0,0,
"      145 Library, correspondence and other clerks",205,8027,19871,
        1451 Library assistants and clerks,110,11606,16896,
"        1452 Correspondence, publication and regulatory clerks",30,0,0,
        1454 Survey interviewers and statistical clerks,65,0,0,
"    15 Distribution, tracking and scheduling co-ordination occupations",1220,43404,44568,
      151 Mail and message distribution occupations,300,43890,40723,
"        1511 Mail, postal and related workers",70,42467,40621,
        1512 Letter carriers,140,45463,44108,
"        1513 Couriers, messengers and door-to-door distributors",90,39254,35893,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",920,43221,45822,
        1521 Shippers and receivers,295,40051,39072,
        1522 Storekeepers and partspersons,280,48876,46203,
        1523 Production logistics co-ordinators,95,55545,61796,
        1524 Purchasing and inventory control workers,95,31802,39703,
        1525 Dispatchers,150,49246,51436,
        1526 Transportation route and crew schedulers,0,0,0,
  2 Natural and applied sciences and related occupations,2950,61288,65845,
    21 Professional occupations in natural and applied sciences,1140,74158,72759,
      211 Physical science professionals,30,0,0,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,20,0,0,
        2113 Geoscientists and oceanographers,0,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,295,74435,82467,
        2121 Biologists and related scientists,160,75160,75409,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",125,60155,90572,
"      213 Civil, mechanical, electrical and chemical engineers",280,84204,83984,
        2131 Civil engineers,165,86169,89810,
        2132 Mechanical engineers,50,73051,64071,
        2133 Electrical and electronics engineers,55,86491,86147,
        2134 Chemical engineers,15,0,0,
      214 Other engineers,60,82066,79530,
        2141 Industrial and manufacturing engineers,20,0,0,
        2142 Metallurgical and materials engineers,0,0,0,
        2143 Mining engineers,0,0,0,
        2144 Geological engineers,0,0,0,
        2145 Petroleum engineers,10,0,0,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),10,0,0,
"        2148 Other professional engineers, n.e.c.",15,0,0,
"      215 Architects, urban planners and land surveyors",100,75322,67846,
        2151 Architects,15,0,0,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,45,85828,71887,
        2154 Land surveyors,40,55475,53017,
"      216 Mathematicians, statisticians and actuaries",0,0,0,
"        2161 Mathematicians, statisticians and actuaries",0,0,0,
      217 Computer and information systems professionals,365,65174,60679,
        2171 Information systems analysts and consultants,170,66520,63706,
        2172 Database analysts and data administrators,15,0,0,
        2173 Software engineers and designers,25,0,0,
        2174 Computer programmers and interactive media developers,120,61207,58908,
        2175 Web designers and developers,35,38477,47342,
    22 Technical occupations related to natural and applied sciences,1815,56992,61513,
      221 Technical occupations in physical sciences,100,38796,40839,
        2211 Chemical technologists and technicians,95,38675,40804,
        2212 Geological and mineral technologists and technicians,15,0,0,
      222 Technical occupations in life sciences,355,54186,56237,
        2221 Biological technologists and technicians,145,54060,50973,
        2222 Agricultural and fish products inspectors,70,63903,67163,
        2223 Forestry technologists and technicians,25,0,0,
        2224 Conservation and fishery officers,30,0,0,
        2225 Landscape and horticulture technicians and specialists,85,51264,59525,
"      223 Technical occupations in civil, mechanical and industrial engineering",350,70225,71612,
        2231 Civil engineering technologists and technicians,130,72401,79523,
        2232 Mechanical engineering technologists and technicians,65,72311,68911,
        2233 Industrial engineering and manufacturing technologists and technicians,80,55391,56927,
        2234 Construction estimators,75,74913,75562,
      224 Technical occupations in electronics and electrical engineering,280,60973,59903,
        2241 Electrical and electronics engineering technologists and technicians,95,64583,66069,
        2242 Electronic service technicians (household and business equipment),150,56845,50839,
        2243 Industrial instrument technicians and mechanics,25,0,83388,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",10,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",240,51341,49948,
        2251 Architectural technologists and technicians,35,59407,58473,
        2252 Industrial designers,10,0,0,
        2253 Drafting technologists and technicians,110,47205,44625,
        2254 Land survey technologists and technicians,40,41668,52162,
