"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Windsor,,,,
Global non-response rate (GNR) =   5.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1253 Records management technicians,10,0,0,
        1254 Statistical officers and related research support occupations,30,0,0,
"    13 Finance, insurance and related business administrative occupations",1435,36498,42617,
"      131 Finance, insurance and related business administrative occupations",1430,36498,42617,
        1311 Accounting technicians and bookkeepers,930,32121,36946,
        1312 Insurance adjusters and claims examiners,275,65057,58015,
        1313 Insurance underwriters,10,0,0,
"        1314 Assessors, valuators and appraisers",55,65058,55253,
"        1315 Customs, ship and other brokers",165,38007,44755,
    14 Office support occupations,5985,32390,33895,
      141 General office workers,3645,29318,30765,
        1411 General office support workers,2220,33046,33863,
        1414 Receptionists,1305,23607,24500,
        1415 Personnel clerks,90,49363,44091,
        1416 Court clerks,30,0,35014,
      142 Office equipment operators,235,32975,36007,
        1422 Data entry clerks,225,32868,34943,
        1423 Desktop publishing operators and related occupations,10,0,0,
"      143 Financial, insurance and related administrative support workers",1675,39340,41246,
        1431 Accounting and related clerks,1150,35434,37811,
        1432 Payroll administrators,260,53948,53779,
"        1434 Banking, insurance and other financial clerks",225,40246,44586,
        1435 Collectors,40,39318,39941,
"      145 Library, correspondence and other clerks",440,28908,30719,
        1451 Library assistants and clerks,105,25484,24922,
"        1452 Correspondence, publication and regulatory clerks",175,42475,49227,
        1454 Survey interviewers and statistical clerks,160,5655,13573,
"    15 Distribution, tracking and scheduling co-ordination occupations",2970,40948,41686,
      151 Mail and message distribution occupations,800,40894,38732,
"        1511 Mail, postal and related workers",255,29030,33581,
        1512 Letter carriers,345,57319,45856,
"        1513 Couriers, messengers and door-to-door distributors",200,21095,32945,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",2170,41261,42781,
        1521 Shippers and receivers,865,36072,37659,
        1522 Storekeepers and partspersons,335,38917,41670,
        1523 Production logistics co-ordinators,255,62902,63820,
        1524 Purchasing and inventory control workers,260,41668,41571,
        1525 Dispatchers,415,42004,42023,
        1526 Transportation route and crew schedulers,45,34899,43652,
  2 Natural and applied sciences and related occupations,10220,67620,76606,
    21 Professional occupations in natural and applied sciences,5925,82908,92205,
      211 Physical science professionals,130,65395,71700,
        2111 Physicists and astronomers,15,0,0,
        2112 Chemists,85,59108,63925,
        2113 Geoscientists and oceanographers,10,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,15,0,0,
      212 Life science professionals,85,36502,46024,
        2121 Biologists and related scientists,70,27767,39200,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",15,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",2815,95059,98142,
        2131 Civil engineers,410,73240,85071,
        2132 Mechanical engineers,1715,97692,101513,
        2133 Electrical and electronics engineers,605,102284,99345,
        2134 Chemical engineers,90,68193,84533,
      214 Other engineers,835,93748,96046,
        2141 Industrial and manufacturing engineers,600,90946,94528,
        2142 Metallurgical and materials engineers,35,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,10,0,0,
        2145 Petroleum engineers,15,0,0,
        2146 Aerospace engineers,15,0,0,
        2147 Computer engineers (except software engineers and designers),125,99283,109957,
"        2148 Other professional engineers, n.e.c.",25,0,0,
"      215 Architects, urban planners and land surveyors",210,53228,54890,
        2151 Architects,125,51258,52493,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,40,81352,66767,
        2154 Land surveyors,50,53168,51238,
"      216 Mathematicians, statisticians and actuaries",60,77154,92032,
"        2161 Mathematicians, statisticians and actuaries",60,77154,92032,
      217 Computer and information systems professionals,1785,69533,89213,
        2171 Information systems analysts and consultants,795,74693,113867,
        2172 Database analysts and data administrators,120,57045,63927,
        2173 Software engineers and designers,260,92366,92106,
        2174 Computer programmers and interactive media developers,500,64737,67054,
        2175 Web designers and developers,110,30897,32747,
    22 Technical occupations related to natural and applied sciences,4300,51691,55133,
      221 Technical occupations in physical sciences,220,48252,51390,
        2211 Chemical technologists and technicians,195,42844,47460,
        2212 Geological and mineral technologists and technicians,25,0,0,
      222 Technical occupations in life sciences,255,23934,30484,
        2221 Biological technologists and technicians,35,39575,37319,
        2222 Agricultural and fish products inspectors,50,6253,17228,
        2223 Forestry technologists and technicians,15,0,0,
        2224 Conservation and fishery officers,10,0,0,
        2225 Landscape and horticulture technicians and specialists,140,25497,30027,
"      223 Technical occupations in civil, mechanical and industrial engineering",1270,61263,61462,
        2231 Civil engineering technologists and technicians,115,52532,48926,
        2232 Mechanical engineering technologists and technicians,610,61555,63978,
        2233 Industrial engineering and manufacturing technologists and technicians,350,59922,58321,
        2234 Construction estimators,195,61607,66593,
      224 Technical occupations in electronics and electrical engineering,720,46819,55019,
        2241 Electrical and electronics engineering technologists and technicians,250,64937,71579,
        2242 Electronic service technicians (household and business equipment),425,42283,43964,
        2243 Industrial instrument technicians and mechanics,25,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",525,56200,59506,
        2251 Architectural technologists and technicians,95,45758,46306,
        2252 Industrial designers,160,73279,78057,
        2253 Drafting technologists and technicians,205,55261,56839,
        2254 Land survey technologists and technicians,25,0,0,
        2255 Technical occupations in geomatics and meteorology,40,56837,53345,
      226 Other technical inspectors and regulatory officers,435,66246,64291,
        2261 Non-destructive testers and inspection technicians,70,45977,47061,
        2262 Engineering inspectors and regulatory officers,20,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,230,76035,74808,
        2264 Construction inspectors,115,56503,58439,
      227 Transportation officers and controllers,55,108182,93587,
"        2271 Air pilots, flight engineers and flying instructors",25,0,0,
        2272 Air traffic controllers and related occupations,10,0,0,
"        2273 Deck officers, water transport",10,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,830,35580,44195,
        2281 Computer network technicians,415,39878,46872,
        2282 User support technicians,400,29892,39967,
        2283 Information systems testing technicians,20,0,0,
  3 Health occupations,13250,47108,59147,
    30 Professional occupations in nursing,3965,73418,69888,
      301 Professional occupations in nursing,3965,73418,69888,
        3011 Nursing co-ordinators and supervisors,200,85570,80399,
        3012 Registered nurses and registered psychiatric nurses,3770,71984,69336,
    31 Professional occupations in health (except nursing),2515,79646,99205,
"      311 Physicians, dentists and veterinarians",935,94045,128302,
        3111 Specialist physicians,250,143822,175893,
        3112 General practitioners and family physicians,375,78368,119472,
        3113 Dentists,245,93884,100276,
        3114 Veterinarians,65,55618,100726,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",425,80826,87350,
        3121 Optometrists,95,81509,100308,
        3122 Chiropractors,135,60641,61602,
        3124 Allied primary health practitioners,180,98538,100326,
        3125 Other professional occupations in health diagnosing and treating,20,0,0,
"      313 Pharmacists, dietitians and nutritionists",615,96282,96485,
        3131 Pharmacists,520,103868,105233,
        3132 Dietitians and nutritionists,90,46215,47608,
      314 Therapy and assessment professionals,535,63073,60721,
        3141 Audiologists and speech-language pathologists,135,60693,63015,
        3142 Physiotherapists,190,75994,69841,
        3143 Occupational therapists,140,69868,60905,
        3144 Other professional occupations in therapy and assessment,70,26823,29530,
    32 Technical occupations in health,3460,40847,44199,
      321 Medical technologists and technicians (except dental health),1620,40967,45627,
        3211 Medical laboratory technologists,215,73545,67677,
        3212 Medical laboratory technicians and pathologists' assistants,215,32422,32485,
        3213 Animal health technologists and veterinary technicians,150,30278,26593,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",110,70909,62176,
        3215 Medical radiation technologists,235,68574,68794,
        3216 Medical sonographers,115,57678,55348,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",25,0,0,
        3219 Other medical technologists and technicians (except dental health),560,31837,32632,
      322 Technical occupations in dental health care,375,43431,46528,
        3221 Denturists,25,0,0,
        3222 Dental hygienists and dental therapists,300,46720,45572,
"        3223 Dental technologists, technicians and laboratory assistants",45,38613,48512,
      323 Other technical occupations in health care,1465,38795,42021,
        3231 Opticians,70,53208,51386,
        3232 Practitioners of natural healing,40,0,0,
        3233 Licensed practical nurses,690,41345,40266,
        3234 Paramedical occupations,230,83762,79658,
        3236 Massage therapists,265,24938,25292,
        3237 Other technical occupations in therapy and assessment,165,26046,29050,
    34 Assisting occupations in support of health services,3305,31499,31434,
      341 Assisting occupations in support of health services,3305,31499,31434,
        3411 Dental assistants,355,30752,29525,
"        3413 Nurse aides, orderlies and patient service associates",2625,31342,31470,
        3414 Other assisting occupations in support of health services,330,34387,33203,
"  4 Occupations in education, law and social, community and government services",17480,45072,55483,
    40 Professional occupations in education services,7365,69088,64358,
      401 University professors and post-secondary assistants,1700,18177,57145,
        4011 University professors and lecturers,755,107620,110247,
        4012 Post-secondary teaching and research assistants,950,10233,14930,
      402 College and other vocational instructors,720,54208,59792,
        4021 College and other vocational instructors,720,54208,59792,
      403 Secondary and elementary school teachers and educational counsellors,4955,79904,67495,
        4031 Secondary school teachers,1580,81154,70019,
        4032 Elementary school and kindergarten teachers,3190,80230,67106,
        4033 Educational counsellors,180,52975,52016,
"    41 Professional occupations in law and social, community and government services",3070,55834,69639,
"      411 Judges, lawyers and Quebec notaries",635,70091,127265,
        4111 Judges,15,0,0,
        4112 Lawyers and Quebec notaries,625,68124,122786,
      415 Social and community service professionals,1535,54676,54116,
        4151 Psychologists,155,81992,83721,
        4152 Social workers,730,61180,57667,
"        4153 Family, marriage and other related counsellors",165,40684,39197,
        4154 Professional occupations in religion,310,44413,41701,
        4155 Probation and parole officers and related occupations,50,74403,65531,
        4156 Employment counsellors,125,46528,42912,
"      416 Policy and program researchers, consultants and officers",900,50132,55254,
"        4161 Natural and applied science policy researchers, consultants and program officers",100,67876,78382,
        4162 Economists and economic policy researchers and analysts,25,0,0,
        4163 Business development officers and marketing researchers and consultants,265,41163,49029,
"        4164 Social policy researchers, consultants and program officers",130,51369,47379,
"        4165 Health policy researchers, consultants and program officers",150,61599,61742,
"        4166 Education policy researchers, consultants and program officers",90,70569,69979,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",45,46082,43800,
        4168 Program officers unique to government,70,27332,38296,
"        4169 Other professional occupations in social science, n.e.c.",30,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",3255,30221,32226,
"      421 Paraprofessional occupations in legal, social, community and education services",3255,30221,32226,
        4211 Paralegal and related occupations,175,31308,33600,
        4212 Social and community service workers,1195,44876,42985,
        4214 Early childhood educators and assistants,1465,26778,26485,
        4215 Instructors of persons with disabilities,85,28382,42106,
        4216 Other instructors,250,5598,13647,
        4217 Other religious occupations,75,19917,22291,
    43 Occupations in front-line public protection services,1220,101089,88696,
      431 Occupations in front-line public protection services,1215,101089,88696,
        4311 Police officers (except commissioned),755,103400,99406,
        4312 Firefighters,300,101744,94918,
        4313 Non-commissioned ranks of the Canadian Armed Forces,170,22707,28844,
"    44 Care providers and educational, legal and public protection support occupations",2575,23419,26886,
      441 Home care providers and educational support occupations,2300,20566,22909,
        4411 Home child care providers,415,8740,14393,
"        4412 Home support workers, housekeepers and related occupations",925,22569,23384,
        4413 Elementary and secondary school teacher assistants,960,30510,26142,
      442 Legal and public protection support occupations,275,67362,60161,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,180,69564,62932,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",95,65518,56829,
"  5 Occupations in art, culture, recreation and sport",3195,14554,28129,
    51 Professional occupations in art and culture,920,21127,32807,
"      511 Librarians, archivists, conservators and curators",80,60053,80655,
        5111 Librarians,75,62303,85489,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",285,36384,44244,
        5121 Authors and writers,105,27484,47569,
        5122 Editors,40,52392,43880,
        5123 Journalists,70,70647,56734,
"        5125 Translators, terminologists and interpreters",75,12154,27951,
      513 Creative and performing artists,560,12846,19976,
"        5131 Producers, directors, choreographers and related occupations",40,42302,39758,
"        5132 Conductors, composers and arrangers",50,34346,33214,
        5133 Musicians and singers,235,15338,18447,
        5134 Dancers,90,10257,19084,
        5135 Actors and comedians,20,0,0,
"        5136 Painters, sculptors and other visual artists",125,6315,13739,
"    52 Technical occupations in art, culture, recreation and sport",2270,12753,26228,
"      521 Technical occupations in libraries, public archives, museums and art galleries",80,16262,27245,
        5211 Library and public archive technicians,30,0,44444,
        5212 Technical occupations related to museums and art galleries,55,9005,17730,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",325,14255,30945,
        5221 Photographers,130,8566,22302,
        5222 Film and video camera operators,40,0,0,
        5223 Graphic arts technicians,25,0,0,
        5224 Broadcast technicians,15,0,0,
        5225 Audio and video recording technicians,20,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",70,67813,57042,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",35,0,0,
"      523 Announcers and other performers, n.e.c.",85,8597,24113,
        5231 Announcers and other broadcasters,40,22652,41606,
"        5232 Other performers, n.e.c.",45,0,0,
      524 Creative designers and craftspersons,580,21241,42435,
        5241 Graphic designers and illustrators,355,25011,30206,
        5242 Interior designers and interior decorators,105,23139,34129,
"        5243 Theatre, fashion, exhibit and other creative designers",50,0,0,
        5244 Artisans and craftspersons,70,6128,7078,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",1195,10131,17161,
        5251 Athletes,10,0,0,
        5252 Coaches,70,27285,48682,
        5253 Sports officials and referees,20,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",1100,9777,14623,
  6 Sales and service occupations,37860,16203,24184,
    62 Retail sales supervisors and specialized sales occupations,3145,38981,48621,
      621 Retail sales supervisors,480,25066,33377,
        6211 Retail sales supervisors,480,25066,33377,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,955,48296,56517,
        6221 Technical sales specialists - wholesale trade,635,62864,68617,
        6222 Retail and wholesale buyers,325,29314,32881,
"      623 Insurance, real estate and financial sales occupations",1710,39673,48473,
        6231 Insurance agents and brokers,755,40406,44432,
        6232 Real estate agents and salespersons,595,35513,51824,
        6235 Financial sales representatives,360,39097,51407,
    63 Service supervisors and specialized service occupations,5230,17368,22466,
      631 Service supervisors,890,28242,34663,
        6311 Food service supervisors,440,20705,24461,
        6312 Executive housekeepers,15,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",90,53334,51998,
        6314 Customer and information services supervisors,120,35111,46142,
        6315 Cleaning supervisors,105,48680,44970,
        6316 Other services supervisors,115,36457,37625,
      632 Chefs and cooks,2525,15381,19769,
        6321 Chefs,455,23920,31973,
        6322 Cooks,2070,13792,17084,
      633 Butchers and bakers,520,19589,21607,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",120,37484,33144,
        6332 Bakers,405,17851,18291,
      634 Specialized occupations in personal and customer services,1290,12966,19672,
        6341 Hairstylists and barbers,1075,12348,15010,
"        6342 Tailors, dressmakers, furriers and milliners",85,13598,43681,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",30,0,0,
        6345 Upholsterers,25,0,0,
        6346 Funeral directors and embalmers,75,56750,60593,
    64 Sales representatives and salespersons - wholesale and retail trade,6385,16690,29001,
      641 Sales and account representatives - wholesale trade (non-technical),610,51328,62551,
        6411 Sales and account representatives - wholesale trade (non-technical),610,51328,62551,
      642 Retail salespersons,5775,15324,25457,
        6421 Retail salespersons,5775,15324,25457,
    65 Service representatives and other customer and personal services occupations,8395,16601,22532,
      651 Occupations in food and beverage service,2900,10468,12667,
        6511 Maîtres d'hôtel and hosts/hostesses,200,6041,7795,
        6512 Bartenders,555,13338,15900,
        6513 Food and beverage servers,2145,10552,12274,
      652 Occupations in travel and accommodation,305,22249,25013,
        6521 Travel counsellors,120,22181,27739,
        6522 Pursers and flight attendants,10,0,0,
        6523 Airline ticket and service agents,10,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",10,0,0,
        6525 Hotel front desk clerks,160,24616,22706,
      653 Tourism and amusement services occupations,690,42642,40875,
        6531 Tour and travel guides,10,0,0,
        6532 Outdoor sport and recreational guides,10,0,0,
        6533 Casino occupations,685,43174,41257,
      654 Security guards and related security service occupations,840,26316,31325,
        6541 Security guards and related security service occupations,845,26316,31325,
