"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Alberta [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",3265,53163,55321,
"        1251 Court reporters, medical transcriptionists and related occupations",1295,38417,39826,
        1252 Health information management occupations,610,71171,69639,
        1253 Records management technicians,860,56708,63854,
        1254 Statistical officers and related research support occupations,500,55882,63471,
"    13 Finance, insurance and related business administrative occupations",26445,40259,48001,
"      131 Finance, insurance and related business administrative occupations",26445,40259,48001,
        1311 Accounting technicians and bookkeepers,20440,32975,42629,
        1312 Insurance adjusters and claims examiners,2955,64150,66039,
        1313 Insurance underwriters,1610,57118,63079,
"        1314 Assessors, valuators and appraisers",1170,69869,72955,
"        1315 Customs, ship and other brokers",270,54306,59436,
    14 Office support occupations,101195,38140,41510,
      141 General office workers,58275,34212,36673,
        1411 General office support workers,33300,38912,40455,
        1414 Receptionists,23010,28082,29529,
        1415 Personnel clerks,1360,52015,56643,
        1416 Court clerks,610,56138,55179,
      142 Office equipment operators,5635,37300,39976,
        1422 Data entry clerks,5460,36780,39319,
        1423 Desktop publishing operators and related occupations,175,58026,60631,
"      143 Financial, insurance and related administrative support workers",27845,47472,52923,
        1431 Accounting and related clerks,19560,46191,52699,
        1432 Payroll administrators,5185,54442,56839,
"        1434 Banking, insurance and other financial clerks",2280,44675,48520,
        1435 Collectors,810,46215,45668,
"      145 Library, correspondence and other clerks",9445,30801,38624,
        1451 Library assistants and clerks,2430,22550,26243,
"        1452 Correspondence, publication and regulatory clerks",3940,51008,58987,
        1454 Survey interviewers and statistical clerks,3070,7890,22254,
"    15 Distribution, tracking and scheduling co-ordination occupations",43565,46786,51388,
      151 Mail and message distribution occupations,9215,40103,38638,
"        1511 Mail, postal and related workers",3245,37876,38379,
        1512 Letter carriers,3195,49539,46044,
"        1513 Couriers, messengers and door-to-door distributors",2780,25622,30445,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",34345,48068,54809,
        1521 Shippers and receivers,13420,41236,42611,
        1522 Storekeepers and partspersons,7275,53912,56525,
        1523 Production logistics co-ordinators,3740,71803,87428,
        1524 Purchasing and inventory control workers,3765,44431,46611,
        1525 Dispatchers,5340,57622,63609,
        1526 Transportation route and crew schedulers,805,65726,71068,
  2 Natural and applied sciences and related occupations,174520,81479,98766,
    21 Professional occupations in natural and applied sciences,94135,92711,113943,
      211 Physical science professionals,7090,100175,145491,
        2111 Physicists and astronomers,200,87648,98014,
        2112 Chemists,1410,75206,104701,
        2113 Geoscientists and oceanographers,5135,116941,162768,
        2114 Meteorologists and climatologists,170,78068,74530,
        2115 Other professional occupations in physical sciences,165,78762,88406,
      212 Life science professionals,4340,74702,76669,
        2121 Biologists and related scientists,2640,71961,76911,
        2122 Forestry professionals,475,94768,90476,
"        2123 Agricultural representatives, consultants and specialists",1225,71039,70859,
"      213 Civil, mechanical, electrical and chemical engineers",31685,104209,127255,
        2131 Civil engineers,10495,95717,117764,
        2132 Mechanical engineers,9055,104838,126993,
        2133 Electrical and electronics engineers,7725,107055,121504,
        2134 Chemical engineers,4405,125747,160499,
      214 Other engineers,13885,123076,154588,
        2141 Industrial and manufacturing engineers,2340,119952,135339,
        2142 Metallurgical and materials engineers,700,96096,116324,
        2143 Mining engineers,700,139506,156576,
        2144 Geological engineers,575,108308,132646,
        2145 Petroleum engineers,7170,149451,185248,
        2146 Aerospace engineers,95,93535,92999,
        2147 Computer engineers (except software engineers and designers),1980,92236,99863,
"        2148 Other professional engineers, n.e.c.",330,79786,86817,
"      215 Architects, urban planners and land surveyors",5365,84675,93132,
        2151 Architects,1300,76900,99080,
        2152 Landscape architects,145,83520,91832,
        2153 Urban and land use planners,2205,87482,86671,
        2154 Land surveyors,1715,86526,97044,
"      216 Mathematicians, statisticians and actuaries",560,81867,82183,
"        2161 Mathematicians, statisticians and actuaries",560,81867,82183,
      217 Computer and information systems professionals,31210,80793,84507,
        2171 Information systems analysts and consultants,17265,83622,86367,
        2172 Database analysts and data administrators,2125,85058,88960,
        2173 Software engineers and designers,3190,88781,99691,
        2174 Computer programmers and interactive media developers,6965,77183,80747,
        2175 Web designers and developers,1665,44371,46272,
