"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Abbotsford - Mission,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1253 Records management technicians,10,0,0,
        1254 Statistical officers and related research support occupations,10,0,0,
"    13 Finance, insurance and related business administrative occupations",1290,35631,39238,
"      131 Finance, insurance and related business administrative occupations",1285,35631,39238,
        1311 Accounting technicians and bookkeepers,1060,29798,34811,
        1312 Insurance adjusters and claims examiners,130,62968,63264,
        1313 Insurance underwriters,15,0,0,
"        1314 Assessors, valuators and appraisers",75,51407,56141,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,3870,30138,31340,
      141 General office workers,2615,28981,30051,
        1411 General office support workers,1475,33718,32903,
        1414 Receptionists,1075,24539,25918,
        1415 Personnel clerks,60,30908,31269,
        1416 Court clerks,10,0,0,
      142 Office equipment operators,195,21823,21132,
        1422 Data entry clerks,195,21763,21047,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",900,39296,37027,
        1431 Accounting and related clerks,665,39377,37306,
        1432 Payroll administrators,150,41721,38235,
"        1434 Banking, insurance and other financial clerks",70,24536,30063,
        1435 Collectors,15,0,0,
"      145 Library, correspondence and other clerks",160,27326,33027,
        1451 Library assistants and clerks,35,16302,23001,
"        1452 Correspondence, publication and regulatory clerks",85,50341,49573,
        1454 Survey interviewers and statistical clerks,40,0,0,
"    15 Distribution, tracking and scheduling co-ordination occupations",1895,39038,41525,
      151 Mail and message distribution occupations,390,38421,39008,
"        1511 Mail, postal and related workers",100,30056,34035,
        1512 Letter carriers,165,56501,50808,
"        1513 Couriers, messengers and door-to-door distributors",125,25051,27473,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1500,39206,42181,
        1521 Shippers and receivers,670,35524,36040,
        1522 Storekeepers and partspersons,200,52282,52749,
        1523 Production logistics co-ordinators,95,52749,57341,
        1524 Purchasing and inventory control workers,140,31690,32820,
        1525 Dispatchers,355,40076,47136,
        1526 Transportation route and crew schedulers,35,40549,43384,
  2 Natural and applied sciences and related occupations,3390,58211,59727,
    21 Professional occupations in natural and applied sciences,1230,64358,65316,
      211 Physical science professionals,25,0,0,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,0,0,0,
        2113 Geoscientists and oceanographers,25,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,90,63861,60779,
        2121 Biologists and related scientists,45,75904,73597,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",35,37206,49471,
"      213 Civil, mechanical, electrical and chemical engineers",315,68717,69281,
        2131 Civil engineers,130,68972,67216,
        2132 Mechanical engineers,110,68988,73300,
        2133 Electrical and electronics engineers,65,62865,70940,
        2134 Chemical engineers,10,0,0,
      214 Other engineers,105,80841,83776,
        2141 Industrial and manufacturing engineers,35,89617,68163,
        2142 Metallurgical and materials engineers,10,0,0,
        2143 Mining engineers,0,0,0,
        2144 Geological engineers,0,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,25,89071,88112,
        2147 Computer engineers (except software engineers and designers),15,0,0,
"        2148 Other professional engineers, n.e.c.",15,0,0,
"      215 Architects, urban planners and land surveyors",65,88081,93802,
        2151 Architects,10,0,0,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,30,0,124903,
        2154 Land surveyors,25,0,85800,
"      216 Mathematicians, statisticians and actuaries",10,0,0,
"        2161 Mathematicians, statisticians and actuaries",10,0,0,
      217 Computer and information systems professionals,620,56291,55740,
        2171 Information systems analysts and consultants,280,60696,61397,
        2172 Database analysts and data administrators,35,0,0,
        2173 Software engineers and designers,40,79347,85687,
        2174 Computer programmers and interactive media developers,155,54566,49760,
        2175 Web designers and developers,105,38753,41225,
    22 Technical occupations related to natural and applied sciences,2160,55910,56541,
      221 Technical occupations in physical sciences,120,22914,33147,
        2211 Chemical technologists and technicians,90,16350,30692,
        2212 Geological and mineral technologists and technicians,30,0,0,
      222 Technical occupations in life sciences,260,45071,43761,
        2221 Biological technologists and technicians,70,36429,41541,
        2222 Agricultural and fish products inspectors,40,46896,46296,
        2223 Forestry technologists and technicians,30,0,0,
        2224 Conservation and fishery officers,20,0,0,
        2225 Landscape and horticulture technicians and specialists,110,52381,43270,
"      223 Technical occupations in civil, mechanical and industrial engineering",320,60192,62674,
        2231 Civil engineering technologists and technicians,75,47664,51127,
        2232 Mechanical engineering technologists and technicians,80,53426,53017,
        2233 Industrial engineering and manufacturing technologists and technicians,45,61427,59101,
        2234 Construction estimators,130,69599,76428,
      224 Technical occupations in electronics and electrical engineering,485,54878,55383,
        2241 Electrical and electronics engineering technologists and technicians,145,60509,59252,
        2242 Electronic service technicians (household and business equipment),265,43222,46329,
        2243 Industrial instrument technicians and mechanics,25,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",50,75404,65976,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",250,48780,49344,
        2251 Architectural technologists and technicians,20,0,0,
        2252 Industrial designers,20,0,0,
        2253 Drafting technologists and technicians,165,40651,45919,
        2254 Land survey technologists and technicians,10,0,0,
        2255 Technical occupations in geomatics and meteorology,25,0,0,
      226 Other technical inspectors and regulatory officers,265,64501,57655,
        2261 Non-destructive testers and inspection technicians,40,69925,68851,
        2262 Engineering inspectors and regulatory officers,20,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,135,66152,57768,
        2264 Construction inspectors,70,54823,47095,
      227 Transportation officers and controllers,190,98401,99121,
"        2271 Air pilots, flight engineers and flying instructors",115,64913,87977,
        2272 Air traffic controllers and related occupations,25,0,0,
"        2273 Deck officers, water transport",35,110075,135497,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,270,50133,49902,
        2281 Computer network technicians,135,57200,49805,
        2282 User support technicians,110,50146,52228,
        2283 Information systems testing technicians,20,0,0,
  3 Health occupations,5845,44268,53549,
    30 Professional occupations in nursing,1500,65632,63299,
      301 Professional occupations in nursing,1500,65632,63299,
        3011 Nursing co-ordinators and supervisors,100,71507,66417,
        3012 Registered nurses and registered psychiatric nurses,1395,64746,63067,
    31 Professional occupations in health (except nursing),955,81841,99473,
"      311 Physicians, dentists and veterinarians",495,105262,132412,
        3111 Specialist physicians,170,155144,209505,
        3112 General practitioners and family physicians,175,69749,78821,
        3113 Dentists,80,103343,115637,
        3114 Veterinarians,80,119882,101651,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",65,69368,70765,
        3121 Optometrists,15,0,0,
        3122 Chiropractors,35,44259,52776,
        3124 Allied primary health practitioners,15,0,0,
        3125 Other professional occupations in health diagnosing and treating,0,0,0,
"      313 Pharmacists, dietitians and nutritionists",160,86927,80403,
        3131 Pharmacists,110,100052,97502,
        3132 Dietitians and nutritionists,45,36529,36674,
      314 Therapy and assessment professionals,240,46908,51794,
        3141 Audiologists and speech-language pathologists,20,0,0,
        3142 Physiotherapists,100,47059,54084,
        3143 Occupational therapists,50,69039,61789,
        3144 Other professional occupations in therapy and assessment,65,25668,34071,
    32 Technical occupations in health,1580,39644,41213,
      321 Medical technologists and technicians (except dental health),785,38441,39370,
        3211 Medical laboratory technologists,75,60052,50343,
        3212 Medical laboratory technicians and pathologists' assistants,135,38235,36790,
        3213 Animal health technologists and veterinary technicians,145,22079,23586,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",40,76659,72070,
        3215 Medical radiation technologists,50,71337,56557,
        3216 Medical sonographers,25,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",10,0,0,
        3219 Other medical technologists and technicians (except dental health),305,37011,36398,
      322 Technical occupations in dental health care,140,54669,52176,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,115,60471,54446,
"        3223 Dental technologists, technicians and laboratory assistants",20,0,0,
      323 Other technical occupations in health care,655,40539,41004,
        3231 Opticians,50,36223,35336,
        3232 Practitioners of natural healing,40,0,0,
        3233 Licensed practical nurses,300,45770,43253,
        3234 Paramedical occupations,120,69186,58236,
        3236 Massage therapists,105,13587,29020,
        3237 Other technical occupations in therapy and assessment,40,32053,32807,
    34 Assisting occupations in support of health services,1810,31987,31890,
      341 Assisting occupations in support of health services,1810,31987,31890,
        3411 Dental assistants,255,34457,32966,
"        3413 Nurse aides, orderlies and patient service associates",1365,31795,32171,
        3414 Other assisting occupations in support of health services,190,25835,28462,
"  4 Occupations in education, law and social, community and government services",9580,39562,46581,
    40 Professional occupations in education services,2740,59914,56444,
      401 University professors and post-secondary assistants,325,53543,53552,
        4011 University professors and lecturers,195,80848,71166,
        4012 Post-secondary teaching and research assistants,135,13658,27786,
      402 College and other vocational instructors,255,36899,51152,
        4021 College and other vocational instructors,255,36899,51152,
      403 Secondary and elementary school teachers and educational counsellors,2160,61969,57504,
        4031 Secondary school teachers,690,67898,62829,
        4032 Elementary school and kindergarten teachers,1335,57711,55011,
        4033 Educational counsellors,135,54821,54974,
"    41 Professional occupations in law and social, community and government services",1770,47117,51397,
"      411 Judges, lawyers and Quebec notaries",210,59315,69991,
        4111 Judges,10,0,0,
        4112 Lawyers and Quebec notaries,200,56012,64276,
      415 Social and community service professionals,980,47687,48492,
        4151 Psychologists,75,54242,66181,
        4152 Social workers,200,53686,53645,
"        4153 Family, marriage and other related counsellors",190,45268,41920,
        4154 Professional occupations in religion,315,37443,38564,
        4155 Probation and parole officers and related occupations,120,63420,63422,
        4156 Employment counsellors,80,49971,51353,
"      416 Policy and program researchers, consultants and officers",580,41696,49564,
"        4161 Natural and applied science policy researchers, consultants and program officers",60,46065,50283,
        4162 Economists and economic policy researchers and analysts,15,0,0,
        4163 Business development officers and marketing researchers and consultants,150,38296,54043,
"        4164 Social policy researchers, consultants and program officers",100,55439,54955,
"        4165 Health policy researchers, consultants and program officers",75,57062,61020,
"        4166 Education policy researchers, consultants and program officers",60,28648,33433,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",45,36600,36471,
        4168 Program officers unique to government,50,0,0,
"        4169 Other professional occupations in social science, n.e.c.",10,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1995,26465,27533,
"      421 Paraprofessional occupations in legal, social, community and education services",1990,26465,27533,
        4211 Paralegal and related occupations,85,40189,40150,
        4212 Social and community service workers,955,32326,32119,
        4214 Early childhood educators and assistants,595,17919,18978,
        4215 Instructors of persons with disabilities,30,23956,23707,
        4216 Other instructors,230,22795,26575,
        4217 Other religious occupations,105,19177,27311,
    43 Occupations in front-line public protection services,685,99536,92826,
      431 Occupations in front-line public protection services,685,99536,92826,
        4311 Police officers (except commissioned),460,98174,98021,
        4312 Firefighters,185,106529,92742,
        4313 Non-commissioned ranks of the Canadian Armed Forces,40,38467,37517,
"    44 Care providers and educational, legal and public protection support occupations",2390,28306,34336,
      441 Home care providers and educational support occupations,1760,20599,21138,
        4411 Home child care providers,385,6091,10503,
"        4412 Home support workers, housekeepers and related occupations",465,22966,25178,
        4413 Elementary and secondary school teacher assistants,915,25748,23536,
      442 Legal and public protection support occupations,630,75779,71504,
        4421 Sheriffs and bailiffs,35,61399,62524,
        4422 Correctional service officers,530,76899,74375,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",65,56190,52623,
"  5 Occupations in art, culture, recreation and sport",1975,19338,27529,
    51 Professional occupations in art and culture,635,15697,25108,
"      511 Librarians, archivists, conservators and curators",45,44015,41251,
        5111 Librarians,35,43815,39024,
        5112 Conservators and curators,0,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",210,18438,27904,
        5121 Authors and writers,80,10962,17078,
        5122 Editors,70,36181,35347,
        5123 Journalists,10,0,0,
"        5125 Translators, terminologists and interpreters",50,21415,33501,
      513 Creative and performing artists,380,12428,21704,
"        5131 Producers, directors, choreographers and related occupations",35,0,0,
"        5132 Conductors, composers and arrangers",15,0,0,
        5133 Musicians and singers,135,7119,12686,
        5134 Dancers,65,14648,19120,
        5135 Actors and comedians,75,8798,22088,
"        5136 Painters, sculptors and other visual artists",55,21087,27730,
"    52 Technical occupations in art, culture, recreation and sport",1345,20157,28663,
"      521 Technical occupations in libraries, public archives, museums and art galleries",60,33954,30544,
        5211 Library and public archive technicians,50,35229,33443,
        5212 Technical occupations related to museums and art galleries,10,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",295,40581,45007,
        5221 Photographers,85,20155,20374,
        5222 Film and video camera operators,20,0,0,
        5223 Graphic arts technicians,10,0,0,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,30,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",95,63403,65782,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",50,47216,52667,
"      523 Announcers and other performers, n.e.c.",35,0,0,
        5231 Announcers and other broadcasters,0,0,0,
"        5232 Other performers, n.e.c.",35,0,0,
      524 Creative designers and craftspersons,310,24814,30588,
        5241 Graphic designers and illustrators,125,27357,30089,
        5242 Interior designers and interior decorators,85,30087,40003,
"        5243 Theatre, fashion, exhibit and other creative designers",15,0,0,
        5244 Artisans and craftspersons,80,17952,21046,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",640,11956,21021,
        5251 Athletes,10,0,0,
        5252 Coaches,75,15121,24601,
        5253 Sports officials and referees,10,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",545,11577,19724,
  6 Sales and service occupations,20635,17301,24927,
    62 Retail sales supervisors and specialized sales occupations,1785,44317,52214,
      621 Retail sales supervisors,255,40376,44007,
        6211 Retail sales supervisors,255,40376,44007,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,455,56282,65172,
        6221 Technical sales specialists - wholesale trade,310,66368,76009,
        6222 Retail and wholesale buyers,155,45607,43146,
"      623 Insurance, real estate and financial sales occupations",1080,39019,48648,
        6231 Insurance agents and brokers,370,34967,37922,
        6232 Real estate agents and salespersons,460,46459,55967,
        6235 Financial sales representatives,240,43040,51051,
    63 Service supervisors and specialized service occupations,2675,20008,23918,
      631 Service supervisors,400,28354,33932,
        6311 Food service supervisors,225,25386,28042,
        6312 Executive housekeepers,25,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",10,0,0,
        6314 Customer and information services supervisors,35,59907,63743,
        6315 Cleaning supervisors,45,32643,30087,
        6316 Other services supervisors,55,37782,42962,
      632 Chefs and cooks,1285,19004,21498,
        6321 Chefs,290,25685,28847,
        6322 Cooks,995,18269,19369,
      633 Butchers and bakers,320,27876,30622,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",65,45707,44775,
        6332 Bakers,255,23353,27138,
      634 Specialized occupations in personal and customer services,670,15785,19458,
        6341 Hairstylists and barbers,525,15016,18601,
"        6342 Tailors, dressmakers, furriers and milliners",75,8559,12195,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",20,0,0,
        6345 Upholsterers,30,0,0,
