"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kingston,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1254 Statistical officers and related research support occupations,15,0,0,
"    13 Finance, insurance and related business administrative occupations",715,39636,40774,
"      131 Finance, insurance and related business administrative occupations",715,39636,40774,
        1311 Accounting technicians and bookkeepers,535,34841,38338,
        1312 Insurance adjusters and claims examiners,85,43186,48852,
        1313 Insurance underwriters,55,49788,47124,
"        1314 Assessors, valuators and appraisers",35,51095,49677,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,3505,34502,33324,
      141 General office workers,2230,33913,31937,
        1411 General office support workers,1505,37206,34390,
        1414 Receptionists,660,25868,25569,
        1415 Personnel clerks,65,44877,38474,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,200,28823,30256,
        1422 Data entry clerks,200,28823,30256,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",715,41508,42401,
        1431 Accounting and related clerks,525,41079,40911,
        1432 Payroll administrators,105,44915,46211,
"        1434 Banking, insurance and other financial clerks",55,44678,55608,
        1435 Collectors,30,27622,32354,
"      145 Library, correspondence and other clerks",360,20467,25585,
        1451 Library assistants and clerks,90,15514,17610,
"        1452 Correspondence, publication and regulatory clerks",140,41373,36089,
        1454 Survey interviewers and statistical clerks,130,5462,20118,
"    15 Distribution, tracking and scheduling co-ordination occupations",1170,40376,39978,
      151 Mail and message distribution occupations,330,40825,37460,
"        1511 Mail, postal and related workers",110,36638,33219,
        1512 Letter carriers,100,58737,50061,
"        1513 Couriers, messengers and door-to-door distributors",120,24515,30580,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",840,40285,40974,
        1521 Shippers and receivers,350,31790,35006,
        1522 Storekeepers and partspersons,145,42764,40635,
        1523 Production logistics co-ordinators,65,58438,58380,
        1524 Purchasing and inventory control workers,105,34134,35089,
        1525 Dispatchers,140,47292,49027,
        1526 Transportation route and crew schedulers,30,0,59920,
  2 Natural and applied sciences and related occupations,4620,61239,62786,
    21 Professional occupations in natural and applied sciences,2520,66788,69217,
      211 Physical science professionals,155,84988,98112,
        2111 Physicists and astronomers,20,0,0,
        2112 Chemists,80,82279,99976,
        2113 Geoscientists and oceanographers,40,87095,84707,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,15,0,0,
      212 Life science professionals,75,42911,44248,
        2121 Biologists and related scientists,60,52310,50468,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",15,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",835,69941,73087,
        2131 Civil engineers,350,73010,75388,
        2132 Mechanical engineers,235,59206,62419,
        2133 Electrical and electronics engineers,175,75001,76294,
        2134 Chemical engineers,75,87447,89203,
      214 Other engineers,210,65731,72330,
        2141 Industrial and manufacturing engineers,55,49146,55531,
        2142 Metallurgical and materials engineers,25,0,0,
        2143 Mining engineers,15,0,0,
        2144 Geological engineers,10,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,25,0,0,
        2147 Computer engineers (except software engineers and designers),60,72525,71970,
"        2148 Other professional engineers, n.e.c.",20,0,0,
"      215 Architects, urban planners and land surveyors",165,55958,57463,
        2151 Architects,30,89672,89410,
        2152 Landscape architects,15,0,0,
        2153 Urban and land use planners,90,55956,53635,
        2154 Land surveyors,25,0,49642,
"      216 Mathematicians, statisticians and actuaries",65,81818,98186,
"        2161 Mathematicians, statisticians and actuaries",65,81818,98186,
      217 Computer and information systems professionals,1015,64955,62924,
        2171 Information systems analysts and consultants,475,71304,66934,
        2172 Database analysts and data administrators,70,67294,75694,
        2173 Software engineers and designers,75,70699,68275,
        2174 Computer programmers and interactive media developers,300,65388,59205,
        2175 Web designers and developers,95,38978,41553,
    22 Technical occupations related to natural and applied sciences,2110,53230,55109,
