"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",1945,51239,49327,
"        1251 Court reporters, medical transcriptionists and related occupations",450,26464,31146,
        1252 Health information management occupations,220,59392,59831,
        1253 Records management technicians,665,50674,51788,
        1254 Statistical officers and related research support occupations,610,61809,56323,
"    13 Finance, insurance and related business administrative occupations",6415,50467,52126,
"      131 Finance, insurance and related business administrative occupations",6415,50467,52126,
        1311 Accounting technicians and bookkeepers,4790,43238,46034,
        1312 Insurance adjusters and claims examiners,830,60950,72508,
        1313 Insurance underwriters,365,62655,68297,
"        1314 Assessors, valuators and appraisers",340,66157,69666,
"        1315 Customs, ship and other brokers",90,55982,56354,
    14 Office support occupations,31615,35636,36441,
      141 General office workers,18210,32260,34379,
        1411 General office support workers,11025,39198,38363,
        1414 Receptionists,5795,20208,23484,
        1415 Personnel clerks,1220,50060,48253,
        1416 Court clerks,175,48519,47377,
      142 Office equipment operators,2140,27630,32895,
        1422 Data entry clerks,2025,26900,31801,
        1423 Desktop publishing operators and related occupations,110,55285,52522,
"      143 Financial, insurance and related administrative support workers",7170,43786,43865,
        1431 Accounting and related clerks,4845,40711,41588,
        1432 Payroll administrators,1245,54732,54193,
"        1434 Banking, insurance and other financial clerks",565,39952,40056,
        1435 Collectors,520,45216,44525,
"      145 Library, correspondence and other clerks",4095,33174,34460,
        1451 Library assistants and clerks,590,33976,34247,
"        1452 Correspondence, publication and regulatory clerks",1805,49482,46511,
        1454 Survey interviewers and statistical clerks,1705,10299,21785,
"    15 Distribution, tracking and scheduling co-ordination occupations",9415,39179,40362,
      151 Mail and message distribution occupations,3175,41841,39655,
"        1511 Mail, postal and related workers",1335,37871,37337,
