"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Manitoba,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",855,42114,40691,
"        1251 Court reporters, medical transcriptionists and related occupations",395,37536,33714,
        1252 Health information management occupations,250,47204,50626,
        1253 Records management technicians,95,37271,38545,
        1254 Statistical officers and related research support occupations,110,47653,45125,
"    13 Finance, insurance and related business administrative occupations",7370,38626,59308,
"      131 Finance, insurance and related business administrative occupations",7370,38626,59308,
        1311 Accounting technicians and bookkeepers,4745,30397,62561,
        1312 Insurance adjusters and claims examiners,1490,52436,53162,
        1313 Insurance underwriters,670,51818,56617,
"        1314 Assessors, valuators and appraisers",290,53732,54197,
"        1315 Customs, ship and other brokers",175,35855,42087,
    14 Office support occupations,31700,32689,32641,
      141 General office workers,16890,30125,30693,
        1411 General office support workers,10735,33926,33314,
        1414 Receptionists,5535,23840,24422,
        1415 Personnel clerks,510,41227,41258,
        1416 Court clerks,110,45829,41730,
      142 Office equipment operators,1855,30546,31403,
        1422 Data entry clerks,1770,30465,30863,
        1423 Desktop publishing operators and related occupations,85,35599,42923,
"      143 Financial, insurance and related administrative support workers",9925,38603,39220,
        1431 Accounting and related clerks,6610,37255,37596,
        1432 Payroll administrators,1910,44657,44512,
"        1434 Banking, insurance and other financial clerks",1045,38030,38900,
        1435 Collectors,365,43468,41890,
"      145 Library, correspondence and other clerks",3030,16982,22712,
        1451 Library assistants and clerks,690,23070,25502,
"        1452 Correspondence, publication and regulatory clerks",625,41472,41766,
        1454 Survey interviewers and statistical clerks,1715,8661,14659,
"    15 Distribution, tracking and scheduling co-ordination occupations",12150,38620,39387,
      151 Mail and message distribution occupations,2900,38389,36777,
"        1511 Mail, postal and related workers",1080,37467,36979,
        1512 Letter carriers,915,55453,47179,
"        1513 Couriers, messengers and door-to-door distributors",905,18056,25954,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",9250,38668,40204,
        1521 Shippers and receivers,3870,34694,35011,
        1522 Storekeepers and partspersons,1715,43971,43591,
        1523 Production logistics co-ordinators,955,45164,47928,
        1524 Purchasing and inventory control workers,980,36182,37082,
        1525 Dispatchers,1485,44167,45191,
        1526 Transportation route and crew schedulers,255,45928,50365,
  2 Natural and applied sciences and related occupations,34495,61816,67288,
    21 Professional occupations in natural and applied sciences,16200,71396,76197,
      211 Physical science professionals,715,67158,71353,
        2111 Physicists and astronomers,85,64622,78348,
        2112 Chemists,280,64854,63130,
        2113 Geoscientists and oceanographers,260,74700,77221,
        2114 Meteorologists and climatologists,55,90777,83327,
        2115 Other professional occupations in physical sciences,30,0,0,
      212 Life science professionals,1595,67004,66878,
        2121 Biologists and related scientists,880,70230,70921,
        2122 Forestry professionals,60,81721,95060,
"        2123 Agricultural representatives, consultants and specialists",655,60481,59003,
"      213 Civil, mechanical, electrical and chemical engineers",4000,78807,94217,
        2131 Civil engineers,1745,81831,97099,
        2132 Mechanical engineers,1150,73202,75305,
        2133 Electrical and electronics engineers,1025,88029,113150,
        2134 Chemical engineers,80,55515,62251,
      214 Other engineers,1270,78156,81125,
        2141 Industrial and manufacturing engineers,390,69267,72542,
        2142 Metallurgical and materials engineers,35,89454,92268,
        2143 Mining engineers,80,113895,118056,
        2144 Geological engineers,40,100102,112131,
        2145 Petroleum engineers,15,0,0,
        2146 Aerospace engineers,185,82491,84360,
        2147 Computer engineers (except software engineers and designers),430,78618,75930,
"        2148 Other professional engineers, n.e.c.",95,77574,82276,
"      215 Architects, urban planners and land surveyors",1065,61567,73423,
        2151 Architects,405,66038,78272,
        2152 Landscape architects,75,43041,48804,
        2153 Urban and land use planners,270,63855,70866,
        2154 Land surveyors,315,60778,75357,
"      216 Mathematicians, statisticians and actuaries",355,69322,72496,
"        2161 Mathematicians, statisticians and actuaries",350,69322,72496,
      217 Computer and information systems professionals,7210,69104,68460,
        2171 Information systems analysts and consultants,3235,73986,74079,
        2172 Database analysts and data administrators,470,62189,65999,
        2173 Software engineers and designers,595,76340,73069,
        2174 Computer programmers and interactive media developers,2365,68050,66591,
        2175 Web designers and developers,540,39099,40029,
    22 Technical occupations related to natural and applied sciences,18295,54259,59399,
      221 Technical occupations in physical sciences,905,49724,53922,
        2211 Chemical technologists and technicians,705,44742,45828,
        2212 Geological and mineral technologists and technicians,200,60651,82373,
      222 Technical occupations in life sciences,1670,45925,46134,
        2221 Biological technologists and technicians,575,45910,46198,
        2222 Agricultural and fish products inspectors,315,54140,56943,
        2223 Forestry technologists and technicians,115,45877,45584,
        2224 Conservation and fishery officers,200,68443,63883,
        2225 Landscape and horticulture technicians and specialists,465,28133,31109,
"      223 Technical occupations in civil, mechanical and industrial engineering",2900,59731,62346,
        2231 Civil engineering technologists and technicians,905,57905,57193,
        2232 Mechanical engineering technologists and technicians,575,60960,61896,
        2233 Industrial engineering and manufacturing technologists and technicians,690,56631,57870,
        2234 Construction estimators,735,66568,73277,
      224 Technical occupations in electronics and electrical engineering,3905,53111,59367,
        2241 Electrical and electronics engineering technologists and technicians,1295,62132,77427,
        2242 Electronic service technicians (household and business equipment),2085,46505,45783,
        2243 Industrial instrument technicians and mechanics,165,81476,77449,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",360,66644,64748,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",1855,48893,49670,
        2251 Architectural technologists and technicians,145,46367,49697,
        2252 Industrial designers,200,48394,45884,
        2253 Drafting technologists and technicians,1050,48129,49451,
        2254 Land survey technologists and technicians,170,42892,40397,
        2255 Technical occupations in geomatics and meteorology,290,57796,58379,
      226 Other technical inspectors and regulatory officers,2105,60259,60874,
        2261 Non-destructive testers and inspection technicians,125,63206,71778,
        2262 Engineering inspectors and regulatory officers,185,72273,68870,
        2263 Inspectors in public and environmental health and occupational health and safety,1195,60756,61624,
        2264 Construction inspectors,595,55875,54502,
      227 Transportation officers and controllers,1200,83428,98036,
"        2271 Air pilots, flight engineers and flying instructors",770,80512,90295,
        2272 Air traffic controllers and related occupations,315,105870,130162,
"        2273 Deck officers, water transport",50,52485,52127,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,60,68877,71905,
      228 Technical occupations in computer and information systems,3750,54298,56009,
        2281 Computer network technicians,2045,57051,59506,
        2282 User support technicians,1555,50629,51644,
        2283 Information systems testing technicians,150,59423,53497,
  3 Health occupations,53430,45257,56919,
    30 Professional occupations in nursing,13890,71513,68226,
      301 Professional occupations in nursing,13890,71513,68226,
        3011 Nursing co-ordinators and supervisors,450,84163,80064,
        3012 Registered nurses and registered psychiatric nurses,13440,71184,67829,
    31 Professional occupations in health (except nursing),9055,73591,100479,
"      311 Physicians, dentists and veterinarians",4210,92782,132377,
        3111 Specialist physicians,1480,100730,146219,
        3112 General practitioners and family physicians,1790,75302,120148,
        3113 Dentists,600,138644,162983,
        3114 Veterinarians,340,72910,83077,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",915,90927,96266,
        3121 Optometrists,175,116970,134317,
        3122 Chiropractors,335,84404,96792,
        3124 Allied primary health practitioners,325,92475,83577,
        3125 Other professional occupations in health diagnosing and treating,70,35820,57548,
