"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Barrie,,,,
Global non-response rate (GNR) =   4.1 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",60,70038,70747,
"        7203 Contractors and supervisors, pipefitting trades",50,83128,86573,
"        7204 Contractors and supervisors, carpentry trades",120,41111,49421,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",375,43001,44861,
"      723 Machining, metal forming, shaping and erecting trades",1290,55290,59189,
        7231 Machinists and machining and tooling inspectors,270,53769,57092,
        7232 Tool and die makers,185,68874,63206,
        7233 Sheet metal workers,265,61728,63973,
        7234 Boilermakers,20,0,0,
        7235 Structural metal and platework fabricators and fitters,10,0,0,
        7236 Ironworkers,75,77613,81076,
        7237 Welders and related machine operators,470,46998,51322,
      724 Electrical trades and electrical power line and telecommunications workers,1330,68519,68550,
        7241 Electricians (except industrial and power system),590,60221,63753,
        7242 Industrial electricians,190,88512,90281,
        7243 Power system electricians,40,99375,102499,
        7244 Electrical power line and cable workers,110,88540,91880,
        7245 Telecommunications line and cable workers,155,45696,49502,
        7246 Telecommunications installation and repair workers,240,68135,60041,
        7247 Cable television service and maintenance technicians,10,0,0,
"      725 Plumbers, pipefitters and gas fitters",675,59450,61499,
        7251 Plumbers,355,62487,63334,
"        7252 Steamfitters, pipefitters and sprinkler system installers",105,81979,72677,
        7253 Gas fitters,215,43345,52903,
      727 Carpenters and cabinetmakers,950,34157,37037,
        7271 Carpenters,855,33601,36718,
        7272 Cabinetmakers,95,42382,39778,
      728 Masonry and plastering trades,730,33528,36321,
        7281 Bricklayers,265,36787,40697,
        7282 Concrete finishers,110,36674,38942,
        7283 Tilesetters,65,31599,38819,
"        7284 Plasterers, drywall installers and finishers and lathers",280,31030,30588,
      729 Other construction trades,825,22447,27088,
        7291 Roofers and shinglers,230,31581,31742,
        7292 Glaziers,40,51294,48403,
        7293 Insulators,55,30599,28258,
        7294 Painters and decorators (except interior decorators),360,15039,21624,
        7295 Floor covering installers,135,23883,27243,
    73 Maintenance and equipment operation trades,3660,58030,61610,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",690,74547,75856,
"        7301 Contractors and supervisors, mechanic trades",180,70159,75113,
"        7302 Contractors and supervisors, heavy equipment operator crews",350,81634,81120,
"        7303 Supervisors, printing and related occupations",55,62447,67307,
"        7304 Supervisors, railway transport operations",15,0,0,
"        7305 Supervisors, motor transport and other ground transit operators",95,60874,57790,
      731 Machinery and transportation equipment mechanics (except motor vehicles),1065,67705,67274,
        7311 Construction millwrights and industrial mechanics,385,69454,71024,
        7312 Heavy-duty equipment mechanics,180,63914,66811,
"        7313 Heating, refrigeration and air conditioning mechanics",285,49237,57473,
        7314 Railway carmen/women,45,74792,66178,
        7315 Aircraft mechanics and aircraft inspectors,95,77156,68381,
        7316 Machine fitters,25,0,0,
        7318 Elevator constructors and mechanics,50,86976,99901,
      732 Automotive service technicians,1365,49541,51767,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",1075,50848,52700,
        7322 Motor vehicle body repairers,290,45281,48307,
      733 Other mechanics and related repairers,140,45240,38668,
        7331 Oil and solid fuel heating mechanics,10,0,0,
        7332 Appliance servicers and repairers,30,0,0,
        7333 Electrical mechanics,15,0,0,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",65,50100,39774,
        7335 Other small engine and small equipment repairers,10,0,0,
      736 Train crew operating occupations,85,98269,94513,
        7361 Railway and yard locomotive engineers,45,119895,106256,
        7362 Railway conductors and brakemen/women,45,86152,83932,
"      737 Crane operators, drillers and blasters",105,62545,67452,
        7371 Crane operators,75,66997,75323,
"        7372 Drillers and blasters - surface mining, quarrying and construction",15,0,0,
        7373 Water well drillers,10,0,0,
"      738 Printing press operators and other trades and related occupations, n.e.c.",205,48201,47720,
        7381 Printing press operators,130,50658,52484,
"        7384 Other trades and related occupations, n.e.c.",75,40892,39565,
"    74 Other installers, repairers and servicers and material handlers",2065,32916,35067,
"      744 Other installers, repairers and servicers",685,34038,37951,
        7441 Residential and commercial installers and servicers,500,33764,37085,
        7442 Waterworks and gas maintenance workers,40,52281,51968,
        7444 Pest controllers and fumigators,65,35728,36789,
        7445 Other repairers and servicers,85,28402,36716,
      745 Longshore workers and material handlers,1380,32168,33628,
        7451 Longshore workers,10,0,0,
        7452 Material handlers,1365,32107,33569,
    75 Transport and heavy equipment operation and related maintenance occupations,4540,43208,44491,
      751 Motor vehicle and transit drivers,3460,38694,40477,
        7511 Transport truck drivers,1975,46309,46802,
"        7512 Bus drivers, subway operators and other transit operators",635,20350,34449,
        7513 Taxi and limousine drivers and chauffeurs,220,14471,18896,
        7514 Delivery and courier service drivers,635,29786,34254,
      752 Heavy equipment operators,780,57233,62026,
        7521 Heavy equipment operators (except crane),530,59550,66953,
        7522 Public works maintenance equipment operators and related workers,250,51324,51609,
      753 Other transport equipment operators and related maintenance workers,300,32838,45283,
        7531 Railway yard and track maintenance workers,65,75908,75392,
        7532 Water transport deck and engine room crew,10,0,0,
        7533 Boat and cable ferry operators and related occupations,0,0,0,
        7534 Air transport ramp attendants,80,48633,51061,
        7535 Other automotive mechanical installers and servicers,155,21033,29383,
"    76 Trades helpers, construction labourers and related occupations",1730,36055,40285,
      761 Trades helpers and labourers,1595,34580,39809,
        7611 Construction trades helpers and labourers,1520,34817,39590,
        7612 Other trades helpers and labourers,75,24231,44165,
"      762 Public works and other labourers, n.e.c.",135,48452,45883,
        7621 Public works and maintenance labourers,115,44932,42951,
        7622 Railway and motor transport labourers,15,0,0,
"  8 Natural resources, agriculture and related production occupations",1655,14860,25260,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",305,36571,45447,
"      821 Supervisors, logging and forestry",0,0,0,
"        8211 Supervisors, logging and forestry",0,0,0,
"      822 Contractors and supervisors, mining, oil and gas",10,0,0,
"        8221 Supervisors, mining and quarrying",0,0,0,
"        8222 Contractors and supervisors, oil and gas drilling and services",10,0,0,
"      823 Underground miners, oil and gas drillers and related occupations",70,62658,66832,
        8231 Underground production and development miners,30,0,0,
"        8232 Oil and gas well drillers, servicers, testers and related workers",45,58002,63996,
      824 Logging machinery operators,0,0,0,
        8241 Logging machinery operators,0,0,0,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",210,29520,35654,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",50,12224,32606,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",160,30610,36619,
      826 Fishing vessel masters and fishermen/women,15,0,0,
        8261 Fishing masters and officers,0,0,0,
        8262 Fishermen/women,15,0,0,
"    84 Workers in natural resources, agriculture and related production",330,17361,29129,
      841 Mine service workers and operators in oil and gas drilling,10,0,0,
        8411 Underground mine service and support workers,0,0,0,
        8412 Oil and gas well drilling and related workers and services operators,10,0,0,
      842 Logging and forestry workers,15,0,0,
        8421 Chain saw and skidder operators,10,0,0,
        8422 Silviculture and forestry workers,0,0,0,
      843 Agriculture and horticulture workers,305,15241,27673,
        8431 General farm workers,250,16462,30483,
        8432 Nursery and greenhouse workers,55,9265,15408,
      844 Other workers in fishing and trapping and hunting occupations,0,0,0,
        8441 Fishing vessel deckhands,0,0,0,
        8442 Trappers and hunters,0,0,0,
"    86 Harvesting, landscaping and natural resources labourers",1015,12132,17838,
"      861 Harvesting, landscaping and natural resources labourers",1015,12132,17838,
        8611 Harvesting labourers,10,0,0,
        8612 Landscaping and grounds maintenance labourers,945,11859,17448,
        8613 Aquaculture and marine harvest labourers,0,0,0,
        8614 Mine labourers,10,0,0,
"        8615 Oil and gas drilling, servicing and related labourers",10,0,0,
        8616 Logging and forestry labourers,35,11025,10353,
  9 Occupations in manufacturing and utilities,5880,39611,46748,
"    92 Processing, manufacturing and utilities supervisors and central control operators",805,77855,76554,
"      921 Supervisors, processing and manufacturing occupations",180,61315,69030,
"        9211 Supervisors, mineral and metal processing",30,65194,63473,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",80,92482,83608,
"        9213 Supervisors, food and beverage processing",25,0,50588,
"        9214 Supervisors, plastic and rubber products manufacturing",35,54294,52472,
"        9215 Supervisors, forest products processing",10,0,0,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",10,0,0,
"      922 Supervisors, assembly and fabrication",335,85524,83104,
"        9221 Supervisors, motor vehicle assembling",235,101056,91900,
"        9222 Supervisors, electronics manufacturing",15,0,0,
"        9223 Supervisors, electrical products manufacturing",20,0,0,
"        9224 Supervisors, furniture and fixtures manufacturing",10,0,0,
"        9226 Supervisors, other mechanical and metal products manufacturing",20,0,0,
"        9227 Supervisors, other products manufacturing and assembly",35,51647,51098,
      923 Central control and process operators in processing and manufacturing,40,45026,56307,
"        9231 Central control and process operators, mineral and metal processing",0,0,0,
"        9232 Central control and process operators, petroleum, gas and chemical processing",25,0,0,
"        9235 Pulping, papermaking and coating control operators",20,0,0,
      924 Utilities equipment operators and controllers,255,78277,76329,
        9241 Power engineers and power systems operators,145,84852,83094,
        9243 Water and waste treatment plant operators,105,59610,66766,
    94 Processing and manufacturing machine operators and related production workers,1110,34903,37202,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,415,39085,39769,
"        9411 Machine operators, mineral and metal processing",25,0,0,
        9412 Foundry workers,20,0,0,
        9413 Glass forming and finishing machine operators and glass cutters,25,0,0,
"        9414 Concrete, clay and stone forming operators",40,57229,48157,
"        9415 Inspectors and testers, mineral and metal processing",30,0,42482,
        9416 Metalworking and forging machine operators,145,36653,33885,
        9417 Machining tool operators,80,42044,43874,
        9418 Other metal products machine operators,45,36615,35190,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",290,36689,38432,
        9421 Chemical plant machine operators,70,35619,30993,
        9422 Plastics processing machine operators,195,36784,41092,
        9423 Rubber processing machine operators and related workers,25,0,0,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,160,29679,34115,
        9431 Sawmill machine operators,15,0,0,
        9432 Pulp mill machine operators,0,0,0,
        9433 Papermaking and finishing machine operators,40,29635,34434,
        9434 Other wood processing machine operators,20,0,0,
        9435 Paper converting machine operators,45,41029,39999,
        9436 Lumber graders and other wood processing inspectors and graders,10,0,0,
        9437 Woodworking machine operators,35,0,0,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",120,27386,24591,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",20,0,0,
"        9442 Weavers, knitters and other fabric making occupations",20,0,0,
"        9445 Fabric, fur and leather cutters",15,0,0,
        9446 Industrial sewing machine operators,65,25527,22010,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",0,0,0,
"      946 Machine operators and related workers in food, beverage and associated products processing",60,23735,36562,
"        9461 Process control and machine operators, food and beverage processing",55,23758,34890,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",0,0,0,
        9463 Fish and seafood plant workers,0,0,0,
"        9465 Testers and graders, food and beverage processing",0,0,0,
      947 Printing equipment operators and related occupations,70,41175,46172,
        9471 Plateless printing equipment operators,15,0,0,
"        9472 Camera, platemaking and other prepress occupations",30,0,54078,
        9473 Binding and finishing machine operators,20,0,0,
        9474 Photographic and film processors,0,0,0,
    95 Assemblers in manufacturing,2670,46266,50578,
"      952 Mechanical, electrical and electronics assemblers",2065,51472,53516,
        9521 Aircraft assemblers and aircraft assembly inspectors,50,78464,71841,
"        9522 Motor vehicle assemblers, inspectors and testers",1650,55535,55000,
"        9523 Electronics assemblers, fabricators, inspectors and testers",85,28286,37634,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",115,28888,39628,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0,0,0,
        9526 Mechanical assemblers and inspectors,135,47084,53414,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",30,0,40962,
      953 Other assembly and related occupations,600,35501,40533,
        9531 Boat assemblers and inspectors,0,0,0,
        9532 Furniture and fixture assemblers and inspectors,70,29176,38174,
        9533 Other wood products assemblers and inspectors,65,20385,28392,
        9534 Furniture finishers and refinishers,35,0,0,
"        9535 Plastic products assemblers, finishers and inspectors",115,29874,28837,
"        9536 Industrial painters, coaters and metal finishing process operators",145,73934,67194,
"        9537 Other products assemblers, finishers and inspectors",180,29942,34205,
"    96 Labourers in processing, manufacturing and utilities",1295,26676,28495,
"      961 Labourers in processing, manufacturing and utilities",1295,26676,28495,
        9611 Labourers in mineral and metal processing,65,18867,26121,
        9612 Labourers in metal fabrication,115,32608,38691,
        9613 Labourers in chemical products processing and utilities,55,32359,42033,
"        9614 Labourers in wood, pulp and paper processing",65,31010,32925,
        9615 Labourers in rubber and plastic products manufacturing,35,43824,40546,
        9616 Labourers in textile processing,20,0,0,
        9617 Labourers in food and beverage processing,175,24593,23901,
        9618 Labourers in fish and seafood processing,10,0,0,
"        9619 Other labourers in processing, manufacturing and utilities",740,23534,26656,
Note,,,,
"[1] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[1] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[1] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[2] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[3] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[4] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
