"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Québec,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1251 Court reporters, medical transcriptionists and related occupations",280,34044,33669,
        1252 Health information management occupations,165,45825,43910,
        1253 Records management technicians,685,40119,37600,
        1254 Statistical officers and related research support occupations,50,52755,47954,
"    13 Finance, insurance and related business administrative occupations",5620,44943,46536,
"      131 Finance, insurance and related business administrative occupations",5620,44943,46536,
        1311 Accounting technicians and bookkeepers,3195,39804,38875,
        1312 Insurance adjusters and claims examiners,1080,51512,55616,
        1313 Insurance underwriters,675,55885,58068,
"        1314 Assessors, valuators and appraisers",620,53196,57464,
"        1315 Customs, ship and other brokers",50,46175,47757,
    14 Office support occupations,14500,32401,31621,
      141 General office workers,8620,30114,29514,
        1411 General office support workers,4390,35895,33749,
        1414 Receptionists,3945,23312,23697,
        1415 Personnel clerks,245,46512,46710,
        1416 Court clerks,35,33539,32888,
      142 Office equipment operators,825,26591,27126,
        1422 Data entry clerks,790,25951,26758,
        1423 Desktop publishing operators and related occupations,40,40868,34914,
"      143 Financial, insurance and related administrative support workers",3955,38759,37816,
        1431 Accounting and related clerks,2485,35794,34931,
        1432 Payroll administrators,465,42502,42565,
"        1434 Banking, insurance and other financial clerks",715,45697,45887,
        1435 Collectors,290,32094,35098,
"      145 Library, correspondence and other clerks",1105,26297,29231,
        1451 Library assistants and clerks,320,23443,23137,
"        1452 Correspondence, publication and regulatory clerks",510,36286,33931,
        1454 Survey interviewers and statistical clerks,275,15860,27723,
"    15 Distribution, tracking and scheduling co-ordination occupations",9450,34597,34765,
      151 Mail and message distribution occupations,1785,36095,35435,
"        1511 Mail, postal and related workers",585,33868,34674,
        1512 Letter carriers,680,55928,48064,
"        1513 Couriers, messengers and door-to-door distributors",520,14292,19698,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",7665,34313,34609,
        1521 Shippers and receivers,3795,27637,28460,
        1522 Storekeepers and partspersons,1595,38388,38880,
        1523 Production logistics co-ordinators,580,45707,45287,
        1524 Purchasing and inventory control workers,750,37000,35355,
        1525 Dispatchers,835,45992,45249,
        1526 Transportation route and crew schedulers,105,45181,42631,
  2 Natural and applied sciences and related occupations,39845,59042,61620,
    21 Professional occupations in natural and applied sciences,23630,66435,67967,
      211 Physical science professionals,730,62572,63767,
        2111 Physicists and astronomers,160,66185,62903,
        2112 Chemists,330,62788,60005,
        2113 Geoscientists and oceanographers,185,59099,70041,
        2114 Meteorologists and climatologists,20,0,0,
        2115 Other professional occupations in physical sciences,35,81090,67915,
      212 Life science professionals,1695,60964,59613,
        2121 Biologists and related scientists,920,56861,56520,
        2122 Forestry professionals,425,71276,69424,
"        2123 Agricultural representatives, consultants and specialists",350,53887,55720,
"      213 Civil, mechanical, electrical and chemical engineers",3970,73313,77382,
        2131 Civil engineers,1775,74613,81139,
        2132 Mechanical engineers,1205,70349,72955,
        2133 Electrical and electronics engineers,740,74698,76163,
        2134 Chemical engineers,255,75628,75677,
      214 Other engineers,1500,73685,84341,
        2141 Industrial and manufacturing engineers,310,68077,73870,
        2142 Metallurgical and materials engineers,90,74294,82358,
        2143 Mining engineers,90,94438,91836,
        2144 Geological engineers,175,71374,128726,
        2145 Petroleum engineers,20,0,0,
        2146 Aerospace engineers,25,0,0,
        2147 Computer engineers (except software engineers and designers),590,74946,80112,
"        2148 Other professional engineers, n.e.c.",205,72405,74898,
"      215 Architects, urban planners and land surveyors",1585,63711,64585,
        2151 Architects,920,58890,62701,
        2152 Landscape architects,60,50088,60528,
        2153 Urban and land use planners,260,70077,67603,
        2154 Land surveyors,350,69621,68041,
"      216 Mathematicians, statisticians and actuaries",1025,72497,77109,
"        2161 Mathematicians, statisticians and actuaries",1025,72497,77109,
      217 Computer and information systems professionals,13120,64540,64258,
        2171 Information systems analysts and consultants,6720,70293,70635,
        2172 Database analysts and data administrators,735,63930,61365,
        2173 Software engineers and designers,780,77669,77749,
        2174 Computer programmers and interactive media developers,4175,54851,55748,
        2175 Web designers and developers,705,39749,41972,
    22 Technical occupations related to natural and applied sciences,16215,48858,52373,
      221 Technical occupations in physical sciences,920,42489,47447,
        2211 Chemical technologists and technicians,725,42384,44257,
        2212 Geological and mineral technologists and technicians,195,45901,59524,
      222 Technical occupations in life sciences,1315,32581,37439,
        2221 Biological technologists and technicians,370,41095,39945,
        2222 Agricultural and fish products inspectors,110,53234,52983,
        2223 Forestry technologists and technicians,305,48575,47996,
        2224 Conservation and fishery officers,40,65953,60048,
        2225 Landscape and horticulture technicians and specialists,495,22007,23618,
"      223 Technical occupations in civil, mechanical and industrial engineering",2945,53169,54171,
        2231 Civil engineering technologists and technicians,1245,53107,53603,
        2232 Mechanical engineering technologists and technicians,650,54804,56170,
        2233 Industrial engineering and manufacturing technologists and technicians,415,53055,54031,
        2234 Construction estimators,630,53171,53316,
      224 Technical occupations in electronics and electrical engineering,2445,52597,55807,
        2241 Electrical and electronics engineering technologists and technicians,1480,59195,60726,
        2242 Electronic service technicians (household and business equipment),705,42883,42818,
        2243 Industrial instrument technicians and mechanics,195,58073,62405,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",65,72949,64736,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",2760,44307,45695,
        2251 Architectural technologists and technicians,595,45131,48239,
        2252 Industrial designers,285,43296,45364,
        2253 Drafting technologists and technicians,1070,41946,42229,
        2254 Land survey technologists and technicians,360,47699,48485,
        2255 Technical occupations in geomatics and meteorology,455,46596,48534,
      226 Other technical inspectors and regulatory officers,1175,56749,59567,
        2261 Non-destructive testers and inspection technicians,70,76750,70111,
        2262 Engineering inspectors and regulatory officers,140,70241,75129,
        2263 Inspectors in public and environmental health and occupational health and safety,660,53377,59006,
        2264 Construction inspectors,300,52119,50996,
      227 Transportation officers and controllers,695,90829,108942,
"        2271 Air pilots, flight engineers and flying instructors",340,94729,111275,
        2272 Air traffic controllers and related occupations,75,72964,77370,
"        2273 Deck officers, water transport",205,103608,130338,
"        2274 Engineer officers, water transport",75,69900,73199,
        2275 Railway traffic controllers and marine traffic regulators,10,0,0,
      228 Technical occupations in computer and information systems,3965,48094,47613,
        2281 Computer network technicians,2515,51756,52900,
        2282 User support technicians,1160,43363,42302,
        2283 Information systems testing technicians,290,19712,22890,
  3 Health occupations,35935,43771,54837,
    30 Professional occupations in nursing,9490,59836,56058,
      301 Professional occupations in nursing,9485,59836,56058,
        3011 Nursing co-ordinators and supervisors,515,70840,67792,
        3012 Registered nurses and registered psychiatric nurses,8970,59033,55382,
    31 Professional occupations in health (except nursing),8235,72237,98873,
"      311 Physicians, dentists and veterinarians",3970,107526,134829,
        3111 Specialist physicians,1650,136382,162895,
        3112 General practitioners and family physicians,1625,99985,121722,
        3113 Dentists,460,107818,110133,
        3114 Veterinarians,240,75555,78064,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",555,50721,56295,
        3121 Optometrists,130,61560,68936,
        3122 Chiropractors,155,45487,60593,
        3124 Allied primary health practitioners,60,70105,65539,
        3125 Other professional occupations in health diagnosing and treating,200,29666,41978,
"      313 Pharmacists, dietitians and nutritionists",1785,84050,82184,
        3131 Pharmacists,1420,95263,91026,
        3132 Dietitians and nutritionists,365,52937,48063,
      314 Therapy and assessment professionals,1925,55519,52342,
        3141 Audiologists and speech-language pathologists,290,60919,56989,
        3142 Physiotherapists,785,56346,55871,
        3143 Occupational therapists,645,59501,53024,
        3144 Other professional occupations in therapy and assessment,200,20817,29815,
    32 Technical occupations in health,9795,39602,38943,
      321 Medical technologists and technicians (except dental health),5070,38478,38036,
        3211 Medical laboratory technologists,510,50513,46693,
        3212 Medical laboratory technicians and pathologists' assistants,825,43095,40055,
        3213 Animal health technologists and veterinary technicians,345,32900,31515,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",575,55821,52160,
        3215 Medical radiation technologists,730,51381,49990,
        3216 Medical sonographers,10,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",170,45661,42282,
        3219 Other medical technologists and technicians (except dental health),1905,26526,26682,
      322 Technical occupations in dental health care,960,46979,47400,
        3221 Denturists,90,70595,75657,
        3222 Dental hygienists and dental therapists,680,46569,43909,
"        3223 Dental technologists, technicians and laboratory assistants",190,44781,46282,
      323 Other technical occupations in health care,3765,39009,38006,
        3231 Opticians,295,42634,44249,
        3232 Practitioners of natural healing,135,25528,29611,
        3233 Licensed practical nurses,2085,41579,39942,
        3234 Paramedical occupations,480,60332,55402,
        3236 Massage therapists,570,14501,16573,
        3237 Other technical occupations in therapy and assessment,195,32603,33620,
    34 Assisting occupations in support of health services,8420,30093,28879,
      341 Assisting occupations in support of health services,8420,30093,28879,
        3411 Dental assistants,585,31633,31881,
"        3413 Nurse aides, orderlies and patient service associates",6870,29320,27973,
        3414 Other assisting occupations in support of health services,960,33214,33522,
"  4 Occupations in education, law and social, community and government services",59450,47720,51718,
    40 Professional occupations in education services,19235,58416,54912,
      401 University professors and post-secondary assistants,5210,43354,56341,
        4011 University professors and lecturers,2505,95317,88166,
        4012 Post-secondary teaching and research assistants,2705,13742,26897,
      402 College and other vocational instructors,3710,60586,54043,
        4021 College and other vocational instructors,3705,60586,54043,
      403 Secondary and elementary school teachers and educational counsellors,10320,60692,54503,
        4031 Secondary school teachers,4310,64931,57559,
        4032 Elementary school and kindergarten teachers,5330,57384,51897,
        4033 Educational counsellors,680,61823,55555,
"    41 Professional occupations in law and social, community and government services",14590,60834,66170,
"      411 Judges, lawyers and Quebec notaries",3270,83069,99063,
        4111 Judges,210,240394,207703,
        4112 Lawyers and Quebec notaries,3065,79948,91595,
      415 Social and community service professionals,3710,51836,50815,
        4151 Psychologists,1080,59375,54341,
        4152 Social workers,1720,52308,50207,
"        4153 Family, marriage and other related counsellors",430,51313,47242,
        4154 Professional occupations in religion,120,34932,40174,
        4155 Probation and parole officers and related occupations,90,73640,70677,
        4156 Employment counsellors,270,44242,44445,
"      416 Policy and program researchers, consultants and officers",7610,59749,59509,
"        4161 Natural and applied science policy researchers, consultants and program officers",1060,66166,66080,
        4162 Economists and economic policy researchers and analysts,735,70899,66985,
        4163 Business development officers and marketing researchers and consultants,955,53893,55685,
"        4164 Social policy researchers, consultants and program officers",1535,62625,65171,
"        4165 Health policy researchers, consultants and program officers",915,61315,60620,
"        4166 Education policy researchers, consultants and program officers",910,63117,60370,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",335,38315,44274,
        4168 Program officers unique to government,895,47803,47957,
"        4169 Other professional occupations in social science, n.e.c.",275,42626,45482,
"    42 Paraprofessional occupations in legal, social, community and education services",14685,29629,30658,
"      421 Paraprofessional occupations in legal, social, community and education services",14685,29629,30658,
        4211 Paralegal and related occupations,765,37928,39643,
        4212 Social and community service workers,3035,35285,34796,
        4214 Early childhood educators and assistants,8525,25907,26084,
        4215 Instructors of persons with disabilities,1825,44219,41205,
        4216 Other instructors,295,21266,29179,
        4217 Other religious occupations,245,30486,33804,
    43 Occupations in front-line public protection services,6915,67513,70587,
      431 Occupations in front-line public protection services,6915,67513,70587,
        4311 Police officers (except commissioned),1775,90476,84356,
        4312 Firefighters,775,113609,101455,
        4313 Non-commissioned ranks of the Canadian Armed Forces,4370,63824,59512,
"    44 Care providers and educational, legal and public protection support occupations",4020,21445,28431,
      441 Home care providers and educational support occupations,3240,17641,21058,
        4411 Home child care providers,830,14615,16351,
"        4412 Home support workers, housekeepers and related occupations",1115,14188,18739,
        4413 Elementary and secondary school teacher assistants,1295,24393,26086,
      442 Legal and public protection support occupations,780,62368,59025,
        4421 Sheriffs and bailiffs,45,29130,40129,
        4422 Correctional service officers,525,64631,65742,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",210,45072,45851,
"  5 Occupations in art, culture, recreation and sport",14870,19813,28004,
    51 Professional occupations in art and culture,4725,28961,35166,
"      511 Librarians, archivists, conservators and curators",310,55466,51114,
        5111 Librarians,120,63249,55187,
        5112 Conservators and curators,85,58349,49101,
        5113 Archivists,95,50918,47809,
"      512 Writing, translating and related communications professionals",2185,40247,42298,
        5121 Authors and writers,485,31588,36063,
        5122 Editors,490,43761,40636,
        5123 Journalists,375,69324,60366,
"        5125 Translators, terminologists and interpreters",830,38570,38737,
      513 Creative and performing artists,2235,17129,25985,
"        5131 Producers, directors, choreographers and related occupations",630,42861,42947,
"        5132 Conductors, composers and arrangers",50,24761,31247,
        5133 Musicians and singers,775,14931,21496,
        5134 Dancers,150,3986,6341,
        5135 Actors and comedians,135,15559,20340,
"        5136 Painters, sculptors and other visual artists",485,14479,18399,
"    52 Technical occupations in art, culture, recreation and sport",10150,15971,24669,
"      521 Technical occupations in libraries, public archives, museums and art galleries",410,36750,35512,
        5211 Library and public archive technicians,170,41154,39909,
        5212 Technical occupations related to museums and art galleries,240,29727,32410,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1880,34840,35513,
        5221 Photographers,325,18773,24769,
        5222 Film and video camera operators,145,60599,51997,
        5223 Graphic arts technicians,680,36597,37945,
        5224 Broadcast technicians,30,57687,54622,
        5225 Audio and video recording technicians,325,34452,35182,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",305,30419,32722,
