"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Toronto,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",4420,43905,46577,
"        1251 Court reporters, medical transcriptionists and related occupations",1385,25863,29829,
        1252 Health information management occupations,640,56269,67324,
        1253 Records management technicians,905,48288,46974,
        1254 Statistical officers and related research support occupations,1490,51616,53024,
"    13 Finance, insurance and related business administrative occupations",33885,44633,52959,
"      131 Finance, insurance and related business administrative occupations",33885,44633,52959,
        1311 Accounting technicians and bookkeepers,20360,32437,43800,
        1312 Insurance adjusters and claims examiners,6175,58433,61728,
        1313 Insurance underwriters,4545,62779,74978,
"        1314 Assessors, valuators and appraisers",1800,57885,70673,
"        1315 Customs, ship and other brokers",1005,47619,53275,
    14 Office support occupations,144490,32928,36439,
      141 General office workers,75025,26673,30701,
        1411 General office support workers,46810,29659,32970,
        1414 Receptionists,25500,21807,24545,
        1415 Personnel clerks,2245,43284,49961,
        1416 Court clerks,470,48430,46892,
      142 Office equipment operators,9040,28271,30736,
        1422 Data entry clerks,8745,27824,30180,
        1423 Desktop publishing operators and related occupations,295,50756,47313,
"      143 Financial, insurance and related administrative support workers",49760,42220,47372,
        1431 Accounting and related clerks,31520,40856,45645,
        1432 Payroll administrators,6435,51863,52283,
"        1434 Banking, insurance and other financial clerks",7215,43617,56254,
        1435 Collectors,4585,36498,38381,
"      145 Library, correspondence and other clerks",10670,25073,30635,
        1451 Library assistants and clerks,3050,20147,26978,
"        1452 Correspondence, publication and regulatory clerks",4495,44807,44266,
        1454 Survey interviewers and statistical clerks,3130,3138,14608,
"    15 Distribution, tracking and scheduling co-ordination occupations",62100,38923,40707,
      151 Mail and message distribution occupations,16110,42215,40704,
"        1511 Mail, postal and related workers",7365,42596,41367,
        1512 Letter carriers,4225,58536,52669,
"        1513 Couriers, messengers and door-to-door distributors",4510,21945,28401,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",45995,38279,40708,
        1521 Shippers and receivers,22710,35721,37139,
        1522 Storekeepers and partspersons,3700,38784,39933,
        1523 Production logistics co-ordinators,5030,49474,52494,
        1524 Purchasing and inventory control workers,6835,37843,38335,
        1525 Dispatchers,6305,42092,45370,
        1526 Transportation route and crew schedulers,1415,46363,48782,
  2 Natural and applied sciences and related occupations,265135,67316,72252,
    21 Professional occupations in natural and applied sciences,180145,74837,79104,
      211 Physical science professionals,5610,66415,83766,
        2111 Physicists and astronomers,450,82270,89529,
        2112 Chemists,4110,63560,66866,
        2113 Geoscientists and oceanographers,700,83397,183489,
        2114 Meteorologists and climatologists,165,88417,82620,
        2115 Other professional occupations in physical sciences,190,66440,68600,
      212 Life science professionals,3110,60631,69524,
        2121 Biologists and related scientists,2890,62224,71409,
        2122 Forestry professionals,50,53916,56388,
"        2123 Agricultural representatives, consultants and specialists",170,32486,41287,
"      213 Civil, mechanical, electrical and chemical engineers",34865,79078,86979,
        2131 Civil engineers,10960,77085,86477,
        2132 Mechanical engineers,11180,75535,83176,
        2133 Electrical and electronics engineers,10490,85103,90797,
        2134 Chemical engineers,2240,77980,90529,
      214 Other engineers,13495,81835,86337,
        2141 Industrial and manufacturing engineers,3480,71338,75254,
        2142 Metallurgical and materials engineers,335,81581,81949,
        2143 Mining engineers,365,94630,127802,
        2144 Geological engineers,330,81557,95560,
        2145 Petroleum engineers,145,33472,64179,
        2146 Aerospace engineers,1455,86392,86328,
        2147 Computer engineers (except software engineers and designers),6595,89342,92009,
"        2148 Other professional engineers, n.e.c.",795,65384,70871,
"      215 Architects, urban planners and land surveyors",8700,66297,81262,
        2151 Architects,4720,62936,78773,
        2152 Landscape architects,505,65803,72276,
        2153 Urban and land use planners,2665,72662,75938,
        2154 Land surveyors,815,62532,118685,
"      216 Mathematicians, statisticians and actuaries",3935,88086,116456,
"        2161 Mathematicians, statisticians and actuaries",3935,88086,116456,
      217 Computer and information systems professionals,110430,73994,74266,
        2171 Information systems analysts and consultants,54570,74786,75512,
        2172 Database analysts and data administrators,6565,77172,78997,
        2173 Software engineers and designers,15260,82783,84252,
        2174 Computer programmers and interactive media developers,27370,74030,72126,
        2175 Web designers and developers,6665,41036,45314,
    22 Technical occupations related to natural and applied sciences,84995,53203,57727,
      221 Technical occupations in physical sciences,4675,47253,51673,
        2211 Chemical technologists and technicians,4305,47664,50251,
        2212 Geological and mineral technologists and technicians,370,46468,68196,
      222 Technical occupations in life sciences,3795,35522,41110,
        2221 Biological technologists and technicians,1025,50382,48296,
        2222 Agricultural and fish products inspectors,330,61535,56867,
        2223 Forestry technologists and technicians,105,51745,45947,
        2224 Conservation and fishery officers,165,28993,40185,
        2225 Landscape and horticulture technicians and specialists,2175,30432,35170,
"      223 Technical occupations in civil, mechanical and industrial engineering",12650,56137,61548,
        2231 Civil engineering technologists and technicians,2385,50221,56559,
        2232 Mechanical engineering technologists and technicians,3305,57626,59421,
        2233 Industrial engineering and manufacturing technologists and technicians,3665,52478,54296,
        2234 Construction estimators,3290,64625,75383,
      224 Technical occupations in electronics and electrical engineering,18055,45375,49904,
        2241 Electrical and electronics engineering technologists and technicians,6715,48884,55025,
        2242 Electronic service technicians (household and business equipment),10125,41159,44341,
        2243 Industrial instrument technicians and mechanics,400,60627,67317,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",825,69859,68217,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",9020,48154,51403,
        2251 Architectural technologists and technicians,2220,48808,50927,
        2252 Industrial designers,2015,51002,57565,
        2253 Drafting technologists and technicians,3715,45080,47847,
        2254 Land survey technologists and technicians,270,39446,42391,
        2255 Technical occupations in geomatics and meteorology,800,60294,56750,
      226 Other technical inspectors and regulatory officers,6795,66644,65435,
        2261 Non-destructive testers and inspection technicians,360,54426,62611,
        2262 Engineering inspectors and regulatory officers,655,63164,70647,
        2263 Inspectors in public and environmental health and occupational health and safety,3800,70091,68076,
        2264 Construction inspectors,1985,60857,59161,
