"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nunavut [1],,,,
Global non-response rate (GNR) =   8.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"    13 Finance, insurance and related business administrative occupations",170,99328,92073,
"      131 Finance, insurance and related business administrative occupations",170,99328,92073,
        1311 Accounting technicians and bookkeepers,160,98560,91879,
        1312 Insurance adjusters and claims examiners,10,0,0,
        1313 Insurance underwriters,0,0,0,
"        1314 Assessors, valuators and appraisers",0,0,0,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,835,56704,57455,
      141 General office workers,555,42368,49803,
        1411 General office support workers,350,42581,51625,
        1414 Receptionists,180,33216,41694,
        1415 Personnel clerks,20,81664,75244,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,45,70656,69662,
        1422 Data entry clerks,50,70656,69662,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",175,87296,83005,
        1431 Accounting and related clerks,105,71936,75500,
        1432 Payroll administrators,55,103552,96614,
"        1434 Banking, insurance and other financial clerks",0,0,0,
        1435 Collectors,0,0,0,
"      145 Library, correspondence and other clerks",65,22336,46804,
        1451 Library assistants and clerks,10,0,0,
"        1452 Correspondence, publication and regulatory clerks",30,84736,72104,
        1454 Survey interviewers and statistical clerks,20,3128,26381,
"    15 Distribution, tracking and scheduling co-ordination occupations",130,42368,48500,
      151 Mail and message distribution occupations,25,23616,28534,
"        1511 Mail, postal and related workers",20,23744,28871,
        1512 Letter carriers,10,0,0,
"        1513 Couriers, messengers and door-to-door distributors",0,0,0,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",110,47104,53122,
        1521 Shippers and receivers,25,58496,53328,
        1522 Storekeepers and partspersons,10,0,0,
        1523 Production logistics co-ordinators,10,0,0,
        1524 Purchasing and inventory control workers,25,25600,41754,
        1525 Dispatchers,40,51712,57805,
        1526 Transportation route and crew schedulers,0,0,0,
  2 Natural and applied sciences and related occupations,470,103467,95838,
    21 Professional occupations in natural and applied sciences,160,117504,104258,
      211 Physical science professionals,15,108288,100781,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,0,0,0,
        2113 Geoscientists and oceanographers,15,113408,100586,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,25,129792,119635,
        2121 Biologists and related scientists,20,129792,119434,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",0,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",20,128768,113569,
        2131 Civil engineers,15,126208,113378,
        2132 Mechanical engineers,0,0,0,
        2133 Electrical and electronics engineers,10,0,0,
        2134 Chemical engineers,0,0,0,
      214 Other engineers,10,0,0,
        2141 Industrial and manufacturing engineers,0,0,0,
        2142 Metallurgical and materials engineers,0,0,0,
        2143 Mining engineers,0,0,0,
        2144 Geological engineers,0,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),0,0,0,
"        2148 Other professional engineers, n.e.c.",0,0,0,
"      215 Architects, urban planners and land surveyors",40,116480,99601,
        2151 Architects,10,0,0,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,30,111616,102593,
        2154 Land surveyors,0,0,0,
"      216 Mathematicians, statisticians and actuaries",10,0,0,
"        2161 Mathematicians, statisticians and actuaries",0,0,0,
      217 Computer and information systems professionals,60,107776,99972,
        2171 Information systems analysts and consultants,35,113408,99625,
        2172 Database analysts and data administrators,10,0,0,
        2173 Software engineers and designers,0,0,0,
        2174 Computer programmers and interactive media developers,10,0,0,
        2175 Web designers and developers,0,0,0,
    22 Technical occupations related to natural and applied sciences,310,99072,91382,
      221 Technical occupations in physical sciences,20,30848,59118,
        2211 Chemical technologists and technicians,10,73472,57812,
        2212 Geological and mineral technologists and technicians,10,0,0,
      222 Technical occupations in life sciences,60,112384,98554,
        2221 Biological technologists and technicians,15,111104,96168,
        2222 Agricultural and fish products inspectors,0,0,0,
        2223 Forestry technologists and technicians,0,0,0,
        2224 Conservation and fishery officers,50,115456,101682,
        2225 Landscape and horticulture technicians and specialists,0,0,0,
"      223 Technical occupations in civil, mechanical and industrial engineering",10,103808,94005,
        2231 Civil engineering technologists and technicians,10,0,0,
        2232 Mechanical engineering technologists and technicians,0,0,0,
        2233 Industrial engineering and manufacturing technologists and technicians,0,0,0,
        2234 Construction estimators,0,0,0,
      224 Technical occupations in electronics and electrical engineering,40,107264,100591,
        2241 Electrical and electronics engineering technologists and technicians,20,117504,119888,
        2242 Electronic service technicians (household and business equipment),20,85504,82265,
        2243 Industrial instrument technicians and mechanics,0,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",45,76928,75258,
        2251 Architectural technologists and technicians,10,0,0,
        2252 Industrial designers,0,0,0,
        2253 Drafting technologists and technicians,0,0,0,
        2254 Land survey technologists and technicians,0,0,0,
        2255 Technical occupations in geomatics and meteorology,40,71040,74337,
      226 Other technical inspectors and regulatory officers,55,105088,101559,
        2261 Non-destructive testers and inspection technicians,0,0,0,
        2262 Engineering inspectors and regulatory officers,0,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,45,100096,97976,
        2264 Construction inspectors,10,0,0,
      227 Transportation officers and controllers,30,77568,83095,
"        2271 Air pilots, flight engineers and flying instructors",15,68608,82693,
        2272 Air traffic controllers and related occupations,15,81408,81456,
"        2273 Deck officers, water transport",0,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,45,98560,96884,
        2281 Computer network technicians,25,108800,100843,
        2282 User support technicians,15,93184,88357,
        2283 Information systems testing technicians,0,0,0,
  3 Health occupations,455,77184,84766,
    30 Professional occupations in nursing,140,135168,130719,
      301 Professional occupations in nursing,135,135168,130719,
        3011 Nursing co-ordinators and supervisors,10,137728,164607,
        3012 Registered nurses and registered psychiatric nurses,125,133632,128071,
    31 Professional occupations in health (except nursing),65,121856,126814,
"      311 Physicians, dentists and veterinarians",20,158208,175376,
        3111 Specialist physicians,0,0,0,
        3112 General practitioners and family physicians,15,160256,181308,
        3113 Dentists,0,0,0,
        3114 Veterinarians,0,0,0,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",15,148992,123571,
        3121 Optometrists,0,0,0,
        3122 Chiropractors,0,0,0,
        3124 Allied primary health practitioners,15,152064,135752,
        3125 Other professional occupations in health diagnosing and treating,0,0,0,
"      313 Pharmacists, dietitians and nutritionists",15,111872,93817,
        3131 Pharmacists,10,0,0,
        3132 Dietitians and nutritionists,0,0,0,
      314 Therapy and assessment professionals,15,119424,96103,
        3141 Audiologists and speech-language pathologists,0,0,0,
        3142 Physiotherapists,10,0,0,
        3143 Occupational therapists,0,0,0,
        3144 Other professional occupations in therapy and assessment,0,0,0,
    32 Technical occupations in health,80,85504,80073,
      321 Medical technologists and technicians (except dental health),55,89600,83480,
        3211 Medical laboratory technologists,10,120064,112194,
        3212 Medical laboratory technicians and pathologists' assistants,10,0,0,
        3213 Animal health technologists and veterinary technicians,0,0,0,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0,0,0,
        3215 Medical radiation technologists,10,0,0,
        3216 Medical sonographers,0,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,
        3219 Other medical technologists and technicians (except dental health),15,44032,42880,
      322 Technical occupations in dental health care,10,51072,60865,
        3221 Denturists,0,0,0,
        3222 Dental hygienists and dental therapists,15,51072,60865,
"        3223 Dental technologists, technicians and laboratory assistants",0,0,0,
      323 Other technical occupations in health care,15,82176,83406,
        3231 Opticians,0,0,0,
        3232 Practitioners of natural healing,0,0,0,
        3233 Licensed practical nurses,10,0,0,
        3234 Paramedical occupations,0,0,0,
        3236 Massage therapists,0,0,0,
        3237 Other technical occupations in therapy and assessment,0,0,0,
    34 Assisting occupations in support of health services,175,21696,35296,
      341 Assisting occupations in support of health services,175,21696,35296,
        3411 Dental assistants,20,12576,14794,
"        3413 Nurse aides, orderlies and patient service associates",145,23424,38543,
        3414 Other assisting occupations in support of health services,10,0,0,
"  4 Occupations in education, law and social, community and government services",3425,70633,72005,
    40 Professional occupations in education services,995,99755,84074,
      401 University professors and post-secondary assistants,10,27840,52524,
        4011 University professors and lecturers,10,0,0,
        4012 Post-secondary teaching and research assistants,0,0,0,
