"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (partie du Québec / Quebec part),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1251 Court reporters, medical transcriptionists and related occupations",105,48568,45843,
        1252 Health information management occupations,50,41854,44843,
        1253 Records management technicians,295,51881,49469,
        1254 Statistical officers and related research support occupations,110,58102,52209,
"    13 Finance, insurance and related business administrative occupations",1570,53435,54272,
"      131 Finance, insurance and related business administrative occupations",1570,53435,54272,
        1311 Accounting technicians and bookkeepers,1210,52612,51021,
        1312 Insurance adjusters and claims examiners,140,51654,61150,
        1313 Insurance underwriters,65,56573,67520,
"        1314 Assessors, valuators and appraisers",135,66393,69281,
"        1315 Customs, ship and other brokers",25,0,0,
    14 Office support occupations,8070,38348,37355,
      141 General office workers,4760,36415,36083,
        1411 General office support workers,2700,43909,40659,
        1414 Receptionists,1550,20963,23875,
        1415 Personnel clerks,460,50521,49036,
        1416 Court clerks,50,44657,46396,
      142 Office equipment operators,445,34128,35605,
        1422 Data entry clerks,420,32064,33253,
        1423 Desktop publishing operators and related occupations,30,0,67873,
"      143 Financial, insurance and related administrative support workers",1730,41235,40944,
        1431 Accounting and related clerks,1250,40003,39765,
        1432 Payroll administrators,235,52711,51880,
"        1434 Banking, insurance and other financial clerks",110,39954,36369,
        1435 Collectors,125,36973,35992,
"      145 Library, correspondence and other clerks",1130,42211,37921,
        1451 Library assistants and clerks,140,45266,38265,
"        1452 Correspondence, publication and regulatory clerks",665,49350,44855,
        1454 Survey interviewers and statistical clerks,325,16272,23631,
"    15 Distribution, tracking and scheduling co-ordination occupations",2625,38886,39371,
      151 Mail and message distribution occupations,840,40957,39139,
"        1511 Mail, postal and related workers",305,35987,34990,
        1512 Letter carriers,340,56854,48968,
"        1513 Couriers, messengers and door-to-door distributors",195,29604,28375,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1785,38205,39481,
        1521 Shippers and receivers,600,30263,31280,
        1522 Storekeepers and partspersons,390,37620,39037,
        1523 Production logistics co-ordinators,180,46036,48000,
        1524 Purchasing and inventory control workers,265,41203,41265,
        1525 Dispatchers,300,46644,48889,
        1526 Transportation route and crew schedulers,45,45651,45132,
  2 Natural and applied sciences and related occupations,12795,71226,71755,
    21 Professional occupations in natural and applied sciences,7630,78772,78540,
      211 Physical science professionals,245,79333,79368,
        2111 Physicists and astronomers,40,76278,80910,
        2112 Chemists,105,78569,70577,
        2113 Geoscientists and oceanographers,60,79069,87425,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,25,0,82046,
      212 Life science professionals,370,69245,67160,
        2121 Biologists and related scientists,270,76461,75055,
        2122 Forestry professionals,40,61972,55217,
"        2123 Agricultural representatives, consultants and specialists",60,36111,39733,
"      213 Civil, mechanical, electrical and chemical engineers",975,85467,86367,
        2131 Civil engineers,395,80344,79986,
        2132 Mechanical engineers,255,77109,81264,
        2133 Electrical and electronics engineers,265,100166,100394,
        2134 Chemical engineers,60,94810,87117,
      214 Other engineers,645,97174,98114,
        2141 Industrial and manufacturing engineers,80,61314,64971,
        2142 Metallurgical and materials engineers,20,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,10,0,0,
        2145 Petroleum engineers,10,0,0,
        2146 Aerospace engineers,60,103010,104052,
        2147 Computer engineers (except software engineers and designers),410,98717,103794,
"        2148 Other professional engineers, n.e.c.",55,86289,86791,
"      215 Architects, urban planners and land surveyors",325,63019,72218,
        2151 Architects,100,61923,77234,
        2152 Landscape architects,10,0,0,
        2153 Urban and land use planners,110,77469,74489,
        2154 Land surveyors,95,54160,58810,
"      216 Mathematicians, statisticians and actuaries",420,79507,81534,
"        2161 Mathematicians, statisticians and actuaries",425,79507,81534,
      217 Computer and information systems professionals,4655,77233,75213,
        2171 Information systems analysts and consultants,1800,78765,76499,
        2172 Database analysts and data administrators,515,75522,73862,
        2173 Software engineers and designers,390,99200,98555,
        2174 Computer programmers and interactive media developers,1575,76573,74107,
        2175 Web designers and developers,370,54454,50664,
    22 Technical occupations related to natural and applied sciences,5165,61103,61729,
      221 Technical occupations in physical sciences,195,70903,75613,
        2211 Chemical technologists and technicians,150,67750,76654,
        2212 Geological and mineral technologists and technicians,45,75065,71984,
      222 Technical occupations in life sciences,360,37919,42888,
        2221 Biological technologists and technicians,80,49213,49318,
        2222 Agricultural and fish products inspectors,15,0,0,
        2223 Forestry technologists and technicians,25,0,0,
        2224 Conservation and fishery officers,50,62648,69132,
        2225 Landscape and horticulture technicians and specialists,190,27649,28562,
"      223 Technical occupations in civil, mechanical and industrial engineering",655,50420,54449,
        2231 Civil engineering technologists and technicians,250,49460,51746,
        2232 Mechanical engineering technologists and technicians,130,72269,69102,
        2233 Industrial engineering and manufacturing technologists and technicians,110,57308,53300,
        2234 Construction estimators,170,46466,47995,
      224 Technical occupations in electronics and electrical engineering,755,65108,63038,
        2241 Electrical and electronics engineering technologists and technicians,345,72043,74712,
        2242 Electronic service technicians (household and business equipment),350,48237,47495,
