"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = British Columbia / Colombie-Britannique [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        1243 Medical administrative assistants,3860,36096,34508,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",3170,38287,39911,
"        1251 Court reporters, medical transcriptionists and related occupations",1690,21954,27309,
        1252 Health information management occupations,505,61316,61595,
        1253 Records management technicians,565,49177,50652,
        1254 Statistical officers and related research support occupations,405,43438,50439,
"    13 Finance, insurance and related business administrative occupations",30770,35605,40485,
"      131 Finance, insurance and related business administrative occupations",30770,35605,40485,
        1311 Accounting technicians and bookkeepers,23215,28679,33014,
        1312 Insurance adjusters and claims examiners,4125,63027,64776,
        1313 Insurance underwriters,1390,60126,66916,
"        1314 Assessors, valuators and appraisers",1475,51448,57919,
"        1315 Customs, ship and other brokers",555,49213,59413,
    14 Office support occupations,108645,32448,33569,
      141 General office workers,66615,29369,30535,
        1411 General office support workers,37940,31893,32719,
        1414 Receptionists,26555,25379,26282,
        1415 Personnel clerks,1660,44412,45718,
        1416 Court clerks,460,45807,41303,
      142 Office equipment operators,4670,31059,32908,
        1422 Data entry clerks,4415,30034,31330,
        1423 Desktop publishing operators and related occupations,255,46192,60426,
"      143 Financial, insurance and related administrative support workers",28515,41228,42126,
        1431 Accounting and related clerks,19415,38628,39649,
        1432 Payroll administrators,4940,48770,48256,
"        1434 Banking, insurance and other financial clerks",2815,42795,48313,
        1435 Collectors,1335,43806,42394,
"      145 Library, correspondence and other clerks",8850,25075,29177,
        1451 Library assistants and clerks,2575,24597,25960,
"        1452 Correspondence, publication and regulatory clerks",3330,44873,45441,
        1454 Survey interviewers and statistical clerks,2940,2401,13542,
"    15 Distribution, tracking and scheduling co-ordination occupations",39950,40029,42630,
      151 Mail and message distribution occupations,11445,40455,39934,
"        1511 Mail, postal and related workers",3825,38810,38484,
        1512 Letter carriers,4105,57051,51709,
"        1513 Couriers, messengers and door-to-door distributors",3515,21627,27768,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",28505,39880,43712,
        1521 Shippers and receivers,11740,34695,37514,
        1522 Storekeepers and partspersons,4775,46874,49674,
        1523 Production logistics co-ordinators,3045,46883,53036,
        1524 Purchasing and inventory control workers,3465,36415,37588,
        1525 Dispatchers,4840,48110,50054,
        1526 Transportation route and crew schedulers,640,52263,53662,
  2 Natural and applied sciences and related occupations,160950,64702,70707,
    21 Professional occupations in natural and applied sciences,88280,72212,78892,
      211 Physical science professionals,3910,70751,81427,
        2111 Physicists and astronomers,410,79091,82978,
        2112 Chemists,1230,59518,66706,
        2113 Geoscientists and oceanographers,1920,73179,90656,
        2114 Meteorologists and climatologists,160,91563,84430,
        2115 Other professional occupations in physical sciences,195,63320,77859,
      212 Life science professionals,6390,66552,66933,
        2121 Biologists and related scientists,4135,61700,65874,
        2122 Forestry professionals,1825,76267,73541,
"        2123 Agricultural representatives, consultants and specialists",425,37942,48933,
