"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = London,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6623 Other sales related occupations,595,14402,26305,
"    67 Service support and other service occupations, n.e.c.",15790,13912,19116,
"      671 Food counter attendants, kitchen helpers and related support occupations",7195,9742,13096,
"        6711 Food counter attendants, kitchen helpers and related support occupations",7190,9742,13096,
"      672 Support occupations in accommodation, travel and amusement services",560,7839,13904,
"        6721 Support occupations in accommodation, travel and facilities set-up services",65,6943,13056,
"        6722 Operators and attendants in amusement, recreation and sport",495,7996,14015,
      673 Cleaners,7340,22140,25352,
        6731 Light duty cleaners,3570,16145,20136,
        6732 Specialized cleaners,535,19193,23196,
"        6733 Janitors, caretakers and building superintendents",3235,30420,31461,
"      674 Other service support and related occupations, n.e.c.",700,18284,19761,
"        6741 Dry cleaning, laundry and related occupations",365,22313,23612,
"        6742 Other service support occupations, n.e.c.",335,8947,15601,
"  7 Trades, transport and equipment operators and related occupations",34155,40886,44155,
"    72 Industrial, electrical and construction trades",11325,43207,47928,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",1160,52384,57156,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",160,80461,82439,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",190,79548,76782,
"        7203 Contractors and supervisors, pipefitting trades",70,67819,65564,
"        7204 Contractors and supervisors, carpentry trades",205,40973,41777,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",540,36229,47446,
"      723 Machining, metal forming, shaping and erecting trades",2705,49556,52205,
        7231 Machinists and machining and tooling inspectors,485,49589,50599,
        7232 Tool and die makers,525,63908,66527,
        7233 Sheet metal workers,290,51796,51454,
        7234 Boilermakers,20,0,0,
        7235 Structural metal and platework fabricators and fitters,40,64063,55609,
        7236 Ironworkers,65,51372,58565,
        7237 Welders and related machine operators,1275,41966,46599,
      724 Electrical trades and electrical power line and telecommunications workers,2320,63084,65051,
        7241 Electricians (except industrial and power system),1195,56980,57314,
        7242 Industrial electricians,385,87688,88557,
        7243 Power system electricians,70,109163,102902,
        7244 Electrical power line and cable workers,140,86968,83446,
        7245 Telecommunications line and cable workers,210,52227,51300,
        7246 Telecommunications installation and repair workers,315,60421,58883,
        7247 Cable television service and maintenance technicians,0,0,0,
"      725 Plumbers, pipefitters and gas fitters",925,49216,51229,
        7251 Plumbers,615,42671,48242,
"        7252 Steamfitters, pipefitters and sprinkler system installers",175,70298,66065,
        7253 Gas fitters,130,46400,45630,
      727 Carpenters and cabinetmakers,1540,33646,35293,
        7271 Carpenters,1305,32794,35707,
        7272 Cabinetmakers,235,37525,32989,
      728 Masonry and plastering trades,950,30535,33422,
        7281 Bricklayers,300,24712,28033,
        7282 Concrete finishers,175,47011,46572,
        7283 Tilesetters,90,32262,32516,
"        7284 Plasterers, drywall installers and finishers and lathers",385,29512,31903,
      729 Other construction trades,1725,22835,29429,
        7291 Roofers and shinglers,355,20408,28892,
        7292 Glaziers,110,31115,28996,
        7293 Insulators,125,51786,52238,
        7294 Painters and decorators (except interior decorators),850,23248,26483,
        7295 Floor covering installers,285,20012,28739,
    73 Maintenance and equipment operation trades,6110,55202,57232,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",745,64841,66466,
"        7301 Contractors and supervisors, mechanic trades",235,56540,65136,
"        7302 Contractors and supervisors, heavy equipment operator crews",355,71780,70470,
"        7303 Supervisors, printing and related occupations",50,59998,57722,
"        7304 Supervisors, railway transport operations",20,0,0,
"        7305 Supervisors, motor transport and other ground transit operators",90,57627,53165,
      731 Machinery and transportation equipment mechanics (except motor vehicles),1835,66072,67418,
        7311 Construction millwrights and industrial mechanics,915,72683,75397,
        7312 Heavy-duty equipment mechanics,305,60141,57953,
"        7313 Heating, refrigeration and air conditioning mechanics",365,57172,54194,
        7314 Railway carmen/women,15,0,0,
        7315 Aircraft mechanics and aircraft inspectors,120,62004,59006,
        7316 Machine fitters,35,43738,51640,
        7318 Elevator constructors and mechanics,85,86015,89850,
      732 Automotive service technicians,2420,47816,47773,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",2095,47326,48128,
        7322 Motor vehicle body repairers,325,49009,45463,
      733 Other mechanics and related repairers,285,41516,43261,
        7331 Oil and solid fuel heating mechanics,20,0,0,
        7332 Appliance servicers and repairers,105,39017,36022,
        7333 Electrical mechanics,30,62618,60264,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",90,41892,47367,
        7335 Other small engine and small equipment repairers,35,47031,36558,
      736 Train crew operating occupations,220,92434,88335,
        7361 Railway and yard locomotive engineers,100,111550,102994,
        7362 Railway conductors and brakemen/women,120,82647,76423,
"      737 Crane operators, drillers and blasters",195,63374,64390,
        7371 Crane operators,165,63904,68304,
"        7372 Drillers and blasters - surface mining, quarrying and construction",15,0,0,
        7373 Water well drillers,10,0,0,
"      738 Printing press operators and other trades and related occupations, n.e.c.",415,38348,40452,
        7381 Printing press operators,280,38375,40973,
"        7384 Other trades and related occupations, n.e.c.",135,36079,39342,
"    74 Other installers, repairers and servicers and material handlers",4595,34907,36117,
"      744 Other installers, repairers and servicers",1270,33519,36892,
        7441 Residential and commercial installers and servicers,930,32305,34076,
        7442 Waterworks and gas maintenance workers,90,60488,58902,
        7444 Pest controllers and fumigators,45,40028,43950,
        7445 Other repairers and servicers,200,33121,38612,
      745 Longshore workers and material handlers,3325,35456,35821,
        7451 Longshore workers,10,0,0,
        7452 Material handlers,3315,35541,35859,
    75 Transport and heavy equipment operation and related maintenance occupations,9030,34619,37656,
      751 Motor vehicle and transit drivers,7735,31654,36172,
        7511 Transport truck drivers,4180,48244,46568,
"        7512 Bus drivers, subway operators and other transit operators",1335,17119,27425,
        7513 Taxi and limousine drivers and chauffeurs,895,11145,12154,
        7514 Delivery and courier service drivers,1330,23913,28477,
      752 Heavy equipment operators,935,50812,51163,
        7521 Heavy equipment operators (except crane),680,53030,52896,
        7522 Public works maintenance equipment operators and related workers,255,48732,46571,
      753 Other transport equipment operators and related maintenance workers,350,31519,34324,
        7531 Railway yard and track maintenance workers,65,61787,60695,
        7532 Water transport deck and engine room crew,10,0,0,
        7533 Boat and cable ferry operators and related occupations,10,0,0,
        7534 Air transport ramp attendants,50,31506,33986,
        7535 Other automotive mechanical installers and servicers,220,26908,27661,
"    76 Trades helpers, construction labourers and related occupations",3105,30930,35464,
      761 Trades helpers and labourers,2695,29707,34344,
        7611 Construction trades helpers and labourers,2535,29744,34428,
        7612 Other trades helpers and labourers,160,28695,32998,
"      762 Public works and other labourers, n.e.c.",410,44539,42809,
        7621 Public works and maintenance labourers,375,46340,43109,
        7622 Railway and motor transport labourers,30,35066,39441,
"  8 Natural resources, agriculture and related production occupations",4080,15107,22124,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",570,30269,40350,
"      821 Supervisors, logging and forestry",20,0,0,
"        8211 Supervisors, logging and forestry",20,0,0,
"      822 Contractors and supervisors, mining, oil and gas",30,0,98259,
"        8221 Supervisors, mining and quarrying",10,0,0,
"        8222 Contractors and supervisors, oil and gas drilling and services",15,0,0,
"      823 Underground miners, oil and gas drillers and related occupations",45,68775,67595,
        8231 Underground production and development miners,15,0,0,
"        8232 Oil and gas well drillers, servicers, testers and related workers",30,0,0,
      824 Logging machinery operators,0,0,0,
        8241 Logging machinery operators,0,0,0,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",465,25822,32013,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",170,21089,35524,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",295,26816,29954,
      826 Fishing vessel masters and fishermen/women,15,0,0,
        8261 Fishing masters and officers,0,0,0,
        8262 Fishermen/women,10,0,0,
"    84 Workers in natural resources, agriculture and related production",1665,14529,21091,
      841 Mine service workers and operators in oil and gas drilling,15,0,0,
        8411 Underground mine service and support workers,10,0,0,
        8412 Oil and gas well drilling and related workers and services operators,0,0,0,
      842 Logging and forestry workers,40,41775,32510,
        8421 Chain saw and skidder operators,30,0,0,
        8422 Silviculture and forestry workers,10,0,0,
      843 Agriculture and horticulture workers,1595,14272,20285,
        8431 General farm workers,1325,16155,21691,
        8432 Nursery and greenhouse workers,270,9190,13420,
      844 Other workers in fishing and trapping and hunting occupations,10,0,0,
        8441 Fishing vessel deckhands,10,0,0,
        8442 Trappers and hunters,0,0,0,
"    86 Harvesting, landscaping and natural resources labourers",1850,12245,17483,
"      861 Harvesting, landscaping and natural resources labourers",1850,12245,17483,
        8611 Harvesting labourers,115,11344,14398,
        8612 Landscaping and grounds maintenance labourers,1675,12681,17275,
        8613 Aquaculture and marine harvest labourers,10,0,0,
        8614 Mine labourers,0,0,0,
"        8615 Oil and gas drilling, servicing and related labourers",15,0,0,
        8616 Logging and forestry labourers,35,0,0,
  9 Occupations in manufacturing and utilities,15115,40542,45628,
"    92 Processing, manufacturing and utilities supervisors and central control operators",1680,68311,82206,
"      921 Supervisors, processing and manufacturing occupations",530,63192,102312,
"        9211 Supervisors, mineral and metal processing",120,67501,66705,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",115,80434,70486,
"        9213 Supervisors, food and beverage processing",190,61186,61254,
"        9214 Supervisors, plastic and rubber products manufacturing",55,0,0,
"        9215 Supervisors, forest products processing",25,0,74925,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",25,0,45272,
"      922 Supervisors, assembly and fabrication",740,74760,74666,
"        9221 Supervisors, motor vehicle assembling",525,78370,75716,
"        9222 Supervisors, electronics manufacturing",15,0,0,
"        9223 Supervisors, electrical products manufacturing",20,0,0,
"        9224 Supervisors, furniture and fixtures manufacturing",15,0,0,
"        9226 Supervisors, other mechanical and metal products manufacturing",100,82857,87212,
"        9227 Supervisors, other products manufacturing and assembly",80,60808,61517,
      923 Central control and process operators in processing and manufacturing,100,59477,67152,
"        9231 Central control and process operators, mineral and metal processing",35,57026,54939,
"        9232 Central control and process operators, petroleum, gas and chemical processing",55,66399,76655,
"        9235 Pulping, papermaking and coating control operators",15,0,0,
      924 Utilities equipment operators and controllers,310,74183,71001,
        9241 Power engineers and power systems operators,145,82719,80636,
        9243 Water and waste treatment plant operators,165,63643,62629,
    94 Processing and manufacturing machine operators and related production workers,3235,39863,41300,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,975,42540,45332,
"        9411 Machine operators, mineral and metal processing",95,61115,61633,
        9412 Foundry workers,80,51718,48416,
        9413 Glass forming and finishing machine operators and glass cutters,45,17402,20189,
"        9414 Concrete, clay and stone forming operators",60,37614,43433,
"        9415 Inspectors and testers, mineral and metal processing",20,0,0,
        9416 Metalworking and forging machine operators,390,42504,44656,
        9417 Machining tool operators,180,44800,45493,
        9418 Other metal products machine operators,100,41377,42406,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",315,36571,41751,
        9421 Chemical plant machine operators,75,42288,37967,
        9422 Plastics processing machine operators,190,36810,45477,
        9423 Rubber processing machine operators and related workers,50,27064,33323,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,245,39144,42418,
        9431 Sawmill machine operators,35,0,36185,
        9432 Pulp mill machine operators,0,0,0,
        9433 Papermaking and finishing machine operators,30,0,56112,
        9434 Other wood processing machine operators,45,28786,31607,
        9435 Paper converting machine operators,65,52550,55213,
        9436 Lumber graders and other wood processing inspectors and graders,15,0,0,
        9437 Woodworking machine operators,55,35129,31778,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",290,31237,31347,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",30,0,0,
"        9442 Weavers, knitters and other fabric making occupations",55,37508,33304,
"        9445 Fabric, fur and leather cutters",15,0,0,
        9446 Industrial sewing machine operators,175,31512,30137,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",10,0,0,
"      946 Machine operators and related workers in food, beverage and associated products processing",1180,41076,41409,
"        9461 Process control and machine operators, food and beverage processing",760,42370,43253,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",290,40266,37436,
        9463 Fish and seafood plant workers,10,0,0,
"        9465 Testers and graders, food and beverage processing",120,42921,40559,
      947 Printing equipment operators and related occupations,230,33975,34371,
        9471 Plateless printing equipment operators,110,37500,38990,
"        9472 Camera, platemaking and other prepress occupations",30,43116,40222,
        9473 Binding and finishing machine operators,50,33901,35386,
        9474 Photographic and film processors,40,18342,17249,
    95 Assemblers in manufacturing,6440,41953,46574,
"      952 Mechanical, electrical and electronics assemblers",4885,45873,49348,
        9521 Aircraft assemblers and aircraft assembly inspectors,40,40323,39365,
"        9522 Motor vehicle assemblers, inspectors and testers",4285,47166,50330,
"        9523 Electronics assemblers, fabricators, inspectors and testers",160,33837,32605,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",120,36468,36994,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",35,45899,53666,
        9526 Mechanical assemblers and inspectors,195,50184,52535,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",50,30048,40734,
      953 Other assembly and related occupations,1555,34325,37849,
        9531 Boat assemblers and inspectors,60,23956,29168,
        9532 Furniture and fixture assemblers and inspectors,110,33538,27649,
        9533 Other wood products assemblers and inspectors,145,30826,32127,
        9534 Furniture finishers and refinishers,60,30718,30083,
"        9535 Plastic products assemblers, finishers and inspectors",140,26742,27070,
"        9536 Industrial painters, coaters and metal finishing process operators",380,58472,57401,
"        9537 Other products assemblers, finishers and inspectors",650,31042,33239,
"    96 Labourers in processing, manufacturing and utilities",3755,30860,31319,
"      961 Labourers in processing, manufacturing and utilities",3750,30860,31319,
        9611 Labourers in mineral and metal processing,100,45186,37165,
        9612 Labourers in metal fabrication,315,36051,35331,
        9613 Labourers in chemical products processing and utilities,65,35147,33360,
"        9614 Labourers in wood, pulp and paper processing",100,28607,30956,
        9615 Labourers in rubber and plastic products manufacturing,65,26417,25459,
        9616 Labourers in textile processing,40,26748,30171,
        9617 Labourers in food and beverage processing,1515,35816,32767,
        9618 Labourers in fish and seafood processing,0,0,0,
"        9619 Other labourers in processing, manufacturing and utilities",1550,25579,29029,
Note,,,,
"[1] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[1] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[1] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[2] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[3] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[4] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
