"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = London,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1252 Health information management occupations,70,59639,60296,
        1253 Records management technicians,55,44891,48736,
        1254 Statistical officers and related research support occupations,80,48263,51013,
"    13 Finance, insurance and related business administrative occupations",2605,40245,44258,
"      131 Finance, insurance and related business administrative occupations",2610,40245,44258,
        1311 Accounting technicians and bookkeepers,1450,27972,35921,
        1312 Insurance adjusters and claims examiners,615,50118,53758,
        1313 Insurance underwriters,330,54327,57369,
"        1314 Assessors, valuators and appraisers",150,56001,54190,
"        1315 Customs, ship and other brokers",60,40090,51488,
    14 Office support occupations,10725,33525,33700,
      141 General office workers,6010,30439,31521,
        1411 General office support workers,3685,33851,33678,
        1414 Receptionists,2110,26781,27175,
        1415 Personnel clerks,180,43466,38534,
        1416 Court clerks,30,0,30149,
      142 Office equipment operators,565,28336,28634,
        1422 Data entry clerks,560,28383,28648,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",3135,41285,41664,
        1431 Accounting and related clerks,1845,39457,38360,
        1432 Payroll administrators,505,46951,47809,
"        1434 Banking, insurance and other financial clerks",495,44337,45459,
        1435 Collectors,290,46150,45521,
"      145 Library, correspondence and other clerks",1020,17837,24874,
        1451 Library assistants and clerks,320,22316,21953,
"        1452 Correspondence, publication and regulatory clerks",275,45698,43892,
        1454 Survey interviewers and statistical clerks,425,9072,14767,
"    15 Distribution, tracking and scheduling co-ordination occupations",4805,38543,39848,
      151 Mail and message distribution occupations,1330,38448,37828,
"        1511 Mail, postal and related workers",425,38801,37848,
        1512 Letter carriers,430,59362,53343,
"        1513 Couriers, messengers and door-to-door distributors",470,16074,23672,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",3480,38587,40619,
        1521 Shippers and receivers,1365,35252,34389,
        1522 Storekeepers and partspersons,495,39812,40730,
        1523 Production logistics co-ordinators,325,56913,60253,
        1524 Purchasing and inventory control workers,480,34419,35131,
        1525 Dispatchers,710,42213,45653,
        1526 Transportation route and crew schedulers,105,44180,50873,
  2 Natural and applied sciences and related occupations,14610,59601,62331,
    21 Professional occupations in natural and applied sciences,8165,66572,69026,
      211 Physical science professionals,280,69907,77216,
        2111 Physicists and astronomers,50,82311,97108,
        2112 Chemists,155,62990,78373,
        2113 Geoscientists and oceanographers,50,42735,52597,
        2114 Meteorologists and climatologists,10,0,0,
        2115 Other professional occupations in physical sciences,25,0,0,
      212 Life science professionals,365,51220,61106,
        2121 Biologists and related scientists,275,57025,66396,
        2122 Forestry professionals,10,0,0,
