"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Vancouver [1],,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",1645,42601,43053,
"        1251 Court reporters, medical transcriptionists and related occupations",700,21924,28022,
        1252 Health information management occupations,320,62357,63815,
        1253 Records management technicians,360,48348,48916,
        1254 Statistical officers and related research support occupations,265,39617,49699,
"    13 Finance, insurance and related business administrative occupations",15425,40034,44912,
"      131 Finance, insurance and related business administrative occupations",15425,40034,44912,
        1311 Accounting technicians and bookkeepers,10070,28783,34334,
        1312 Insurance adjusters and claims examiners,2945,61798,64258,
        1313 Insurance underwriters,1180,61313,68485,
"        1314 Assessors, valuators and appraisers",745,58457,64552,
"        1315 Customs, ship and other brokers",490,50210,59489,
    14 Office support occupations,62215,33370,34461,
      141 General office workers,37095,29595,30661,
        1411 General office support workers,21530,31924,32653,
        1414 Receptionists,14420,25232,26380,
        1415 Personnel clerks,940,44695,48216,
        1416 Court clerks,210,48789,42080,
      142 Office equipment operators,2920,31812,33681,
        1422 Data entry clerks,2750,31218,31615,
        1423 Desktop publishing operators and related occupations,175,49908,66970,
"      143 Financial, insurance and related administrative support workers",17720,41219,43251,
        1431 Accounting and related clerks,12110,38282,40470,
        1432 Payroll administrators,2725,48863,49072,
"        1434 Banking, insurance and other financial clerks",2070,44795,51809,
        1435 Collectors,815,42015,43404,
"      145 Library, correspondence and other clerks",4475,29410,31668,
        1451 Library assistants and clerks,1245,28818,29020,
"        1452 Correspondence, publication and regulatory clerks",1950,44798,45290,
        1454 Survey interviewers and statistical clerks,1280,1559,13439,
"    15 Distribution, tracking and scheduling co-ordination occupations",22780,40597,42852,
      151 Mail and message distribution occupations,6465,44357,42903,
"        1511 Mail, postal and related workers",2305,43317,40746,
        1512 Letter carriers,2230,59071,57801,
"        1513 Couriers, messengers and door-to-door distributors",1930,22407,28266,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",16315,39655,42832,
        1521 Shippers and receivers,7220,35341,38035,
        1522 Storekeepers and partspersons,1765,47358,47690,
        1523 Production logistics co-ordinators,1885,46672,51328,
        1524 Purchasing and inventory control workers,2260,37220,38047,
        1525 Dispatchers,2745,48058,48614,
        1526 Transportation route and crew schedulers,440,53033,54114,
  2 Natural and applied sciences and related occupations,99855,66357,73522,
    21 Professional occupations in natural and applied sciences,62140,73971,81341,
      211 Physical science professionals,2375,69465,81522,
        2111 Physicists and astronomers,300,72353,79470,
        2112 Chemists,955,60377,66255,
        2113 Geoscientists and oceanographers,985,75482,96222,
        2114 Meteorologists and climatologists,45,98672,104348,
        2115 Other professional occupations in physical sciences,95,61457,78687,
      212 Life science professionals,2200,63412,70921,
        2121 Biologists and related scientists,1920,62860,70151,
        2122 Forestry professionals,175,91095,82765,
"        2123 Agricultural representatives, consultants and specialists",100,51981,65023,
"      213 Civil, mechanical, electrical and chemical engineers",14455,81137,93133,
        2131 Civil engineers,5595,83999,93001,
        2132 Mechanical engineers,3825,74086,90580,
        2133 Electrical and electronics engineers,4285,84446,94055,
        2134 Chemical engineers,755,83438,101794,
      214 Other engineers,4915,86023,98431,
        2141 Industrial and manufacturing engineers,820,73649,81550,
        2142 Metallurgical and materials engineers,250,86371,92046,
        2143 Mining engineers,455,111406,144904,
        2144 Geological engineers,605,93470,128070,
        2145 Petroleum engineers,110,110024,136208,
        2146 Aerospace engineers,185,75954,85800,
        2147 Computer engineers (except software engineers and designers),1885,87130,92716,
"        2148 Other professional engineers, n.e.c.",600,74405,74006,
"      215 Architects, urban planners and land surveyors",4130,67916,74360,
        2151 Architects,2370,62752,74805,
        2152 Landscape architects,265,67135,66800,
        2153 Urban and land use planners,1045,76303,72268,
        2154 Land surveyors,445,69391,81431,
"      216 Mathematicians, statisticians and actuaries",610,76829,92997,
"        2161 Mathematicians, statisticians and actuaries",615,76829,92997,
      217 Computer and information systems professionals,33450,71286,75055,
        2171 Information systems analysts and consultants,11300,72889,74756,
        2172 Database analysts and data administrators,1650,69296,71165,
        2173 Software engineers and designers,7750,84386,91137,
        2174 Computer programmers and interactive media developers,9925,69927,73056,
        2175 Web designers and developers,2830,36194,41496,
    22 Technical occupations related to natural and applied sciences,37720,55211,60641,
      221 Technical occupations in physical sciences,1975,38377,46072,
        2211 Chemical technologists and technicians,1580,37773,44471,
        2212 Geological and mineral technologists and technicians,395,39844,52520,
      222 Technical occupations in life sciences,2855,40050,44369,
        2221 Biological technologists and technicians,680,37671,40956,
        2222 Agricultural and fish products inspectors,390,72830,68238,
        2223 Forestry technologists and technicians,175,37717,41080,
        2224 Conservation and fishery officers,175,50023,49707,
        2225 Landscape and horticulture technicians and specialists,1435,32621,39215,
"      223 Technical occupations in civil, mechanical and industrial engineering",4815,60046,65200,
        2231 Civil engineering technologists and technicians,1215,59524,61776,
        2232 Mechanical engineering technologists and technicians,1020,62159,62834,
        2233 Industrial engineering and manufacturing technologists and technicians,1030,52230,59206,
        2234 Construction estimators,1550,65566,73432,
      224 Technical occupations in electronics and electrical engineering,7635,49887,53414,
        2241 Electrical and electronics engineering technologists and technicians,2885,52775,58617,
        2242 Electronic service technicians (household and business equipment),4205,44317,46802,
        2243 Industrial instrument technicians and mechanics,185,81925,77963,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",360,79159,76213,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",4535,52505,54040,
        2251 Architectural technologists and technicians,820,53386,53312,
        2252 Industrial designers,745,43446,53657,
        2253 Drafting technologists and technicians,2250,52622,53315,
        2254 Land survey technologists and technicians,180,39151,45277,
        2255 Technical occupations in geomatics and meteorology,535,62113,61660,
      226 Other technical inspectors and regulatory officers,3570,66444,65407,
        2261 Non-destructive testers and inspection technicians,195,51110,61939,
        2262 Engineering inspectors and regulatory officers,335,80178,75228,
        2263 Inspectors in public and environmental health and occupational health and safety,1910,66429,63711,
        2264 Construction inspectors,1125,64617,65966,
      227 Transportation officers and controllers,3105,95985,109844,
"        2271 Air pilots, flight engineers and flying instructors",1590,93033,115440,
        2272 Air traffic controllers and related occupations,430,140425,132670,
"        2273 Deck officers, water transport",685,88514,88528,
"        2274 Engineer officers, water transport",270,98701,100627,
        2275 Railway traffic controllers and marine traffic regulators,120,102486,96918,
      228 Technical occupations in computer and information systems,9230,55733,57248,
        2281 Computer network technicians,4840,58088,61096,
        2282 User support technicians,3545,52794,53541,
        2283 Information systems testing technicians,845,49863,50759,
  3 Health occupations,84510,49740,59526,
    30 Professional occupations in nursing,22030,70993,66737,
      301 Professional occupations in nursing,22030,70993,66737,
        3011 Nursing co-ordinators and supervisors,1105,75687,68122,
        3012 Registered nurses and registered psychiatric nurses,20925,70807,66664,
    31 Professional occupations in health (except nursing),20705,71926,90628,
"      311 Physicians, dentists and veterinarians",10420,88449,119990,
        3111 Specialist physicians,3740,118608,153081,
        3112 General practitioners and family physicians,4245,76684,103379,
        3113 Dentists,1935,84067,101363,
        3114 Veterinarians,510,74092,86183,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",1550,55219,62031,
        3121 Optometrists,345,49914,61695,
        3122 Chiropractors,520,53078,60947,
        3124 Allied primary health practitioners,410,73238,69949,
        3125 Other professional occupations in health diagnosing and treating,280,49165,52845,
"      313 Pharmacists, dietitians and nutritionists",3790,71523,69274,
        3131 Pharmacists,2910,80875,75492,
        3132 Dietitians and nutritionists,875,50213,48551,
      314 Therapy and assessment professionals,4940,55548,54046,
        3141 Audiologists and speech-language pathologists,705,64463,61542,
        3142 Physiotherapists,2025,61633,59135,
        3143 Occupational therapists,1140,63405,59576,
        3144 Other professional occupations in therapy and assessment,1070,31004,33596,
    32 Technical occupations in health,22360,43315,43871,
      321 Medical technologists and technicians (except dental health),10735,43032,44316,
        3211 Medical laboratory technologists,1670,65329,58217,
        3212 Medical laboratory technicians and pathologists' assistants,2290,40484,39521,
        3213 Animal health technologists and veterinary technicians,1165,25374,26960,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",630,68879,66617,
        3215 Medical radiation technologists,1240,61707,57479,
        3216 Medical sonographers,415,69400,65071,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",245,51135,49950,
        3219 Other medical technologists and technicians (except dental health),3080,32101,33827,
      322 Technical occupations in dental health care,2460,52028,52896,
        3221 Denturists,85,52040,65601,
        3222 Dental hygienists and dental therapists,1660,56860,53723,
"        3223 Dental technologists, technicians and laboratory assistants",715,44117,49456,
      323 Other technical occupations in health care,9165,40818,40922,
        3231 Opticians,720,39551,40317,
        3232 Practitioners of natural healing,1410,14840,20780,
        3233 Licensed practical nurses,3345,47605,44892,
        3234 Paramedical occupations,1100,56853,60260,
        3236 Massage therapists,2185,35012,38501,
        3237 Other technical occupations in therapy and assessment,395,40523,40034,
    34 Assisting occupations in support of health services,19415,37355,36208,
      341 Assisting occupations in support of health services,19415,37355,36208,
        3411 Dental assistants,2870,37890,35899,
"        3413 Nurse aides, orderlies and patient service associates",14260,37555,36857,
        3414 Other assisting occupations in support of health services,2285,33948,32549,
"  4 Occupations in education, law and social, community and government services",148985,41137,53086,
    40 Professional occupations in education services,49330,54306,56063,
      401 University professors and post-secondary assistants,13940,31197,54297,
        4011 University professors and lecturers,6590,88915,92405,
        4012 Post-secondary teaching and research assistants,7350,10434,20115,
      402 College and other vocational instructors,7135,53227,55485,
        4021 College and other vocational instructors,7130,53227,55485,
      403 Secondary and elementary school teachers and educational counsellors,28255,60917,57081,
        4031 Secondary school teachers,10385,69078,60912,
        4032 Elementary school and kindergarten teachers,15825,58631,55414,
        4033 Educational counsellors,2045,48694,50533,
"    41 Professional occupations in law and social, community and government services",37605,55452,73561,
"      411 Judges, lawyers and Quebec notaries",8815,105358,135916,
        4111 Judges,205,279405,244326,
        4112 Lawyers and Quebec notaries,8610,103305,133372,
      415 Social and community service professionals,10755,49073,49853,
        4151 Psychologists,1515,46940,52159,
        4152 Social workers,2930,58079,55355,
"        4153 Family, marriage and other related counsellors",2420,41880,45227,
        4154 Professional occupations in religion,2370,42978,45435,
        4155 Probation and parole officers and related occupations,450,71111,66531,
        4156 Employment counsellors,1075,45542,44802,
"      416 Policy and program researchers, consultants and officers",18035,48728,57230,
"        4161 Natural and applied science policy researchers, consultants and program officers",1660,70489,75695,
        4162 Economists and economic policy researchers and analysts,955,69623,76861,
        4163 Business development officers and marketing researchers and consultants,6635,45555,59137,
"        4164 Social policy researchers, consultants and program officers",2195,48016,52295,
"        4165 Health policy researchers, consultants and program officers",2255,55017,57585,
"        4166 Education policy researchers, consultants and program officers",1925,40020,45246,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",955,41316,43359,
        4168 Program officers unique to government,975,39704,43930,
"        4169 Other professional occupations in social science, n.e.c.",480,50454,51534,
"    42 Paraprofessional occupations in legal, social, community and education services",28835,28440,30975,
"      421 Paraprofessional occupations in legal, social, community and education services",28835,28440,30975,
        4211 Paralegal and related occupations,2830,55762,54358,
        4212 Social and community service workers,10410,36684,35956,
        4214 Early childhood educators and assistants,9810,23608,24689,
        4215 Instructors of persons with disabilities,815,23600,30132,
        4216 Other instructors,4305,10571,19255,
        4217 Other religious occupations,670,18084,23306,
    43 Occupations in front-line public protection services,8510,100611,96501,
      431 Occupations in front-line public protection services,8510,100611,96501,
        4311 Police officers (except commissioned),5445,100571,98443,
        4312 Firefighters,2590,105552,102869,
        4313 Non-commissioned ranks of the Canadian Armed Forces,470,36463,38696,
"    44 Care providers and educational, legal and public protection support occupations",24715,23642,26838,
