"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Vancouver [1],,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",1280,77927,86917,
"        7203 Contractors and supervisors, pipefitting trades",565,75197,74211,
"        7204 Contractors and supervisors, carpentry trades",1625,46602,52318,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",3395,44274,52025,
"      723 Machining, metal forming, shaping and erecting trades",8915,54392,54693,
        7231 Machinists and machining and tooling inspectors,1815,61059,58987,
        7232 Tool and die makers,215,52031,50253,
        7233 Sheet metal workers,1320,52629,55340,
        7234 Boilermakers,155,59495,54195,
        7235 Structural metal and platework fabricators and fitters,880,56353,53880,
        7236 Ironworkers,1045,49784,53180,
        7237 Welders and related machine operators,3495,51918,53178,
      724 Electrical trades and electrical power line and telecommunications workers,11500,57137,61674,
        7241 Electricians (except industrial and power system),7175,44615,50758,
        7242 Industrial electricians,1110,79156,78741,
        7243 Power system electricians,245,92459,83955,
        7244 Electrical power line and cable workers,370,122649,123620,
        7245 Telecommunications line and cable workers,800,78984,85190,
        7246 Telecommunications installation and repair workers,1715,72334,68165,
        7247 Cable television service and maintenance technicians,85,86919,75502,
"      725 Plumbers, pipefitters and gas fitters",6600,44638,49287,
        7251 Plumbers,4970,41534,45582,
"        7252 Steamfitters, pipefitters and sprinkler system installers",1155,58815,63341,
        7253 Gas fitters,480,50811,53771,
      727 Carpenters and cabinetmakers,12275,37225,40540,
        7271 Carpenters,11115,37340,40713,
        7272 Cabinetmakers,1160,36303,38891,
      728 Masonry and plastering trades,4965,30247,36321,
        7281 Bricklayers,785,40047,44347,
        7282 Concrete finishers,885,39328,42726,
        7283 Tilesetters,1230,23285,28816,
"        7284 Plasterers, drywall installers and finishers and lathers",2070,29748,35003,
      729 Other construction trades,9390,29350,34322,
        7291 Roofers and shinglers,1535,35178,37462,
        7292 Glaziers,1310,44409,45839,
        7293 Insulators,490,49783,49370,
        7294 Painters and decorators (except interior decorators),4790,21695,28559,
        7295 Floor covering installers,1255,29347,34532,
    73 Maintenance and equipment operation trades,26580,60652,63994,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",4225,74401,82992,
"        7301 Contractors and supervisors, mechanic trades",1155,79045,88526,
"        7302 Contractors and supervisors, heavy equipment operator crews",2125,75085,84873,
"        7303 Supervisors, printing and related occupations",205,55118,62737,
"        7304 Supervisors, railway transport operations",120,93844,97806,
"        7305 Supervisors, motor transport and other ground transit operators",620,62361,70121,
      731 Machinery and transportation equipment mechanics (except motor vehicles),7240,72799,72736,
        7311 Construction millwrights and industrial mechanics,2285,72002,71112,
        7312 Heavy-duty equipment mechanics,1155,79377,78846,
"        7313 Heating, refrigeration and air conditioning mechanics",1350,60570,64449,
        7314 Railway carmen/women,160,77724,77896,
        7315 Aircraft mechanics and aircraft inspectors,1555,72007,68052,
        7316 Machine fitters,40,47660,54575,
        7318 Elevator constructors and mechanics,695,99081,94485,
      732 Automotive service technicians,10530,50301,52321,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",8330,50178,51915,
        7322 Motor vehicle body repairers,2205,50569,53857,
      733 Other mechanics and related repairers,1135,44022,50075,
        7331 Oil and solid fuel heating mechanics,30,0,0,
        7332 Appliance servicers and repairers,480,38193,39493,
        7333 Electrical mechanics,205,72743,80344,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",340,42374,45325,
        7335 Other small engine and small equipment repairers,85,53387,55063,
      736 Train crew operating occupations,670,80595,80921,
        7361 Railway and yard locomotive engineers,310,91839,89531,
        7362 Railway conductors and brakemen/women,360,75857,73482,
"      737 Crane operators, drillers and blasters",980,73645,79141,
        7371 Crane operators,870,73404,79915,
"        7372 Drillers and blasters - surface mining, quarrying and construction",100,77196,72950,
        7373 Water well drillers,0,0,0,
"      738 Printing press operators and other trades and related occupations, n.e.c.",1795,46207,46792,
        7381 Printing press operators,1085,44908,44885,
"        7384 Other trades and related occupations, n.e.c.",715,47791,49708,
"    74 Other installers, repairers and servicers and material handlers",23810,35112,42311,
"      744 Other installers, repairers and servicers",5560,34857,38690,
        7441 Residential and commercial installers and servicers,3685,33381,36606,
        7442 Waterworks and gas maintenance workers,275,60338,62157,
        7444 Pest controllers and fumigators,370,46286,48113,
        7445 Other repairers and servicers,1235,33036,36893,
      745 Longshore workers and material handlers,18250,35301,43414,
        7451 Longshore workers,2675,96758,95183,
        7452 Material handlers,15575,31938,34528,
    75 Transport and heavy equipment operation and related maintenance occupations,39225,39551,42699,
      751 Motor vehicle and transit drivers,32630,37362,41049,
        7511 Transport truck drivers,16680,44469,46118,
"        7512 Bus drivers, subway operators and other transit operators",5250,58551,52257,
        7513 Taxi and limousine drivers and chauffeurs,4490,18323,21902,
        7514 Delivery and courier service drivers,6210,27359,31810,
      752 Heavy equipment operators,3215,59579,57832,
        7521 Heavy equipment operators (except crane),2365,59590,58289,
        7522 Public works maintenance equipment operators and related workers,855,59568,56570,
      753 Other transport equipment operators and related maintenance workers,3375,42389,44214,
        7531 Railway yard and track maintenance workers,305,70063,69979,
        7532 Water transport deck and engine room crew,470,57197,54269,
        7533 Boat and cable ferry operators and related occupations,410,50481,50262,
        7534 Air transport ramp attendants,1515,35310,35859,
        7535 Other automotive mechanical installers and servicers,675,33830,40514,
"    76 Trades helpers, construction labourers and related occupations",14530,26202,32853,
      761 Trades helpers and labourers,13145,24944,31703,
        7611 Construction trades helpers and labourers,12620,24808,31439,
        7612 Other trades helpers and labourers,525,27131,38024,
"      762 Public works and other labourers, n.e.c.",1390,44713,43715,
        7621 Public works and maintenance labourers,1220,46896,44261,
        7622 Railway and motor transport labourers,170,25545,39823,
"  8 Natural resources, agriculture and related production occupations",17895,17503,25732,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",3490,30049,40453,
"      821 Supervisors, logging and forestry",100,53821,63635,
"        8211 Supervisors, logging and forestry",100,53821,63635,
"      822 Contractors and supervisors, mining, oil and gas",210,72026,80829,
"        8221 Supervisors, mining and quarrying",75,64377,67178,
"        8222 Contractors and supervisors, oil and gas drilling and services",135,79160,88359,
"      823 Underground miners, oil and gas drillers and related occupations",235,68905,72324,
        8231 Underground production and development miners,85,68215,69116,
"        8232 Oil and gas well drillers, servicers, testers and related workers",150,70255,74199,
      824 Logging machinery operators,40,60751,66029,
        8241 Logging machinery operators,45,60751,66029,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",2080,30946,37106,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",440,20595,27260,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1635,34506,39751,
      826 Fishing vessel masters and fishermen/women,810,16362,25010,
        8261 Fishing masters and officers,55,53597,53239,
        8262 Fishermen/women,760,15000,22991,
"    84 Workers in natural resources, agriculture and related production",4830,13929,20462,
      841 Mine service workers and operators in oil and gas drilling,75,73732,83555,
        8411 Underground mine service and support workers,20,0,0,
        8412 Oil and gas well drilling and related workers and services operators,60,77412,89135,
      842 Logging and forestry workers,195,41240,40113,
        8421 Chain saw and skidder operators,55,40050,39301,
        8422 Silviculture and forestry workers,140,41302,40418,
      843 Agriculture and horticulture workers,4400,13016,18328,
        8431 General farm workers,2940,10857,17926,
        8432 Nursery and greenhouse workers,1455,17875,19137,
      844 Other workers in fishing and trapping and hunting occupations,160,19196,25244,
        8441 Fishing vessel deckhands,160,19196,25244,
        8442 Trappers and hunters,0,0,0,
"    86 Harvesting, landscaping and natural resources labourers",9580,16074,23030,
"      861 Harvesting, landscaping and natural resources labourers",9580,16074,23030,
        8611 Harvesting labourers,1845,10460,12884,
        8612 Landscaping and grounds maintenance labourers,7275,19150,24726,
        8613 Aquaculture and marine harvest labourers,50,17435,18372,
        8614 Mine labourers,45,41580,76140,
"        8615 Oil and gas drilling, servicing and related labourers",105,49279,51652,
        8616 Logging and forestry labourers,255,20195,27406,
  9 Occupations in manufacturing and utilities,39455,35088,40386,
"    92 Processing, manufacturing and utilities supervisors and central control operators",4725,66551,73232,
"      921 Supervisors, processing and manufacturing occupations",2140,62845,66803,
"        9211 Supervisors, mineral and metal processing",240,71082,74941,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",440,75812,76519,
"        9213 Supervisors, food and beverage processing",900,55673,57788,
"        9214 Supervisors, plastic and rubber products manufacturing",170,57897,64766,
"        9215 Supervisors, forest products processing",310,78795,77935,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",85,55780,52636,
"      922 Supervisors, assembly and fabrication",650,62165,67163,
"        9221 Supervisors, motor vehicle assembling",45,69577,80103,
"        9222 Supervisors, electronics manufacturing",160,69008,78957,
"        9223 Supervisors, electrical products manufacturing",55,66080,65724,
"        9224 Supervisors, furniture and fixtures manufacturing",90,54737,49689,
"        9226 Supervisors, other mechanical and metal products manufacturing",105,76945,71322,
"        9227 Supervisors, other products manufacturing and assembly",195,49525,60948,
      923 Central control and process operators in processing and manufacturing,470,74968,88843,
"        9231 Central control and process operators, mineral and metal processing",75,65547,67348,
"        9232 Central control and process operators, petroleum, gas and chemical processing",250,113933,109381,
"        9235 Pulping, papermaking and coating control operators",140,57881,63534,
      924 Utilities equipment operators and controllers,1470,72186,80303,
        9241 Power engineers and power systems operators,1070,76538,85743,
        9243 Water and waste treatment plant operators,400,65213,65634,
    94 Processing and manufacturing machine operators and related production workers,12770,36147,40695,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,2520,42318,46692,
"        9411 Machine operators, mineral and metal processing",185,50551,60816,
        9412 Foundry workers,110,69512,72085,
        9413 Glass forming and finishing machine operators and glass cutters,415,31319,29768,
"        9414 Concrete, clay and stone forming operators",505,34846,45200,
"        9415 Inspectors and testers, mineral and metal processing",75,39109,42890,
        9416 Metalworking and forging machine operators,700,50471,50546,
        9417 Machining tool operators,250,48230,48432,
        9418 Other metal products machine operators,280,40225,44891,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",1230,37913,40557,
        9421 Chemical plant machine operators,420,35132,40340,
        9422 Plastics processing machine operators,650,39062,41018,
        9423 Rubber processing machine operators and related workers,160,38073,39243,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,1880,51830,53461,
        9431 Sawmill machine operators,440,56702,54705,
        9432 Pulp mill machine operators,65,62057,69844,
        9433 Papermaking and finishing machine operators,150,61988,62745,
        9434 Other wood processing machine operators,430,51821,55919,
        9435 Paper converting machine operators,260,42234,51796,
        9436 Lumber graders and other wood processing inspectors and graders,265,59214,54920,
        9437 Woodworking machine operators,270,39541,38449,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",2125,26352,27045,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",165,22546,27443,
"        9442 Weavers, knitters and other fabric making occupations",210,20717,24655,
"        9445 Fabric, fur and leather cutters",135,33081,31538,
        9446 Industrial sewing machine operators,1400,26395,26325,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",205,28505,31142,
"      946 Machine operators and related workers in food, beverage and associated products processing",3570,34844,37949,
"        9461 Process control and machine operators, food and beverage processing",1905,35555,39266,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",635,43426,43050,
        9463 Fish and seafood plant workers,705,25517,27354,
"        9465 Testers and graders, food and beverage processing",325,40030,43086,
      947 Printing equipment operators and related occupations,1450,36064,40569,
        9471 Plateless printing equipment operators,565,36061,46230,
"        9472 Camera, platemaking and other prepress occupations",280,45451,45785,
        9473 Binding and finishing machine operators,330,32193,33458,
        9474 Photographic and film processors,270,29133,32039,
    95 Assemblers in manufacturing,7550,36040,38229,
"      952 Mechanical, electrical and electronics assemblers",2700,38866,42443,
        9521 Aircraft assemblers and aircraft assembly inspectors,80,61182,60192,
"        9522 Motor vehicle assemblers, inspectors and testers",450,37418,43246,
"        9523 Electronics assemblers, fabricators, inspectors and testers",1155,36419,37723,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",475,36211,41537,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",80,55720,57499,
        9526 Mechanical assemblers and inspectors,375,51716,50059,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",90,42605,43618,
      953 Other assembly and related occupations,4845,33916,35878,
        9531 Boat assemblers and inspectors,160,42748,40855,
        9532 Furniture and fixture assemblers and inspectors,720,26776,29060,
        9533 Other wood products assemblers and inspectors,560,32172,35020,
        9534 Furniture finishers and refinishers,475,29158,30984,
"        9535 Plastic products assemblers, finishers and inspectors",510,34959,35848,
"        9536 Industrial painters, coaters and metal finishing process operators",805,45886,50005,
"        9537 Other products assemblers, finishers and inspectors",1630,33071,33146,
"    96 Labourers in processing, manufacturing and utilities",14410,26818,30470,
"      961 Labourers in processing, manufacturing and utilities",14410,26818,30470,
        9611 Labourers in mineral and metal processing,365,33024,34215,
        9612 Labourers in metal fabrication,710,34147,35756,
        9613 Labourers in chemical products processing and utilities,590,26215,31491,
"        9614 Labourers in wood, pulp and paper processing",1095,41978,45233,
        9615 Labourers in rubber and plastic products manufacturing,285,26949,27930,
        9616 Labourers in textile processing,220,22458,24745,
        9617 Labourers in food and beverage processing,6420,27149,30028,
        9618 Labourers in fish and seafood processing,660,14988,18422,
"        9619 Other labourers in processing, manufacturing and utilities",4070,24798,28232,
Note,,,,
"[1] Data quality index showing a long-form income non-response rate higher than or equal to 10%, but lower than 20%.",,,,
"[2] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[2] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[2] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[3] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[4] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[5] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[6] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
