"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Trois-Rivières,,,,
Global non-response rate (GNR) =   3.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1254 Statistical officers and related research support occupations,0,0,0,
"    13 Finance, insurance and related business administrative occupations",575,40131,42830,
"      131 Finance, insurance and related business administrative occupations",570,40131,42830,
        1311 Accounting technicians and bookkeepers,365,38181,36500,
        1312 Insurance adjusters and claims examiners,100,53987,57684,
        1313 Insurance underwriters,10,0,0,
"        1314 Assessors, valuators and appraisers",100,48432,50778,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,2580,29782,29634,
      141 General office workers,1455,24927,26187,
        1411 General office support workers,605,35828,32866,
        1414 Receptionists,825,18931,21128,
        1415 Personnel clerks,25,27450,30022,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,120,29509,26813,
        1422 Data entry clerks,120,29509,26813,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",800,34551,35478,
        1431 Accounting and related clerks,570,33066,32698,
        1432 Payroll administrators,120,46165,44889,
"        1434 Banking, insurance and other financial clerks",45,41750,40851,
        1435 Collectors,70,41755,38800,
"      145 Library, correspondence and other clerks",205,31298,32867,
        1451 Library assistants and clerks,60,37592,35606,
"        1452 Correspondence, publication and regulatory clerks",90,40174,41417,
        1454 Survey interviewers and statistical clerks,60,0,0,
"    15 Distribution, tracking and scheduling co-ordination occupations",1455,29933,33966,
      151 Mail and message distribution occupations,235,35995,36885,
"        1511 Mail, postal and related workers",80,20168,29711,
        1512 Letter carriers,105,54297,47828,
"        1513 Couriers, messengers and door-to-door distributors",50,19581,25397,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1220,29679,33405,
        1521 Shippers and receivers,485,25929,28908,
        1522 Storekeepers and partspersons,310,29788,32461,
        1523 Production logistics co-ordinators,75,33784,41306,
        1524 Purchasing and inventory control workers,110,14884,20645,
        1525 Dispatchers,210,46483,48596,
        1526 Transportation route and crew schedulers,30,0,36218,
  2 Natural and applied sciences and related occupations,4290,54891,60103,
    21 Professional occupations in natural and applied sciences,1735,67221,68657,
      211 Physical science professionals,90,70123,68686,
        2111 Physicists and astronomers,45,73412,70655,
        2112 Chemists,25,0,0,
        2113 Geoscientists and oceanographers,20,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,110,45509,50644,
        2121 Biologists and related scientists,65,44146,47170,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",40,52103,55741,
"      213 Civil, mechanical, electrical and chemical engineers",650,83588,80638,
        2131 Civil engineers,200,79755,72929,
        2132 Mechanical engineers,245,82076,83218,
        2133 Electrical and electronics engineers,175,95287,87619,
        2134 Chemical engineers,35,75081,72238,
      214 Other engineers,210,74739,74155,
        2141 Industrial and manufacturing engineers,110,74372,69473,
        2142 Metallurgical and materials engineers,15,0,0,
        2143 Mining engineers,15,0,0,
        2144 Geological engineers,0,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),60,51948,62350,
"        2148 Other professional engineers, n.e.c.",0,0,0,
"      215 Architects, urban planners and land surveyors",95,67181,72656,
        2151 Architects,45,67370,86858,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,15,0,0,
        2154 Land surveyors,40,42643,55365,
"      216 Mathematicians, statisticians and actuaries",0,0,0,
"        2161 Mathematicians, statisticians and actuaries",0,0,0,
      217 Computer and information systems professionals,570,55562,55585,
        2171 Information systems analysts and consultants,165,61460,61026,
