"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Halifax,,,,
Global non-response rate (GNR) =   4.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1251 Court reporters, medical transcriptionists and related occupations",240,27982,32029,
        1252 Health information management occupations,60,50168,56857,
        1253 Records management technicians,75,48533,49046,
        1254 Statistical officers and related research support occupations,95,48309,49209,
"    13 Finance, insurance and related business administrative occupations",2400,43150,48128,
"      131 Finance, insurance and related business administrative occupations",2405,43150,48128,
        1311 Accounting technicians and bookkeepers,1220,26050,37523,
        1312 Insurance adjusters and claims examiners,595,60146,61169,
        1313 Insurance underwriters,425,50225,55203,
"        1314 Assessors, valuators and appraisers",140,63582,65366,
"        1315 Customs, ship and other brokers",25,0,0,
    14 Office support occupations,10425,32315,32127,
      141 General office workers,5350,29184,29841,
        1411 General office support workers,3345,33003,32468,
        1414 Receptionists,1760,21204,23278,
        1415 Personnel clerks,195,42002,41246,
        1416 Court clerks,45,42889,41946,
      142 Office equipment operators,705,28241,29969,
        1422 Data entry clerks,680,28199,29798,
        1423 Desktop publishing operators and related occupations,20,0,0,
"      143 Financial, insurance and related administrative support workers",3105,39109,39022,
        1431 Accounting and related clerks,1825,36485,36883,
        1432 Payroll administrators,750,44088,42152,
"        1434 Banking, insurance and other financial clerks",415,39166,42253,
        1435 Collectors,120,43023,41005,
"      145 Library, correspondence and other clerks",1270,22810,26073,
        1451 Library assistants and clerks,400,25794,25545,
"        1452 Correspondence, publication and regulatory clerks",305,42899,46392,
        1454 Survey interviewers and statistical clerks,565,8103,15457,
"    15 Distribution, tracking and scheduling co-ordination occupations",3935,36741,38089,
      151 Mail and message distribution occupations,1225,38276,36823,
"        1511 Mail, postal and related workers",520,36490,35334,
        1512 Letter carriers,325,57814,52165,
"        1513 Couriers, messengers and door-to-door distributors",375,13748,25786,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",2710,36329,38660,
        1521 Shippers and receivers,945,31038,31650,
        1522 Storekeepers and partspersons,465,38261,37081,
        1523 Production logistics co-ordinators,330,50743,52977,
        1524 Purchasing and inventory control workers,425,32051,33597,
        1525 Dispatchers,445,43815,46739,
        1526 Transportation route and crew schedulers,100,43784,50186,
  2 Natural and applied sciences and related occupations,17660,63228,66915,
    21 Professional occupations in natural and applied sciences,9770,67800,70503,
      211 Physical science professionals,495,80322,77207,
        2111 Physicists and astronomers,35,117869,88293,
        2112 Chemists,170,63064,64822,
        2113 Geoscientists and oceanographers,205,82320,82078,
        2114 Meteorologists and climatologists,85,94237,83788,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,440,60754,61320,
        2121 Biologists and related scientists,420,60815,61305,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",10,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",2080,78234,83538,
        2131 Civil engineers,880,75210,80163,
        2132 Mechanical engineers,570,82297,91244,
        2133 Electrical and electronics engineers,550,78582,77418,
        2134 Chemical engineers,80,82837,107887,
      214 Other engineers,1010,81648,88551,
        2141 Industrial and manufacturing engineers,175,83762,95336,
        2142 Metallurgical and materials engineers,40,0,0,
        2143 Mining engineers,45,0,0,
        2144 Geological engineers,25,0,105074,
        2145 Petroleum engineers,75,108792,177654,
        2146 Aerospace engineers,70,80686,88867,
        2147 Computer engineers (except software engineers and designers),300,63537,64414,
"        2148 Other professional engineers, n.e.c.",270,86514,85781,
"      215 Architects, urban planners and land surveyors",455,57146,59770,
        2151 Architects,190,52024,49586,
        2152 Landscape architects,20,0,0,
        2153 Urban and land use planners,150,60384,67109,
        2154 Land surveyors,95,58503,67099,
"      216 Mathematicians, statisticians and actuaries",175,62881,75674,
"        2161 Mathematicians, statisticians and actuaries",175,62881,75674,
      217 Computer and information systems professionals,5115,64002,62542,
        2171 Information systems analysts and consultants,2400,67327,65729,
        2172 Database analysts and data administrators,285,67016,60131,
        2173 Software engineers and designers,680,71647,71493,
        2174 Computer programmers and interactive media developers,1375,59401,59711,
        2175 Web designers and developers,375,39674,38167,
    22 Technical occupations related to natural and applied sciences,7890,57847,62472,
      221 Technical occupations in physical sciences,270,45960,45574,
        2211 Chemical technologists and technicians,205,38953,38079,
        2212 Geological and mineral technologists and technicians,65,63619,68685,
      222 Technical occupations in life sciences,400,53268,46171,
        2221 Biological technologists and technicians,110,57115,49287,
        2222 Agricultural and fish products inspectors,20,0,0,
        2223 Forestry technologists and technicians,30,0,0,
        2224 Conservation and fishery officers,80,69277,51905,
        2225 Landscape and horticulture technicians and specialists,160,25991,35021,
"      223 Technical occupations in civil, mechanical and industrial engineering",1110,58222,59485,
        2231 Civil engineering technologists and technicians,225,46207,42413,
        2232 Mechanical engineering technologists and technicians,400,68916,66176,
        2233 Industrial engineering and manufacturing technologists and technicians,145,59548,55409,
        2234 Construction estimators,335,61181,64479,
      224 Technical occupations in electronics and electrical engineering,1965,59036,59465,
        2241 Electrical and electronics engineering technologists and technicians,1015,66760,63333,
        2242 Electronic service technicians (household and business equipment),735,49344,50133,
        2243 Industrial instrument technicians and mechanics,35,96072,109311,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",180,62820,65348,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",705,52768,50489,
        2251 Architectural technologists and technicians,65,38083,35175,
        2252 Industrial designers,45,52870,43720,
        2253 Drafting technologists and technicians,360,54562,51136,
        2254 Land survey technologists and technicians,70,50136,52274,
        2255 Technical occupations in geomatics and meteorology,170,53600,56316,
      226 Other technical inspectors and regulatory officers,820,62035,67526,
        2261 Non-destructive testers and inspection technicians,90,63296,71564,
        2262 Engineering inspectors and regulatory officers,125,67038,74858,
        2263 Inspectors in public and environmental health and occupational health and safety,435,62594,66077,
        2264 Construction inspectors,170,55392,63616,
      227 Transportation officers and controllers,860,95733,106967,
"        2271 Air pilots, flight engineers and flying instructors",355,117621,123692,
        2272 Air traffic controllers and related occupations,95,89479,90353,
"        2273 Deck officers, water transport",290,81432,94658,
"        2274 Engineer officers, water transport",100,100046,100448,
        2275 Railway traffic controllers and marine traffic regulators,25,0,0,
      228 Technical occupations in computer and information systems,1760,54573,54683,
        2281 Computer network technicians,1040,59510,56756,
        2282 User support technicians,575,47648,50869,
        2283 Information systems testing technicians,150,57925,54958,
  3 Health occupations,17555,47043,54948,
    30 Professional occupations in nursing,4925,67007,60659,
      301 Professional occupations in nursing,4925,67007,60659,
        3011 Nursing co-ordinators and supervisors,270,66579,59040,
        3012 Registered nurses and registered psychiatric nurses,4660,67050,60751,
    31 Professional occupations in health (except nursing),4240,71478,83002,
"      311 Physicians, dentists and veterinarians",1955,81886,110448,
        3111 Specialist physicians,750,96285,121202,
        3112 General practitioners and family physicians,790,79440,112138,
        3113 Dentists,295,92362,99930,
        3114 Veterinarians,115,54497,55690,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",305,72441,63585,
        3121 Optometrists,50,26165,38959,
        3122 Chiropractors,65,32620,40840,
        3124 Allied primary health practitioners,150,96237,86657,
        3125 Other professional occupations in health diagnosing and treating,40,24708,43922,
"      313 Pharmacists, dietitians and nutritionists",1055,66879,64005,
        3131 Pharmacists,745,80560,69005,
        3132 Dietitians and nutritionists,310,53573,51920,
      314 Therapy and assessment professionals,925,58738,53100,
        3141 Audiologists and speech-language pathologists,180,74452,67049,
        3142 Physiotherapists,335,58088,52511,
        3143 Occupational therapists,225,62448,54375,
        3144 Other professional occupations in therapy and assessment,185,37959,38510,
    32 Technical occupations in health,4890,43585,43296,
      321 Medical technologists and technicians (except dental health),2160,39708,41966,
        3211 Medical laboratory technologists,335,60147,51501,
        3212 Medical laboratory technicians and pathologists' assistants,400,41969,40513,
        3213 Animal health technologists and veterinary technicians,265,26023,26225,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",175,57739,53735,
        3215 Medical radiation technologists,305,66019,58471,
        3216 Medical sonographers,65,61972,63397,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",35,54855,45580,
        3219 Other medical technologists and technicians (except dental health),565,28452,29220,
      322 Technical occupations in dental health care,495,52864,50089,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,375,54095,50138,
"        3223 Dental technologists, technicians and laboratory assistants",105,48365,54025,
      323 Other technical occupations in health care,2240,44161,43086,
        3231 Opticians,125,46644,45251,
        3232 Practitioners of natural healing,90,14101,18460,
        3233 Licensed practical nurses,895,47430,42920,
        3234 Paramedical occupations,450,67787,68090,
        3236 Massage therapists,475,24341,26917,
        3237 Other technical occupations in therapy and assessment,205,40091,35900,
    34 Assisting occupations in support of health services,3500,31243,29235,
      341 Assisting occupations in support of health services,3500,31243,29235,
        3411 Dental assistants,420,33406,33054,
"        3413 Nurse aides, orderlies and patient service associates",2655,30643,28656,
        3414 Other assisting occupations in support of health services,430,29202,29090,
"  4 Occupations in education, law and social, community and government services",31210,48234,53315,
    40 Professional occupations in education services,9895,55011,55931,
      401 University professors and post-secondary assistants,3550,30604,58092,
        4011 University professors and lecturers,1930,103213,94909,
        4012 Post-secondary teaching and research assistants,1610,6921,13982,
      402 College and other vocational instructors,1080,47747,50918,
        4021 College and other vocational instructors,1080,47747,50918,
      403 Secondary and elementary school teachers and educational counsellors,5270,62779,55501,
        4031 Secondary school teachers,1630,70128,59938,
        4032 Elementary school and kindergarten teachers,3335,58783,53423,
        4033 Educational counsellors,305,59907,54504,
"    41 Professional occupations in law and social, community and government services",6985,59772,66262,
"      411 Judges, lawyers and Quebec notaries",1280,101282,111663,
        4111 Judges,65,305556,268951,
        4112 Lawyers and Quebec notaries,1215,98289,103068,
      415 Social and community service professionals,2140,53002,53961,
        4151 Psychologists,330,63902,63323,
        4152 Social workers,840,65381,60344,
"        4153 Family, marriage and other related counsellors",345,42619,43505,
        4154 Professional occupations in religion,335,44434,44583,
        4155 Probation and parole officers and related occupations,80,75267,76490,
        4156 Employment counsellors,220,40051,37950,
"      416 Policy and program researchers, consultants and officers",3560,55957,57328,
"        4161 Natural and applied science policy researchers, consultants and program officers",425,61447,63640,
        4162 Economists and economic policy researchers and analysts,155,66981,67302,
        4163 Business development officers and marketing researchers and consultants,745,51687,55727,
"        4164 Social policy researchers, consultants and program officers",495,57017,55821,
"        4165 Health policy researchers, consultants and program officers",680,55855,56988,
"        4166 Education policy researchers, consultants and program officers",410,61252,66401,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",155,47039,45383,
        4168 Program officers unique to government,365,48355,51896,
"        4169 Other professional occupations in social science, n.e.c.",135,46866,42548,
"    42 Paraprofessional occupations in legal, social, community and education services",4745,28453,30726,
"      421 Paraprofessional occupations in legal, social, community and education services",4740,28453,30726,
