"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Hamilton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1251 Court reporters, medical transcriptionists and related occupations",300,27092,29829,
        1252 Health information management occupations,85,60699,61867,
        1253 Records management technicians,80,63943,64324,
        1254 Statistical officers and related research support occupations,155,45716,48374,
"    13 Finance, insurance and related business administrative occupations",4250,43936,49554,
"      131 Finance, insurance and related business administrative occupations",4250,43936,49554,
        1311 Accounting technicians and bookkeepers,2425,30005,36571,
        1312 Insurance adjusters and claims examiners,1060,62413,65645,
        1313 Insurance underwriters,500,62067,70310,
"        1314 Assessors, valuators and appraisers",200,63348,69470,
"        1315 Customs, ship and other brokers",65,54287,51256,
    14 Office support occupations,15495,33798,35739,
      141 General office workers,8965,29835,32163,
        1411 General office support workers,5315,33467,34894,
        1414 Receptionists,3415,25038,26467,
        1415 Personnel clerks,190,49311,55328,
        1416 Court clerks,45,51264,43024,
      142 Office equipment operators,860,30968,33598,
        1422 Data entry clerks,815,30861,32827,
        1423 Desktop publishing operators and related occupations,45,46728,47446,
"      143 Financial, insurance and related administrative support workers",4350,43678,45680,
        1431 Accounting and related clerks,2920,42160,42676,
        1432 Payroll administrators,570,49283,50631,
"        1434 Banking, insurance and other financial clerks",490,44213,58315,
        1435 Collectors,375,45097,44951,
"      145 Library, correspondence and other clerks",1320,20445,28663,
        1451 Library assistants and clerks,450,11334,16506,
"        1452 Correspondence, publication and regulatory clerks",535,42831,44430,
        1454 Survey interviewers and statistical clerks,335,1680,19929,
"    15 Distribution, tracking and scheduling co-ordination occupations",7535,41014,43353,
      151 Mail and message distribution occupations,2025,42755,39892,
"        1511 Mail, postal and related workers",770,34119,37075,
        1512 Letter carriers,625,57567,56735,
"        1513 Couriers, messengers and door-to-door distributors",625,19083,26488,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",5515,40817,44624,
        1521 Shippers and receivers,2465,34548,36885,
        1522 Storekeepers and partspersons,605,41011,42961,
        1523 Production logistics co-ordinators,670,58670,62022,
        1524 Purchasing and inventory control workers,740,43109,42864,
        1525 Dispatchers,910,50935,54098,
        1526 Transportation route and crew schedulers,125,47856,53355,
  2 Natural and applied sciences and related occupations,24620,66552,71370,
    21 Professional occupations in natural and applied sciences,13070,75114,79083,
      211 Physical science professionals,690,74810,76253,
        2111 Physicists and astronomers,65,114893,117117,
        2112 Chemists,365,67792,69878,
        2113 Geoscientists and oceanographers,160,79192,83840,
        2114 Meteorologists and climatologists,25,0,69296,
        2115 Other professional occupations in physical sciences,85,63138,59653,
      212 Life science professionals,455,62193,96919,
        2121 Biologists and related scientists,400,63757,104332,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",45,44589,35176,
"      213 Civil, mechanical, electrical and chemical engineers",3750,82605,88089,
        2131 Civil engineers,1020,84999,95338,
        2132 Mechanical engineers,1380,77158,83496,
        2133 Electrical and electronics engineers,1075,86142,86886,
        2134 Chemical engineers,275,85359,88921,
      214 Other engineers,1230,84682,89134,
        2141 Industrial and manufacturing engineers,455,76304,76380,
        2142 Metallurgical and materials engineers,135,100147,101859,
        2143 Mining engineers,40,116570,137722,
        2144 Geological engineers,20,0,0,
        2145 Petroleum engineers,20,0,0,
        2146 Aerospace engineers,90,82843,89031,
        2147 Computer engineers (except software engineers and designers),375,93552,93276,
"        2148 Other professional engineers, n.e.c.",95,66059,68323,
"      215 Architects, urban planners and land surveyors",605,62933,64505,
        2151 Architects,190,61579,63058,
        2152 Landscape architects,45,50209,54218,
        2153 Urban and land use planners,295,66401,66049,
        2154 Land surveyors,75,61519,67863,
"      216 Mathematicians, statisticians and actuaries",140,66389,79850,
"        2161 Mathematicians, statisticians and actuaries",140,66389,79850,
      217 Computer and information systems professionals,6200,72251,72060,
