"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Sherbrooke,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1253 Records management technicians,55,47901,39217,
        1254 Statistical officers and related research support occupations,0,0,0,
"    13 Finance, insurance and related business administrative occupations",960,36730,37652,
"      131 Finance, insurance and related business administrative occupations",960,36730,37652,
        1311 Accounting technicians and bookkeepers,700,35573,33298,
        1312 Insurance adjusters and claims examiners,135,44812,52668,
        1313 Insurance underwriters,25,0,0,
"        1314 Assessors, valuators and appraisers",95,41458,47071,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,3025,27431,27317,
      141 General office workers,1675,25770,25798,
        1411 General office support workers,730,34173,31575,
        1414 Receptionists,880,18814,20086,
        1415 Personnel clerks,60,36301,40931,
        1416 Court clerks,10,0,0,
      142 Office equipment operators,135,13606,20276,
        1422 Data entry clerks,130,13115,19742,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",830,33289,33092,
        1431 Accounting and related clerks,635,32398,31822,
        1432 Payroll administrators,80,38237,38206,
"        1434 Banking, insurance and other financial clerks",65,40603,41678,
        1435 Collectors,45,20063,28809,
"      145 Library, correspondence and other clerks",385,18165,23938,
        1451 Library assistants and clerks,55,30756,27048,
"        1452 Correspondence, publication and regulatory clerks",120,13063,21283,
        1454 Survey interviewers and statistical clerks,210,19082,24635,
"    15 Distribution, tracking and scheduling co-ordination occupations",2000,32594,34093,
      151 Mail and message distribution occupations,405,38116,34810,
"        1511 Mail, postal and related workers",80,19223,27178,
        1512 Letter carriers,220,48969,42627,
"        1513 Couriers, messengers and door-to-door distributors",105,15600,24200,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1590,31954,33910,
        1521 Shippers and receivers,650,26292,25847,
        1522 Storekeepers and partspersons,350,37483,35701,
        1523 Production logistics co-ordinators,165,47459,52574,
        1524 Purchasing and inventory control workers,220,27580,30424,
        1525 Dispatchers,195,41544,41510,
        1526 Transportation route and crew schedulers,20,0,0,
  2 Natural and applied sciences and related occupations,7000,50403,52501,
    21 Professional occupations in natural and applied sciences,3245,59222,61169,
      211 Physical science professionals,145,73170,72075,
        2111 Physicists and astronomers,25,0,88023,
        2112 Chemists,105,72608,72877,
        2113 Geoscientists and oceanographers,0,0,0,
        2114 Meteorologists and climatologists,10,0,0,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,225,51661,46436,
        2121 Biologists and related scientists,135,43980,41759,
        2122 Forestry professionals,25,0,61942,
"        2123 Agricultural representatives, consultants and specialists",60,64354,50317,
"      213 Civil, mechanical, electrical and chemical engineers",1105,71421,75622,
        2131 Civil engineers,330,71301,80022,
        2132 Mechanical engineers,450,71015,69970,
        2133 Electrical and electronics engineers,195,68233,69275,
        2134 Chemical engineers,140,74606,92558,
      214 Other engineers,280,64281,66363,
        2141 Industrial and manufacturing engineers,115,73956,71373,
        2142 Metallurgical and materials engineers,10,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,10,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),130,64385,64460,
"        2148 Other professional engineers, n.e.c.",10,0,0,
"      215 Architects, urban planners and land surveyors",125,57319,60850,
        2151 Architects,60,51159,61007,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,40,57262,62630,
        2154 Land surveyors,30,0,0,
"      216 Mathematicians, statisticians and actuaries",35,0,0,
"        2161 Mathematicians, statisticians and actuaries",35,0,0,
      217 Computer and information systems professionals,1330,50405,49791,
        2171 Information systems analysts and consultants,440,67831,61407,
        2172 Database analysts and data administrators,75,64513,58490,
        2173 Software engineers and designers,70,68842,69431,
        2174 Computer programmers and interactive media developers,635,41852,41510,
        2175 Web designers and developers,100,27748,30688,
    22 Technical occupations related to natural and applied sciences,3755,43558,45009,
      221 Technical occupations in physical sciences,190,33605,33967,
        2211 Chemical technologists and technicians,155,34369,35029,
        2212 Geological and mineral technologists and technicians,35,0,0,
      222 Technical occupations in life sciences,355,20577,26198,
        2221 Biological technologists and technicians,70,35158,27588,
        2222 Agricultural and fish products inspectors,25,0,0,
        2223 Forestry technologists and technicians,20,0,0,
        2224 Conservation and fishery officers,30,0,0,
        2225 Landscape and horticulture technicians and specialists,210,18876,20815,
"      223 Technical occupations in civil, mechanical and industrial engineering",990,46239,48486,
        2231 Civil engineering technologists and technicians,325,43908,45436,
        2232 Mechanical engineering technologists and technicians,320,45966,44344,
        2233 Industrial engineering and manufacturing technologists and technicians,205,50002,54286,
        2234 Construction estimators,140,53926,56841,
      224 Technical occupations in electronics and electrical engineering,645,49780,51000,
        2241 Electrical and electronics engineering technologists and technicians,375,56981,57843,
        2242 Electronic service technicians (household and business equipment),205,32632,31990,
        2243 Industrial instrument technicians and mechanics,55,75436,74679,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",10,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",580,40043,43967,
        2251 Architectural technologists and technicians,40,42428,51857,
        2252 Industrial designers,115,48346,51479,
        2253 Drafting technologists and technicians,270,35977,35453,
        2254 Land survey technologists and technicians,110,42857,48355,
        2255 Technical occupations in geomatics and meteorology,50,60587,56647,
      226 Other technical inspectors and regulatory officers,245,47663,46059,
        2261 Non-destructive testers and inspection technicians,15,0,0,
        2262 Engineering inspectors and regulatory officers,25,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,110,48215,50592,
        2264 Construction inspectors,90,24815,37357,
      227 Transportation officers and controllers,35,63907,70039,
"        2271 Air pilots, flight engineers and flying instructors",20,0,0,
        2272 Air traffic controllers and related occupations,0,0,0,
"        2273 Deck officers, water transport",10,0,0,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,710,49805,46126,
        2281 Computer network technicians,480,53497,51243,
        2282 User support technicians,195,35569,34022,
