"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kitchener - Cambridge - Waterloo,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1251 Court reporters, medical transcriptionists and related occupations",170,22410,26424,
        1252 Health information management occupations,110,53787,55469,
        1253 Records management technicians,95,47969,48361,
        1254 Statistical officers and related research support occupations,135,48744,45906,
"    13 Finance, insurance and related business administrative occupations",3675,43329,47424,
"      131 Finance, insurance and related business administrative occupations",3680,43329,47424,
        1311 Accounting technicians and bookkeepers,1825,29833,37446,
        1312 Insurance adjusters and claims examiners,920,51540,58134,
        1313 Insurance underwriters,730,51938,56839,
"        1314 Assessors, valuators and appraisers",120,67286,66324,
"        1315 Customs, ship and other brokers",80,32741,37708,
    14 Office support occupations,11725,32835,34481,
      141 General office workers,6170,28479,31713,
        1411 General office support workers,3585,30747,34797,
        1414 Receptionists,2290,24095,25549,
        1415 Personnel clerks,245,38631,41194,
        1416 Court clerks,55,49250,45999,
      142 Office equipment operators,750,27969,30000,
        1422 Data entry clerks,745,28006,30149,
        1423 Desktop publishing operators and related occupations,10,0,0,
"      143 Financial, insurance and related administrative support workers",3770,41903,42157,
        1431 Accounting and related clerks,2370,39203,39247,
        1432 Payroll administrators,590,49026,51991,
"        1434 Banking, insurance and other financial clerks",645,41903,43021,
        1435 Collectors,165,49327,45450,
"      145 Library, correspondence and other clerks",1030,21726,26232,
        1451 Library assistants and clerks,460,19632,21279,
"        1452 Correspondence, publication and regulatory clerks",315,42092,43067,
        1454 Survey interviewers and statistical clerks,260,1721,14300,
"    15 Distribution, tracking and scheduling co-ordination occupations",5780,41356,42538,
      151 Mail and message distribution occupations,1175,37091,37051,
"        1511 Mail, postal and related workers",340,33237,34145,
        1512 Letter carriers,420,55761,49083,
"        1513 Couriers, messengers and door-to-door distributors",420,20660,27456,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",4605,42287,43940,
        1521 Shippers and receivers,2210,39770,40101,
        1522 Storekeepers and partspersons,510,37374,37387,
        1523 Production logistics co-ordinators,535,54205,61910,
        1524 Purchasing and inventory control workers,600,40633,43179,
        1525 Dispatchers,610,44500,47039,
        1526 Transportation route and crew schedulers,140,48204,49527,
  2 Natural and applied sciences and related occupations,25055,68587,73433,
    21 Professional occupations in natural and applied sciences,15705,76611,82317,
      211 Physical science professionals,405,73647,86567,
        2111 Physicists and astronomers,95,83450,112011,
        2112 Chemists,185,70285,69082,
        2113 Geoscientists and oceanographers,95,88092,105101,
        2114 Meteorologists and climatologists,10,0,0,
        2115 Other professional occupations in physical sciences,25,0,0,
      212 Life science professionals,390,56537,61398,
        2121 Biologists and related scientists,340,56849,62274,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",50,50894,55625,
"      213 Civil, mechanical, electrical and chemical engineers",3625,81200,86293,
        2131 Civil engineers,965,79219,87293,
        2132 Mechanical engineers,1475,81149,86405,
        2133 Electrical and electronics engineers,1060,82778,86291,
        2134 Chemical engineers,125,85543,77463,
      214 Other engineers,1265,81237,85929,
        2141 Industrial and manufacturing engineers,585,76958,77188,
        2142 Metallurgical and materials engineers,40,67683,67045,
        2143 Mining engineers,15,0,0,
        2144 Geological engineers,20,0,0,
        2145 Petroleum engineers,10,0,0,
        2146 Aerospace engineers,100,78660,80050,
