"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kitchener - Cambridge - Waterloo,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        7232 Tool and die makers,770,63315,66386,
        7233 Sheet metal workers,320,65545,65004,
        7234 Boilermakers,65,92613,87900,
        7235 Structural metal and platework fabricators and fitters,210,51434,52348,
        7236 Ironworkers,105,69835,74051,
        7237 Welders and related machine operators,1820,52073,52947,
      724 Electrical trades and electrical power line and telecommunications workers,2450,61574,64135,
        7241 Electricians (except industrial and power system),1225,56541,58848,
        7242 Industrial electricians,550,77004,83274,
        7243 Power system electricians,20,0,0,
        7244 Electrical power line and cable workers,140,87347,85085,
        7245 Telecommunications line and cable workers,185,41204,44659,
        7246 Telecommunications installation and repair workers,300,52290,54214,
        7247 Cable television service and maintenance technicians,35,36504,46001,
"      725 Plumbers, pipefitters and gas fitters",1215,59608,60219,
        7251 Plumbers,850,57416,57273,
"        7252 Steamfitters, pipefitters and sprinkler system installers",195,77474,77273,
        7253 Gas fitters,170,53868,55759,
      727 Carpenters and cabinetmakers,1605,40111,40805,
        7271 Carpenters,1410,40784,42129,
        7272 Cabinetmakers,190,34006,31049,
      728 Masonry and plastering trades,1150,38276,39103,
        7281 Bricklayers,335,38524,40136,
        7282 Concrete finishers,230,54810,52248,
        7283 Tilesetters,105,26300,29507,
"        7284 Plasterers, drywall installers and finishers and lathers",485,31740,34220,
      729 Other construction trades,1595,31079,33932,
        7291 Roofers and shinglers,375,35990,42672,
        7292 Glaziers,115,45707,42068,
        7293 Insulators,110,35206,42261,
        7294 Painters and decorators (except interior decorators),670,25592,28800,
        7295 Floor covering installers,320,23240,28657,
    73 Maintenance and equipment operation trades,7180,58315,59369,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",965,69093,69188,
"        7301 Contractors and supervisors, mechanic trades",340,73844,68172,
"        7302 Contractors and supervisors, heavy equipment operator crews",425,72769,74286,
"        7303 Supervisors, printing and related occupations",40,53366,45710,
"        7304 Supervisors, railway transport operations",20,0,82469,
"        7305 Supervisors, motor transport and other ground transit operators",140,60380,60859,
      731 Machinery and transportation equipment mechanics (except motor vehicles),2380,66365,67749,
        7311 Construction millwrights and industrial mechanics,1320,69527,69922,
        7312 Heavy-duty equipment mechanics,210,65924,63713,
"        7313 Heating, refrigeration and air conditioning mechanics",520,57696,60552,
        7314 Railway carmen/women,0,0,0,
        7315 Aircraft mechanics and aircraft inspectors,90,72930,71776,
        7316 Machine fitters,160,57491,63152,
        7318 Elevator constructors and mechanics,70,114696,97257,
      732 Automotive service technicians,2960,49432,51015,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",2440,49719,51572,
        7322 Motor vehicle body repairers,515,46812,48392,
      733 Other mechanics and related repairers,245,45913,49539,
        7331 Oil and solid fuel heating mechanics,10,0,0,
        7332 Appliance servicers and repairers,95,46607,48940,
        7333 Electrical mechanics,70,65683,64336,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",30,0,40190,
        7335 Other small engine and small equipment repairers,45,25079,35108,
      736 Train crew operating occupations,30,0,86166,
        7361 Railway and yard locomotive engineers,20,0,0,
        7362 Railway conductors and brakemen/women,15,0,0,
"      737 Crane operators, drillers and blasters",265,61506,65592,
        7371 Crane operators,240,61956,66258,
"        7372 Drillers and blasters - surface mining, quarrying and construction",15,0,0,
        7373 Water well drillers,10,0,0,
"      738 Printing press operators and other trades and related occupations, n.e.c.",335,43278,45317,
        7381 Printing press operators,200,45453,46474,
"        7384 Other trades and related occupations, n.e.c.",135,41124,43578,
"    74 Other installers, repairers and servicers and material handlers",5645,37885,39031,
"      744 Other installers, repairers and servicers",1195,37630,40171,
        7441 Residential and commercial installers and servicers,880,36134,37938,
        7442 Waterworks and gas maintenance workers,70,71351,74661,
        7444 Pest controllers and fumigators,60,39667,41025,
        7445 Other repairers and servicers,190,33925,37898,
      745 Longshore workers and material handlers,4450,37886,38725,
        7451 Longshore workers,20,0,0,
        7452 Material handlers,4430,37879,38755,
    75 Transport and heavy equipment operation and related maintenance occupations,10010,38967,40583,
      751 Motor vehicle and transit drivers,8640,37067,39679,
        7511 Transport truck drivers,5185,46348,45955,
"        7512 Bus drivers, subway operators and other transit operators",1290,26960,37407,
        7513 Taxi and limousine drivers and chauffeurs,805,12284,15715,
        7514 Delivery and courier service drivers,1370,27574,32134,
      752 Heavy equipment operators,1070,55991,51550,
        7521 Heavy equipment operators (except crane),745,55245,51695,
        7522 Public works maintenance equipment operators and related workers,330,59783,51222,
      753 Other transport equipment operators and related maintenance workers,295,20828,27513,
        7531 Railway yard and track maintenance workers,35,0,60317,
        7532 Water transport deck and engine room crew,0,0,0,
        7533 Boat and cable ferry operators and related occupations,0,0,0,
        7534 Air transport ramp attendants,30,13751,26724,
        7535 Other automotive mechanical installers and servicers,230,17179,22952,
"    76 Trades helpers, construction labourers and related occupations",3425,33649,38920,
      761 Trades helpers and labourers,3045,33625,39073,
        7611 Construction trades helpers and labourers,2860,34335,39678,
        7612 Other trades helpers and labourers,185,27730,29537,
"      762 Public works and other labourers, n.e.c.",390,34656,37716,
        7621 Public works and maintenance labourers,350,34705,38120,
        7622 Railway and motor transport labourers,35,24428,33718,
"  8 Natural resources, agriculture and related production occupations",4175,17840,25663,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",685,38929,46118,
"      821 Supervisors, logging and forestry",15,0,0,
"        8211 Supervisors, logging and forestry",15,0,0,
"      822 Contractors and supervisors, mining, oil and gas",45,97218,89845,
"        8221 Supervisors, mining and quarrying",30,0,82745,
"        8222 Contractors and supervisors, oil and gas drilling and services",20,0,0,
"      823 Underground miners, oil and gas drillers and related occupations",60,53523,59621,
        8231 Underground production and development miners,15,0,0,
"        8232 Oil and gas well drillers, servicers, testers and related workers",45,51695,45782,
      824 Logging machinery operators,15,0,0,
        8241 Logging machinery operators,15,0,0,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",550,35934,41989,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",160,29745,38381,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",395,36528,43424,
      826 Fishing vessel masters and fishermen/women,0,0,0,
        8261 Fishing masters and officers,0,0,0,
        8262 Fishermen/women,0,0,0,
"    84 Workers in natural resources, agriculture and related production",1390,15802,22328,
      841 Mine service workers and operators in oil and gas drilling,10,0,0,
        8411 Underground mine service and support workers,10,0,0,
        8412 Oil and gas well drilling and related workers and services operators,10,0,0,
      842 Logging and forestry workers,45,26872,36210,
        8421 Chain saw and skidder operators,15,0,0,
        8422 Silviculture and forestry workers,25,0,0,
      843 Agriculture and horticulture workers,1335,15644,21296,
        8431 General farm workers,1210,15771,21703,
        8432 Nursery and greenhouse workers,120,13556,17272,
      844 Other workers in fishing and trapping and hunting occupations,0,0,0,
        8441 Fishing vessel deckhands,0,0,0,
        8442 Trappers and hunters,0,0,0,
"    86 Harvesting, landscaping and natural resources labourers",2100,13341,21194,
"      861 Harvesting, landscaping and natural resources labourers",2100,13341,21194,
        8611 Harvesting labourers,100,9405,17778,
        8612 Landscaping and grounds maintenance labourers,1950,13526,21311,
        8613 Aquaculture and marine harvest labourers,10,0,0,
        8614 Mine labourers,0,0,0,
"        8615 Oil and gas drilling, servicing and related labourers",10,0,0,
        8616 Logging and forestry labourers,30,0,0,
  9 Occupations in manufacturing and utilities,25180,39717,43239,
"    92 Processing, manufacturing and utilities supervisors and central control operators",2770,69064,72380,
"      921 Supervisors, processing and manufacturing occupations",910,61309,62938,
"        9211 Supervisors, mineral and metal processing",120,59846,61011,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",175,71824,76968,
"        9213 Supervisors, food and beverage processing",300,58398,57253,
"        9214 Supervisors, plastic and rubber products manufacturing",200,67230,65095,
"        9215 Supervisors, forest products processing",55,48037,56930,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",60,48043,53805,
"      922 Supervisors, assembly and fabrication",1320,83068,82144,
"        9221 Supervisors, motor vehicle assembling",905,94143,89450,
"        9222 Supervisors, electronics manufacturing",80,72426,72576,
"        9223 Supervisors, electrical products manufacturing",70,72139,72730,
"        9224 Supervisors, furniture and fixtures manufacturing",75,44660,51106,
"        9226 Supervisors, other mechanical and metal products manufacturing",140,68674,69927,
"        9227 Supervisors, other products manufacturing and assembly",60,62322,60911,
      923 Central control and process operators in processing and manufacturing,130,58200,63210,
"        9231 Central control and process operators, mineral and metal processing",25,0,0,
"        9232 Central control and process operators, petroleum, gas and chemical processing",90,62592,69571,
"        9235 Pulping, papermaking and coating control operators",15,0,0,
      924 Utilities equipment operators and controllers,410,65876,64796,
        9241 Power engineers and power systems operators,225,68149,69271,
        9243 Water and waste treatment plant operators,185,64805,59334,
    94 Processing and manufacturing machine operators and related production workers,6355,39120,39763,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,2350,41878,43785,
"        9411 Machine operators, mineral and metal processing",120,46713,53361,
        9412 Foundry workers,90,43872,45355,
        9413 Glass forming and finishing machine operators and glass cutters,25,0,41172,
"        9414 Concrete, clay and stone forming operators",130,44996,47013,
"        9415 Inspectors and testers, mineral and metal processing",105,42459,48664,
        9416 Metalworking and forging machine operators,890,40170,43173,
        9417 Machining tool operators,660,42172,42758,
        9418 Other metal products machine operators,330,40069,40942,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",1165,41201,42738,
        9421 Chemical plant machine operators,170,47298,46507,
        9422 Plastics processing machine operators,855,38473,41701,
        9423 Rubber processing machine operators and related workers,140,47415,44629,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,360,39854,38084,
        9431 Sawmill machine operators,25,0,0,
        9432 Pulp mill machine operators,0,0,0,
        9433 Papermaking and finishing machine operators,20,0,0,
        9434 Other wood processing machine operators,50,21609,25546,
        9435 Paper converting machine operators,120,44608,42373,
        9436 Lumber graders and other wood processing inspectors and graders,0,0,0,
        9437 Woodworking machine operators,140,40410,39602,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",730,27773,27985,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",175,32675,29411,
"        9442 Weavers, knitters and other fabric making occupations",135,32467,31326,
"        9445 Fabric, fur and leather cutters",30,29338,28019,
        9446 Industrial sewing machine operators,315,22980,24155,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",75,32240,34846,
"      946 Machine operators and related workers in food, beverage and associated products processing",1490,38892,38860,
"        9461 Process control and machine operators, food and beverage processing",865,39532,39493,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",510,39286,38079,
        9463 Fish and seafood plant workers,20,0,0,
"        9465 Testers and graders, food and beverage processing",95,39824,41890,
      947 Printing equipment operators and related occupations,270,31628,30931,
        9471 Plateless printing equipment operators,140,32835,33103,
"        9472 Camera, platemaking and other prepress occupations",35,48481,38729,
        9473 Binding and finishing machine operators,60,33569,30188,
        9474 Photographic and film processors,30,0,0,
    95 Assemblers in manufacturing,9670,42166,45399,
"      952 Mechanical, electrical and electronics assemblers",7140,43760,47101,
        9521 Aircraft assemblers and aircraft assembly inspectors,185,45947,51526,
"        9522 Motor vehicle assemblers, inspectors and testers",5660,44823,48398,
"        9523 Electronics assemblers, fabricators, inspectors and testers",475,34563,38320,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",220,33741,37847,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",130,44538,46339,
        9526 Mechanical assemblers and inspectors,435,43117,43163,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",30,0,42840,
      953 Other assembly and related occupations,2530,38461,40598,
        9531 Boat assemblers and inspectors,10,0,0,
        9532 Furniture and fixture assemblers and inspectors,275,34756,32872,
        9533 Other wood products assemblers and inspectors,185,29928,31657,
        9534 Furniture finishers and refinishers,185,34862,33483,
"        9535 Plastic products assemblers, finishers and inspectors",525,36572,36030,
"        9536 Industrial painters, coaters and metal finishing process operators",765,50183,53588,
"        9537 Other products assemblers, finishers and inspectors",605,33366,36752,
"    96 Labourers in processing, manufacturing and utilities",6385,30397,30789,
"      961 Labourers in processing, manufacturing and utilities",6385,30397,30789,
        9611 Labourers in mineral and metal processing,175,35116,36852,
        9612 Labourers in metal fabrication,715,37771,37075,
        9613 Labourers in chemical products processing and utilities,175,45225,45520,
"        9614 Labourers in wood, pulp and paper processing",230,29885,31262,
        9615 Labourers in rubber and plastic products manufacturing,245,39476,37707,
        9616 Labourers in textile processing,155,25834,26863,
        9617 Labourers in food and beverage processing,2430,30093,29157,
        9618 Labourers in fish and seafood processing,35,26644,27441,
"        9619 Other labourers in processing, manufacturing and utilities",2225,26478,28444,
Note,,,,
"[1] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[1] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[1] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[2] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[3] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[4] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
