"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Regina,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1252 Health information management occupations,55,56719,57556,
        1253 Records management technicians,40,51620,53450,
        1254 Statistical officers and related research support occupations,20,0,0,
"    13 Finance, insurance and related business administrative occupations",1610,46908,50323,
"      131 Finance, insurance and related business administrative occupations",1615,46908,50323,
        1311 Accounting technicians and bookkeepers,720,30413,39766,
        1312 Insurance adjusters and claims examiners,455,56258,55058,
        1313 Insurance underwriters,310,57681,60280,
"        1314 Assessors, valuators and appraisers",125,70781,69486,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,6630,40774,40231,
      141 General office workers,3530,36511,36427,
        1411 General office support workers,2275,40864,39165,
        1414 Receptionists,1125,29779,30196,
        1415 Personnel clerks,105,42387,42756,
        1416 Court clerks,20,0,0,
      142 Office equipment operators,390,40977,39326,
        1422 Data entry clerks,350,40464,36668,
        1423 Desktop publishing operators and related occupations,40,50104,63741,
"      143 Financial, insurance and related administrative support workers",2115,47847,48173,
        1431 Accounting and related clerks,1165,43967,45679,
        1432 Payroll administrators,480,55791,56027,
"        1434 Banking, insurance and other financial clerks",340,46420,44654,
        1435 Collectors,130,54109,50893,
"      145 Library, correspondence and other clerks",605,37988,35185,
        1451 Library assistants and clerks,165,30528,32101,
"        1452 Correspondence, publication and regulatory clerks",265,49005,48021,
        1454 Survey interviewers and statistical clerks,180,10389,19008,
"    15 Distribution, tracking and scheduling co-ordination occupations",2930,45207,47636,
      151 Mail and message distribution occupations,810,46599,43413,
"        1511 Mail, postal and related workers",240,36368,39755,
        1512 Letter carriers,290,57997,51430,
"        1513 Couriers, messengers and door-to-door distributors",280,31712,38207,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",2120,45198,49250,
        1521 Shippers and receivers,825,39303,44520,
        1522 Storekeepers and partspersons,505,49077,51239,
        1523 Production logistics co-ordinators,190,54090,55543,
        1524 Purchasing and inventory control workers,220,43386,43561,
        1525 Dispatchers,350,57075,57215,
        1526 Transportation route and crew schedulers,30,0,54582,
  2 Natural and applied sciences and related occupations,9680,75010,77688,
    21 Professional occupations in natural and applied sciences,5275,82047,83903,
      211 Physical science professionals,170,77817,99097,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,30,83223,71866,
        2113 Geoscientists and oceanographers,120,83699,108825,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,235,80663,76759,
        2121 Biologists and related scientists,135,82992,80647,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",85,73976,71600,
"      213 Civil, mechanical, electrical and chemical engineers",1280,92242,100528,
        2131 Civil engineers,610,91326,100080,
        2132 Mechanical engineers,255,83646,96869,
        2133 Electrical and electronics engineers,335,94690,94680,
        2134 Chemical engineers,75,126711,141349,
      214 Other engineers,395,89354,87514,
        2141 Industrial and manufacturing engineers,130,75752,69628,
        2142 Metallurgical and materials engineers,0,0,0,
        2143 Mining engineers,20,0,0,
        2144 Geological engineers,0,0,0,
        2145 Petroleum engineers,85,92770,96169,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),130,92885,99907,
"        2148 Other professional engineers, n.e.c.",10,0,0,
"      215 Architects, urban planners and land surveyors",270,71201,73197,
        2151 Architects,100,69762,68573,
        2152 Landscape architects,10,0,0,
        2153 Urban and land use planners,100,80043,73372,
        2154 Land surveyors,60,59082,80815,
"      216 Mathematicians, statisticians and actuaries",90,76958,85334,
"        2161 Mathematicians, statisticians and actuaries",90,76958,85334,
      217 Computer and information systems professionals,2840,79505,76565,
        2171 Information systems analysts and consultants,1685,80989,78375,
        2172 Database analysts and data administrators,225,94732,88371,
        2173 Software engineers and designers,130,80733,75065,
        2174 Computer programmers and interactive media developers,685,77615,71875,
        2175 Web designers and developers,110,59181,55093,
    22 Technical occupations related to natural and applied sciences,4405,67245,70248,
      221 Technical occupations in physical sciences,240,55564,70303,
        2211 Chemical technologists and technicians,160,55051,66922,
        2212 Geological and mineral technologists and technicians,80,75061,77032,
      222 Technical occupations in life sciences,160,42740,47791,
        2221 Biological technologists and technicians,15,0,0,
        2222 Agricultural and fish products inspectors,20,0,73844,
