"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ontario [1],,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        1243 Medical administrative assistants,20570,38287,37201,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",10685,44908,44451,
"        1251 Court reporters, medical transcriptionists and related occupations",4195,26714,29692,
        1252 Health information management occupations,1770,56590,61219,
        1253 Records management technicians,1910,48972,48922,
        1254 Statistical officers and related research support occupations,2810,53368,52880,
"    13 Finance, insurance and related business administrative occupations",73590,41244,47850,
"      131 Finance, insurance and related business administrative occupations",73590,41244,47850,
        1311 Accounting technicians and bookkeepers,48110,31023,39341,
        1312 Insurance adjusters and claims examiners,12090,58329,62288,
        1313 Insurance underwriters,7670,59066,69029,
"        1314 Assessors, valuators and appraisers",3755,58817,66161,
"        1315 Customs, ship and other brokers",1965,43593,49689,
    14 Office support occupations,300780,33046,35288,
      141 General office workers,166110,28884,31451,
        1411 General office support workers,103035,32067,33990,
        1414 Receptionists,56755,23363,25109,
        1415 Personnel clerks,5100,45047,47652,
        1416 Court clerks,1220,46711,44313,
      142 Office equipment operators,17540,28935,31074,
        1422 Data entry clerks,16915,28478,30525,
        1423 Desktop publishing operators and related occupations,625,48093,45899,
"      143 Financial, insurance and related administrative support workers",90960,42022,45129,
        1431 Accounting and related clerks,58820,40234,42946,
        1432 Payroll administrators,13550,50542,51361,
"        1434 Banking, insurance and other financial clerks",11295,43041,52400,
        1435 Collectors,7300,39488,39897,
"      145 Library, correspondence and other clerks",26170,20990,28261,
        1451 Library assistants and clerks,7120,17358,23553,
"        1452 Correspondence, publication and regulatory clerks",9510,44702,44130,
        1454 Survey interviewers and statistical clerks,9540,4327,15961,
"    15 Distribution, tracking and scheduling co-ordination occupations",131070,39362,41111,
