"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ontario [1],,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
      634 Specialized occupations in personal and customer services,46910,17723,22472,
        6341 Hairstylists and barbers,34980,16767,19971,
"        6342 Tailors, dressmakers, furriers and milliners",5800,17469,20736,
        6343 Shoe repairers and shoemakers,285,20014,24072,
"        6344 Jewellers, jewellery and watch repairers and related occupations",1980,20398,27166,
        6345 Upholsterers,1860,29523,30391,
        6346 Funeral directors and embalmers,2000,51498,59012,
    64 Sales representatives and salespersons - wholesale and retail trade,315770,17263,29436,
      641 Sales and account representatives - wholesale trade (non-technical),44820,51205,64339,
        6411 Sales and account representatives - wholesale trade (non-technical),44820,51205,64339,
      642 Retail salespersons,270955,14945,23663,
        6421 Retail salespersons,270955,14945,23663,
    65 Service representatives and other customer and personal services occupations,352845,19423,25696,
      651 Occupations in food and beverage service,108415,11057,13393,
        6511 MaÓtres d'hÙtel and hosts/hostesses,11565,6142,8483,
        6512 Bartenders,15315,14489,16066,
        6513 Food and beverage servers,81535,11272,13587,
      652 Occupations in travel and accommodation,28940,32383,35470,
        6521 Travel counsellors,10305,32292,33961,
        6522 Pursers and flight attendants,6130,46897,47497,
        6523 Airline ticket and service agents,4690,34188,38809,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",1095,37081,40319,
        6525 Hotel front desk clerks,6725,22561,23704,
      653 Tourism and amusement services occupations,8040,34701,32172,
        6531 Tour and travel guides,1560,8695,13739,
        6532 Outdoor sport and recreational guides,885,11131,15495,
        6533 Casino occupations,5595,41819,39944,
      654 Security guards and related security service occupations,47975,25431,29905,
        6541 Security guards and related security service occupations,47975,25431,29905,
      655 Customer and information services representatives,128350,30189,33730,
        6551 Customer services representatives - financial institutions,33375,30386,34582,
        6552 Other customer and information services representatives,94975,30109,33431,
      656 Other occupations in personal service,31125,14285,18168,
"        6561 Image, social and other personal consultants",1055,17853,28101,
"        6562 Estheticians, electrologists and related occupations",19725,15005,18120,
        6563 Pet groomers and animal care workers,9655,12623,17576,
        6564 Other personal service occupations,690,8808,12706,
    66 Sales support occupations,217115,10701,14783,
      661 Cashiers,130140,9474,12282,
        6611 Cashiers,130140,9474,12282,
      662 Other sales support and related occupations,86980,13387,18525,
        6621 Service station attendants,5365,12530,17462,
"        6622 Store shelf stockers, clerks and order fillers",68980,13786,18005,
        6623 Other sales related occupations,12635,11578,21813,
"    67 Service support and other service occupations, n.e.c.",384960,14857,20752,
"      671 Food counter attendants, kitchen helpers and related support occupations",162045,9923,13775,
"        6711 Food counter attendants, kitchen helpers and related support occupations",162045,9923,13775,
"      672 Support occupations in accommodation, travel and amusement services",16495,8197,15428,
"        6721 Support occupations in accommodation, travel and facilities set-up services",2270,20932,24325,
"        6722 Operators and attendants in amusement, recreation and sport",14225,7467,14006,
      673 Cleaners,187470,22808,27139,
        6731 Light duty cleaners,86420,16746,20406,
        6732 Specialized cleaners,14510,19941,23733,
"        6733 Janitors, caretakers and building superintendents",86535,32209,34434,
"      674 Other service support and related occupations, n.e.c.",18945,17081,21871,
"        6741 Dry cleaning, laundry and related occupations",7235,24389,25468,
"        6742 Other service support occupations, n.e.c.",11710,11641,19646,
"  7 Trades, transport and equipment operators and related occupations",922995,40498,45396,
"    72 Industrial, electrical and construction trades",303475,44845,49932,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",34935,51842,60476,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",5120,72497,87530,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",5920,73836,82010,
"        7203 Contractors and supervisors, pipefitting trades",1875,86106,87622,
"        7204 Contractors and supervisors, carpentry trades",7475,36788,44768,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",14550,38724,46753,
"      723 Machining, metal forming, shaping and erecting trades",68085,52513,54596,
        7231 Machinists and machining and tooling inspectors,16015,55021,54959,
        7232 Tool and die makers,9375,63960,65144,
        7233 Sheet metal workers,6825,55045,56170,
        7234 Boilermakers,1145,73445,81598,
        7235 Structural metal and platework fabricators and fitters,2000,53309,54144,
        7236 Ironworkers,4010,66915,68270,
        7237 Welders and related machine operators,28715,46017,47618,
      724 Electrical trades and electrical power line and telecommunications workers,61680,61451,63566,
        7241 Electricians (except industrial and power system),31600,52977,55644,
        7242 Industrial electricians,9655,82674,83537,
        7243 Power system electricians,1810,101178,95143,
        7244 Electrical power line and cable workers,4135,93858,90818,
        7245 Telecommunications line and cable workers,4750,48637,51464,
        7246 Telecommunications installation and repair workers,9350,57415,58332,
        7247 Cable television service and maintenance technicians,380,38235,48298,
"      725 Plumbers, pipefitters and gas fitters",25965,52138,56095,
        7251 Plumbers,16390,49692,52735,
"        7252 Steamfitters, pipefitters and sprinkler system installers",5425,70060,71869,
        7253 Gas fitters,4150,43818,48754,
      727 Carpenters and cabinetmakers,50670,33012,37126,
        7271 Carpenters,45070,32849,37499,
        7272 Cabinetmakers,5600,34101,34129,
      728 Masonry and plastering trades,25760,32790,37555,
        7281 Bricklayers,8550,34664,38738,
        7282 Concrete finishers,3680,51095,51694,
        7283 Tilesetters,3550,25248,31139,
"        7284 Plasterers, drywall installers and finishers and lathers",9975,28805,33607,
      729 Other construction trades,36375,23698,30159,
        7291 Roofers and shinglers,7995,28288,33920,
        7292 Glaziers,2880,40616,41616,
        7293 Insulators,2780,42614,48914,
        7294 Painters and decorators (except interior decorators),16710,17421,24049,
        7295 Floor covering installers,6000,21687,27962,
    73 Maintenance and equipment operation trades,172715,56428,59334,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",24790,68617,71045,
"        7301 Contractors and supervisors, mechanic trades",7160,67338,70426,
"        7302 Contractors and supervisors, heavy equipment operator crews",12055,71143,73370,
"        7303 Supervisors, printing and related occupations",1355,56642,59228,
"        7304 Supervisors, railway transport operations",620,85683,89213,
"        7305 Supervisors, motor transport and other ground transit operators",3605,62267,65807,
      731 Machinery and transportation equipment mechanics (except motor vehicles),55420,67883,69357,
        7311 Construction millwrights and industrial mechanics,26120,71385,73497,
        7312 Heavy-duty equipment mechanics,7840,63602,65063,
"        7313 Heating, refrigeration and air conditioning mechanics",12185,55275,57478,
        7314 Railway carmen/women,970,72364,68360,
        7315 Aircraft mechanics and aircraft inspectors,4955,71150,71133,
        7316 Machine fitters,1015,53830,56376,
        7318 Elevator constructors and mechanics,2325,105054,101844,
      732 Automotive service technicians,64730,46198,48276,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",55440,46795,48713,
        7322 Motor vehicle body repairers,9290,43045,45669,
      733 Other mechanics and related repairers,7755,41220,43695,
        7331 Oil and solid fuel heating mechanics,770,35974,40277,
        7332 Appliance servicers and repairers,2255,34128,35463,
        7333 Electrical mechanics,1510,62529,64057,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",2100,45651,44879,
        7335 Other small engine and small equipment repairers,1125,30723,32967,
      736 Train crew operating occupations,2850,94635,92876,
        7361 Railway and yard locomotive engineers,1430,114618,107430,
        7362 Railway conductors and brakemen/women,1425,81149,78273,
"      737 Crane operators, drillers and blasters",6565,63312,66892,
        7371 Crane operators,5520,64847,68798,
"        7372 Drillers and blasters - surface mining, quarrying and construction",695,61502,62138,
        7373 Water well drillers,350,46062,46133,
"      738 Printing press operators and other trades and related occupations, n.e.c.",10620,42487,44850,
        7381 Printing press operators,7220,43829,45980,
"        7384 Other trades and related occupations, n.e.c.",3400,39332,42450,
"    74 Other installers, repairers and servicers and material handlers",113110,32106,34522,
"      744 Other installers, repairers and servicers",28125,30887,35712,
        7441 Residential and commercial installers and servicers,19810,28460,32720,
        7442 Waterworks and gas maintenance workers,1840,63042,63569,
        7444 Pest controllers and fumigators,1450,39127,39435,
        7445 Other repairers and servicers,5025,30941,36225,
      745 Longshore workers and material handlers,84985,32385,34128,
        7451 Longshore workers,660,25947,31372,
        7452 Material handlers,84320,32426,34150,
    75 Transport and heavy equipment operation and related maintenance occupations,247935,32717,38245,
      751 Motor vehicle and transit drivers,203630,29443,35702,
        7511 Transport truck drivers,110075,38295,40846,
"        7512 Bus drivers, subway operators and other transit operators",38375,24467,38462,
        7513 Taxi and limousine drivers and chauffeurs,24395,12199,15640,
        7514 Delivery and courier service drivers,30785,25019,29767,
      752 Heavy equipment operators,31835,54301,53743,
        7521 Heavy equipment operators (except crane),22905,56174,55951,
        7522 Public works maintenance equipment operators and related workers,8925,50350,48080,
      753 Other transport equipment operators and related maintenance workers,12470,34704,40206,
        7531 Railway yard and track maintenance workers,2320,66461,67674,
        7532 Water transport deck and engine room crew,550,39911,49951,
        7533 Boat and cable ferry operators and related occupations,560,32711,37536,
        7534 Air transport ramp attendants,3700,32893,35762,
        7535 Other automotive mechanical installers and servicers,5350,26987,30660,
"    76 Trades helpers, construction labourers and related occupations",85755,30280,36284,
      761 Trades helpers and labourers,76090,29611,35875,
        7611 Construction trades helpers and labourers,72390,29850,35986,
        7612 Other trades helpers and labourers,3700,26053,33714,
"      762 Public works and other labourers, n.e.c.",9665,39241,39500,
        7621 Public works and maintenance labourers,8805,39804,39338,
        7622 Railway and motor transport labourers,865,37284,41156,
"  8 Natural resources, agriculture and related production occupations",112670,18408,30222,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",24320,54365,63407,
"      821 Supervisors, logging and forestry",760,62700,61689,
"        8211 Supervisors, logging and forestry",760,62700,61689,
"      822 Contractors and supervisors, mining, oil and gas",2560,112305,110622,
"        8221 Supervisors, mining and quarrying",2140,116042,112298,
"        8222 Contractors and supervisors, oil and gas drilling and services",415,92523,102023,
"      823 Underground miners, oil and gas drillers and related occupations",7725,96904,92395,
        8231 Underground production and development miners,6415,101862,98878,
"        8232 Oil and gas well drillers, servicers, testers and related workers",1315,53678,60727,
      824 Logging machinery operators,900,54053,50871,
        8241 Logging machinery operators,900,54053,50871,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",12005,30063,36571,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",3155,23916,32312,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",8850,31340,38088,
      826 Fishing vessel masters and fishermen/women,360,26112,35751,
        8261 Fishing masters and officers,85,52305,50162,
        8262 Fishermen/women,275,25351,31159,
"    84 Workers in natural resources, agriculture and related production",36235,14977,21926,
      841 Mine service workers and operators in oil and gas drilling,980,69091,67656,
        8411 Underground mine service and support workers,740,72492,68997,
        8412 Oil and gas well drilling and related workers and services operators,240,62174,63479,
      842 Logging and forestry workers,1995,27067,30632,
        8421 Chain saw and skidder operators,1150,25747,29078,
        8422 Silviculture and forestry workers,845,27580,32746,
      843 Agriculture and horticulture workers,32930,14117,20069,
        8431 General farm workers,26520,14347,20617,
        8432 Nursery and greenhouse workers,6405,13269,17802,
      844 Other workers in fishing and trapping and hunting occupations,325,3982,18768,
        8441 Fishing vessel deckhands,115,34181,35224,
        8442 Trappers and hunters,215,256,9834,
"    86 Harvesting, landscaping and natural resources labourers",52120,14106,20507,
"      861 Harvesting, landscaping and natural resources labourers",52120,14106,20507,
        8611 Harvesting labourers,2265,14959,19506,
        8612 Landscaping and grounds maintenance labourers,46815,13670,19575,
        8613 Aquaculture and marine harvest labourers,130,10771,20325,
        8614 Mine labourers,1035,53651,55690,
"        8615 Oil and gas drilling, servicing and related labourers",320,50033,51790,
        8616 Logging and forestry labourers,1560,13806,20242,
  9 Occupations in manufacturing and utilities,367450,37717,43304,
"    92 Processing, manufacturing and utilities supervisors and central control operators",48415,70978,78144,
"      921 Supervisors, processing and manufacturing occupations",17170,66262,74365,
"        9211 Supervisors, mineral and metal processing",3045,70987,75527,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",4875,89978,98090,
"        9213 Supervisors, food and beverage processing",4730,56425,57716,
"        9214 Supervisors, plastic and rubber products manufacturing",2490,56493,66748,
"        9215 Supervisors, forest products processing",1345,68171,73573,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",675,41708,44196,
"      922 Supervisors, assembly and fabrication",13000,68755,73011,
"        9221 Supervisors, motor vehicle assembling",7295,79426,80848,
"        9222 Supervisors, electronics manufacturing",940,58498,62714,
"        9223 Supervisors, electrical products manufacturing",625,63021,65146,
"        9224 Supervisors, furniture and fixtures manufacturing",985,50223,54683,
"        9226 Supervisors, other mechanical and metal products manufacturing",1615,68903,72077,
"        9227 Supervisors, other products manufacturing and assembly",1550,54307,58129,
      923 Central control and process operators in processing and manufacturing,4780,74885,83924,
"        9231 Central control and process operators, mineral and metal processing",885,79196,79287,
"        9232 Central control and process operators, petroleum, gas and chemical processing",2915,87778,94544,
"        9235 Pulping, papermaking and coating control operators",980,55706,56523,
      924 Utilities equipment operators and controllers,13475,78592,85858,
        9241 Power engineers and power systems operators,8760,92887,98772,
        9243 Water and waste treatment plant operators,4715,65257,61845,
    94 Processing and manufacturing machine operators and related production workers,94030,38894,41013,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,28680,44837,46358,
"        9411 Machine operators, mineral and metal processing",3415,59100,59204,
        9412 Foundry workers,1305,45276,46115,
        9413 Glass forming and finishing machine operators and glass cutters,1340,35850,37225,
"        9414 Concrete, clay and stone forming operators",2190,39312,42446,
"        9415 Inspectors and testers, mineral and metal processing",1370,50902,51363,
        9416 Metalworking and forging machine operators,9075,42521,44341,
        9417 Machining tool operators,6330,46399,46526,
        9418 Other metal products machine operators,3665,42296,42984,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",17090,39978,43534,
        9421 Chemical plant machine operators,4350,43795,46016,
        9422 Plastics processing machine operators,10290,37820,41649,
        9423 Rubber processing machine operators and related workers,2450,43228,47051,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,8965,40338,42219,
        9431 Sawmill machine operators,1385,37856,39576,
        9432 Pulp mill machine operators,335,68882,67239,
        9433 Papermaking and finishing machine operators,1190,53808,53993,
        9434 Other wood processing machine operators,1485,36827,38686,
        9435 Paper converting machine operators,2100,43304,44050,
        9436 Lumber graders and other wood processing inspectors and graders,405,40200,39379,
        9437 Woodworking machine operators,2065,34290,34427,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",10085,26127,27377,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",1470,34202,36569,
"        9442 Weavers, knitters and other fabric making occupations",1370,26956,27697,
"        9445 Fabric, fur and leather cutters",675,27634,27925,
        9446 Industrial sewing machine operators,5830,24534,24233,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",735,27401,32874,
"      946 Machine operators and related workers in food, beverage and associated products processing",20815,38206,38898,
"        9461 Process control and machine operators, food and beverage processing",15130,38768,39882,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",3570,36767,34136,
        9463 Fish and seafood plant workers,350,23316,26026,
"        9465 Testers and graders, food and beverage processing",1770,40807,42659,
      947 Printing equipment operators and related occupations,8395,36097,37953,
        9471 Plateless printing equipment operators,3840,36825,38010,
"        9472 Camera, platemaking and other prepress occupations",1325,49144,50256,
        9473 Binding and finishing machine operators,2215,34645,35311,
        9474 Photographic and film processors,1010,20488,27404,
    95 Assemblers in manufacturing,118910,39708,43911,
"      952 Mechanical, electrical and electronics assemblers",83970,42991,46928,
        9521 Aircraft assemblers and aircraft assembly inspectors,2170,62271,64988,
"        9522 Motor vehicle assemblers, inspectors and testers",63365,44913,48171,
"        9523 Electronics assemblers, fabricators, inspectors and testers",7995,32552,36146,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",3915,36921,41208,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",885,43733,46274,
        9526 Mechanical assemblers and inspectors,4675,43247,46293,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",965,40889,40911,
      953 Other assembly and related occupations,34945,33968,36659,
        9531 Boat assemblers and inspectors,400,24673,34971,
        9532 Furniture and fixture assemblers and inspectors,4645,31409,31709,
        9533 Other wood products assemblers and inspectors,2815,31019,32047,
        9534 Furniture finishers and refinishers,2595,32258,32540,
"        9535 Plastic products assemblers, finishers and inspectors",6305,32744,33496,
"        9536 Industrial painters, coaters and metal finishing process operators",7735,44677,48736,
"        9537 Other products assemblers, finishers and inspectors",10445,31560,34156,
"    96 Labourers in processing, manufacturing and utilities",106090,25709,28756,
"      961 Labourers in processing, manufacturing and utilities",106095,25709,28756,
        9611 Labourers in mineral and metal processing,4145,41161,44406,
        9612 Labourers in metal fabrication,7755,34961,36694,
        9613 Labourers in chemical products processing and utilities,4400,34103,38150,
"        9614 Labourers in wood, pulp and paper processing",4585,29915,32868,
        9615 Labourers in rubber and plastic products manufacturing,3675,30128,30732,
        9616 Labourers in textile processing,1865,24043,26077,
        9617 Labourers in food and beverage processing,32925,25592,27488,
        9618 Labourers in fish and seafood processing,530,20804,21134,
"        9619 Other labourers in processing, manufacturing and utilities",46205,22590,25658,
Note,,,,
[1] Excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,
"[2] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[2] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[2] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[3] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[4] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[5] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[6] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
