"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Belleville,,,,
Global non-response rate (GNR) =   4.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1254 Statistical officers and related research support occupations,10,0,0,
"    13 Finance, insurance and related business administrative occupations",380,31806,38639,
"      131 Finance, insurance and related business administrative occupations",380,31806,38639,
        1311 Accounting technicians and bookkeepers,315,29525,33959,
        1312 Insurance adjusters and claims examiners,20,0,0,
        1313 Insurance underwriters,10,0,0,
"        1314 Assessors, valuators and appraisers",20,0,0,
"        1315 Customs, ship and other brokers",15,0,0,
    14 Office support occupations,1785,33431,33805,
      141 General office workers,1070,30672,32177,
        1411 General office support workers,695,32314,34019,
        1414 Receptionists,340,23787,27094,
        1415 Personnel clerks,30,45267,42519,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,75,39492,34484,
        1422 Data entry clerks,75,38875,34020,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",500,41797,40316,
        1431 Accounting and related clerks,290,37875,37998,
        1432 Payroll administrators,105,43686,46284,
"        1434 Banking, insurance and other financial clerks",45,37989,29068,
        1435 Collectors,65,54915,49372,
"      145 Library, correspondence and other clerks",135,17275,22121,
        1451 Library assistants and clerks,30,19249,18120,
"        1452 Correspondence, publication and regulatory clerks",50,25595,32899,
        1454 Survey interviewers and statistical clerks,60,0,0,
"    15 Distribution, tracking and scheduling co-ordination occupations",1005,41723,40093,
      151 Mail and message distribution occupations,290,41395,38258,
