"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Moncton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1253 Records management technicians,25,0,0,
        1254 Statistical officers and related research support occupations,20,0,0,
"    13 Finance, insurance and related business administrative occupations",890,39647,42703,
"      131 Finance, insurance and related business administrative occupations",890,39647,42703,
        1311 Accounting technicians and bookkeepers,355,27232,31130,
        1312 Insurance adjusters and claims examiners,320,44468,51944,
        1313 Insurance underwriters,150,43784,43066,
"        1314 Assessors, valuators and appraisers",35,65759,67951,
"        1315 Customs, ship and other brokers",25,0,0,
    14 Office support occupations,3725,33044,31917,
      141 General office workers,1925,31008,30320,
        1411 General office support workers,1175,32886,33148,
        1414 Receptionists,720,26053,24776,
        1415 Personnel clerks,20,0,60056,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,180,30603,27535,
        1422 Data entry clerks,170,29311,26884,
        1423 Desktop publishing operators and related occupations,10,0,0,
"      143 Financial, insurance and related administrative support workers",1285,39168,38352,
        1431 Accounting and related clerks,800,38232,36839,
        1432 Payroll administrators,190,41206,39993,
"        1434 Banking, insurance and other financial clerks",200,36841,38246,
        1435 Collectors,95,46092,48394,
"      145 Library, correspondence and other clerks",335,11859,18924,
        1451 Library assistants and clerks,55,17973,21458,
"        1452 Correspondence, publication and regulatory clerks",90,34980,36630,
        1454 Survey interviewers and statistical clerks,185,2840,9376,
"    15 Distribution, tracking and scheduling co-ordination occupations",1845,37230,37566,
      151 Mail and message distribution occupations,500,37528,36511,
"        1511 Mail, postal and related workers",210,42574,39279,
        1512 Letter carriers,145,45377,45808,
"        1513 Couriers, messengers and door-to-door distributors",145,17651,23308,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1345,37102,37960,
        1521 Shippers and receivers,520,33217,33535,
        1522 Storekeepers and partspersons,210,37221,38490,
        1523 Production logistics co-ordinators,75,44508,46392,
        1524 Purchasing and inventory control workers,210,37538,37245,
        1525 Dispatchers,270,44971,43205,
        1526 Transportation route and crew schedulers,55,44238,43502,
  2 Natural and applied sciences and related occupations,4685,57784,63220,
    21 Professional occupations in natural and applied sciences,2180,65328,69294,
      211 Physical science professionals,20,0,0,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,15,0,0,
        2113 Geoscientists and oceanographers,0,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,100,69203,68320,
        2121 Biologists and related scientists,85,75030,74632,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",10,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",420,74094,79745,
        2131 Civil engineers,215,84255,85419,
        2132 Mechanical engineers,130,64395,68248,
        2133 Electrical and electronics engineers,50,58922,77899,
        2134 Chemical engineers,25,0,0,
      214 Other engineers,110,73578,78937,
        2141 Industrial and manufacturing engineers,30,0,54868,
        2142 Metallurgical and materials engineers,0,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,10,0,0,
        2145 Petroleum engineers,10,0,0,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),45,88506,115791,
"        2148 Other professional engineers, n.e.c.",20,0,0,
"      215 Architects, urban planners and land surveyors",90,72257,71516,
        2151 Architects,45,61637,57069,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,20,0,0,
        2154 Land surveyors,30,0,88122,
"      216 Mathematicians, statisticians and actuaries",75,55007,60829,
"        2161 Mathematicians, statisticians and actuaries",75,55007,60829,
      217 Computer and information systems professionals,1365,63771,66141,
