"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = St. John's,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1252 Health information management occupations,70,65042,71594,
        1253 Records management technicians,95,57453,70156,
        1254 Statistical officers and related research support occupations,45,46229,63711,
"    13 Finance, insurance and related business administrative occupations",810,48639,51105,
"      131 Finance, insurance and related business administrative occupations",810,48639,51105,
        1311 Accounting technicians and bookkeepers,450,39183,40307,
        1312 Insurance adjusters and claims examiners,185,61992,60812,
        1313 Insurance underwriters,90,49439,52795,
"        1314 Assessors, valuators and appraisers",60,90418,87785,
"        1315 Customs, ship and other brokers",25,0,0,
    14 Office support occupations,5795,38126,36724,
      141 General office workers,3160,33630,32947,
        1411 General office support workers,2110,40138,35867,
        1414 Receptionists,920,25189,25396,
        1415 Personnel clerks,125,35432,38567,
        1416 Court clerks,10,0,0,
      142 Office equipment operators,285,36775,36495,
        1422 Data entry clerks,265,36714,35842,
        1423 Desktop publishing operators and related occupations,20,0,0,
"      143 Financial, insurance and related administrative support workers",1885,42948,43309,
        1431 Accounting and related clerks,1125,41150,42251,
        1432 Payroll administrators,500,46710,45588,
"        1434 Banking, insurance and other financial clerks",175,42104,43370,
        1435 Collectors,85,50542,43710,
"      145 Library, correspondence and other clerks",460,40436,35810,
        1451 Library assistants and clerks,90,38330,33655,
"        1452 Correspondence, publication and regulatory clerks",185,57465,54482,
        1454 Survey interviewers and statistical clerks,180,6247,17933,
"    15 Distribution, tracking and scheduling co-ordination occupations",2000,41277,46527,
      151 Mail and message distribution occupations,555,38583,39812,
"        1511 Mail, postal and related workers",220,32568,34612,
        1512 Letter carriers,180,45668,47034,
"        1513 Couriers, messengers and door-to-door distributors",155,38554,39032,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1445,42278,49098,
        1521 Shippers and receivers,535,38511,42288,
        1522 Storekeepers and partspersons,305,41951,43714,
        1523 Production logistics co-ordinators,165,83015,92416,
        1524 Purchasing and inventory control workers,165,28415,33261,
        1525 Dispatchers,250,51857,51345,
        1526 Transportation route and crew schedulers,30,51290,58325,
  2 Natural and applied sciences and related occupations,10595,76551,90348,
    21 Professional occupations in natural and applied sciences,5165,85784,103482,
      211 Physical science professionals,370,113120,127136,
        2111 Physicists and astronomers,25,0,0,
        2112 Chemists,40,48974,51048,
