"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Winnipeg,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        1251 Court reporters, medical transcriptionists and related occupations",295,38020,35991,
        1252 Health information management occupations,95,51323,54976,
        1253 Records management technicians,90,38377,41554,
        1254 Statistical officers and related research support occupations,105,42388,44134,
"    13 Finance, insurance and related business administrative occupations",4355,43772,75521,
"      131 Finance, insurance and related business administrative occupations",4355,43772,75521,
        1311 Accounting technicians and bookkeepers,2380,34882,93078,
        1312 Insurance adjusters and claims examiners,1110,51518,53721,
        1313 Insurance underwriters,525,54754,58828,
"        1314 Assessors, valuators and appraisers",200,52903,55610,
"        1315 Customs, ship and other brokers",140,35962,42038,
    14 Office support occupations,21880,33562,33259,
      141 General office workers,11175,30620,30784,
        1411 General office support workers,7190,34451,33388,
        1414 Receptionists,3555,23987,24145,
        1415 Personnel clerks,365,41406,42818,
        1416 Court clerks,60,43956,39273,
      142 Office equipment operators,1385,30434,32038,
        1422 Data entry clerks,1320,30282,31189,
        1423 Desktop publishing operators and related occupations,65,49437,49132,
"      143 Financial, insurance and related administrative support workers",7345,38877,39440,
        1431 Accounting and related clerks,4775,37394,37340,
        1432 Payroll administrators,1430,45141,45919,
"        1434 Banking, insurance and other financial clerks",815,38138,39531,
        1435 Collectors,320,44610,41568,
"      145 Library, correspondence and other clerks",1975,19068,25158,
        1451 Library assistants and clerks,440,29346,28471,
"        1452 Correspondence, publication and regulatory clerks",480,43099,44318,
        1454 Survey interviewers and statistical clerks,1060,9702,15079,
"    15 Distribution, tracking and scheduling co-ordination occupations",8600,38451,38918,
      151 Mail and message distribution occupations,2125,41522,38342,
"        1511 Mail, postal and related workers",810,39281,39003,
        1512 Letter carriers,665,57560,49536,
"        1513 Couriers, messengers and door-to-door distributors",650,16363,26038,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",6480,37922,39107,
        1521 Shippers and receivers,2865,34036,34020,
        1522 Storekeepers and partspersons,990,42208,43612,
        1523 Production logistics co-ordinators,670,44541,45297,
        1524 Purchasing and inventory control workers,750,34836,35531,
        1525 Dispatchers,1005,44630,45098,
        1526 Transportation route and crew schedulers,200,46517,52562,
  2 Natural and applied sciences and related occupations,26730,62590,68281,
