"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saguenay,,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1254 Statistical officers and related research support occupations,10,0,0,
"    13 Finance, insurance and related business administrative occupations",620,36663,38611,
"      131 Finance, insurance and related business administrative occupations",620,36663,38611,
        1311 Accounting technicians and bookkeepers,435,34020,33680,
        1312 Insurance adjusters and claims examiners,70,60669,66659,
        1313 Insurance underwriters,15,0,0,
"        1314 Assessors, valuators and appraisers",95,41522,38997,
"        1315 Customs, ship and other brokers",10,0,0,
    14 Office support occupations,2270,27694,29049,
      141 General office workers,1350,24471,26990,
        1411 General office support workers,585,32872,33266,
        1414 Receptionists,720,20113,20758,
        1415 Personnel clerks,40,49434,46092,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,55,29927,30352,
        1422 Data entry clerks,50,29927,30352,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",715,33356,32367,
        1431 Accounting and related clerks,475,30108,28744,
        1432 Payroll administrators,95,40671,45217,
"        1434 Banking, insurance and other financial clerks",50,43811,34797,
        1435 Collectors,95,40418,36429,
"      145 Library, correspondence and other clerks",150,17340,31239,
        1451 Library assistants and clerks,40,32292,29918,
"        1452 Correspondence, publication and regulatory clerks",65,36121,42888,
        1454 Survey interviewers and statistical clerks,50,11218,16584,
"    15 Distribution, tracking and scheduling co-ordination occupations",1590,33118,36221,
      151 Mail and message distribution occupations,340,38469,34610,
"        1511 Mail, postal and related workers",75,33503,33781,
        1512 Letter carriers,155,53112,43891,
"        1513 Couriers, messengers and door-to-door distributors",115,17003,22796,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1250,32839,36658,
        1521 Shippers and receivers,495,27039,31567,
        1522 Storekeepers and partspersons,360,37857,39809,
        1523 Production logistics co-ordinators,135,44996,57403,
        1524 Purchasing and inventory control workers,115,13308,21100,
        1525 Dispatchers,140,41190,38922,
        1526 Transportation route and crew schedulers,10,0,0,
  2 Natural and applied sciences and related occupations,5720,52270,59354,
    21 Professional occupations in natural and applied sciences,2125,67174,72500,
      211 Physical science professionals,120,69339,74368,
        2111 Physicists and astronomers,10,0,0,
        2112 Chemists,75,85095,83731,
        2113 Geoscientists and oceanographers,30,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,110,69908,64475,
        2121 Biologists and related scientists,50,46327,56575,
        2122 Forestry professionals,50,76054,75547,
"        2123 Agricultural representatives, consultants and specialists",10,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",805,80938,86917,
        2131 Civil engineers,235,75444,72575,
        2132 Mechanical engineers,305,85094,95090,
        2133 Electrical and electronics engineers,215,89189,85611,
