"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saguenay,,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        7294 Painters and decorators (except interior decorators),170,32831,35487,
        7295 Floor covering installers,30,0,0,
    73 Maintenance and equipment operation trades,3545,48196,55601,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",430,53557,56625,
"        7301 Contractors and supervisors, mechanic trades",200,53705,58940,
"        7302 Contractors and supervisors, heavy equipment operator crews",190,52849,51765,
"        7303 Supervisors, printing and related occupations",10,0,0,
"        7304 Supervisors, railway transport operations",15,0,0,
"        7305 Supervisors, motor transport and other ground transit operators",20,0,0,
      731 Machinery and transportation equipment mechanics (except motor vehicles),1705,57087,64843,
        7311 Construction millwrights and industrial mechanics,1135,70209,70719,
        7312 Heavy-duty equipment mechanics,295,49240,52767,
"        7313 Heating, refrigeration and air conditioning mechanics",100,41953,44264,
        7314 Railway carmen/women,15,0,0,
        7315 Aircraft mechanics and aircraft inspectors,115,61103,59833,
        7316 Machine fitters,15,0,0,
        7318 Elevator constructors and mechanics,20,0,0,
      732 Automotive service technicians,925,36705,37164,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",775,37119,38163,
        7322 Motor vehicle body repairers,150,33528,31869,
      733 Other mechanics and related repairers,200,38097,44480,
        7331 Oil and solid fuel heating mechanics,25,0,0,
        7332 Appliance servicers and repairers,50,40904,45639,
        7333 Electrical mechanics,110,45097,48359,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",15,0,0,
        7335 Other small engine and small equipment repairers,10,0,0,
      736 Train crew operating occupations,50,106115,106351,
        7361 Railway and yard locomotive engineers,20,0,0,
        7362 Railway conductors and brakemen/women,30,0,94184,
"      737 Crane operators, drillers and blasters",160,65845,67536,
        7371 Crane operators,100,80640,74050,
"        7372 Drillers and blasters - surface mining, quarrying and construction",60,61484,56389,
        7373 Water well drillers,0,0,0,
"      738 Printing press operators and other trades and related occupations, n.e.c.",75,35432,34972,
        7381 Printing press operators,45,38680,35486,
"        7384 Other trades and related occupations, n.e.c.",30,0,34129,
"    74 Other installers, repairers and servicers and material handlers",665,22997,33013,
"      744 Other installers, repairers and servicers",295,21112,30285,
        7441 Residential and commercial installers and servicers,185,19964,23584,
        7442 Waterworks and gas maintenance workers,0,0,0,
        7444 Pest controllers and fumigators,10,0,0,
        7445 Other repairers and servicers,95,29462,40219,
      745 Longshore workers and material handlers,370,23006,35168,
        7451 Longshore workers,30,0,70545,
        7452 Material handlers,345,22448,32043,
    75 Transport and heavy equipment operation and related maintenance occupations,3525,33127,35005,
      751 Motor vehicle and transit drivers,2585,32437,33952,
        7511 Transport truck drivers,1290,37925,38328,
"        7512 Bus drivers, subway operators and other transit operators",355,32384,35465,
        7513 Taxi and limousine drivers and chauffeurs,165,10083,10843,
        7514 Delivery and courier service drivers,770,30412,30885,
      752 Heavy equipment operators,840,36546,39288,
        7521 Heavy equipment operators (except crane),565,43062,44856,
        7522 Public works maintenance equipment operators and related workers,275,24392,27744,
      753 Other transport equipment operators and related maintenance workers,95,25520,25373,
        7531 Railway yard and track maintenance workers,10,0,0,
        7532 Water transport deck and engine room crew,20,0,0,
        7533 Boat and cable ferry operators and related occupations,0,0,0,
        7534 Air transport ramp attendants,10,0,0,
        7535 Other automotive mechanical installers and servicers,50,24780,22742,
"    76 Trades helpers, construction labourers and related occupations",1130,28491,32333,
      761 Trades helpers and labourers,855,26360,31277,
        7611 Construction trades helpers and labourers,790,26545,30910,
        7612 Other trades helpers and labourers,65,21191,35749,
"      762 Public works and other labourers, n.e.c.",275,31463,35598,
        7621 Public works and maintenance labourers,245,31579,35202,
        7622 Railway and motor transport labourers,30,0,0,
"  8 Natural resources, agriculture and related production occupations",1425,24959,39283,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",485,59154,63907,
"      821 Supervisors, logging and forestry",75,40473,42238,
"        8211 Supervisors, logging and forestry",75,40473,42238,
"      822 Contractors and supervisors, mining, oil and gas",50,108104,109248,
"        8221 Supervisors, mining and quarrying",55,108104,109248,
"        8222 Contractors and supervisors, oil and gas drilling and services",0,0,0,
"      823 Underground miners, oil and gas drillers and related occupations",165,102690,96488,
        8231 Underground production and development miners,155,105275,100848,
"        8232 Oil and gas well drillers, servicers, testers and related workers",15,0,0,
      824 Logging machinery operators,85,51068,44220,
        8241 Logging machinery operators,85,51068,44220,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",105,20023,23441,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",15,0,0,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",90,21285,24246,
      826 Fishing vessel masters and fishermen/women,10,0,0,
        8261 Fishing masters and officers,0,0,0,
        8262 Fishermen/women,0,0,0,
"    84 Workers in natural resources, agriculture and related production",525,17895,27890,
      841 Mine service workers and operators in oil and gas drilling,85,88690,69697,
        8411 Underground mine service and support workers,70,93376,78882,
        8412 Oil and gas well drilling and related workers and services operators,15,0,0,
      842 Logging and forestry workers,170,21543,26236,
        8421 Chain saw and skidder operators,55,46781,38471,
        8422 Silviculture and forestry workers,110,17681,20024,
      843 Agriculture and horticulture workers,265,13098,15338,
        8431 General farm workers,205,13050,15378,
        8432 Nursery and greenhouse workers,60,13104,15203,
      844 Other workers in fishing and trapping and hunting occupations,10,0,0,
        8441 Fishing vessel deckhands,0,0,0,
        8442 Trappers and hunters,0,0,0,
"    86 Harvesting, landscaping and natural resources labourers",420,15236,24965,
"      861 Harvesting, landscaping and natural resources labourers",415,15236,24965,
        8611 Harvesting labourers,15,0,0,
        8612 Landscaping and grounds maintenance labourers,285,14473,18618,
        8613 Aquaculture and marine harvest labourers,0,0,0,
        8614 Mine labourers,0,0,0,
"        8615 Oil and gas drilling, servicing and related labourers",45,50910,59127,
        8616 Logging and forestry labourers,65,23073,28668,
  9 Occupations in manufacturing and utilities,3655,50658,61579,
"    92 Processing, manufacturing and utilities supervisors and central control operators",795,91278,86734,
"      921 Supervisors, processing and manufacturing occupations",405,109538,97560,
"        9211 Supervisors, mineral and metal processing",290,114544,107434,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",45,120065,116890,
"        9213 Supervisors, food and beverage processing",30,19332,23350,
"        9214 Supervisors, plastic and rubber products manufacturing",0,0,0,
"        9215 Supervisors, forest products processing",35,66872,72665,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",10,0,0,
"      922 Supervisors, assembly and fabrication",45,56823,68709,
"        9221 Supervisors, motor vehicle assembling",0,0,0,
"        9222 Supervisors, electronics manufacturing",0,0,0,
"        9223 Supervisors, electrical products manufacturing",0,0,0,
"        9224 Supervisors, furniture and fixtures manufacturing",10,0,0,
"        9226 Supervisors, other mechanical and metal products manufacturing",15,0,0,
"        9227 Supervisors, other products manufacturing and assembly",15,0,0,
      923 Central control and process operators in processing and manufacturing,85,74142,81243,
"        9231 Central control and process operators, mineral and metal processing",30,0,91987,
"        9232 Central control and process operators, petroleum, gas and chemical processing",15,0,0,
"        9235 Pulping, papermaking and coating control operators",40,72528,74047,
      924 Utilities equipment operators and controllers,260,76934,74767,
        9241 Power engineers and power systems operators,205,91263,83438,
        9243 Water and waste treatment plant operators,55,35238,42566,
    94 Processing and manufacturing machine operators and related production workers,1735,66528,66473,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,1220,94025,79497,
"        9411 Machine operators, mineral and metal processing",830,99231,88474,
        9412 Foundry workers,115,93809,79699,
        9413 Glass forming and finishing machine operators and glass cutters,10,0,0,
"        9414 Concrete, clay and stone forming operators",55,30170,34068,
"        9415 Inspectors and testers, mineral and metal processing",20,0,0,
        9416 Metalworking and forging machine operators,65,35297,43847,
        9417 Machining tool operators,75,68560,71226,
        9418 Other metal products machine operators,60,74365,64992,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",50,40575,47736,
        9421 Chemical plant machine operators,20,0,0,
        9422 Plastics processing machine operators,0,0,0,
        9423 Rubber processing machine operators and related workers,25,0,0,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,150,54712,56834,
        9431 Sawmill machine operators,20,0,0,
        9432 Pulp mill machine operators,30,0,85437,
        9433 Papermaking and finishing machine operators,35,64753,65177,
        9434 Other wood processing machine operators,25,0,46998,
        9435 Paper converting machine operators,0,0,0,
        9436 Lumber graders and other wood processing inspectors and graders,15,0,0,
        9437 Woodworking machine operators,15,0,0,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",110,22173,23013,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",25,0,17295,
"        9442 Weavers, knitters and other fabric making occupations",10,0,0,
"        9445 Fabric, fur and leather cutters",0,0,0,
        9446 Industrial sewing machine operators,65,22096,20262,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",10,0,0,
"      946 Machine operators and related workers in food, beverage and associated products processing",170,28846,26021,
"        9461 Process control and machine operators, food and beverage processing",145,26709,24288,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",25,0,35823,
        9463 Fish and seafood plant workers,0,0,0,
"        9465 Testers and graders, food and beverage processing",10,0,0,
      947 Printing equipment operators and related occupations,35,0,0,
        9471 Plateless printing equipment operators,0,0,0,
"        9472 Camera, platemaking and other prepress occupations",10,0,0,
        9473 Binding and finishing machine operators,20,0,0,
        9474 Photographic and film processors,0,0,0,
    95 Assemblers in manufacturing,290,28370,32948,
"      952 Mechanical, electrical and electronics assemblers",65,38283,37149,
        9521 Aircraft assemblers and aircraft assembly inspectors,0,0,0,
"        9522 Motor vehicle assemblers, inspectors and testers",10,0,0,
"        9523 Electronics assemblers, fabricators, inspectors and testers",10,0,0,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",30,42717,40423,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",10,0,0,
        9526 Mechanical assemblers and inspectors,10,0,0,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",10,0,0,
      953 Other assembly and related occupations,225,26656,31682,
        9531 Boat assemblers and inspectors,0,0,0,
        9532 Furniture and fixture assemblers and inspectors,45,26327,29650,
        9533 Other wood products assemblers and inspectors,35,23355,20724,
        9534 Furniture finishers and refinishers,15,0,0,
"        9535 Plastic products assemblers, finishers and inspectors",10,0,0,
"        9536 Industrial painters, coaters and metal finishing process operators",65,29793,39259,
"        9537 Other products assemblers, finishers and inspectors",65,23218,27731,
"    96 Labourers in processing, manufacturing and utilities",825,26750,37128,
"      961 Labourers in processing, manufacturing and utilities",830,26750,37128,
        9611 Labourers in mineral and metal processing,175,71026,70159,
        9612 Labourers in metal fabrication,40,75645,76898,
        9613 Labourers in chemical products processing and utilities,25,0,0,
"        9614 Labourers in wood, pulp and paper processing",145,34280,43459,
        9615 Labourers in rubber and plastic products manufacturing,10,0,0,
        9616 Labourers in textile processing,10,0,0,
        9617 Labourers in food and beverage processing,205,18820,20138,
        9618 Labourers in fish and seafood processing,15,0,0,
"        9619 Other labourers in processing, manufacturing and utilities",205,13583,15673,
Note,,,,
"[1] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[1] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[1] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[2] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[3] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[4] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
