"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Canada [1],,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        1243 Medical administrative assistants,56240,35696,35121,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",28615,43273,44046,
"        1251 Court reporters, medical transcriptionists and related occupations",10815,31372,31996,
        1252 Health information management occupations,5415,53303,55601,
        1253 Records management technicians,7580,47378,47302,
        1254 Statistical officers and related research support occupations,4805,51319,52998,
"    13 Finance, insurance and related business administrative occupations",197525,39408,45377,
"      131 Finance, insurance and related business administrative occupations",197520,39408,45377,
        1311 Accounting technicians and bookkeepers,137815,31721,38504,
        1312 Insurance adjusters and claims examiners,28790,58144,61025,
        1313 Insurance underwriters,15195,56777,64249,
"        1314 Assessors, valuators and appraisers",11555,55410,60945,
"        1315 Customs, ship and other brokers",4165,45501,52614,
    14 Office support occupations,770775,32907,34779,
      141 General office workers,432560,29420,31366,
        1411 General office support workers,253475,33293,34335,
        1414 Receptionists,163495,23760,25309,
        1415 Personnel clerks,12585,44728,47177,
        1416 Court clerks,3000,46283,44271,
      142 Office equipment operators,41265,30455,32323,
        1422 Data entry clerks,39530,29993,31556,
        1423 Desktop publishing operators and related occupations,1735,44620,49819,
"      143 Financial, insurance and related administrative support workers",227460,40892,43434,
        1431 Accounting and related clerks,152020,38981,41465,
        1432 Payroll administrators,35725,49001,49832,
"        1434 Banking, insurance and other financial clerks",25155,42213,48413,
        1435 Collectors,14565,39730,39690,
"      145 Library, correspondence and other clerks",69490,22684,29159,
        1451 Library assistants and clerks,18300,21981,25025,
"        1452 Correspondence, publication and regulatory clerks",25290,43439,45171,
        1454 Survey interviewers and statistical clerks,25900,5875,16445,
"    15 Distribution, tracking and scheduling co-ordination occupations",347215,38711,41101,
      151 Mail and message distribution occupations,85380,38493,37742,
"        1511 Mail, postal and related workers",31255,36893,37113,
        1512 Letter carriers,30010,53005,47317,
"        1513 Couriers, messengers and door-to-door distributors",24110,19238,26641,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",261835,38752,42196,
        1521 Shippers and receivers,114255,33767,35294,
        1522 Storekeepers and partspersons,44225,41259,43972,
        1523 Production logistics co-ordinators,26665,51241,58890,
        1524 Purchasing and inventory control workers,31130,37624,39023,
        1525 Dispatchers,39045,46731,49684,
        1526 Transportation route and crew schedulers,6515,49658,53102,
  2 Natural and applied sciences and related occupations,1273150,66207,73365,
    21 Professional occupations in natural and applied sciences,716040,75255,82582,
      211 Physical science professionals,30930,73713,96374,
        2111 Physicists and astronomers,2980,84516,88468,
        2112 Chemists,13515,64197,71128,
        2113 Geoscientists and oceanographers,11970,88567,130711,
        2114 Meteorologists and climatologists,1155,84309,79896,
        2115 Other professional occupations in physical sciences,1310,72634,75665,
      212 Life science professionals,33595,62702,65939,
        2121 Biologists and related scientists,21880,62799,67477,
        2122 Forestry professionals,4705,73271,72358,
"        2123 Agricultural representatives, consultants and specialists",7015,54292,56835,
"      213 Civil, mechanical, electrical and chemical engineers",171290,84321,95567,
        2131 Civil engineers,57880,81247,92555,
        2132 Mechanical engineers,54585,81308,92068,
        2133 Electrical and electronics engineers,46405,89942,97434,
        2134 Chemical engineers,12420,93444,118009,
      214 Other engineers,69530,88285,102503,
        2141 Industrial and manufacturing engineers,16665,77318,86657,
        2142 Metallurgical and materials engineers,2835,93209,99545,
        2143 Mining engineers,3670,113551,126190,
        2144 Geological engineers,2975,88719,109975,
        2145 Petroleum engineers,8630,140438,175292,
        2146 Aerospace engineers,6310,85186,88236,
        2147 Computer engineers (except software engineers and designers),23465,87918,92350,
"        2148 Other professional engineers, n.e.c.",4980,73018,75073,
"      215 Architects, urban planners and land surveyors",38960,65769,74308,
        2151 Architects,16280,61468,73272,
        2152 Landscape architects,2050,55526,61185,
        2153 Urban and land use planners,12655,72542,74345,
        2154 Land surveyors,7980,65397,79732,
"      216 Mathematicians, statisticians and actuaries",12800,77230,94629,
"        2161 Mathematicians, statisticians and actuaries",12795,77230,94629,
      217 Computer and information systems professionals,358935,71806,73363,
        2171 Information systems analysts and consultants,159900,74932,76121,
        2172 Database analysts and data administrators,21675,73204,74828,
        2173 Software engineers and designers,47545,84606,88987,
        2174 Computer programmers and interactive media developers,104085,68788,69345,
        2175 Web designers and developers,25735,38794,42382,
    22 Technical occupations related to natural and applied sciences,557105,55573,61519,
      221 Technical occupations in physical sciences,33935,51736,60847,
        2211 Chemical technologists and technicians,24720,48615,54534,
        2212 Geological and mineral technologists and technicians,9220,66568,77774,
      222 Technical occupations in life sciences,47605,37412,42288,
        2221 Biological technologists and technicians,10660,39579,41884,
        2222 Agricultural and fish products inspectors,4625,63589,60236,
        2223 Forestry technologists and technicians,7510,47526,49018,
        2224 Conservation and fishery officers,5310,56877,54107,
        2225 Landscape and horticulture technicians and specialists,19495,25812,32438,
"      223 Technical occupations in civil, mechanical and industrial engineering",86025,58928,64383,
        2231 Civil engineering technologists and technicians,24440,55475,58598,
        2232 Mechanical engineering technologists and technicians,21820,63073,66178,
        2233 Industrial engineering and manufacturing technologists and technicians,17875,56091,59495,
        2234 Construction estimators,21890,61653,73043,
      224 Technical occupations in electronics and electrical engineering,111300,53677,59036,
        2241 Electrical and electronics engineering technologists and technicians,44490,60536,64687,
        2242 Electronic service technicians (household and business equipment),50655,43969,45893,
        2243 Industrial instrument technicians and mechanics,9800,85957,94156,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",6360,70709,70068,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",61630,49614,53114,
        2251 Architectural technologists and technicians,10530,48012,50933,
        2252 Industrial designers,8805,49371,54828,
        2253 Drafting technologists and technicians,28260,48347,52164,
        2254 Land survey technologists and technicians,5115,42704,46265,
        2255 Technical occupations in geomatics and meteorology,8915,60071,60935,
      226 Other technical inspectors and regulatory officers,63475,67378,71496,
        2261 Non-destructive testers and inspection technicians,7215,72258,81601,
        2262 Engineering inspectors and regulatory officers,5765,73567,78578,
        2263 Inspectors in public and environmental health and occupational health and safety,34565,68620,71868,
        2264 Construction inspectors,15925,61134,63545,
      227 Transportation officers and controllers,31775,88244,101902,
"        2271 Air pilots, flight engineers and flying instructors",17370,91096,107299,
        2272 Air traffic controllers and related occupations,4735,95392,110913,
"        2273 Deck officers, water transport",5675,78443,88001,
"        2274 Engineer officers, water transport",2440,85247,90115,
