"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Canada [1],,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"    67 Service support and other service occupations, n.e.c.",1033980,15479,20906,
"      671 Food counter attendants, kitchen helpers and related support occupations",405770,10258,14109,
"        6711 Food counter attendants, kitchen helpers and related support occupations",405770,10258,14109,
"      672 Support occupations in accommodation, travel and amusement services",43820,9607,17372,
"        6721 Support occupations in accommodation, travel and facilities set-up services",6000,21679,25594,
"        6722 Operators and attendants in amusement, recreation and sport",37825,8643,16067,
      673 Cleaners,531700,22079,26239,
        6731 Light duty cleaners,255780,17317,20618,
        6732 Specialized cleaners,44935,21089,25361,
"        6733 Janitors, caretakers and building superintendents",230975,29673,32635,
"      674 Other service support and related occupations, n.e.c.",52685,18705,22371,
"        6741 Dry cleaning, laundry and related occupations",21950,25364,26114,
"        6742 Other service support occupations, n.e.c.",30735,12833,19698,
"  7 Trades, transport and equipment operators and related occupations",2684590,42379,48272,
"    72 Industrial, electrical and construction trades",919335,45988,52068,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",95875,57338,66069,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",15360,73025,84643,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",17800,79955,86638,
"        7203 Contractors and supervisors, pipefitting trades",6400,82325,87755,
"        7204 Contractors and supervisors, carpentry trades",19190,43664,50038,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",37125,43380,53066,
"      723 Machining, metal forming, shaping and erecting trades",195825,51226,55491,
        7231 Machinists and machining and tooling inspectors,39715,52438,54244,
        7232 Tool and die makers,11665,61284,62646,
        7233 Sheet metal workers,21005,53146,55737,
        7234 Boilermakers,4435,73588,79945,
        7235 Structural metal and platework fabricators and fitters,6070,52583,53815,
        7236 Ironworkers,15270,62275,65890,
        7237 Welders and related machine operators,97665,47734,52457,
      724 Electrical trades and electrical power line and telecommunications workers,185915,62062,65890,
        7241 Electricians (except industrial and power system),95970,52466,56763,
        7242 Industrial electricians,30405,83411,87393,
        7243 Power system electricians,6425,89175,89044,
        7244 Electrical power line and cable workers,13040,96344,96086,
        7245 Telecommunications line and cable workers,10680,55778,57329,
        7246 Telecommunications installation and repair workers,27540,58477,58817,
        7247 Cable television service and maintenance technicians,1855,43486,47447,
"      725 Plumbers, pipefitters and gas fitters",83585,54644,59222,
        7251 Plumbers,52475,49698,53367,
"        7252 Steamfitters, pipefitters and sprinkler system installers",23790,69051,72675,
        7253 Gas fitters,7320,50633,57479,
      727 Carpenters and cabinetmakers,183005,35124,39178,
        7271 Carpenters,164465,35565,39865,
        7272 Cabinetmakers,18545,32281,33079,
      728 Masonry and plastering trades,69645,34420,38379,
        7281 Bricklayers,19050,35586,39769,
        7282 Concrete finishers,11920,44728,47761,
        7283 Tilesetters,9965,27910,32568,
"        7284 Plasterers, drywall installers and finishers and lathers",28710,31244,35578,
      729 Other construction trades,105495,28365,34362,
        7291 Roofers and shinglers,22480,30929,35430,
        7292 Glaziers,9970,44003,45094,
        7293 Insulators,11070,51499,56833,
        7294 Painters and decorators (except interior decorators),46935,20546,27196,
        7295 Floor covering installers,15045,25459,31478,
    73 Maintenance and equipment operation trades,516835,56100,61484,
"      730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",76195,69425,75610,
"        7301 Contractors and supervisors, mechanic trades",23325,67266,74027,
"        7302 Contractors and supervisors, heavy equipment operator crews",38595,72395,78780,
"        7303 Supervisors, printing and related occupations",2995,53821,56582,
"        7304 Supervisors, railway transport operations",2085,88901,92179,
"        7305 Supervisors, motor transport and other ground transit operators",9195,63250,68765,
      731 Machinery and transportation equipment mechanics (except motor vehicles),169325,67824,71472,
        7311 Construction millwrights and industrial mechanics,75175,69573,73855,
        7312 Heavy-duty equipment mechanics,40450,66414,73285,
"        7313 Heating, refrigeration and air conditioning mechanics",25655,57063,59440,
        7314 Railway carmen/women,2700,72143,70865,
        7315 Aircraft mechanics and aircraft inspectors,17475,70497,69659,
        7316 Machine fitters,2490,57590,58927,
        7318 Elevator constructors and mechanics,5375,94200,93931,
      732 Automotive service technicians,183895,44963,48401,
"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",154725,45353,48596,
        7322 Motor vehicle body repairers,29170,42882,47368,
      733 Other mechanics and related repairers,28675,44227,46211,
        7331 Oil and solid fuel heating mechanics,2695,41143,43786,
        7332 Appliance servicers and repairers,7250,36966,39466,
        7333 Electrical mechanics,9735,53268,56628,
"        7334 Motorcycle, all-terrain vehicle and other related mechanics",5805,42933,44491,
        7335 Other small engine and small equipment repairers,3190,32205,34926,
      736 Train crew operating occupations,10045,92534,90344,
        7361 Railway and yard locomotive engineers,4830,107313,101887,
        7362 Railway conductors and brakemen/women,5205,82529,79629,
"      737 Crane operators, drillers and blasters",19020,68780,74623,
        7371 Crane operators,15545,71426,77276,
"        7372 Drillers and blasters - surface mining, quarrying and construction",2635,62854,65035,
        7373 Water well drillers,845,50204,55704,
"      738 Printing press operators and other trades and related occupations, n.e.c.",29690,43257,45869,
        7381 Printing press operators,17015,43430,44930,
"        7384 Other trades and related occupations, n.e.c.",12670,42716,47131,
"    74 Other installers, repairers and servicers and material handlers",272215,32623,36502,
"      744 Other installers, repairers and servicers",74075,31679,37233,
        7441 Residential and commercial installers and servicers,49300,29490,34002,
        7442 Waterworks and gas maintenance workers,5390,62176,66894,
        7444 Pest controllers and fumigators,4100,35193,38058,
        7445 Other repairers and servicers,15285,31656,36975,
      745 Longshore workers and material handlers,198145,32887,36229,
        7451 Longshore workers,7140,69088,73337,
        7452 Material handlers,191000,32458,34842,
    75 Transport and heavy equipment operation and related maintenance occupations,725605,37110,42421,
      751 Motor vehicle and transit drivers,561155,33320,38777,
        7511 Transport truck drivers,314905,42644,45377,
"        7512 Bus drivers, subway operators and other transit operators",95720,28997,38454,
        7513 Taxi and limousine drivers and chauffeurs,57210,13432,17443,
        7514 Delivery and courier service drivers,93325,25525,29918,
      752 Heavy equipment operators,122295,54193,58672,
        7521 Heavy equipment operators (except crane),95755,56600,62295,
        7522 Public works maintenance equipment operators and related workers,26545,46637,45601,
      753 Other transport equipment operators and related maintenance workers,42145,37926,43777,
        7531 Railway yard and track maintenance workers,6400,68230,68583,
        7532 Water transport deck and engine room crew,4800,53766,52981,
        7533 Boat and cable ferry operators and related occupations,2725,39510,45780,
        7534 Air transport ramp attendants,10265,33856,36404,
        7535 Other automotive mechanical installers and servicers,17970,29656,36396,
"    76 Trades helpers, construction labourers and related occupations",250595,30335,36822,
      761 Trades helpers and labourers,211545,29382,36527,
        7611 Construction trades helpers and labourers,201210,29488,36571,
        7612 Other trades helpers and labourers,10340,27454,35684,
"      762 Public works and other labourers, n.e.c.",39045,36771,38417,
        7621 Public works and maintenance labourers,33860,37933,38841,
        7622 Railway and motor transport labourers,5185,30675,35651,
"  8 Natural resources, agriculture and related production occupations",422720,22458,38260,
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",119360,54496,69290,
"      821 Supervisors, logging and forestry",4575,54475,59288,
"        8211 Supervisors, logging and forestry",4580,54475,59288,
"      822 Contractors and supervisors, mining, oil and gas",21975,112947,124311,
"        8221 Supervisors, mining and quarrying",6990,124914,122613,
"        8222 Contractors and supervisors, oil and gas drilling and services",14980,103930,125104,
"      823 Underground miners, oil and gas drillers and related occupations",28080,92444,91819,
        8231 Underground production and development miners,16325,99727,96303,
"        8232 Oil and gas well drillers, servicers, testers and related workers",11755,76526,85589,
      824 Logging machinery operators,8605,56342,56795,
        8241 Logging machinery operators,8605,56342,56795,
"      825 Contractors and supervisors, agriculture, horticulture and related operations and services",31105,30564,37282,
"        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",10125,29868,35738,
"        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",20985,30829,38027,
      826 Fishing vessel masters and fishermen/women,25010,26919,41607,
        8261 Fishing masters and officers,2955,49714,65827,
        8262 Fishermen/women,22060,25093,38362,
"    84 Workers in natural resources, agriculture and related production",153180,18370,27971,
      841 Mine service workers and operators in oil and gas drilling,12150,79192,81759,
        8411 Underground mine service and support workers,3260,73411,73748,
        8412 Oil and gas well drilling and related workers and services operators,8885,80468,84700,
      842 Logging and forestry workers,16530,23391,31081,
        8421 Chain saw and skidder operators,8370,25245,33399,
        8422 Silviculture and forestry workers,8160,21960,28702,
      843 Agriculture and horticulture workers,117355,15582,21917,
        8431 General farm workers,101055,16238,22741,
        8432 Nursery and greenhouse workers,16300,12908,16807,
      844 Other workers in fishing and trapping and hunting occupations,7155,16565,28755,
        8441 Fishing vessel deckhands,6460,17601,30382,
        8442 Trappers and hunters,690,3704,13523,
"    86 Harvesting, landscaping and natural resources labourers",150180,15747,24094,
"      861 Harvesting, landscaping and natural resources labourers",150175,15747,24094,
        8611 Harvesting labourers,7910,10714,15575,
        8612 Landscaping and grounds maintenance labourers,118405,14466,20156,
        8613 Aquaculture and marine harvest labourers,2375,16062,23809,
        8614 Mine labourers,3705,55014,58703,
"        8615 Oil and gas drilling, servicing and related labourers",10790,51420,59722,
        8616 Logging and forestry labourers,6995,17837,27192,
  9 Occupations in manufacturing and utilities,834285,36932,44853,
"    92 Processing, manufacturing and utilities supervisors and central control operators",140415,72557,84577,
"      921 Supervisors, processing and manufacturing occupations",50620,65557,76374,
"        9211 Supervisors, mineral and metal processing",8085,73247,78391,
"        9212 Supervisors, petroleum, gas and chemical processing and utilities",14920,91981,104391,
"        9213 Supervisors, food and beverage processing",13435,51579,54072,
"        9214 Supervisors, plastic and rubber products manufacturing",5540,53902,61235,
"        9215 Supervisors, forest products processing",6690,70942,78282,
"        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",1945,41143,43709,
"      922 Supervisors, assembly and fabrication",21995,62992,68115,
"        9221 Supervisors, motor vehicle assembling",8115,76525,79020,
"        9222 Supervisors, electronics manufacturing",1750,57926,62979,
"        9223 Supervisors, electrical products manufacturing",1315,60707,67177,
"        9224 Supervisors, furniture and fixtures manufacturing",2890,48136,50904,
"        9226 Supervisors, other mechanical and metal products manufacturing",4035,70541,71978,
"        9227 Supervisors, other products manufacturing and assembly",3885,52737,56771,
      923 Central control and process operators in processing and manufacturing,24025,98734,106179,
"        9231 Central control and process operators, mineral and metal processing",2140,87462,86420,
"        9232 Central control and process operators, petroleum, gas and chemical processing",18975,109008,114108,
"        9235 Pulping, papermaking and coating control operators",2910,69526,68978,
      924 Utilities equipment operators and controllers,43775,77613,90480,
        9241 Power engineers and power systems operators,30745,90977,103204,
        9243 Water and waste treatment plant operators,13030,61653,60459,
    94 Processing and manufacturing machine operators and related production workers,244310,37073,40819,
      941 Machine operators and related workers in mineral and metal products processing and manufacturing,61670,44439,48535,
"        9411 Machine operators, mineral and metal processing",10390,66843,68211,
        9412 Foundry workers,3980,46334,51511,
        9413 Glass forming and finishing machine operators and glass cutters,3480,33843,34738,
"        9414 Concrete, clay and stone forming operators",6200,38415,41471,
"        9415 Inspectors and testers, mineral and metal processing",2790,49838,52498,
        9416 Metalworking and forging machine operators,15745,42509,44546,
        9417 Machining tool operators,11310,44327,45806,
        9418 Other metal products machine operators,7780,40666,43164,
"      942 Machine operators and related workers in chemical, plastic and rubber processing",36295,40277,44507,
        9421 Chemical plant machine operators,10220,43775,48675,
        9422 Plastics processing machine operators,18050,36984,40429,
        9423 Rubber processing machine operators and related workers,8025,45842,48372,
      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,36005,43090,46890,
        9431 Sawmill machine operators,8895,41864,45678,
        9432 Pulp mill machine operators,2420,73423,74030,
        9433 Papermaking and finishing machine operators,3380,59821,59444,
        9434 Other wood processing machine operators,5560,42584,45898,
        9435 Paper converting machine operators,5150,45722,46104,
        9436 Lumber graders and other wood processing inspectors and graders,3350,45771,47379,
        9437 Woodworking machine operators,7245,33877,34550,
"      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",29260,23671,25093,
"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",4050,29686,31707,
"        9442 Weavers, knitters and other fabric making occupations",3625,26368,26457,
"        9445 Fabric, fur and leather cutters",1835,25734,26231,
        9446 Industrial sewing machine operators,17525,22277,22450,
"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",2230,27908,30720,
"      946 Machine operators and related workers in food, beverage and associated products processing",63065,34886,36343,
"        9461 Process control and machine operators, food and beverage processing",35285,38500,41179,
"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",14985,36645,34305,
        9463 Fish and seafood plant workers,7580,13261,18351,
"        9465 Testers and graders, food and beverage processing",5225,33076,35630,
      947 Printing equipment operators and related occupations,18015,33741,36045,
        9471 Plateless printing equipment operators,7550,35390,37354,
"        9472 Camera, platemaking and other prepress occupations",2800,44213,46263,
        9473 Binding and finishing machine operators,5140,32025,32954,
        9474 Photographic and film processors,2525,21489,27093,
    95 Assemblers in manufacturing,197900,37606,41566,
"      952 Mechanical, electrical and electronics assemblers",114800,42068,45972,
        9521 Aircraft assemblers and aircraft assembly inspectors,7020,66827,63549,
"        9522 Motor vehicle assemblers, inspectors and testers",67620,44220,47650,
"        9523 Electronics assemblers, fabricators, inspectors and testers",15795,32993,35933,
"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",8535,36121,39745,
"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",2215,42443,45031,
        9526 Mechanical assemblers and inspectors,11615,43602,44940,
"        9527 Machine operators and inspectors, electrical apparatus manufacturing",2000,39351,40449,
      953 Other assembly and related occupations,83100,32928,35479,
        9531 Boat assemblers and inspectors,1580,32765,38132,
        9532 Furniture and fixture assemblers and inspectors,11865,29974,30385,
        9533 Other wood products assemblers and inspectors,9320,30409,32065,
        9534 Furniture finishers and refinishers,6700,30888,31224,
"        9535 Plastic products assemblers, finishers and inspectors",11820,32887,34114,
"        9536 Industrial painters, coaters and metal finishing process operators",17555,43015,46307,
"        9537 Other products assemblers, finishers and inspectors",24265,30798,33112,
"    96 Labourers in processing, manufacturing and utilities",251660,25607,29190,
"      961 Labourers in processing, manufacturing and utilities",251660,25607,29190,
        9611 Labourers in mineral and metal processing,9915,37972,43312,
        9612 Labourers in metal fabrication,15490,34542,37073,
        9613 Labourers in chemical products processing and utilities,9780,34207,39618,
"        9614 Labourers in wood, pulp and paper processing",24135,32640,37562,
        9615 Labourers in rubber and plastic products manufacturing,8635,29258,30299,
        9616 Labourers in textile processing,3795,23353,25102,
        9617 Labourers in food and beverage processing,79340,25918,27532,
        9618 Labourers in fish and seafood processing,13030,12572,15684,
"        9619 Other labourers in processing, manufacturing and utilities",87535,23155,26302,
Note,,,,
[1] Excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,
"[2] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.",,,,
"[2] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
"[2] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.",,,,
"[3] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.",,,,
"[4] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).",,,,
[5] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,
[6] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.,,,,
Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.,,,,
