"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Prince Edward Island / Œle-du-Prince-…douard,,,,
Global non-response rate (GNR) =   5.6 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        1252 Health information management occupations,20,0,0,
        1253 Records management technicians,15,0,0,
        1254 Statistical officers and related research support occupations,20,0,0,
"    13 Finance, insurance and related business administrative occupations",900,35913,36765,
"      131 Finance, insurance and related business administrative occupations",900,35913,36765,
        1311 Accounting technicians and bookkeepers,725,31553,32919,
        1312 Insurance adjusters and claims examiners,115,50926,50283,
        1313 Insurance underwriters,35,43152,50125,
"        1314 Assessors, valuators and appraisers",20,0,0,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,3415,32436,32173,
      141 General office workers,1945,30381,31094,
        1411 General office support workers,1295,31838,32752,
        1414 Receptionists,585,27857,26045,
        1415 Personnel clerks,55,52173,42946,
        1416 Court clerks,10,0,0,
      142 Office equipment operators,230,30118,34465,
        1422 Data entry clerks,220,29537,33505,
        1423 Desktop publishing operators and related occupations,15,0,0,
"      143 Financial, insurance and related administrative support workers",885,39831,37728,
        1431 Accounting and related clerks,610,37868,35389,
        1432 Payroll administrators,210,46820,45945,
"        1434 Banking, insurance and other financial clerks",35,30031,27455,
        1435 Collectors,25,0,0,
"      145 Library, correspondence and other clerks",355,18172,22834,
        1451 Library assistants and clerks,50,34049,29609,
"        1452 Correspondence, publication and regulatory clerks",85,39362,40568,
        1454 Survey interviewers and statistical clerks,220,9511,14167,
"    15 Distribution, tracking and scheduling co-ordination occupations",1065,33780,35094,
      151 Mail and message distribution occupations,330,32103,34972,
"        1511 Mail, postal and related workers",155,32033,34105,
        1512 Letter carriers,115,39438,36252,
"        1513 Couriers, messengers and door-to-door distributors",60,31830,34706,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",735,33851,35150,
        1521 Shippers and receivers,315,30792,31241,
        1522 Storekeepers and partspersons,160,38519,38631,
        1523 Production logistics co-ordinators,40,37925,45554,
        1524 Purchasing and inventory control workers,120,30504,30417,
        1525 Dispatchers,90,34274,43418,
        1526 Transportation route and crew schedulers,10,0,0,
  2 Natural and applied sciences and related occupations,3980,53689,54477,
    21 Professional occupations in natural and applied sciences,1825,62853,62295,
      211 Physical science professionals,105,60770,67313,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,80,60763,67669,
        2113 Geoscientists and oceanographers,10,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,155,73772,73397,
        2121 Biologists and related scientists,80,74489,75518,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",65,73733,75169,
"      213 Civil, mechanical, electrical and chemical engineers",270,72453,70342,
        2131 Civil engineers,115,77241,69302,
        2132 Mechanical engineers,90,68151,64627,
        2133 Electrical and electronics engineers,50,69730,74962,
        2134 Chemical engineers,15,0,0,
      214 Other engineers,110,58500,56485,
        2141 Industrial and manufacturing engineers,20,0,0,
        2142 Metallurgical and materials engineers,10,0,0,
        2143 Mining engineers,0,0,0,
        2144 Geological engineers,10,0,0,
        2145 Petroleum engineers,15,0,0,
        2146 Aerospace engineers,30,0,44867,
        2147 Computer engineers (except software engineers and designers),35,67447,65289,
"        2148 Other professional engineers, n.e.c.",0,0,0,
"      215 Architects, urban planners and land surveyors",100,45914,53389,
        2151 Architects,30,0,41154,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,30,45201,58253,
        2154 Land surveyors,40,51795,59339,
"      216 Mathematicians, statisticians and actuaries",25,0,0,
"        2161 Mathematicians, statisticians and actuaries",25,0,0,
      217 Computer and information systems professionals,1065,59754,59147,
        2171 Information systems analysts and consultants,465,61008,61509,
        2172 Database analysts and data administrators,65,55644,55903,
        2173 Software engineers and designers,65,81052,83644,
        2174 Computer programmers and interactive media developers,375,62058,56976,
        2175 Web designers and developers,95,38052,40402,
    22 Technical occupations related to natural and applied sciences,2155,46853,47840,
      221 Technical occupations in physical sciences,180,47735,45403,
        2211 Chemical technologists and technicians,180,47735,45403,
        2212 Geological and mineral technologists and technicians,0,0,0,
      222 Technical occupations in life sciences,370,33149,36680,
        2221 Biological technologists and technicians,150,28352,32149,
        2222 Agricultural and fish products inspectors,80,58989,52023,
        2223 Forestry technologists and technicians,15,0,0,
        2224 Conservation and fishery officers,45,47112,38032,
        2225 Landscape and horticulture technicians and specialists,70,18644,28638,
"      223 Technical occupations in civil, mechanical and industrial engineering",295,46747,49528,
        2231 Civil engineering technologists and technicians,45,51357,51072,
        2232 Mechanical engineering technologists and technicians,100,48169,48347,
        2233 Industrial engineering and manufacturing technologists and technicians,75,41633,51471,
        2234 Construction estimators,70,46612,48139,
      224 Technical occupations in electronics and electrical engineering,295,45617,52199,
