"","noc_code","noc10"
"13","0011","  0 Management occupations"
"14","0012","  0 Management occupations"
"15","0013","  0 Management occupations"
"16","0014","  0 Management occupations"
"17","0015","  0 Management occupations"
"18","0016","  0 Management occupations"
"19","0105","  0 Management occupations"
"21","0111","  0 Management occupations"
"22","0112","  0 Management occupations"
"23","0113","  0 Management occupations"
"24","0114","  0 Management occupations"
"26","0121","  0 Management occupations"
"27","0122","  0 Management occupations"
"28","0124","  0 Management occupations"
"29","0125","  0 Management occupations"
"31","0131","  0 Management occupations"
"32","0132","  0 Management occupations"
"34","0211","  0 Management occupations"
"35","0212","  0 Management occupations"
"36","0213","  0 Management occupations"
"38","0311","  0 Management occupations"
"40","0411","  0 Management occupations"
"41","0412","  0 Management occupations"
"42","0413","  0 Management occupations"
"43","0414","  0 Management occupations"
"45","0421","  0 Management occupations"
"46","0422","  0 Management occupations"
"47","0423","  0 Management occupations"
"49","0431","  0 Management occupations"
"50","0432","  0 Management occupations"
"51","0433","  0 Management occupations"
"53","0511","  0 Management occupations"
"54","0512","  0 Management occupations"
"55","0513","  0 Management occupations"
"58","0601","  0 Management occupations"
"60","0621","  0 Management occupations"
"62","0631","  0 Management occupations"
"63","0632","  0 Management occupations"
"65","0651","  0 Management occupations"
"66","0709","  0 Management occupations"
"68","0711","  0 Management occupations"
"69","0712","  0 Management occupations"
"70","0714","  0 Management occupations"
"72","0731","  0 Management occupations"
"74","0811","  0 Management occupations"
"76","0821","  0 Management occupations"
"77","0822","  0 Management occupations"
"78","0823","  0 Management occupations"
"80","0911","  0 Management occupations"
"81","0912","  0 Management occupations"
"85","1111","  1 Business, finance and administration occupations"
"86","1112","  1 Business, finance and administration occupations"
"87","1113","  1 Business, finance and administration occupations"
"88","1114","  1 Business, finance and administration occupations"
"90","1121","  1 Business, finance and administration occupations"
"91","1122","  1 Business, finance and administration occupations"
"92","1123","  1 Business, finance and administration occupations"
"95","1211","  1 Business, finance and administration occupations"
"96","1212","  1 Business, finance and administration occupations"
"97","1213","  1 Business, finance and administration occupations"
"98","1214","  1 Business, finance and administration occupations"
"99","1215","  1 Business, finance and administration occupations"
"101","1221","  1 Business, finance and administration occupations"
"102","1222","  1 Business, finance and administration occupations"
"103","1223","  1 Business, finance and administration occupations"
"104","1224","  1 Business, finance and administration occupations"
"105","1225","  1 Business, finance and administration occupations"
"106","1226","  1 Business, finance and administration occupations"
"107","1227","  1 Business, finance and administration occupations"
"108","1228","  1 Business, finance and administration occupations"
"110","1241","  1 Business, finance and administration occupations"
"111","1242","  1 Business, finance and administration occupations"
"112","1243","  1 Business, finance and administration occupations"
"114","1251","  1 Business, finance and administration occupations"
"115","1252","  1 Business, finance and administration occupations"
"116","1253","  1 Business, finance and administration occupations"
"117","1254","  1 Business, finance and administration occupations"
"120","1311","  1 Business, finance and administration occupations"
"121","1312","  1 Business, finance and administration occupations"
"122","1313","  1 Business, finance and administration occupations"
"123","1314","  1 Business, finance and administration occupations"
"124","1315","  1 Business, finance and administration occupations"
"127","1411","  1 Business, finance and administration occupations"
"128","1414","  1 Business, finance and administration occupations"
"129","1415","  1 Business, finance and administration occupations"
"130","1416","  1 Business, finance and administration occupations"
