"","occupation","employment","median.income","mean.income","geography"
"90","        1121 Human resources professionals","225","56291","55423","Abbotsford - Mission"
"91","        1122 Professional occupations in business management consulting","155","52036","48480","Abbotsford - Mission"
"92","        1123 Professional occupations in advertising, marketing and public relations","260","26143","34606","Abbotsford - Mission"
"93","    12 Administrative and financial supervisors and administrative occupations","3890","38534","43081","Abbotsford - Mission"
"94","      121 Administrative services supervisors","410","46942","50270","Abbotsford - Mission"
"95","        1211 Supervisors, general office and administrative support workers","60","51472","49349","Abbotsford - Mission"
"96","        1212 Supervisors, finance and insurance office workers","80","50078","54781","Abbotsford - Mission"
"97","        1213 Supervisors, library, correspondence and related information workers","15","0","0","Abbotsford - Mission"
"98","        1214 Supervisors, mail and message distribution occupations","15","0","0","Abbotsford - Mission"
"99","        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations","240","45205","49305","Abbotsford - Mission"
"100","      122 Administrative and regulatory occupations","1915","43433","49490","Abbotsford - Mission"
"101","        1221 Administrative officers","1195","42796","50542","Abbotsford - Mission"
"102","        1222 Executive assistants","155","52871","50911","Abbotsford - Mission"
"103","        1223 Human resources and recruitment officers","55","38364","42342","Abbotsford - Mission"
"104","        1224 Property administrators","160","21276","31350","Abbotsford - Mission"
"105","        1225 Purchasing agents and officers","125","58177","64361","Abbotsford - Mission"
"106","        1226 Conference and event planners","85","19197","28177","Abbotsford - Mission"
"107","        1227 Court officers and justices of the peace","10","0","0","Abbotsford - Mission"
"108","        1228 Employment insurance, immigration, border services and revenue officers","120","76891","65577","Abbotsford - Mission"
"109","      124 Office administrative assistants - general, legal and medical","1475","32223","33485","Abbotsford - Mission"
"110","        1241 Administrative assistants","1185","32543","33799","Abbotsford - Mission"
"111","        1242 Legal administrative assistants","170","34994","36376","Abbotsford - Mission"
"112","        1243 Medical administrative assistants","120","26417","26399","Abbotsford - Mission"
"113","      125 Court reporters, transcriptionists, records management technicians and statistical officers","100","27410","32619","Abbotsford - Mission"
"114","        1251 Court reporters, medical transcriptionists and related occupations","70","18924","26863","Abbotsford - Mission"
"115","        1252 Health information management occupations","10","0","0","Abbotsford - Mission"
"116","        1253 Records management technicians","10","0","0","Abbotsford - Mission"
"117","        1254 Statistical officers and related research support occupations","10","0","0","Abbotsford - Mission"
"118","    13 Finance, insurance and related business administrative occupations","1290","35631","39238","Abbotsford - Mission"
"119","      131 Finance, insurance and related business administrative occupations","1285","35631","39238","Abbotsford - Mission"
"120","        1311 Accounting technicians and bookkeepers","1060","29798","34811","Abbotsford - Mission"
"121","        1312 Insurance adjusters and claims examiners","130","62968","63264","Abbotsford - Mission"
"122","        1313 Insurance underwriters","15","0","0","Abbotsford - Mission"
"123","        1314 Assessors, valuators and appraisers","75","51407","56141","Abbotsford - Mission"
"124","        1315 Customs, ship and other brokers","0","0","0","Abbotsford - Mission"
"125","    14 Office support occupations","3870","30138","31340","Abbotsford - Mission"
"126","      141 General office workers","2615","28981","30051","Abbotsford - Mission"
"127","        1411 General office support workers","1475","33718","32903","Abbotsford - Mission"
"128","        1414 Receptionists","1075","24539","25918","Abbotsford - Mission"
"129","        1415 Personnel clerks","60","30908","31269","Abbotsford - Mission"
"130","        1416 Court clerks","10","0","0","Abbotsford - Mission"
"131","      142 Office equipment operators","195","21823","21132","Abbotsford - Mission"
"132","        1422 Data entry clerks","195","21763","21047","Abbotsford - Mission"
"133","        1423 Desktop publishing operators and related occupations","0","0","0","Abbotsford - Mission"
"134","      143 Financial, insurance and related administrative support workers","900","39296","37027","Abbotsford - Mission"
"135","        1431 Accounting and related clerks","665","39377","37306","Abbotsford - Mission"
"136","        1432 Payroll administrators","150","41721","38235","Abbotsford - Mission"
"137","        1434 Banking, insurance and other financial clerks","70","24536","30063","Abbotsford - Mission"
"138","        1435 Collectors","15","0","0","Abbotsford - Mission"
"139","      145 Library, correspondence and other clerks","160","27326","33027","Abbotsford - Mission"
"140","        1451 Library assistants and clerks","35","16302","23001","Abbotsford - Mission"
"141","        1452 Correspondence, publication and regulatory clerks","85","50341","49573","Abbotsford - Mission"
"142","        1454 Survey interviewers and statistical clerks","40","0","0","Abbotsford - Mission"
"143","    15 Distribution, tracking and scheduling co-ordination occupations","1895","39038","41525","Abbotsford - Mission"
"144","      151 Mail and message distribution occupations","390","38421","39008","Abbotsford - Mission"
"145","        1511 Mail, postal and related workers","100","30056","34035","Abbotsford - Mission"
"146","        1512 Letter carriers","165","56501","50808","Abbotsford - Mission"
"147","        1513 Couriers, messengers and door-to-door distributors","125","25051","27473","Abbotsford - Mission"
"148","      152 Supply chain logistics, tracking and scheduling co-ordination occupations","1500","39206","42181","Abbotsford - Mission"
"149","        1521 Shippers and receivers","670","35524","36040","Abbotsford - Mission"
"150","        1522 Storekeepers and partspersons","200","52282","52749","Abbotsford - Mission"
"151","        1523 Production logistics co-ordinators","95","52749","57341","Abbotsford - Mission"
"152","        1524 Purchasing and inventory control workers","140","31690","32820","Abbotsford - Mission"
"153","        1525 Dispatchers","355","40076","47136","Abbotsford - Mission"
"154","        1526 Transportation route and crew schedulers","35","40549","43384","Abbotsford - Mission"
"155","  2 Natural and applied sciences and related occupations","3390","58211","59727","Abbotsford - Mission"
"156","    21 Professional occupations in natural and applied sciences","1230","64358","65316","Abbotsford - Mission"
