"","occupation","employment","median.income","mean.income","geography"
"53214","        7361 Railway and yard locomotive engineers","60","85161","93907","Hamilton"
"53312","        7362 Railway conductors and brakemen/women","50","57813","62869","Hamilton"
"53412","      737 Crane operators, drillers and blasters","1130","60544","64003","Hamilton"
"53512","        7371 Crane operators","1090","61243","64660","Hamilton"
"53612","        7372 Drillers and blasters - surface mining, quarrying and construction","35","27319","37580","Hamilton"
"53712","        7373 Water well drillers","10","0","0","Hamilton"
"53812","      738 Printing press operators and other trades and related occupations, n.e.c.","510","40758","49014","Hamilton"
"53912","        7381 Printing press operators","310","40746","51280","Hamilton"
"54012","        7384 Other trades and related occupations, n.e.c.","200","41510","45459","Hamilton"
"54116","    74 Other installers, repairers and servicers and material handlers","6005","35384","38158","Hamilton"
"54214","      744 Other installers, repairers and servicers","1735","35828","36891","Hamilton"
"54312","        7441 Residential and commercial installers and servicers","1205","27138","31784","Hamilton"
"54412","        7442 Waterworks and gas maintenance workers","120","70430","74407","Hamilton"
"54512","        7444 Pest controllers and fumigators","150","41714","46705","Hamilton"
"54612","        7445 Other repairers and servicers","265","37008","37749","Hamilton"
"54712","      745 Longshore workers and material handlers","4270","35224","38674","Hamilton"
"54812","        7451 Longshore workers","85","48315","49075","Hamilton"
"54912","        7452 Material handlers","4185","35116","38462","Hamilton"
"55012","    75 Transport and heavy equipment operation and related maintenance occupations","12160","33939","39678","Hamilton"
"55116","      751 Motor vehicle and transit drivers","10025","30384","36858","Hamilton"
"55214","        7511 Transport truck drivers","5250","38358","42000","Hamilton"
"55312","        7512 Bus drivers, subway operators and other transit operators","1905","33519","41340","Hamilton"
"55412","        7513 Taxi and limousine drivers and chauffeurs","1205","14268","19375","Hamilton"
"55512","        7514 Delivery and courier service drivers","1665","25270","28153","Hamilton"
"55612","      752 Heavy equipment operators","1570","55988","54942","Hamilton"
"55712","        7521 Heavy equipment operators (except crane)","985","57430","57426","Hamilton"
"55812","        7522 Public works maintenance equipment operators and related workers","585","52573","50731","Hamilton"
"55912","      753 Other transport equipment operators and related maintenance workers","565","35154","47313","Hamilton"
"56012","        7531 Railway yard and track maintenance workers","110","63708","62976","Hamilton"
"56116","        7532 Water transport deck and engine room crew","25","0","0","Hamilton"
"56214","        7533 Boat and cable ferry operators and related occupations","20","0","0","Hamilton"
"56312","        7534 Air transport ramp attendants","140","45768","37214","Hamilton"
"56412","        7535 Other automotive mechanical installers and servicers","275","27454","33305","Hamilton"
"56512","    76 Trades helpers, construction labourers and related occupations","4710","30529","35449","Hamilton"
"56612","      761 Trades helpers and labourers","4110","29736","35030","Hamilton"
"56712","        7611 Construction trades helpers and labourers","3870","29748","34831","Hamilton"
"56812","        7612 Other trades helpers and labourers","240","26473","38275","Hamilton"
"56912","      762 Public works and other labourers, n.e.c.","600","36134","38330","Hamilton"
"57012","        7621 Public works and maintenance labourers","530","37223","38890","Hamilton"
"57116","        7622 Railway and motor transport labourers","70","33828","33955","Hamilton"
"57214","  8 Natural resources, agriculture and related production occupations","6205","17164","24798","Hamilton"
"57312","    82 Supervisors and technical occupations in natural resources, agriculture and related production","935","37987","45370","Hamilton"
"57412","      821 Supervisors, logging and forestry","15","0","0","Hamilton"
"57512","        8211 Supervisors, logging and forestry","20","0","0","Hamilton"
"57612","      822 Contractors and supervisors, mining, oil and gas","50","106562","125434","Hamilton"
"57712","        8221 Supervisors, mining and quarrying","35","0","105223","Hamilton"
"57812","        8222 Contractors and supervisors, oil and gas drilling and services","20","0","0","Hamilton"
"57912","      823 Underground miners, oil and gas drillers and related occupations","35","36241","41458","Hamilton"
"58012","        8231 Underground production and development miners","10","0","0","Hamilton"
"58116","        8232 Oil and gas well drillers, servicers, testers and related workers","20","0","0","Hamilton"
"58214","      824 Logging machinery operators","15","0","0","Hamilton"
"58312","        8241 Logging machinery operators","15","0","0","Hamilton"
"58412","      825 Contractors and supervisors, agriculture, horticulture and related operations and services","815","34619","40227","Hamilton"
"58512","        8252 Agricultural service contractors, farm supervisors and specialized livestock workers","145","9813","29775","Hamilton"
"58612","        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","670","38594","42486","Hamilton"
"58712","      826 Fishing vessel masters and fishermen/women","0","0","0","Hamilton"
"58812","        8261 Fishing masters and officers","0","0","0","Hamilton"
"58912","        8262 Fishermen/women","0","0","0","Hamilton"
"59012","    84 Workers in natural resources, agriculture and related production","1555","15756","20968","Hamilton"
"59116","      841 Mine service workers and operators in oil and gas drilling","30","0","0","Hamilton"
"59214","        8411 Underground mine service and support workers","0","0","0","Hamilton"
"59312","        8412 Oil and gas well drilling and related workers and services operators","25","0","0","Hamilton"
"59412","      842 Logging and forestry workers","40","21332","24122","Hamilton"
"59512","        8421 Chain saw and skidder operators","15","0","0","Hamilton"
"59612","        8422 Silviculture and forestry workers","30","0","25750","Hamilton"
"59712","      843 Agriculture and horticulture workers","1480","14964","19560","Hamilton"
"59812","        8431 General farm workers","750","13261","19251","Hamilton"
"59912","        8432 Nursery and greenhouse workers","740","17571","19874","Hamilton"
"60012","      844 Other workers in fishing and trapping and hunting occupations","0","0","0","Hamilton"
"60116","        8441 Fishing vessel deckhands","0","0","0","Hamilton"
"60214","        8442 Trappers and hunters","0","0","0","Hamilton"
"60312","    86 Harvesting, landscaping and natural resources labourers","3715","14903","21225","Hamilton"
"60412","      861 Harvesting, landscaping and natural resources labourers","3720","14903","21225","Hamilton"
"60512","        8611 Harvesting labourers","110","34415","31354","Hamilton"
"60612","        8612 Landscaping and grounds maintenance labourers","3560","14593","20639","Hamilton"
"60712","        8613 Aquaculture and marine harvest labourers","0","0","0","Hamilton"
"60812","        8614 Mine labourers","10","0","0","Hamilton"
"60912","        8615 Oil and gas drilling, servicing and related labourers","15","0","0","Hamilton"
"61012","        8616 Logging and forestry labourers","20","0","0","Hamilton"
"61116","  9 Occupations in manufacturing and utilities","20805","41011","47343","Hamilton"
"61214","    92 Processing, manufacturing and utilities supervisors and central control operators","2955","75772","78792","Hamilton"
"61312","      921 Supervisors, processing and manufacturing occupations","1270","75415","79726","Hamilton"
"61412","        9211 Supervisors, mineral and metal processing","485","92804","87808","Hamilton"
"61512","        9212 Supervisors, petroleum, gas and chemical processing and utilities","280","88136","98229","Hamilton"
"61612","        9213 Supervisors, food and beverage processing","310","62596","65839","Hamilton"
"61712","        9214 Supervisors, plastic and rubber products manufacturing","105","57831","56474","Hamilton"
"61812","        9215 Supervisors, forest products processing","65","58219","57693","Hamilton"
"61912","        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing","15","0","0","Hamilton"
"62012","      922 Supervisors, assembly and fabrication","705","72987","74561","Hamilton"
"62116","        9221 Supervisors, motor vehicle assembling","355","81671","86214","Hamilton"
"62214","        9222 Supervisors, electronics manufacturing","40","76551","70506","Hamilton"
"62312","        9223 Supervisors, electrical products manufacturing","25","0","0","Hamilton"
"62412","        9224 Supervisors, furniture and fixtures manufacturing","45","59907","56121","Hamilton"
"62512","        9226 Supervisors, other mechanical and metal products manufacturing","135","77616","71381","Hamilton"
"62612","        9227 Supervisors, other products manufacturing and assembly","105","45556","50858","Hamilton"
"62712","      923 Central control and process operators in processing and manufacturing","270","73510","82137","Hamilton"
"62812","        9231 Central control and process operators, mineral and metal processing","115","78525","75814","Hamilton"
"62912","        9232 Central control and process operators, petroleum, gas and chemical processing","130","92250","95391","Hamilton"
"63012","        9235 Pulping, papermaking and coating control operators","20","0","42364","Hamilton"
"63116","      924 Utilities equipment operators and controllers","715","79741","80044","Hamilton"
"63214","        9241 Power engineers and power systems operators","410","83768","88961","Hamilton"
"63312","        9243 Water and waste treatment plant operators","310","73353","68272","Hamilton"
"63412","    94 Processing and manufacturing machine operators and related production workers","5795","41795","44661","Hamilton"
"63512","      941 Machine operators and related workers in mineral and metal products processing and manufacturing","2475","54055","54502","Hamilton"
"63612","        9411 Machine operators, mineral and metal processing","555","67614","66098","Hamilton"
"63712","        9412 Foundry workers","115","46310","49587","Hamilton"
"63812","        9413 Glass forming and finishing machine operators and glass cutters","40","47379","44929","Hamilton"
"63912","        9414 Concrete, clay and stone forming operators","155","48978","49074","Hamilton"
"64012","        9415 Inspectors and testers, mineral and metal processing","230","72412","62314","Hamilton"
"64116","        9416 Metalworking and forging machine operators","765","52819","52409","Hamilton"
"64214","        9417 Machining tool operators","430","46666","46742","Hamilton"
"64312","        9418 Other metal products machine operators","185","47628","46751","Hamilton"
"64412","      942 Machine operators and related workers in chemical, plastic and rubber processing","510","44282","47129","Hamilton"
"64512","        9421 Chemical plant machine operators","150","54760","61005","Hamilton"
"64612","        9422 Plastics processing machine operators","250","36304","38943","Hamilton"
"64712","        9423 Rubber processing machine operators and related workers","105","47426","46192","Hamilton"
"64812","      943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","340","33391","35672","Hamilton"
"64912","        9431 Sawmill machine operators","50","33737","43401","Hamilton"
"65012","        9432 Pulp mill machine operators","0","0","0","Hamilton"
"65116","        9433 Papermaking and finishing machine operators","70","31171","36781","Hamilton"
"65214","        9434 Other wood processing machine operators","80","30999","28313","Hamilton"
"65312","        9435 Paper converting machine operators","65","41160","44601","Hamilton"
"65412","        9436 Lumber graders and other wood processing inspectors and graders","10","0","0","Hamilton"
"65512","        9437 Woodworking machine operators","70","29128","28093","Hamilton"
"65612","      944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","385","24702","24038","Hamilton"
"65712","        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers","55","23295","24056","Hamilton"
"65812","        9442 Weavers, knitters and other fabric making occupations","55","22308","17841","Hamilton"
"65912","        9445 Fabric, fur and leather cutters","40","28555","27112","Hamilton"
"66012","        9446 Industrial sewing machine operators","220","25218","24856","Hamilton"
"66116","        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing","15","0","0","Hamilton"
"66214","      946 Machine operators and related workers in food, beverage and associated products processing","1745","39300","37963","Hamilton"
"66312","        9461 Process control and machine operators, food and beverage processing","1175","38422","37971","Hamilton"
"66412","        9462 Industrial butchers and meat cutters, poultry preparers and related workers","455","41270","37905","Hamilton"
"66512","        9463 Fish and seafood plant workers","0","0","0","Hamilton"
"66612","        9465 Testers and graders, food and beverage processing","115","39164","38744","Hamilton"
"66712","      947 Printing equipment operators and related occupations","340","36657","36352","Hamilton"
"66812","        9471 Plateless printing equipment operators","140","33445","35480","Hamilton"
"66912","        9472 Camera, platemaking and other prepress occupations","55","50877","53024","Hamilton"
"67012","        9473 Binding and finishing machine operators","100","36052","31279","Hamilton"
"67116","        9474 Photographic and film processors","45","17646","29833","Hamilton"
"67214","    95 Assemblers in manufacturing","5900","45718","52022","Hamilton"
"67312","      952 Mechanical, electrical and electronics assemblers","4290","49411","55795","Hamilton"
"67412","        9521 Aircraft assemblers and aircraft assembly inspectors","65","78335","72880","Hamilton"
"67512","        9522 Motor vehicle assemblers, inspectors and testers","3280","51858","58525","Hamilton"
"67612","        9523 Electronics assemblers, fabricators, inspectors and testers","370","30520","34240","Hamilton"
"67712","        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","190","42885","51106","Hamilton"
"67812","        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","80","57154","56984","Hamilton"
"67912","        9526 Mechanical assemblers and inspectors","245","53218","54774","Hamilton"
"68012","        9527 Machine operators and inspectors, electrical apparatus manufacturing","60","41652","37228","Hamilton"
"68116","      953 Other assembly and related occupations","1610","35821","41964","Hamilton"
"68214","        9531 Boat assemblers and inspectors","20","0","0","Hamilton"
"68312","        9532 Furniture and fixture assemblers and inspectors","70","19502","19907","Hamilton"
"68412","        9533 Other wood products assemblers and inspectors","115","34711","38480","Hamilton"
"68512","        9534 Furniture finishers and refinishers","105","31231","32531","Hamilton"
"68612","        9535 Plastic products assemblers, finishers and inspectors","180","24058","28845","Hamilton"
"68712","        9536 Industrial painters, coaters and metal finishing process operators","600","54259","55317","Hamilton"
"68812","        9537 Other products assemblers, finishers and inspectors","520","30151","36414","Hamilton"
"68912","    96 Labourers in processing, manufacturing and utilities","6160","27221","30309","Hamilton"
"69012","      961 Labourers in processing, manufacturing and utilities","6155","27221","30309","Hamilton"
"69116","        9611 Labourers in mineral and metal processing","750","49770","47500","Hamilton"
"69214","        9612 Labourers in metal fabrication","610","35639","37831","Hamilton"
"69312","        9613 Labourers in chemical products processing and utilities","215","29695","36000","Hamilton"
"69412","        9614 Labourers in wood, pulp and paper processing","150","30456","30076","Hamilton"
"69512","        9615 Labourers in rubber and plastic products manufacturing","140","29073","29469","Hamilton"
"69612","        9616 Labourers in textile processing","85","23134","24979","Hamilton"
"69712","        9617 Labourers in food and beverage processing","2320","26529","28092","Hamilton"
"69812","        9618 Labourers in fish and seafood processing","0","0","0","Hamilton"
"69912","        9619 Other labourers in processing, manufacturing and utilities","1880","19444","23482","Hamilton"
"70012","Note","","","","Hamilton"
"70116","[1] For more information on the Visible minority variable, including information on its classification, the questions from which it is derived, data quality and its comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2016.","","","","Hamilton"
"70214","[1] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.","","","","Hamilton"
"70312","[1] Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2015 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week). Full year is 49 weeks or over. Part year is less than 49 weeks.","","","","Hamilton"
"70412","[2] Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2016 Census, the reference period is the calendar year 2015 for all income variables.","","","","Hamilton"
"70512","[3] Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).","","","","Hamilton"
"70612","[4] Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).","","","","Hamilton"
"70712","[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016.","","","","Hamilton"
"70812","Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016356.","","","","Hamilton"
"970","Total - Occupation - National Occupational Classification (NOC) 2016 [7]","103190","34915","45779","Kelowna"
"1070","  0 Management occupations","11575","54074","68082","Kelowna"
"1170","    00 Senior management occupations","1045","78223","114637","Kelowna"
"1270","      001 Legislators and senior management","1050","78223","114637","Kelowna"
"1370","        0011 Legislators","20","0","109850","Kelowna"
"1470","        0012 Senior government managers and officials","55","105230","111201","Kelowna"
"1570","        0013 Senior managers - financial, communications and other business services","305","80191","114198","Kelowna"
"1670","        0014 Senior managers - health, education, social and community services and membership organizations","110","89142","98822","Kelowna"
"1770","        0015 Senior managers - trade, broadcasting and other services, n.e.c.","245","60814","105348","Kelowna"
"1870","        0016 Senior managers - construction, transportation, production and utilities","310","69374","129048","Kelowna"
"1970","    01-05 Specialized middle management occupations","3115","67157","75589","Kelowna"
"2070","      011 Administrative services managers","770","63386","74341","Kelowna"
"2170","        0111 Financial managers","385","66833","71262","Kelowna"
"2270","        0112 Human resources managers","145","76972","82792","Kelowna"
"2370","        0113 Purchasing managers","65","59559","62142","Kelowna"
"2470","        0114 Other administrative services managers","170","52267","79047","Kelowna"
"2570","      012 Managers in financial and business services","1165","61993","73222","Kelowna"
"2670","        0121 Insurance, real estate and financial brokerage managers","215","77774","92538","Kelowna"
"2770","        0122 Banking, credit and other investment managers","380","69573","82534","Kelowna"
"2870","        0124 Advertising, marketing and public relations managers","335","52992","60712","Kelowna"
"2970","        0125 Other business services managers","240","50563","58069","Kelowna"
"3070","      013 Managers in communication (except broadcasting)","70","94323","98837","Kelowna"
"3170","        0131 Telecommunication carriers managers","50","103212","111067","Kelowna"
"3270","        0132 Postal and courier services managers","15","0","0","Kelowna"
"3370","      021 Managers in engineering, architecture, science and information systems","280","71629","91015","Kelowna"
"3470","        0211 Engineering managers","60","75741","121341","Kelowna"
"3570","        0212 Architecture and science managers","30","96836","109620","Kelowna"
"3670","        0213 Computer and information systems managers","195","68622","78800","Kelowna"
"3770","      031 Managers in health care","220","86749","87774","Kelowna"
"3870","        0311 Managers in health care","215","86749","87774","Kelowna"
"3970","      041 Managers in public administration","60","88809","86895","Kelowna"
"4070","        0411 Government managers - health and social policy development and program administration","15","0","0","Kelowna"
"4170","        0412 Government managers - economic analysis, policy development and program administration","20","0","0","Kelowna"
"4270","        0413 Government managers - education policy development and program administration","0","0","0","Kelowna"
"4370","        0414 Other managers in public administration","25","0","0","Kelowna"
"4470","      042 Managers in education and social and community services","335","62162","71242","Kelowna"
"4570","        0421 Administrators - post-secondary education and vocational training","80","79040","84782","Kelowna"
"4670","        0422 School principals and administrators of elementary and secondary education","125","96213","82912","Kelowna"
"4770","        0423 Managers in social, community and correctional services","130","49201","51528","Kelowna"
"4870","      043 Managers in public protection services","65","56183","55408","Kelowna"
"4970","        0431 Commissioned police officers","10","0","0","Kelowna"
"5070","        0432 Fire chiefs and senior firefighting officers","10","0","0","Kelowna"
"5170","        0433 Commissioned officers of the Canadian Armed Forces","50","38183","42077","Kelowna"
"5270","      051 Managers in art, culture, recreation and sport","145","46826","57077","Kelowna"
"5370","        0511 Library, archive, museum and art gallery managers","30","0","0","Kelowna"
"5470","        0512 Managers - publishing, motion pictures, broadcasting and performing arts","50","50112","66206","Kelowna"
"5570","        0513 Recreation, sports and fitness program and service directors","70","46619","53643","Kelowna"
"5670","    06 Middle management occupations in retail and wholesale trade and customer services","4445","45119","55447","Kelowna"
"5770","      060 Corporate sales managers","430","92380","103563","Kelowna"
"5870","        0601 Corporate sales managers","425","92380","103563","Kelowna"
"5970","      062 Retail and wholesale trade managers","2710","47780","56669","Kelowna"
"6070","        0621 Retail and wholesale trade managers","2710","47780","56669","Kelowna"
"6170","      063 Managers in food service and accommodation","1050","33807","37373","Kelowna"
"6270","        0631 Restaurant and food service managers","815","33793","37802","Kelowna"
"6370","        0632 Accommodation service managers","225","35890","35842","Kelowna"
"6470","      065 Managers in customer and personal services, n.e.c.","255","35391","35958","Kelowna"
"6570","        0651 Managers in customer and personal services, n.e.c.","260","35391","35958","Kelowna"
"6670","    07-09 Middle management occupations in trades, transportation, production and utilities","2965","49750","62699","Kelowna"
"6770","      071 Managers in construction and facility operation and maintenance","1530","58382","68361","Kelowna"
"6870","        0711 Construction managers","730","78016","82491","Kelowna"
"6970","        0712 Home building and renovation managers","415","42156","47431","Kelowna"
"7070","        0714 Facility operation and maintenance managers","385","50878","64183","Kelowna"
"7113","      073 Managers in transportation","190","81102","90239","Kelowna"
"7213","        0731 Managers in transportation","185","81102","90239","Kelowna"
"7313","      081 Managers in natural resources production and fishing","65","131126","117186","Kelowna"
"7413","        0811 Managers in natural resources production and fishing","65","131126","117186","Kelowna"
"7513","      082 Managers in agriculture, horticulture and aquaculture","670","11692","21990","Kelowna"
"7613","        0821 Managers in agriculture","625","10508","20301","Kelowna"
"7713","        0822 Managers in horticulture","35","32022","41670","Kelowna"
"7813","        0823 Managers in aquaculture","10","0","0","Kelowna"
"7913","      091 Managers in manufacturing and utilities","520","61317","81674","Kelowna"
"8013","        0911 Manufacturing managers","455","60124","75930","Kelowna"
"8113","        0912 Utilities managers","60","101583","122971","Kelowna"
"8213","  1 Business, finance and administration occupations","15070","38673","45542","Kelowna"
"8313","    11 Professional occupations in business and finance","2740","53594","72338","Kelowna"
"8413","      111 Auditors, accountants and investment professionals","1815","58213","82911","Kelowna"
"8513","        1111 Financial auditors and accountants","935","58241","67842","Kelowna"
"8613","        1112 Financial and investment analysts","110","69005","132424","Kelowna"
"8713","        1113 Securities agents, investment dealers and brokers","60","0","0","Kelowna"
"8813","        1114 Other financial officers","710","59816","91365","Kelowna"
"8913","      112 Human resources and business service professionals","930","43647","51649","Kelowna"
"9013","        1121 Human resources professionals","235","64696","67133","Kelowna"
"9117","        1122 Professional occupations in business management consulting","315","39874","50810","Kelowna"
"9215","        1123 Professional occupations in advertising, marketing and public relations","380","35789","42742","Kelowna"
"9313","    12 Administrative and financial supervisors and administrative occupations","4840","39981","44255","Kelowna"
"9413","      121 Administrative services supervisors","345","46178","48824","Kelowna"
"9513","        1211 Supervisors, general office and administrative support workers","40","50802","51101","Kelowna"
"9613","        1212 Supervisors, finance and insurance office workers","85","46138","38735","Kelowna"
"9713","        1213 Supervisors, library, correspondence and related information workers","0","0","0","Kelowna"
"9813","        1214 Supervisors, mail and message distribution occupations","15","0","0","Kelowna"
"9913","        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations","200","43654","51021","Kelowna"
"10013","      122 Administrative and regulatory occupations","2770","42681","49455","Kelowna"
"10117","        1221 Administrative officers","1680","43537","47188","Kelowna"
"10215","        1222 Executive assistants","175","44798","97446","Kelowna"
"10313","        1223 Human resources and recruitment officers","110","46704","48589","Kelowna"
"10413","        1224 Property administrators","345","34890","39116","Kelowna"
"10513","        1225 Purchasing agents and officers","170","54791","56162","Kelowna"
"10613","        1226 Conference and event planners","175","23820","29584","Kelowna"
"10713","        1227 Court officers and justices of the peace","10","0","0","Kelowna"
"10813","        1228 Employment insurance, immigration, border services and revenue officers","110","55874","55372","Kelowna"
"10913","      124 Office administrative assistants - general, legal and medical","1535","36142","35564","Kelowna"
"11013","        1241 Administrative assistants","1050","34800","34520","Kelowna"
"11117","        1242 Legal administrative assistants","285","36259","36337","Kelowna"
"11215","        1243 Medical administrative assistants","200","41018","39944","Kelowna"
"11313","      125 Court reporters, transcriptionists, records management technicians and statistical officers","185","23988","29537","Kelowna"
"11413","        1251 Court reporters, medical transcriptionists and related occupations","140","16130","25050","Kelowna"
"11513","        1252 Health information management occupations","15","0","0","Kelowna"
"11613","        1253 Records management technicians","15","0","0","Kelowna"
"11713","        1254 Statistical officers and related research support occupations","15","0","0","Kelowna"
"11813","    13 Finance, insurance and related business administrative occupations","1515","35067","38763","Kelowna"
"11913","      131 Finance, insurance and related business administrative occupations","1515","35067","38763","Kelowna"
"12013","        1311 Accounting technicians and bookkeepers","1200","31073","33374","Kelowna"
"12117","        1312 Insurance adjusters and claims examiners","160","66557","66018","Kelowna"
"12215","        1313 Insurance underwriters","45","76361","79821","Kelowna"
"12313","        1314 Assessors, valuators and appraisers","105","43574","40638","Kelowna"
"12413","        1315 Customs, ship and other brokers","0","0","0","Kelowna"
"12513","    14 Office support occupations","4345","32571","33129","Kelowna"
"12613","      141 General office workers","2795","30217","31131","Kelowna"
"12713","        1411 General office support workers","1620","32188","33145","Kelowna"
"12813","        1414 Receptionists","1100","27218","27844","Kelowna"
"12913","        1415 Personnel clerks","60","30530","33623","Kelowna"
"13013","        1416 Court clerks","20","0","0","Kelowna"
"13117","      142 Office equipment operators","180","29401","30319","Kelowna"
"13215","        1422 Data entry clerks","170","29400","30106","Kelowna"
"13313","        1423 Desktop publishing operators and related occupations","10","0","0","Kelowna"
"13413","      143 Financial, insurance and related administrative support workers","1105","39172","39490","Kelowna"
"13513","        1431 Accounting and related clerks","760","39256","39843","Kelowna"
"13613","        1432 Payroll administrators","170","43868","40461","Kelowna"
"13713","        1434 Banking, insurance and other financial clerks","100","37805","44027","Kelowna"
"13813","        1435 Collectors","80","23874","28210","Kelowna"
"13913","      145 Library, correspondence and other clerks","260","28004","29425","Kelowna"
"14013","        1451 Library assistants and clerks","75","33461","30024","Kelowna"
"14117","        1452 Correspondence, publication and regulatory clerks","90","43838","48363","Kelowna"
"14215","        1454 Survey interviewers and statistical clerks","95","798","12044","Kelowna"
"14313","    15 Distribution, tracking and scheduling co-ordination occupations","1635","41830","43700","Kelowna"
"14413","      151 Mail and message distribution occupations","485","40535","39734","Kelowna"
"14513","        1511 Mail, postal and related workers","75","25333","30948","Kelowna"
"14613","        1512 Letter carriers","185","55980","47377","Kelowna"
"14713","        1513 Couriers, messengers and door-to-door distributors","225","36438","36286","Kelowna"
"14813","      152 Supply chain logistics, tracking and scheduling co-ordination occupations","1150","42269","45372","Kelowna"
"14913","        1521 Shippers and receivers","405","37707","37355","Kelowna"
"15013","        1522 Storekeepers and partspersons","255","42261","48348","Kelowna"
"15117","        1523 Production logistics co-ordinators","115","43228","43841","Kelowna"
"15215","        1524 Purchasing and inventory control workers","165","41176","42820","Kelowna"
"15313","        1525 Dispatchers","185","60802","60541","Kelowna"
"15413","        1526 Transportation route and crew schedulers","20","0","0","Kelowna"
"15513","  2 Natural and applied sciences and related occupations","5250","59682","68034","Kelowna"
"15613","    21 Professional occupations in natural and applied sciences","2460","63714","75879","Kelowna"
"15713","      211 Physical science professionals","90","107464","91815","Kelowna"
"15813","        2111 Physicists and astronomers","0","0","0","Kelowna"
"15913","        2112 Chemists","30","0","0","Kelowna"
"16013","        2113 Geoscientists and oceanographers","35","0","0","Kelowna"
"16117","        2114 Meteorologists and climatologists","15","0","0","Kelowna"
"16215","        2115 Other professional occupations in physical sciences","0","0","0","Kelowna"
"16313","      212 Life science professionals","150","46265","50747","Kelowna"
"16413","        2121 Biologists and related scientists","80","49743","48029","Kelowna"
"16513","        2122 Forestry professionals","20","0","0","Kelowna"
"16613","        2123 Agricultural representatives, consultants and specialists","45","40877","53759","Kelowna"
"16713","      213 Civil, mechanical, electrical and chemical engineers","595","67971","83183","Kelowna"
"16813","        2131 Civil engineers","295","78866","95051","Kelowna"
"16913","        2132 Mechanical engineers","140","41955","53486","Kelowna"
"17013","        2133 Electrical and electronics engineers","140","78231","83374","Kelowna"
"17117","        2134 Chemical engineers","20","0","0","Kelowna"
"17215","      214 Other engineers","180","82761","93993","Kelowna"
"17313","        2141 Industrial and manufacturing engineers","10","0","0","Kelowna"
"17413","        2142 Metallurgical and materials engineers","10","0","0","Kelowna"
"17513","        2143 Mining engineers","10","0","0","Kelowna"
"17613","        2144 Geological engineers","50","104631","98727","Kelowna"
"17713","        2145 Petroleum engineers","25","0","0","Kelowna"
"17813","        2146 Aerospace engineers","20","0","0","Kelowna"
"17913","        2147 Computer engineers (except software engineers and designers)","30","67374","81422","Kelowna"
"18013","        2148 Other professional engineers, n.e.c.","35","0","72502","Kelowna"
"18117","      215 Architects, urban planners and land surveyors","265","63958","129434","Kelowna"
"18215","        2151 Architects","55","66161","54389","Kelowna"
"18313","        2152 Landscape architects","25","0","40412","Kelowna"
"18413","        2153 Urban and land use planners","115","69467","223088","Kelowna"
"18513","        2154 Land surveyors","60","59131","63714","Kelowna"
"18613","      216 Mathematicians, statisticians and actuaries","15","0","0","Kelowna"
"18713","        2161 Mathematicians, statisticians and actuaries","15","0","0","Kelowna"
"18813","      217 Computer and information systems professionals","1170","60055","59446","Kelowna"
"18913","        2171 Information systems analysts and consultants","420","63709","61085","Kelowna"
"19013","        2172 Database analysts and data administrators","50","68475","68012","Kelowna"
"19117","        2173 Software engineers and designers","155","79375","78900","Kelowna"
"19215","        2174 Computer programmers and interactive media developers","375","58517","61301","Kelowna"
"19313","        2175 Web designers and developers","165","24064","29847","Kelowna"
"19413","    22 Technical occupations related to natural and applied sciences","2790","55934","61105","Kelowna"
"19513","      221 Technical occupations in physical sciences","125","38953","50098","Kelowna"
"19613","        2211 Chemical technologists and technicians","70","35840","33048","Kelowna"
"19713","        2212 Geological and mineral technologists and technicians","55","70382","72556","Kelowna"
"19813","      222 Technical occupations in life sciences","265","29272","33861","Kelowna"
"19913","        2221 Biological technologists and technicians","25","0","0","Kelowna"
"20013","        2222 Agricultural and fish products inspectors","10","0","0","Kelowna"
"20117","        2223 Forestry technologists and technicians","45","52804","44864","Kelowna"
"20215","        2224 Conservation and fishery officers","10","0","0","Kelowna"
