NOC6_2 digit,NOC16_4 digit,Introspection 1,Introspection 2
"    15 Distribution, tracking and scheduling co-ordination occupations",        1526 Transportation route and crew schedulers,1,1
    21 Professional occupations in natural and applied sciences,        2111 Physicists and astronomers,0.5,1
    21 Professional occupations in natural and applied sciences,        2113 Geoscientists and oceanographers,0.5,1
    21 Professional occupations in natural and applied sciences,        2114 Meteorologists and climatologists,0.5,1
    21 Professional occupations in natural and applied sciences,        2115 Other professional occupations in physical sciences,1,1
    21 Professional occupations in natural and applied sciences,        2121 Biologists and related scientists,1,1
    21 Professional occupations in natural and applied sciences,        2122 Forestry professionals,0.5,0.5
    21 Professional occupations in natural and applied sciences,"        2123 Agricultural representatives, consultants and specialists",1,0
    21 Professional occupations in natural and applied sciences,        2131 Civil engineers,1,0.5
    21 Professional occupations in natural and applied sciences,        2133 Electrical and electronics engineers,0.5,1
    21 Professional occupations in natural and applied sciences,        2134 Chemical engineers,0.5,0.5
    21 Professional occupations in natural and applied sciences,        2146 Aerospace engineers,0.5,0
    21 Professional occupations in natural and applied sciences,        2147 Computer engineers (except software engineers and designers),1,1
    21 Professional occupations in natural and applied sciences,"        2148 Other professional engineers, n.e.c.",1,1
    21 Professional occupations in natural and applied sciences,        2151 Architects,1,0.5
    21 Professional occupations in natural and applied sciences,        2152 Landscape architects,0.5,0.5
    21 Professional occupations in natural and applied sciences,        2153 Urban and land use planners,1,1
    21 Professional occupations in natural and applied sciences,"        2161 Mathematicians, statisticians and actuaries",1,1
    21 Professional occupations in natural and applied sciences,        2171 Information systems analysts and consultants,1,1
    21 Professional occupations in natural and applied sciences,        2172 Database analysts and data administrators,1,1
    21 Professional occupations in natural and applied sciences,        2173 Software engineers and designers,1,1
    21 Professional occupations in natural and applied sciences,        2174 Computer programmers and interactive media developers,1,1
    21 Professional occupations in natural and applied sciences,        2175 Web designers and developers,1,1
    22 Technical occupations related to natural and applied sciences,        2225 Landscape and horticulture technicians and specialists,0.5,0.5
    22 Technical occupations related to natural and applied sciences,        2231 Civil engineering technologists and technicians,1,0.5
    22 Technical occupations related to natural and applied sciences,        2234 Construction estimators,0.5,0.5
    22 Technical occupations related to natural and applied sciences,        2251 Architectural technologists and technicians,0.5,0.5
    22 Technical occupations related to natural and applied sciences,        2252 Industrial designers,0.5,1
    22 Technical occupations related to natural and applied sciences,        2253 Drafting technologists and technicians,1,1
    22 Technical occupations related to natural and applied sciences,        2254 Land survey technologists and technicians,0.5,1
    22 Technical occupations related to natural and applied sciences,        2255 Technical occupations in geomatics and meteorology,0.5,1
    22 Technical occupations related to natural and applied sciences,        2272 Air traffic controllers and related occupations,0,0
    22 Technical occupations related to natural and applied sciences,        2281 Computer network technicians,0.5,1
    22 Technical occupations related to natural and applied sciences,        2282 User support technicians,0.5,1
    22 Technical occupations related to natural and applied sciences,        2283 Information systems testing technicians,1,1
    30 Professional occupations in nursing,        3011 Nursing co-ordinators and supervisors,1,0.5
    40 Professional occupations in education services,        4011 University professors and lecturers,1,1
