NOC6_2 digit,NOC16_4 digit,Introspection 1,Introspection 2
"    72 Industrial, electrical and construction trades",        7251 Plumbers,0,0
"    72 Industrial, electrical and construction trades","        7252 Steamfitters, pipefitters and sprinkler system installers",0,0
"    72 Industrial, electrical and construction trades",        7253 Gas fitters,0,0
"    72 Industrial, electrical and construction trades",        7271 Carpenters,0,0
"    72 Industrial, electrical and construction trades",        7272 Cabinetmakers,0,0
"    72 Industrial, electrical and construction trades",        7281 Bricklayers,0,0
"    72 Industrial, electrical and construction trades",        7282 Concrete finishers,0,0
"    72 Industrial, electrical and construction trades",        7283 Tilesetters,0,0
"    72 Industrial, electrical and construction trades","        7284 Plasterers, drywall installers and finishers and lathers",0,0
"    72 Industrial, electrical and construction trades",        7291 Roofers and shinglers,0,0
"    72 Industrial, electrical and construction trades",        7292 Glaziers,0,0
"    72 Industrial, electrical and construction trades",        7293 Insulators,0,0
"    72 Industrial, electrical and construction trades",        7294 Painters and decorators (except interior decorators),0,0
"    72 Industrial, electrical and construction trades",        7295 Floor covering installers,0,0
    73 Maintenance and equipment operation trades,"        7301 Contractors and supervisors, mechanic trades",0.5,0
    73 Maintenance and equipment operation trades,"        7302 Contractors and supervisors, heavy equipment operator crews",0.5,0.5
    73 Maintenance and equipment operation trades,"        7303 Supervisors, printing and related occupations",0.5,0.5
    73 Maintenance and equipment operation trades,"        7304 Supervisors, railway transport operations",0,0.5
    73 Maintenance and equipment operation trades,"        7305 Supervisors, motor transport and other ground transit operators",0,0.5
    73 Maintenance and equipment operation trades,        7311 Construction millwrights and industrial mechanics,0,0
    73 Maintenance and equipment operation trades,        7312 Heavy-duty equipment mechanics,0,0
    73 Maintenance and equipment operation trades,"        7313 Heating, refrigeration and air conditioning mechanics",0,0
    73 Maintenance and equipment operation trades,        7314 Railway carmen/women,0,0
    73 Maintenance and equipment operation trades,        7315 Aircraft mechanics and aircraft inspectors,0,0
    73 Maintenance and equipment operation trades,        7316 Machine fitters,0,0
    73 Maintenance and equipment operation trades,        7318 Elevator constructors and mechanics,0,0
    73 Maintenance and equipment operation trades,"        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",0,0
    73 Maintenance and equipment operation trades,        7322 Motor vehicle body repairers,0,0
    73 Maintenance and equipment operation trades,        7331 Oil and solid fuel heating mechanics,0,0
    73 Maintenance and equipment operation trades,        7332 Appliance servicers and repairers,0,0
    73 Maintenance and equipment operation trades,        7333 Electrical mechanics,0,0
    73 Maintenance and equipment operation trades,"        7334 Motorcycle, all-terrain vehicle and other related mechanics",0,0
    73 Maintenance and equipment operation trades,        7335 Other small engine and small equipment repairers,0,0
    73 Maintenance and equipment operation trades,        7361 Railway and yard locomotive engineers,0.5,0
    73 Maintenance and equipment operation trades,        7362 Railway conductors and brakemen/women,0.5,0
    73 Maintenance and equipment operation trades,        7371 Crane operators,0,0
    73 Maintenance and equipment operation trades,"        7372 Drillers and blasters - surface mining, quarrying and construction",0,0
    73 Maintenance and equipment operation trades,        7373 Water well drillers,0,0
    73 Maintenance and equipment operation trades,        7381 Printing press operators,0,0
    73 Maintenance and equipment operation trades,"        7384 Other trades and related occupations, n.e.c.",0.5,0
"    74 Other installers, repairers and servicers and material handlers",        7441 Residential and commercial installers and servicers,0,0
"    74 Other installers, repairers and servicers and material handlers",        7442 Waterworks and gas maintenance workers,0,0
"    74 Other installers, repairers and servicers and material handlers",        7444 Pest controllers and fumigators,0,0
"    74 Other installers, repairers and servicers and material handlers",        7445 Other repairers and servicers,0,0
"    74 Other installers, repairers and servicers and material handlers",        7451 Longshore workers,0,0
"    74 Other installers, repairers and servicers and material handlers",        7452 Material handlers,0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7511 Transport truck drivers,0,0
    75 Transport and heavy equipment operation and related maintenance occupations,"        7512 Bus drivers, subway operators and other transit operators",0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7513 Taxi and limousine drivers and chauffeurs,0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7514 Delivery and courier service drivers,0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7521 Heavy equipment operators (except crane),0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7522 Public works maintenance equipment operators and related workers,0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7531 Railway yard and track maintenance workers,0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7532 Water transport deck and engine room crew,0.5,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7533 Boat and cable ferry operators and related occupations,0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7534 Air transport ramp attendants,0,0
    75 Transport and heavy equipment operation and related maintenance occupations,        7535 Other automotive mechanical installers and servicers,0,0
"    76 Trades helpers, construction labourers and related occupations",        7611 Construction trades helpers and labourers,0,0
"    76 Trades helpers, construction labourers and related occupations",        7612 Other trades helpers and labourers,0,0
"    76 Trades helpers, construction labourers and related occupations",        7621 Public works and maintenance labourers,0,0
"    76 Trades helpers, construction labourers and related occupations",        7622 Railway and motor transport labourers,0,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production","        8211 Supervisors, logging and forestry",0,0.5
"    82 Supervisors and technical occupations in natural resources, agriculture and related production","        8221 Supervisors, mining and quarrying",0,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production","        8222 Contractors and supervisors, oil and gas drilling and services",0,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",        8231 Underground production and development miners,0,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production","        8232 Oil and gas well drillers, servicers, testers and related workers",0,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",        8241 Logging machinery operators,0,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production","        8252 Agricultural service contractors, farm supervisors and specialized livestock workers",0,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production","        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0.5,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",        8261 Fishing masters and officers,0.5,0
"    82 Supervisors and technical occupations in natural resources, agriculture and related production",        8262 Fishermen/women,0,0
"    84 Workers in natural resources, agriculture and related production",        8411 Underground mine service and support workers,0,0
"    84 Workers in natural resources, agriculture and related production",        8412 Oil and gas well drilling and related workers and services operators,0,0
"    84 Workers in natural resources, agriculture and related production",        8421 Chain saw and skidder operators,0,0
"    84 Workers in natural resources, agriculture and related production",        8422 Silviculture and forestry workers,0,0
"    84 Workers in natural resources, agriculture and related production",        8431 General farm workers,0,0
"    84 Workers in natural resources, agriculture and related production",        8432 Nursery and greenhouse workers,0,0
"    84 Workers in natural resources, agriculture and related production",        8441 Fishing vessel deckhands,0,0
"    84 Workers in natural resources, agriculture and related production",        8442 Trappers and hunters,0,0
"    86 Harvesting, landscaping and natural resources labourers",        8611 Harvesting labourers,0,0
"    86 Harvesting, landscaping and natural resources labourers",        8612 Landscaping and grounds maintenance labourers,0,0
"    86 Harvesting, landscaping and natural resources labourers",        8613 Aquaculture and marine harvest labourers,0,0
"    86 Harvesting, landscaping and natural resources labourers",        8614 Mine labourers,0,0
"    86 Harvesting, landscaping and natural resources labourers","        8615 Oil and gas drilling, servicing and related labourers",0,0
"    86 Harvesting, landscaping and natural resources labourers",        8616 Logging and forestry labourers,0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9211 Supervisors, mineral and metal processing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9212 Supervisors, petroleum, gas and chemical processing and utilities",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9213 Supervisors, food and beverage processing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9214 Supervisors, plastic and rubber products manufacturing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9215 Supervisors, forest products processing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9221 Supervisors, motor vehicle assembling",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9222 Supervisors, electronics manufacturing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9223 Supervisors, electrical products manufacturing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9224 Supervisors, furniture and fixtures manufacturing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9226 Supervisors, other mechanical and metal products manufacturing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9227 Supervisors, other products manufacturing and assembly",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9231 Central control and process operators, mineral and metal processing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9232 Central control and process operators, petroleum, gas and chemical processing",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators","        9235 Pulping, papermaking and coating control operators",0,0
"    92 Processing, manufacturing and utilities supervisors and central control operators",        9241 Power engineers and power systems operators,0.5,0
"    92 Processing, manufacturing and utilities supervisors and central control operators",        9243 Water and waste treatment plant operators,0,0
    94 Processing and manufacturing machine operators and related production workers,"        9411 Machine operators, mineral and metal processing",0,0
    94 Processing and manufacturing machine operators and related production workers,        9412 Foundry workers,0,0
    94 Processing and manufacturing machine operators and related production workers,        9413 Glass forming and finishing machine operators and glass cutters,0,0
    94 Processing and manufacturing machine operators and related production workers,"        9414 Concrete, clay and stone forming operators",0,0
    94 Processing and manufacturing machine operators and related production workers,"        9415 Inspectors and testers, mineral and metal processing",0,0
    94 Processing and manufacturing machine operators and related production workers,        9416 Metalworking and forging machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9417 Machining tool operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9418 Other metal products machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9421 Chemical plant machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9422 Plastics processing machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9423 Rubber processing machine operators and related workers,0,0
    94 Processing and manufacturing machine operators and related production workers,        9431 Sawmill machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9432 Pulp mill machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9433 Papermaking and finishing machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9434 Other wood processing machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9435 Paper converting machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9436 Lumber graders and other wood processing inspectors and graders,0,0
    94 Processing and manufacturing machine operators and related production workers,        9437 Woodworking machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,"        9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",0,0
    94 Processing and manufacturing machine operators and related production workers,"        9442 Weavers, knitters and other fabric making occupations",0,0
    94 Processing and manufacturing machine operators and related production workers,"        9445 Fabric, fur and leather cutters",0,0
    94 Processing and manufacturing machine operators and related production workers,        9446 Industrial sewing machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,"        9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",0,0
    94 Processing and manufacturing machine operators and related production workers,"        9461 Process control and machine operators, food and beverage processing",0,0
    94 Processing and manufacturing machine operators and related production workers,"        9462 Industrial butchers and meat cutters, poultry preparers and related workers",0,0
    94 Processing and manufacturing machine operators and related production workers,        9463 Fish and seafood plant workers,0,0
    94 Processing and manufacturing machine operators and related production workers,"        9465 Testers and graders, food and beverage processing",0,0
    94 Processing and manufacturing machine operators and related production workers,        9471 Plateless printing equipment operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9473 Binding and finishing machine operators,0,0
    94 Processing and manufacturing machine operators and related production workers,        9474 Photographic and film processors,0,0
    95 Assemblers in manufacturing,        9521 Aircraft assemblers and aircraft assembly inspectors,0,0
    95 Assemblers in manufacturing,"        9522 Motor vehicle assemblers, inspectors and testers",0,0
    95 Assemblers in manufacturing,"        9523 Electronics assemblers, fabricators, inspectors and testers",0,0
    95 Assemblers in manufacturing,"        9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",0,0
    95 Assemblers in manufacturing,"        9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0,0
    95 Assemblers in manufacturing,        9526 Mechanical assemblers and inspectors,0,0
    95 Assemblers in manufacturing,"        9527 Machine operators and inspectors, electrical apparatus manufacturing",0,0
    95 Assemblers in manufacturing,        9531 Boat assemblers and inspectors,0,0
    95 Assemblers in manufacturing,        9532 Furniture and fixture assemblers and inspectors,0,0
    95 Assemblers in manufacturing,        9533 Other wood products assemblers and inspectors,0,0
    95 Assemblers in manufacturing,        9534 Furniture finishers and refinishers,0,0
    95 Assemblers in manufacturing,"        9535 Plastic products assemblers, finishers and inspectors",0,0
    95 Assemblers in manufacturing,"        9536 Industrial painters, coaters and metal finishing process operators",0,0
    95 Assemblers in manufacturing,"        9537 Other products assemblers, finishers and inspectors",0,0
"    96 Labourers in processing, manufacturing and utilities",        9611 Labourers in mineral and metal processing,0,0
"    96 Labourers in processing, manufacturing and utilities",        9612 Labourers in metal fabrication,0,0
"    96 Labourers in processing, manufacturing and utilities",        9613 Labourers in chemical products processing and utilities,0,0
"    96 Labourers in processing, manufacturing and utilities","        9614 Labourers in wood, pulp and paper processing",0,0
"    96 Labourers in processing, manufacturing and utilities",        9615 Labourers in rubber and plastic products manufacturing,0,0
"    96 Labourers in processing, manufacturing and utilities",        9616 Labourers in textile processing,0,0
"    96 Labourers in processing, manufacturing and utilities",        9617 Labourers in food and beverage processing,0,0
"    96 Labourers in processing, manufacturing and utilities",        9618 Labourers in fish and seafood processing,0,0
"    96 Labourers in processing, manufacturing and utilities","        9619 Other labourers in processing, manufacturing and utilities",0,0
